OBJNR,STAT,INACT
OV000000056600000001,I0002,
OV000000056600000002,I0002,
OV000000056700000001,I0002,
OV000000056700000002,I0002,
OV000000056800000001,I0002,
OV000000056800000002,I0002,
OV000000056900000001,I0002,
OV000000056900000002,I0002,
OV000000058100000001,I0002,
OV000000058100000002,I0002,
OV000000058200000001,I0002,
OV000000058200000002,I0002,
OV000000058300000001,I0002,
OV000000058300000002,I0002,
OV000000058400000001,I0002,
OV000000058400000002,I0002,
OV000000058500000001,I0002,
OV000000058500000002,I0002,
OV000000058600000001,I0002,
OV000000058600000002,I0002,
OV000000058700000001,I0002,
OV000000058700000002,I0002,
OV000000058800000001,I0002,
OV000000058800000002,I0002,
OV000000058900000001,I0002,
OV000000058900000002,I0002,
OV000000060100000001,I0002,
OV000000060100000002,I0002,
OV000000060200000001,I0002,
OV000000060200000002,I0002,
OV000000060300000001,I0002,
OV000000060300000002,I0002,
OV000000060400000001,I0002,
OV000000060400000002,I0002,
OV000000060500000001,I0002,
OV000000060500000002,I0002,
OV000000060600000001,I0002,
OV000000060600000002,I0002,
OV000000060700000001,I0002,
OV000000060700000002,I0002,
OV000000060800000001,I0002,
OV000000060800000002,I0002,
OV000000060900000001,I0002,
OV000000060900000002,I0002,
OV000000061000000001,I0002,
OV000000061000000002,I0002,
OV000000061100000001,I0002,
OV000000061100000002,I0002,
OV000000061200000001,I0002,
OV000000061200000002,I0002,
OV000000061300000001,I0002,
OV000000061300000002,I0002,
OV000000061400000001,I0002,
OV000000061400000002,I0002,
OV000000061500000001,I0002,
OV000000061500000002,I0002,
OV000000061600000001,I0002,
OV000000061600000002,I0002,
OV000000061700000001,I0002,
OV000000061700000002,I0002,
OV000000061800000001,I0002,
OV000000061800000002,I0002,
OV000000062200000002,I0002,
OV000000062300000004,I0002,
OV000000062300000005,I0002,
OV000000062300000006,I0002,
OV000000064100000001,I0002,
OV000000064100000002,I0002,
OV000000064200000001,I0002,
OV000000064200000002,I0002,
OV000000064300000001,I0002,
OV000000064300000002,I0002,
OV000000064400000001,I0002,
OV000000064400000002,I0002,
OV000000064500000001,I0002,
OV000000064500000002,I0002,
OV000000064600000001,I0002,
OV000000064600000002,I0002,
OV000000064700000001,I0002,
OV000000064700000002,I0002,
OV000000064800000001,I0002,
OV000000064800000002,I0002,
OV000000064900000001,I0002,
OV000000064900000002,I0002,
OV000000066100000001,I0002,
OV000000066100000002,I0002,
OV000000066200000001,I0002,
OV000000066200000002,I0002,
OV000000066300000001,I0002,
OV000000066300000002,I0002,
OV000000066400000001,I0002,
OV000000066400000002,I0002,
OV000000066500000001,I0002,
OV000000066500000002,I0002,
OV000000066600000001,I0002,
OV000000066600000002,I0002,
OV000000066700000001,I0002,
OV000000066700000002,I0002,
OV000000066800000001,I0002,
OV000000066800000002,I0002,
OV000000066900000001,I0002,
OV000000066900000002,I0002,
OV000000068100000001,I0002,
OV000000068100000002,I0002,
OV000000068200000001,I0002,
OV000000068200000002,I0002,
OV000000068300000001,I0002,
OV000000068300000002,I0002,
OV000000068400000001,I0002,
OV000000068400000002,I0002,
OV000000068500000001,I0002,
OV000000068500000002,I0002,
OV000000068600000001,I0002,
OV000000068600000002,I0002,
OV000000068700000001,I0002,
OV000000068700000002,I0002,
OV000000068800000001,I0002,
OV000000068800000002,I0002,
OV000000068900000001,I0002,
OV000000068900000002,I0002,
OV000000070100000001,I0002,
OV000000070100000002,I0002,
OV000000070200000001,I0002,
OV000000070200000002,I0002,
OV000000070300000001,I0002,
OV000000070300000002,I0002,
OV000000070400000001,I0002,
OV000000070400000002,I0002,
OV000000070500000001,I0002,
OV000000070500000002,I0002,
OV000000070600000001,I0002,
OV000000070600000002,I0002,
OV000000070700000001,I0002,
OV000000070700000002,I0002,
OV000000070800000001,I0002,
OV000000070800000002,I0002,
OV000000070900000001,I0002,
OV000000070900000002,I0002,
OV000000071000000001,I0002,
OV000000071000000002,I0002,
OV000000071100000001,I0002,
OV000000071100000002,I0002,
OV000000071200000001,I0002,
OV000000071200000002,I0002,
OV000000071300000001,I0002,
OV000000071300000002,I0002,
OV000000071400000001,I0002,
OV000000071400000002,I0002,
OV000000071500000001,I0002,
OV000000071500000002,I0002,
OV000000071600000001,I0002,
OV000000071600000002,I0002,
OV000000071700000001,I0002,
OV000000071700000002,I0002,
OV000000071800000001,I0002,
OV000000071800000002,I0002,
OV000000072100000001,I0002,
OV000000072100000002,I0002,
OV000000072200000001,I0002,
OV000000072200000002,I0002,
OV000000072300000001,I0002,
OV000000072300000002,I0002,
OV000000072400000001,I0002,
OV000000072400000002,I0002,
OV000000072500000001,I0002,
OV000000072500000002,I0002,
OV000000072600000001,I0002,
OV000000072600000002,I0002,
OV000000072700000001,I0002,
OV000000072700000002,I0002,
OV000000072800000001,I0002,
OV000000072800000002,I0002,
OV000000072900000001,I0002,
OV000000072900000002,I0002,
OV000000074100000001,I0002,
OV000000074100000002,I0002,
OV000000074200000001,I0002,
OV000000074200000002,I0002,
OV000000074300000001,I0002,
OV000000074300000002,I0002,
OV000000074400000001,I0002,
OV000000074400000002,I0002,
OV000000074500000001,I0002,
OV000000074500000002,I0002,
OV000000074600000001,I0002,
OV000000074600000002,I0002,
OV000000074700000001,I0002,
OV000000074700000002,I0002,
OV000000074800000001,I0002,
OV000000074800000002,I0002,
OV000000074900000001,I0002,
OV000000074900000002,I0002,
OV000000076100000001,I0002,
OV000000076100000002,I0002,
OV000000076200000001,I0002,
OV000000076200000002,I0002,
OV000000076300000001,I0002,
OV000000076300000002,I0002,
OV000000076400000001,I0002,
OV000000076400000002,I0002,
OV000000076500000001,I0002,
OV000000076500000002,I0002,
OV000000076600000001,I0002,
OV000000076600000002,I0002,
OV000000076700000001,I0002,
OV000000076700000002,I0002,
OV000000076800000001,I0002,
OV000000076800000002,I0002,
OV000000076900000001,I0002,
OV000000076900000002,I0002,
OV000000078100000001,I0002,
OV000000078100000002,I0002,
OV000000078200000001,I0002,
OV000000078200000002,I0002,
OV000000078300000001,I0002,
OV000000078300000002,I0002,
OV000000078400000001,I0002,
OV000000078400000002,I0002,
OV000000078500000001,I0002,
OV000000078500000002,I0002,
OV000000078600000001,I0002,
OV000000078600000002,I0002,
OV000000078700000001,I0002,
OV000000078700000002,I0002,
OV000000078800000001,I0002,
OV000000078800000002,I0002,
OV000000078900000001,I0002,
OV000000078900000002,I0002,
OV000000080400000001,I0002,
OV000000080400000002,I0002,
OV000000080600000001,I0002,
OV000000080300000001,I0002,
OV000000080300000002,I0002,
OV000000080300000003,I0002,
OV000000080300000004,I0002,
OV100000034300000001,I0002,
OV000000082200000001,I0002,
OV000000082200000002,I0002,
OV000000082100000001,I0002,
OV000000082100000002,I0002,
OV000000082300000001,I0002,
OV000000082300000002,I0002,
OV000000082400000004,I0002,
OV000000082400000003,I0002,
OV000000082400000001,I0002,
OV000000082400000002,I0002,
OV000000082500000001,I0002,
OV000000082500000002,I0002,
OV000000084100000001,I0002,
OV000000084100000002,I0002,
OV000000084100000003,I0002,
OV000000084100000004,I0002,
OV000000084200000001,I0002,
OV000000084200000002,I0002,
OV000000084200000003,I0002,
OV000000084200000004,I0002,
OV000000084200000005,I0002,
OV000000084200000006,I0002,
OV000000084300000001,I0002,
OV000000084300000002,I0002,
OV000000084300000003,I0002,
OV000000084300000004,I0002,
OV000000084300000005,I0002,
OV000000084300000006,I0002,
OV000000084400000001,I0002,
OV000000084400000002,I0002,
OV000000084400000003,I0002,
OV000000084400000004,I0002,
OV000000084400000005,I0002,
OV000000084400000006,I0002,
OV000000084500000001,I0002,
OV000000084500000002,I0002,
OV000000084500000003,I0002,
OV000000084500000004,I0002,
OV000000086100000004,I0002,
OV000000086100000003,I0002,
OV000000086100000001,I0002,
OV000000086100000002,I0002,
OV000000086200000004,I0002,
OV000000086200000003,I0002,
OV000000086200000001,I0002,
OV000000086200000002,I0002,
OV000000086300000001,I0002,
OV000000086300000002,I0002,
OV000000086300000003,I0002,
OV000000086300000004,I0002,
OV000000086400000004,I0002,
OV000000086400000003,I0002,
OV000000086400000001,I0002,
OV000000086400000002,I0002,
OV000000086500000001,I0002,
OV000000086500000002,I0002,
OV000000086600000001,I0002,
OV000000086600000002,I0002,
OV000000086700000001,I0002,
OV000000086700000002,I0002,
OV000000086800000001,I0002,
OV000000086800000002,I0002,
OV000000086900000001,I0002,
OV000000086900000002,I0002,
OV000000087000000001,I0002,
OV000000087000000002,I0002,
OV000000087100000001,I0002,
OV000000087100000002,I0002,
OV000000087200000001,I0002,
OV000000087200000002,I0002,
OV000000087300000001,I0002,
OV000000087300000002,I0002,
OV000000087400000001,I0002,
OV000000087400000002,I0002,
OV000000087400000003,I0002,
OV000000087400000004,I0002,
OV000000087400000005,I0002,
OV000000087500000001,I0002,
OV000000087500000002,I0002,
OV000000087600000001,I0002,
OV000000087600000002,I0002,
OV000000087700000001,I0002,
OV000000087700000002,I0002,
OV000000087800000001,I0002,
OV000000087800000002,I0002,
OV000000087900000001,I0002,
OV000000087900000002,I0002,
OV000000088000000001,I0002,
OV000000088000000002,I0002,
OV000000088100000001,I0002,
OV000000088100000002,I0002,
OV000000088200000001,I0002,
OV000000088200000002,I0002,
OV000000088300000001,I0002,
OV000000088300000002,I0002,
OV000000088400000001,I0002,
OV000000088500000001,I0002,
OV000000088600000003,I0002,
OV000000088600000002,I0002,
OV000000088600000001,I0002,
OV000000088700000004,I0002,
OV000000088700000001,I0002,
OV000000088700000002,I0002,
OV000000088700000003,I0002,
OV000000088800000001,I0002,
OV000000088900000001,I0002,
OV000000089000000001,I0002,
OV000000089300000001,I0002,
OV000000089300000002,I0002,
OV000000089400000001,I0002,
OV000000089400000002,I0002,
OV000000089500000001,I0002,
OV000000089500000002,I0002,
OV000000089600000001,I0002,
OV000000089600000002,I0002,
OV000000089700000001,I0002,
OV000000089700000002,I0002,
OV000000089800000001,I0002,
OV000000089800000002,I0002,
OV000000089900000001,I0002,
OV000000089900000002,I0002,
OV000000090000000001,I0002,
OV000000090000000002,I0002,
OV000000090100000001,I0002,
OV000000090100000002,I0002,
OV000000090200000001,I0002,
OV000000090300000001,I0002,
OV000000090300000002,I0002,
OV000000090300000003,I0002,
OV000000090400000001,I0002,
OV000000090400000002,I0002,
OV000000090400000003,I0002,
OV000000092100000001,I0002,
OV000000092100000002,I0002,
OV000000092200000001,I0002,
OV000000092200000002,I0002,
OV000000092300000001,I0002,
OV000000092300000002,I0002,
OV000000092400000001,I0002,
OV000000092400000002,I0002,
OV000000092500000001,I0002,
OV000000092500000002,I0002,
OV000000092600000001,I0002,
OV000000092600000002,I0002,
OV000000092700000001,I0002,
OV000000092700000002,I0002,
OV000000092800000001,I0002,
OV000000092800000002,I0002,
OV000000092900000001,I0002,
OV000000092900000002,I0002,
OV000000094900000001,I0002,
OV000000094900000002,I0002,
OV000000095000000001,I0002,
OV000000095000000002,I0002,
OV000000095100000003,I0002,
OV000000095100000005,I0002,
OV000000095100000004,I0002,
OV000000095100000001,I0002,
OV000000095100000002,I0002,
OV000000096100000001,I0002,
OV000000098100000001,I0002,
OV000000098100000002,I0002,
OV000000098200000001,I0002,
OV000000098200000002,I0002,
OV000000098300000001,I0002,
OV000000098300000002,I0002,
OV000000098400000001,I0002,
OV000000098400000002,I0002,
OV000000098500000001,I0002,
OV000000098500000002,I0002,
OV000000098600000001,I0002,
OV000000098600000002,I0002,
OV000000098700000001,I0002,
OV000000098700000002,I0002,
OV000000098800000001,I0002,
OV000000098800000002,I0002,
OV000000098900000001,I0002,
OV000000098900000002,I0002,
OV000000100100000001,I0002,
OV000000100100000002,I0002,
OV000000100200000001,I0002,
OV000000100200000002,I0002,
OV000000100300000001,I0002,
OV000000100300000002,I0002,
OV000000100400000001,I0002,
OV000000100400000002,I0002,
OV000000100500000001,I0002,
OV000000100500000002,I0002,
OV000000100600000001,I0002,
OV000000100600000002,I0002,
OV000000100700000001,I0002,
OV000000100700000002,I0002,
OV000000100800000001,I0002,
OV000000100800000002,I0002,
OV000000100900000001,I0002,
OV000000100900000002,I0002,
OV000000102100000001,I0002,
OV000000102100000002,I0002,
OV000000102200000001,I0002,
OV000000102200000002,I0002,
OV000000102300000001,I0002,
OV000000102300000002,I0002,
OV000000102400000001,I0002,
OV000000102400000002,I0002,
OV000000102500000001,I0002,
OV000000102500000002,I0002,
OV000000102600000001,I0002,
OV000000102600000002,I0002,
OV000000102700000001,I0002,
OV000000102700000002,I0002,
OV000000102800000001,I0002,
OV000000102800000002,I0002,
OV000000102900000001,I0002,
OV000000102900000002,I0002,
OV000000103000000001,I0002,
OV000000103000000002,I0002,
OV000000103100000001,I0002,
OV000000103100000002,I0002,
OV000000103200000001,I0002,
OV000000103200000002,I0002,
OV000000103300000001,I0002,
OV000000103300000002,I0002,
OV000000103400000001,I0002,
OV000000103400000002,I0002,
OV000000103500000001,I0002,
OV000000103500000002,I0002,
OV000000103600000001,I0002,
OV000000103600000002,I0002,
OV000000103700000001,I0002,
OV000000103700000002,I0002,
OV000000103800000001,I0002,
OV000000103800000002,I0002,
OV000000104800000001,I0002,
OV000000104800000002,I0002,
OV000000104900000001,I0002,
OV000000104900000002,I0002,
OV000000105000000001,I0002,
OV000000105000000002,I0002,
OV000000105100000001,I0002,
OV000000105100000002,I0002,
OV000000105200000001,I0002,
OV000000105200000002,I0002,
OV000000105300000001,I0002,
OV000000105300000002,I0002,
OV000000105400000001,I0002,
OV000000105400000002,I0002,
OV000000105500000001,I0002,
OV000000105500000002,I0002,
OV000000105600000001,I0002,
OV000000105600000002,I0002,
OV000000105700000001,I0002,
OV000000105700000002,I0002,
OV000000105800000001,I0002,
OV000000105800000002,I0002,
OV000000105900000001,I0002,
OV000000105900000002,I0002,
OV000000106000000001,I0002,
OV000000106000000002,I0002,
OV000000106100000001,I0002,
OV000000106100000002,I0002,
OV000000106200000001,I0002,
OV000000106200000002,I0002,
OV000000106300000001,I0002,
OV000000106300000002,I0002,
OV000000106400000001,I0002,
OV000000106400000002,I0002,
OV000000106500000001,I0002,
OV000000106500000002,I0002,
OV000000108100000001,I0002,
OV000000108100000002,I0002,
OV000000108200000001,I0002,
OV000000108200000002,I0002,
OV000000108300000001,I0002,
OV000000108300000002,I0002,
OV000000108400000001,I0002,
OV000000108400000002,I0002,
OV000000108500000001,I0002,
OV000000108500000002,I0002,
OV000000108600000001,I0002,
OV000000108600000002,I0002,
OV000000108700000001,I0002,
OV000000108700000002,I0002,
OV000000108800000001,I0002,
OV000000108800000002,I0002,
OV000000108900000001,I0002,
OV000000108900000002,I0002,
OV000000110100000001,I0002,
OV000000110100000002,I0002,
OV000000110200000001,I0002,
OV000000110200000002,I0002,
OV000000110300000001,I0002,
OV000000110300000002,I0002,
OV000000110400000001,I0002,
OV000000110400000002,I0002,
OV000000110500000001,I0002,
OV000000110500000002,I0002,
OV000000110600000001,I0002,
OV000000110600000002,I0002,
OV000000110700000001,I0002,
OV000000110700000002,I0002,
OV000000110800000001,I0002,
OV000000110800000002,I0002,
OV000000110900000001,I0002,
OV000000110900000002,I0002,
OV000000111000000001,I0002,
OV000000111000000002,I0002,
OV000000111100000001,I0002,
OV000000111100000002,I0002,
OV000000111200000001,I0002,
OV000000111200000002,I0002,
OV000000111300000001,I0002,
OV000000111300000002,I0002,
OV000000111400000001,I0002,
OV000000111400000002,I0002,
OV000000111500000001,I0002,
OV000000111500000002,I0002,
OV000000111600000001,I0002,
OV000000111600000002,I0002,
OV000000111700000001,I0002,
OV000000111700000002,I0002,
OV000000111800000001,I0002,
OV000000111800000002,I0002,
OV000000111900000001,I0002,
OV000000111900000002,I0002,
OV000000112000000001,I0002,
OV000000112000000002,I0002,
OV000000112100000001,I0002,
OV000000112100000002,I0002,
OV000000112200000001,I0002,
OV000000112200000002,I0002,
OV000000112300000001,I0002,
OV000000112300000002,I0002,
OV000000112400000001,I0002,
OV000000112400000002,I0002,
OV000000112500000001,I0002,
OV000000112500000002,I0002,
OV000000112600000001,I0002,
OV000000112600000002,I0002,
OV000000112700000001,I0002,
OV000000112700000002,I0002,
OV000000112800000001,I0002,
OV000000112800000002,I0002,
OV000000112900000001,I0002,
OV000000112900000002,I0002,
OV000000113000000001,I0002,
OV000000113000000002,I0002,
OV000000113100000001,I0002,
OV000000122300000002,I0002,
OV000000124100000001,I0002,
OV000000128500000001,I0002,
OV000000128500000002,I0002,
OV000000128400000008,I0002,
OV000000128400000007,I0002,
OV000000130100000001,I0002,
OV000000130200000003,I0002,
OV000000130200000002,I0002,
OV000000130200000001,I0002,
OV000000130300000001,I0002,
OV000000130300000002,I0002,
OV000000130400000001,I0002,
OV000000130400000002,I0002,
OV000000130500000001,I0002,
OV000000130500000002,I0002,
OV000000130600000001,I0002,
OV000000130600000002,I0002,
OV000000130600000003,I0002,
OV000000130600000004,I0002,
OV000000130600000005,I0002,
OV000000130700000001,I0002,
OV100000048300000001,I0002,
OV100000048500000004,I0002,
OV100000048500000003,I0002,
OV100000048500000002,I0002,
OV100000048500000001,I0002,
OV100000048600000001,I0002,
OV100000048700000004,I0002,
OV100000048700000003,I0002,
OV100000048700000002,I0002,
OV100000048700000001,I0002,
OV100000048800000001,I0002,
OV000000048200000001,I0002,
OV000000048200000002,I0002,
OV100000058100000001,I0002,
OV100000058100000002,I0002,
OV100000060100000001,I0002,
OV100000060200000001,I0002,
OV100000060600000001,I0002,
OV100000060500000001,I0002,
OV100000060400000001,I0002,
OV100000060700000001,I0002,
OV100000060800000001,I0002,
OV100000060800000002,I0002,
OV100000060900000004,I0002,
OV100000060900000003,I0002,
OV100000060900000002,I0002,
OV100000060900000001,I0002,
OV100000061000000001,I0002,
OV100000061100000001,I0002,
OV100000061200000004,I0002,
OV100000061200000003,I0002,
OV100000061200000002,I0002,
OV100000061200000001,I0002,
OV100000061300000001,I0002,
OV000000174200000004,I0002,
OV000000174300000001,I0002,
OV000000174300000002,I0002,
OV000000174300000003,I0002,
OV000000174300000004,I0002,
OV000000174400000001,I0002,
OV000000174400000002,I0002,
OV000000174500000001,I0002,
OV000000174500000002,I0002,
OV000000174800000003,I0002,
OV000000174800000002,I0002,
OV000000174800000001,I0002,
OV000000174700000001,I0002,
OV000000174700000002,I0002,
OV000000174900000001,I0002,
OV000000174900000002,I0002,
OV000000174900000003,I0002,
OV000000174900000004,I0002,
OV000000175000000001,I0002,
OV000000175100000001,I0002,
OV000000175200000001,I0002,
OV000000175300000001,I0002,
OV000000175400000001,I0002,
OV000000175400000002,I0002,
OV000000175400000003,I0002,
OV100000062200000001,I0002,
OV000000175500000001,I0002,
OV000000175600000003,I0002,
OV000000175600000002,I0002,
OV000000175600000001,I0002,
OV000000175700000001,I0002,
OV000000175700000002,I0002,
OV000000175700000003,I0002,
OV000000175700000004,I0002,
OV000000175800000003,I0002,
OV000000175800000002,I0002,
OV000000175800000001,I0002,
OV000000175800000004,I0002,
OV000000175900000001,I0002,
OV000000175900000002,I0002,
OV000000175900000003,I0002,
OV000000175900000004,I0002,
OV000000176100000004,I0002,
OV000000176100000003,I0002,
OV000000176100000001,I0002,
OV000000176100000002,I0002,
OV000000176200000004,I0002,
OV000000176200000003,I0002,
OV000000176200000001,I0002,
OV000000176200000002,I0002,
OV000000176300000006,I0002,
OV000000176300000005,I0002,
OV000000176300000004,I0002,
OV000000176300000003,I0002,
OV000000176300000002,I0002,
OV000000176300000001,I0002,
OV000000176500000001,I0002,
OV000000176500000002,I0002,
OV000000176500000003,I0002,
OV000000176500000004,I0002,
OV000000176500000005,I0002,
OV000000176500000006,I0002,
OV000000176400000001,I0002,
OV000000176400000002,I0002,
OV000000176400000003,I0002,
OV000000176400000004,I0002,
OV000000176400000005,I0002,
OV000000176400000006,I0002,
OV000000176700000001,I0002,
OV000000176700000002,I0002,
OV000000176700000003,I0002,
OV000000176700000004,I0002,
OV000000176700000005,I0002,
OV000000176700000006,I0002,
OV000000178100000004,I0002,
OV000000178100000003,I0002,
OV000000178100000001,I0002,
OV000000178100000002,I0002,
OV000000178500000001,I0002,
OV000000178600000001,I0002,
OV000000178600000002,I0002,
OV000000178600000003,I0002,
OV000000178600000004,I0002,
OV000000178600000005,I0002,
OV000000178600000006,I0002,
OV000000178700000001,I0002,
OV000000178700000002,I0002,
OV000000178700000003,I0002,
OV000000178700000004,I0002,
OV000000176600000001,I0002,
OV000000176600000002,I0002,
OV000000176600000003,I0002,
OV000000176600000004,I0002,
OV000000176600000005,I0002,
OV000000176600000006,I0002,
OV000000178800000001,I0002,
OV000000178800000002,I0002,
OV000000178800000003,I0002,
OV000000178800000004,I0002,
OV000000178900000004,I0002,
OV000000178900000003,I0002,
OV000000178900000002,I0002,
OV000000178900000001,I0002,
OV000000179000000004,I0002,
OV000000179000000003,I0002,
OV000000179000000001,I0002,
OV000000179000000002,I0002,
OV100000064100000001,I0002,
OV100000064200000001,I0002,
OV100000064300000001,I0002,
OV100000064400000001,I0002,
OV100000064500000001,I0002,
OV000000180100000001,I0002,
OV000000180100000002,I0002,
OV000000180200000001,I0002,
OV000000180200000002,I0002,
OV000000180300000001,I0002,
OV000000180300000002,I0002,
OV000000180400000001,I0002,
OV000000180400000002,I0002,
OV000000180500000001,I0002,
OV000000180500000002,I0002,
OV000000180600000001,I0002,
OV000000180600000002,I0002,
OV000000182100000001,I0002,
OV000000182100000002,I0002,
OV000000182200000001,I0002,
OV000000182200000002,I0002,
OV000000182300000001,I0002,
OV000000182300000002,I0002,
OV000000184100000001,I0002,
OV000000184100000002,I0002,
OV000000184200000001,I0002,
OV000000184200000002,I0002,
OV000000184300000001,I0002,
OV000000184300000002,I0002,
OV100000066100000001,I0002,
OV000000186100000001,I0002,
OV000000186200000001,I0002,
OV000000186300000001,I0002,
OV000000186300000002,I0002,
OV000000186300000003,I0002,
OV000000188100000001,I0002,
OV100000070100000001,I0002,
OV100000072100000001,I0002,
OV000000190100000001,I0002,
OV000000190100000002,I0002,
OV000000190200000001,I0002,
OV000000190200000002,I0002,
OV000000190300000001,I0002,
OV000000190300000002,I0002,
OV000000192100000001,I0002,
OV000000192100000002,I0002,
OV000000192200000001,I0002,
OV000000192200000002,I0002,
OV000000192300000001,I0002,
OV000000192300000002,I0002,
OV000000194100000001,I0002,
OV000000194100000002,I0002,
OV000000194200000001,I0002,
OV000000194200000002,I0002,
OV000000194300000001,I0002,
OV000000194300000002,I0002,
OV000000194400000001,I0002,
OV000000194400000002,I0002,
OV000000194500000001,I0002,
OV000000194500000002,I0002,
OV000000194600000001,I0002,
OV000000194600000002,I0002,
OV000000196100000001,I0002,
OV000000196100000002,I0002,
OV000000196200000001,I0002,
OV000000196200000002,I0002,
OV000000196300000001,I0002,
OV000000196300000002,I0002,
OV000000198100000001,I0002,
OV000000198100000002,I0002,
OV000000198200000001,I0002,
OV000000198200000002,I0002,
OV000000198300000001,I0002,
OV000000198300000002,I0002,
OV000000200100000003,I0002,
OV000000200100000002,I0002,
OV000000200100000001,I0002,
OV000000176000000001,I0002,
OV000000176000000002,I0002,
OV000000176000000003,I0002,
OV000000176000000004,I0002,
OV000000176000000005,I0002,
OV000000176000000006,I0002,
OV000000200200000004,I0002,
OV000000200200000003,I0002,
OV000000200200000002,I0002,
OV000000200200000001,I0002,
OR000004000403,I0002,
OV000000203300000001,I0002,
OV000000203300000002,I0002,
OV000000204100000001,I0002,
OV000000204200000001,I0002,
OV000000204400000001,I0002,
OV000000204500000001,I0002,
OV000000204500000002,I0002,
OV000000174600000001,I0002,
OV000000174600000002,I0002,
OV000000174600000003,I0002,
OV000000174600000004,I0002,
OV000000204700000001,I0002,
OV000000204700000002,I0002,
OV000000205000000001,I0002,
OV000000205000000002,I0002,
OV000000205000000003,I0002,
OV000000205000000004,I0002,
OV000000205100000001,I0002,
OV000000205100000002,I0002,
OV000000205100000003,I0002,
OV000000205100000004,I0002,
OV000000205100000005,I0002,
OV000000205200000001,I0002,
OV000000205300000003,I0002,
OV000000205300000002,I0002,
OV000000205300000001,I0002,
OV000000205400000001,I0002,
OV000000205400000002,I0002,
OV000000205400000003,I0002,
OV000000205400000004,I0002,
OV000000205600000001,I0002,
OV000000205600000002,I0002,
OV000000205900000001,I0002,
OV000000205900000002,I0002,
OV000000206100000001,I0002,
OV000000206100000002,I0002,
OV000000210100000001,I0002,
OV000000210100000002,I0002,
OV000000210200000001,I0002,
OV000000210200000002,I0002,
OV000000210300000001,I0002,
OV000000210300000002,I0002,
OV000000212100000001,I0002,
OV000000212100000002,I0002,
OV000000212200000001,I0002,
OV000000212200000002,I0002,
OV000000212300000001,I0002,
OV000000212300000002,I0002,
OV000000212400000001,I0002,
OV000000212400000002,I0002,
OV000000212500000001,I0002,
OV000000212500000002,I0002,
OV000000212600000001,I0002,
OV000000212600000002,I0002,
OV000000212700000001,I0002,
OV000000212700000002,I0002,
OV000000212800000001,I0002,
OV000000212800000002,I0002,
OV000000212900000001,I0002,
OV000000212900000002,I0002,
OV000000214100000001,I0002,
OV000000214100000002,I0002,
OV000000214200000001,I0002,
OV000000214200000002,I0002,
OV000000214300000001,I0002,
OV000000214300000002,I0002,
OV000000216100000001,I0002,
OV000000216200000002,I0002,
OV000000216200000001,I0002,
OV000000210400000001,I0002,
OV000000218100000001,I0002,
OV000000218100000002,I0002,
OV000000218200000001,I0002,
OV000000218200000002,I0002,
OV000000218300000001,I0002,
