VBELN,VKORG,VTWEG,SPART,AUART,KUNNR,BSTNK,ERDAT
0000000051,1710,10,00,TA,0017100002,17101702,20171017
0000000042,1710,10,00,TA,0017100009,10091703,20171009
0000000044,1710,10,00,TA,0017100003,POMH100901,20171009
0000000045,1710,10,00,TA,0017100003,XYZ,20171009
0000000056,1710,10,00,TA,USCU_L09,4500044912,20171018
0000000057,1710,10,00,TA,USCU_L04,4500044851,20171018
0000000058,1710,10,00,TA,USCU_L03,4500044791,20171018
0000000059,1710,10,00,TA,USCU_S10,4500044881,20171018
0000000060,1710,10,00,TA,USCU_S03,4500044821,20171018
0000000061,1710,10,00,TA,USCU_S14,4500044942,20171018
0000000062,1710,10,00,TA,USCU_S14,4500044760,20171018
0000000063,1710,10,00,TA,USCU_S10,4500044700,20171018
0000000064,1710,10,00,TA,USCU_L06,4500044671,20171018
0000000065,1710,10,00,TA,USCU_L01,4500044613,20171018
0000000066,1710,10,00,TA,USCU_S04,4500044643,20171018
0000000067,1710,10,00,TA,USCU_L09,4500044730,20171018
0000000068,1710,10,00,TA,USCU_S10,4500044523,20171018
0000000069,1710,10,00,TA,USCU_S17,4500044583,20171018
0000000070,1710,10,00,TA,USCU_S02,4500044463,20171018
0000000071,1710,10,00,TA,USCU_L08,4500044494,20171018
0000000072,1710,10,00,TA,USCU_L03,4500044433,20171018
0000000073,1710,10,00,TA,USCU_L09,4500044554,20171018
0000000074,1710,10,00,TA,USCU_L01,4500044259,20171018
0000000075,1710,10,00,TA,USCU_S16,4500044402,20171018
0000000076,1710,10,00,TA,USCU_S10,4500044349,20171018
0000000077,1710,10,00,TA,USCU_L04,4500044319,20171018
0000000078,1710,10,00,TA,USCU_S01,4500044289,20171018
0000000079,1710,10,00,TA,USCU_L06,4500044140,20171018
0000000080,1710,10,00,TA,USCU_L03,4500044079,20171018
0000000081,1710,10,00,TA,USCU_S02,4500044110,20171018
0000000082,1710,10,00,TA,USCU_S16,4500044230,20171018
0000000083,1710,10,00,TA,USCU_S12,4500044169,20171018
0000000084,1710,10,00,TA,USCU_L09,4500044200,20171018
0000000085,1710,10,00,TA,USCU_S15,4500044049,20171018
0000000086,1710,10,00,TA,USCU_S02,4500043971,20171018
0000000087,1710,10,00,TA,USCU_L02,4500043945,20171018
0000000088,1710,10,00,TA,USCU_S08,4500044019,20171018
0000000089,1710,10,00,TA,USCU_S16,4500043920,20171018
0000000090,1710,10,00,TA,USCU_S04,4500043805,20171018
0000000091,1710,10,00,TA,USCU_L10,4500043894,20171018
0000000092,1710,10,00,TA,USCU_S10,4500043864,20171018
0000000093,1710,10,00,TA,USCU_L02,4500043776,20171018
0000000094,1710,10,00,TA,USCU_L08,4500043835,20171018
0000000095,1710,10,00,TA,USCU_S11,4500043687,20171018
0000000096,1710,10,00,TA,USCU_S01,4500043627,20171018
0000000097,1710,10,00,TA,USCU_L05,4500043658,20171018
0000000098,1710,10,00,TA,USCU_L09,4500043716,20171018
0000000099,1710,10,00,TA,USCU_S14,4500043745,20171018
0000000100,1710,10,00,TA,USCU_L01,4500043601,20171018
0000000101,1710,10,00,TA,USCU_S05,4500043479,20171018
0000000102,1710,10,00,TA,USCU_S10,4500043525,20171018
0000000103,1710,10,00,TA,USCU_S14,4500043573,20171018
0000000104,1710,10,00,TA,USCU_L09,4500043552,20171018
0000000105,1710,10,00,TA,USCU_L09,4500045092,20171018
0000000106,1710,10,00,TA,USCU_L02,4500044969,20171018
0000000107,1710,10,00,TA,USCU_S16,4500045123,20171018
0000000108,1710,10,00,TA,USCU_L07,4500045031,20171018
0000000109,1710,10,00,TA,USCU_S06,4500045000,20171018
0000000110,1710,10,00,TA,USCU_S07,4500045061,20171018
0000000111,1710,10,00,TA,USCU_L09,4500045277,20171018
0000000112,1710,10,00,TA,USCU_S07,4500045246,20171018
0000000113,1710,10,00,TA,USCU_S16,4500045306,20171018
0000000114,1710,10,00,TA,USCU_L03,4500045154,20171018
0000000115,1710,10,00,TA,USCU_S04,4500045185,20171018
0000000116,1710,10,00,TA,USCU_L05,4500045215,20171018
0000000117,1710,10,00,TA,USCU_S10,4500045429,20171018
0000000118,1710,10,00,TA,USCU_S06,4500045368,20171018
0000000119,1710,10,00,TA,USCU_L03,4500045337,20171018
0000000120,1710,10,00,TA,USCU_S16,4500045490,20171018
0000000121,1710,10,00,TA,USCU_L05,4500045399,20171018
0000000122,1710,10,00,TA,USCU_L09,4500045460,20171018
0000000145,1010,10,00,TA,0010100001,Navneet,20171106
0000001932,1710,10,00,TA,USCU_S15,4500107569,20191022
0070000001,1710,10,00,CBII,0017100005,,20171020
0020000001,1710,10,00,CBMQ,0017100001,PO number- BJE CN,20171020
0000000127,1710,10,00,CCFU,0017100003,23101702,20171023
0200000000,1710,10,00,CCIS,0017100003,23101703,20171023
0020000171,1710,10,00,AG,0017100001,320_TG10_MH_40,20190320
0020001520,1710,10,00,AG,EWM17-CU02,PO0000099,20200210
0020000402,1710,10,00,AG,EWM17-CU01,Sales from Stock - 0,20190927
0000002569,1710,10,00,TA,USCU_L02,4500027701,20200203
0000001933,1710,10,00,TA,USCU_L10,4500107724,20191022
0000001934,1710,10,00,TA,USCU_L02,4500107600,20191022
0020000404,1710,10,00,AG,USCU_S02,4500106589,20190929
0000001561,1710,10,00,TA,USCU_L01,4500106214,20190929
0020000405,1710,10,00,AG,USCU_L04,4500106618,20190929
0020000558,1710,10,00,AG,USCU_L01,4500106214,20190929
0020000406,1710,10,00,AG,USCU_S16,4500106705,20190929
0000001579,1710,10,00,TA,USCU_L01,4500105191,20190929
0020000407,1710,10,00,AG,USCU_L03,4500106559,20190929
0020000576,1710,10,00,AG,USCU_L01,4500105191,20190929
0020000408,1710,10,00,AG,USCU_L10,4500106675,20190929
0000001603,1710,10,00,TA,USCU_L01,4500105710,20190929
0020000409,1710,10,00,AG,USCU_S13,4500106471,20190929
0000001935,1710,10,00,TA,USCU_S14,4500107754,20191022
0000001936,1710,10,00,TA,USCU_L08,4500107662,20191022
0020000600,1710,10,00,AG,USCU_L01,4500105710,20190929
0020000411,1710,10,00,AG,USCU_L07,4500106442,20190929
0000001551,1710,10,00,TA,USCU_L02,4500106558,20190929
0020000412,1710,10,00,AG,USCU_S17,4500106529,20190929
0020000548,1710,10,00,AG,USCU_L02,4500106558,20190929
0020000413,1710,10,00,AG,USCU_L02,4500106382,20190929
0000001567,1710,10,00,TA,USCU_L02,4500106037,20190929
0020000414,1710,10,00,AG,USCU_L10,4500106499,20190929
0020000564,1710,10,00,AG,USCU_L02,4500106037,20190929
0020000415,1710,10,00,AG,USCU_L09,4500106332,20190929
0000001574,1710,10,00,TA,USCU_L02,4500105885,20190929
0020000416,1710,10,00,AG,USCU_L03,4500106215,20190929
0020000571,1710,10,00,AG,USCU_L02,4500105885,20190929
0020000417,1710,10,00,AG,USCU_L06,4500106274,20190929
0000001588,1710,10,00,TA,USCU_L02,4500104847,20190929
0020000418,1710,10,00,AG,USCU_S16,4500106353,20190929
0020000585,1710,10,00,AG,USCU_L02,4500104847,20190929
0020000419,1710,10,00,AG,USCU_S11,4500106303,20190929
0000001937,1710,10,00,TA,USCU_S01,4500107631,20191022
0000001938,1710,10,00,TA,USCU_S13,4500107693,20191022
0000001601,1710,10,00,TA,USCU_L02,4500105533,20190929
0020000421,1710,10,00,AG,USCU_L06,4500106098,20190929
0000001407,1710,10,00,TA,USCU_S02,4500106589,20190929
0020000422,1710,10,00,AG,USCU_S13,4500106127,20190929
0000001408,1710,10,00,TA,USCU_L04,4500106618,20190929
0020000423,1710,10,00,AG,USCU_S02,4500106068,20190929
0000001409,1710,10,00,TA,USCU_S16,4500106705,20190929
0020000424,1710,10,00,AG,USCU_S14,4500106185,20190929
0000001410,1710,10,00,TA,USCU_L03,4500106559,20190929
0020000425,1710,10,00,AG,USCU_L02,4500106038,20190929
0000001411,1710,10,00,TA,USCU_L10,4500106675,20190929
0020000426,1710,10,00,AG,USCU_L07,4500105941,20190929
0000001412,1710,10,00,TA,USCU_S13,4500106471,20190929
0020000427,1710,10,00,AG,USCU_S13,4500105970,20190929
0000001939,1710,10,00,TA,USCU_S08,4500107873,20191022
0000001940,1710,10,00,TA,USCU_L04,4500107843,20191022
0000001414,1710,10,00,TA,USCU_L07,4500106442,20190929
0020000429,1710,10,00,AG,USCU_L03,4500105886,20190929
0000001415,1710,10,00,TA,USCU_S17,4500106529,20190929
0020000430,1710,10,00,AG,USCU_L09,4500105475,20190929
0000001416,1710,10,00,TA,USCU_L02,4500106382,20190929
0020000431,1710,10,00,AG,USCU_L01,4500105355,20190929
0000001417,1710,10,00,TA,USCU_L10,4500106499,20190929
0020000432,1710,10,00,AG,USCU_S14,4500105504,20190929
0000001418,1710,10,00,TA,USCU_L09,4500106332,20190929
0020000433,1710,10,00,AG,USCU_L07,4500105415,20190929
0000001419,1710,10,00,TA,USCU_L03,4500106215,20190929
0020000434,1710,10,00,AG,USCU_S01,4500105385,20190929
0000001420,1710,10,00,TA,USCU_L06,4500106274,20190929
0020000435,1710,10,00,AG,USCU_S11,4500105445,20190929
0000001421,1710,10,00,TA,USCU_S16,4500106353,20190929
0020000436,1710,10,00,AG,USCU_S10,4500105623,20190929
0000001941,1710,10,00,TA,USCU_S03,4500107815,20191022
0000001942,1710,10,00,TA,USCU_S15,4500107932,20191022
0000001422,1710,10,00,TA,USCU_S11,4500106303,20190929
0020000438,1710,10,00,AG,USCU_L07,4500105594,20190929
0000001424,1710,10,00,TA,USCU_L06,4500106098,20190929
0020000439,1710,10,00,AG,USCU_S15,4500105681,20190929
0000001425,1710,10,00,TA,USCU_S13,4500106127,20190929
0020000440,1710,10,00,AG,USCU_L02,4500105534,20190929
0000001426,1710,10,00,TA,USCU_S02,4500106068,20190929
0020000441,1710,10,00,AG,USCU_L09,4500105653,20190929
0000001427,1710,10,00,TA,USCU_S14,4500106185,20190929
0020000442,1710,10,00,AG,USCU_S09,4500105798,20190929
0000001428,1710,10,00,TA,USCU_L02,4500106038,20190929
0020000443,1710,10,00,AG,USCU_S01,4500105739,20190929
0000001429,1710,10,00,TA,USCU_L07,4500105941,20190929
0020000444,1710,10,00,AG,USCU_L08,4500105769,20190929
0000001430,1710,10,00,TA,USCU_S13,4500105970,20190929
0020000445,1710,10,00,AG,USCU_L02,4500105711,20190929
0000001432,1710,10,00,TA,USCU_L03,4500105886,20190929
0020000446,1710,10,00,AG,USCU_S17,4500105857,20190929
0020000447,1710,10,00,AG,USCU_L09,4500105828,20190929
0000001433,1710,10,00,TA,USCU_L09,4500105475,20190929
0000001943,1710,10,00,TA,USCU_L01,4500107785,20191022
0000001944,1710,10,00,TA,USCU_L10,4500107903,20191022
0000001434,1710,10,00,TA,USCU_L01,4500105355,20190929
0020000449,1710,10,00,AG,USCU_S02,4500106589,20190929
0000001435,1710,10,00,TA,USCU_S14,4500105504,20190929
0020000450,1710,10,00,AG,USCU_L04,4500106618,20190929
0000001436,1710,10,00,TA,USCU_L07,4500105415,20190929
0020000451,1710,10,00,AG,USCU_S16,4500106705,20190929
0000001437,1710,10,00,TA,USCU_S01,4500105385,20190929
0020000452,1710,10,00,AG,USCU_L03,4500106559,20190929
0000001438,1710,10,00,TA,USCU_S11,4500105445,20190929
0020000453,1710,10,00,AG,USCU_L10,4500106675,20190929
0000001439,1710,10,00,TA,USCU_S10,4500105623,20190929
0020000454,1710,10,00,AG,USCU_S13,4500106471,20190929
0020000003,1710,10,00,CBMQ,0017100005,11181701,20171116
0020001882,1710,10,00,AG,0017100001,0729_TG11_04,20200730
0000001441,1710,10,00,TA,USCU_L07,4500105594,20190929
0020000456,1710,10,00,AG,USCU_L07,4500106442,20190929
0000001442,1710,10,00,TA,USCU_S15,4500105681,20190929
0020000457,1710,10,00,AG,USCU_S17,4500106529,20190929
0000001443,1710,10,00,TA,USCU_L02,4500105534,20190929
0020000458,1710,10,00,AG,USCU_L02,4500106382,20190929
0000001444,1710,10,00,TA,USCU_L09,4500105653,20190929
0020000459,1710,10,00,AG,USCU_L10,4500106499,20190929
0000001445,1710,10,00,TA,USCU_S09,4500105798,20190929
0020000460,1710,10,00,AG,USCU_L09,4500106332,20190929
0000001446,1710,10,00,TA,USCU_S01,4500105739,20190929
0020000461,1710,10,00,AG,USCU_L03,4500106215,20190929
0000001447,1710,10,00,TA,USCU_L08,4500105769,20190929
0020000462,1710,10,00,AG,USCU_L06,4500106274,20190929
0000001448,1710,10,00,TA,USCU_L02,4500105711,20190929
0020000463,1710,10,00,AG,USCU_S16,4500106353,20190929
0000001449,1710,10,00,TA,USCU_S17,4500105857,20190929
0020000464,1710,10,00,AG,USCU_S11,4500106303,20190929
0000000431,1710,10,00,TA,USCU_S04,4500056796,20180405
0000005083,1710,10,00,TA,EWM17-CU01,EWM17CU01,20221122
0000001450,1710,10,00,TA,USCU_L09,4500105828,20190929
0020000466,1710,10,00,AG,USCU_L06,4500106098,20190929
0000001473,1710,10,00,TA,USCU_L02,4500106038,20190929
0020000467,1710,10,00,AG,USCU_S13,4500106127,20190929
0000001474,1710,10,00,TA,USCU_L07,4500105941,20190929
0020000468,1710,10,00,AG,USCU_S02,4500106068,20190929
0000000126,1710,10,00,TA,0017100001,23101701,20171023
0000000485,1710,10,00,TA,USCU_S04,4500057497,20180405
0200000001,1710,10,00,CCRE,0017100003,23101705,20171023
0000000146,1010,10,00,TA,0010100001,nav,20171106
0020000002,1710,10,00,CBMQ,0017100001,,20171020
0060000011,1710,10,00,G2,0017100001,,20181017
0000000148,1710,10,00,TA,0017100001,navtest,20171106
0000000149,1710,10,00,TA,0017100001,navneet,20171106
0070000002,1710,10,00,L2,0017100001,,20171024
0000000130,1710,10,00,TA,0017100100,24101701,20171024
0000000041,1710,10,00,TA,0017100008,10091702,20171009
0000000150,1710,10,00,TA,0017100001,dsa,20171106
0000000002,1710,10,00,TA,0017100003,XYZ,20171006
0000000152,1710,10,00,TA,USCU_S11,MH11062017_2,20171106
0000000154,1710,10,00,TA,USCU_S01,MH11062017_4,20171106
0000000156,1710,10,00,TA,USCU_L02,mh11062017_6,20171106
0000000233,1710,10,00,TA,0017100001,test,20171127
0020000119,1710,10,00,AG,0017100001,319_TG11_MH_48,20190320
0060000065,1710,10,00,G2,0017100001,100,20191030
0000002570,1710,10,00,TA,USCU_L03,4500027561,20200203
0000002612,1710,10,00,TA,EWM17-CU01,PO480000099,20200210
0000001188,1710,10,00,TA,0017100001,324TG10_2-168,20190324
0060000059,1710,10,00,CBAR,0017100003,,20191025
0000000707,1710,10,00,TA,0017186002,Tour 4.1,20181026
0000000141,1710,10,00,TA,0017100005,XYZ,20171102
0000002132,1710,10,00,TA,0017100003,10,20191106
0000000419,1710,10,00,TA,0017100001,CR21032018,20180321
0000000420,1710,10,00,TA,0017100002,CR21032018,20180321
0000000416,1710,10,00,BV,0017100001,PO 16032018,20180316
0000000388,1710,10,00,TA,0017100001,CR 13032018,20180313
0000000169,1710,10,00,TA,0017100001,C11171703,20171117
0020000006,1710,10,00,CBMQ,0017100005,CR1709012,20180405
0000000468,1710,10,00,TA,USCU_L09,4500057232,20180405
0000000469,1710,10,00,TA,USCU_L01,4500057112,20180405
0000000470,1710,10,00,TA,USCU_S10,4500057202,20180405
0000000471,1710,10,00,TA,USCU_L05,4500057172,20180405
0000000472,1710,10,00,TA,USCU_S17,4500057262,20180405
0000000473,1710,10,00,TA,USCU_S01,4500057142,20180405
0000000474,1710,10,00,TA,USCU_L10,4500057411,20180405
0000000475,1710,10,00,TA,USCU_L01,4500057292,20180405
0060000006,1710,10,00,CBAR,0017100003,,20171110
0000000627,1710,10,00,CCFU,0017100003,CR1809901,20181022
0000002571,1710,10,00,TA,USCU_S11,4500027636,20200203
0020000010,1710,10,00,AG,EWM17-CU01,sales from stock DS1,20190313
0000002572,1710,10,00,TA,USCU_L07,4500027613,20200203
0020000011,1710,10,00,AG,EWM17-CU02,sales from stock DS1,20190313
0000000476,1710,10,00,TA,USCU_S15,4500057440,20180405
0000000717,1710,10,00,TA,0017100012,CR180901,20181030
0000000478,1710,10,00,TA,USCU_L07,4500057351,20180405
0000000697,1710,10,00,CBFD,0017100001,CR180915,20181024
0000000479,1710,10,00,TA,USCU_S11,4500057381,20180405
0000000480,1710,10,00,TA,USCU_L09,4500057583,20180405
0000000481,1710,10,00,TA,USCU_L02,4500057469,20180405
0000000482,1710,10,00,TA,USCU_S15,4500057613,20180405
0000000541,1710,10,00,TA,USCU_S04,4500069683,20181008
0000005013,1710,10,00,TA,0017100003,11223344,20221031
0000000483,1710,10,00,TA,USCU_L05,4500057525,20180405
0000000199,1710,10,00,TA,USCU_S03,4500046007,20171120
0000000200,1710,10,00,TA,USCU_S07,4500046048,20171120
0000000201,1710,10,00,TA,USCU_S17,4500046076,20171120
0000000202,1710,10,00,TA,USCU_S14,4500045956,20171120
0000000203,1710,10,00,TA,USCU_L02,4500045812,20171120
0000000204,1710,10,00,TA,USCU_S11,4500045900,20171120
0000000205,1710,10,00,TA,USCU_S06,4500045841,20171120
0000000206,1710,10,00,TA,USCU_L09,4500045927,20171120
0000000207,1710,10,00,TA,USCU_L08,4500045871,20171120
0000000208,1710,10,00,TA,USCU_S06,4500045669,20171120
0000000209,1710,10,00,TA,USCU_L03,4500045643,20171120
0000000210,1710,10,00,TA,USCU_L09,4500045754,20171120
0000000211,1710,10,00,TA,USCU_S10,4500045725,20171120
0000000212,1710,10,00,TA,USCU_S15,4500045784,20171120
0000000213,1710,10,00,TA,USCU_S02,4500045539,20171120
0000000214,1710,10,00,TA,USCU_S07,4500045584,20171120
0000000215,1710,10,00,TA,USCU_S16,4500045618,20171120
0000000216,1710,10,00,TA,USCU_L03,4500046966,20171120
0000000217,1710,10,00,TA,USCU_S05,4500046996,20171120
0000000218,1710,10,00,TA,USCU_L09,4500047086,20171120
0000000219,1710,10,00,TA,USCU_L07,4500047026,20171120
0000000220,1710,10,00,TA,USCU_S07,4500047056,20171120
0000000221,1710,10,00,TA,USCU_S17,4500047116,20171120
0000000222,1710,10,00,TA,USCU_L07,4500047204,20171120
0000000223,1710,10,00,TA,USCU_L01,4500047145,20171120
0000000224,1710,10,00,TA,USCU_S03,4500047174,20171120
0000000225,1710,10,00,TA,USCU_S12,4500047234,20171120
0000000226,1710,10,00,TA,USCU_S15,4500047290,20171120
0000000227,1710,10,00,TA,USCU_L09,4500047263,20171120
0000000228,1710,10,00,TA,USCU_L05,4500047376,20171120
0000000229,1710,10,00,TA,USCU_L10,4500047433,20171120
0000000230,1710,10,00,TA,USCU_L03,4500047319,20171120
0000000231,1710,10,00,TA,USCU_S05,4500047347,20171120
0000000232,1710,10,00,TA,USCU_S16,4500047462,20171120
0000000170,1710,10,00,TA,USCU_S02,4500046821,20171120
0000000171,1710,10,00,TA,USCU_L06,4500046850,20171120
0000000172,1710,10,00,TA,USCU_S10,4500046879,20171120
0000000173,1710,10,00,TA,USCU_S17,4500046937,20171120
0000000174,1710,10,00,TA,USCU_L09,4500046908,20171120
0000000175,1710,10,00,TA,USCU_L01,4500046791,20171120
0000000176,1710,10,00,TA,USCU_L06,4500046674,20171120
0000000177,1710,10,00,TA,USCU_L09,4500046731,20171120
0000000178,1710,10,00,TA,USCU_S15,4500046761,20171120
0000000179,1710,10,00,TA,USCU_S10,4500046702,20171120
0000000180,1710,10,00,TA,USCU_L02,4500046617,20171120
0000000181,1710,10,00,TA,USCU_S03,4500046646,20171120
0000000182,1710,10,00,TA,USCU_S15,4500046589,20171120
0000000183,1710,10,00,TA,USCU_S02,4500046476,20171120
0000000184,1710,10,00,TA,USCU_L02,4500046447,20171120
0000000185,1710,10,00,TA,USCU_S08,4500046532,20171120
0000000186,1710,10,00,TA,USCU_L10,4500046560,20171120
0000000187,1710,10,00,TA,USCU_L08,4500046503,20171120
0000000188,1710,10,00,TA,USCU_S16,4500046418,20171120
0000000189,1710,10,00,TA,USCU_S09,4500046362,20171120
0000000190,1710,10,00,TA,USCU_S02,4500046305,20171120
0000000191,1710,10,00,TA,USCU_L01,4500046277,20171120
0000000192,1710,10,00,TA,USCU_L10,4500046391,20171120
0000000193,1710,10,00,TA,USCU_L06,4500046333,20171120
0000000194,1710,10,00,TA,USCU_L07,4500046160,20171120
0000000195,1710,10,00,TA,USCU_S02,4500046132,20171120
0000000196,1710,10,00,TA,USCU_L03,4500046102,20171120
0000000197,1710,10,00,TA,USCU_S08,4500046190,20171120
0000000198,1710,10,00,TA,USCU_S17,4500046248,20171120
0000000484,1710,10,00,TA,USCU_S08,4500057554,20180405
0000002613,1710,10,00,TA,EWM17-CU02,PO0000099,20200210
0000001950,1710,10,00,SD2,0017100003,,20191025
0060000067,1710,10,00,G2,0017100001,1234,20191030
0000002614,1710,10,00,TA,0017100005,W-REF06112,20200210
0000000279,1710,10,00,TA,USCU_S07,4500047540,20171219
0000000280,1710,10,00,TA,USCU_S02,4500047501,20171219
0000000281,1710,10,00,TA,USCU_S14,4500047571,20171219
0000000282,1710,10,00,TA,USCU_S10,4500049016,20171219
0000000283,1710,10,00,TA,USCU_L08,4500048985,20171219
0000000284,1710,10,00,TA,USCU_S14,4500049078,20171219
0000000285,1710,10,00,TA,USCU_L03,4500048924,20171219
0000000286,1710,10,00,TA,USCU_S02,4500048954,20171219
0000000287,1710,10,00,TA,USCU_L09,4500049047,20171219
0000000288,1710,10,00,TA,USCU_S03,4500049139,20171219
0000000289,1710,10,00,TA,USCU_L10,4500049231,20171219
0000000290,1710,10,00,TA,USCU_L06,4500049170,20171219
0000000291,1710,10,00,TA,USCU_S17,4500049260,20171219
0000000292,1710,10,00,TA,USCU_L03,4500049108,20171219
0000000293,1710,10,00,TA,USCU_S13,4500049201,20171219
0000000294,1710,10,00,TA,USCU_S08,4500049380,20171219
0000000295,1710,10,00,TA,USCU_L01,4500049291,20171219
0000000296,1710,10,00,TA,USCU_L09,4500049409,20171219
0000000297,1710,10,00,TA,USCU_S17,4500049439,20171219
0000000298,1710,10,00,TA,USCU_L08,4500049351,20171219
0000000299,1710,10,00,TA,USCU_S05,4500049322,20171219
0000000236,1710,10,00,TA,USCU_S01,4500048780,20171219
0000000237,1710,10,00,TA,USCU_L04,4500048811,20171219
0000000238,1710,10,00,TA,USCU_S16,4500048896,20171219
0000000239,1710,10,00,TA,USCU_L10,4500048869,20171219
0000000240,1710,10,00,TA,USCU_L02,4500048750,20171219
0000000241,1710,10,00,TA,USCU_S16,4500048722,20171219
0000000242,1710,10,00,TA,USCU_S02,4500048603,20171219
0000000243,1710,10,00,TA,USCU_L01,4500048574,20171219
0000000244,1710,10,00,TA,USCU_L09,4500048691,20171219
0000000245,1710,10,00,TA,USCU_S10,4500048661,20171219
0000000246,1710,10,00,TA,USCU_L07,4500048633,20171219
0000000247,1710,10,00,TA,USCU_S13,4500048486,20171219
0000000248,1710,10,00,TA,USCU_L10,4500048516,20171219
0000000249,1710,10,00,TA,USCU_L03,4500048397,20171219
0000000250,1710,10,00,TA,USCU_S14,4500048544,20171219
0000000251,1710,10,00,TA,USCU_S01,4500048427,20171219
0000000252,1710,10,00,TA,USCU_L05,4500048457,20171219
0000000253,1710,10,00,TA,USCU_S12,4500048319,20171219
0000000254,1710,10,00,TA,USCU_L10,4500048349,20171219
0000000255,1710,10,00,TA,USCU_L01,4500048230,20171219
0000000257,1710,10,00,TA,USCU_L04,4500048289,20171219
0000000258,1710,10,00,TA,USCU_S14,4500048374,20171219
0000000259,1710,10,00,TA,USCU_S01,4500048086,20171219
0000000260,1710,10,00,TA,USCU_L02,4500048055,20171219
0000000261,1710,10,00,TA,USCU_S09,4500048145,20171219
0000000262,1710,10,00,TA,USCU_S16,4500048201,20171219
0000000263,1710,10,00,TA,USCU_L08,4500048115,20171219
0000000264,1710,10,00,TA,USCU_L03,4500047926,20171219
0000000265,1710,10,00,TA,USCU_L08,4500047975,20171219
0000000266,1710,10,00,TA,USCU_S12,4500047997,20171219
0000000267,1710,10,00,TA,USCU_S17,4500048024,20171219
0000000268,1710,10,00,TA,USCU_S06,4500047955,20171219
0000000269,1710,10,00,TA,USCU_L05,4500047826,20171219
0000000270,1710,10,00,TA,USCU_S07,4500047854,20171219
