VBELN,POSNR,MATNR,WERKS,LGORT,LFIMG,VRKME,PSTYV,VGBEL
0080000053,000010,MZ-FG-M525,1710,171A,50,ST,TAN,0000000083
0080000054,000010,MZ-FG-M525,1710,171A,2,ST,TAN,0000000084
0080000055,000010,MZ-FG-M550,1710,171A,3,ST,TAN,0000000085
0080000056,000010,MZ-FG-M550,1710,171A,23,ST,TAN,0000000086
0080000057,000010,MZ-FG-M550,1710,171A,4,ST,TAN,0000000087
0080000058,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000088
0080000059,000010,MZ-FG-R100,1710,171A,1,ST,TAN,0000000089
0080000060,000010,MZ-FG-R100,1710,171A,1,ST,TAN,0000000090
0080000061,000010,MZ-FG-R100,1710,171A,3,ST,TAN,0000000091
0080000062,000010,MZ-FG-R100,1710,171A,10,ST,TAN,0000000092
0080000063,000010,MZ-FG-R100,1710,171A,4,ST,TAN,0000000093
0080000064,000010,MZ-FG-R100,1710,171A,20,ST,TAN,0000000094
0080000065,000010,MZ-FG-R200,1710,171A,21,ST,TAN,0000000095
0080000066,000010,MZ-FG-R200,1710,171A,2,ST,TAN,0000000096
0080000067,000010,MZ-FG-R200,1710,171A,13,ST,TAN,0000000097
0080000068,000010,MZ-FG-R200,1710,171A,6,ST,TAN,0000000098
0080000069,000010,MZ-FG-R200,1710,171A,2,ST,TAN,0000000099
0080000070,000010,MZ-FG-R200,1710,171A,2,ST,TAN,0000000100
0080000071,000010,MZ-FG-R300,1710,171A,7,ST,TAN,0000000101
0080000072,000010,MZ-FG-R300,1710,171A,19,ST,TAN,0000000102
0080000073,000010,MZ-FG-R300,1710,171A,18,ST,TAN,0000000103
0080000074,000010,MZ-FG-R300,1710,171A,1,ST,TAN,0000000104
0080000332,000010,TG11,1710,171A,10,ST,TAN,0000000406
0080000102,000010,TG11,1710,171A,1,ST,TAN,0000000130
0080000018,000010,TG11,1710,171A,1,ST,TAN,0000000040
0080000021,000010,TG11,1710,171A,2,ST,TAN,0000000051
0080001656,000010,MZ-FG-C900,1710,171A,31,ST,TAN,0000001881
0080001657,000010,MZ-FG-C900,1710,171A,2,ST,TAN,0000001882
0080001658,000010,MZ-FG-C900,1710,171A,30,ST,TAN,0000001883
0080001220,000010,MZ-FG-C900,1710,171A,61,ST,TAN,0000001541
0080001221,000010,MZ-FG-C900,1710,171A,19,ST,TAN,0000001609
0080001222,000010,MZ-FG-C900,1710,171A,51,ST,TAN,0000001610
0080001223,000010,MZ-FG-C900,1710,171A,9,ST,TAN,0000001611
0080001224,000010,MZ-FG-C900,1710,171A,47,ST,TAN,0000001612
0080001225,000010,MZ-FG-C900,1710,171A,21,ST,TAN,0000001613
0080001226,000010,MZ-FG-C900,1710,171A,29,ST,TAN,0000001614
0080001227,000010,MZ-FG-C950,1710,171A,22,ST,TAN,0000001615
0080001228,000010,MZ-FG-C950,1710,171A,13,ST,TAN,0000001616
0080001229,000010,MZ-FG-C950,1710,171A,12,ST,TAN,0000001617
0080001230,000010,MZ-FG-C950,1710,171A,28,ST,TAN,0000001618
0080001231,000010,MZ-FG-C950,1710,171A,79,ST,TAN,0000001619
0080001232,000010,MZ-FG-C950,1710,171A,13,ST,TAN,0000001620
0080001233,000010,MZ-FG-C990,1710,171A,183,ST,TAN,0000001621
0080001234,000010,MZ-FG-C990,1710,171A,24,ST,TAN,0000001622
0080001235,000010,MZ-FG-C990,1710,171A,3,ST,TAN,0000001623
0080001236,000010,MZ-FG-C990,1710,171A,6,ST,TAN,0000001624
0080001237,000010,MZ-FG-C990,1710,171A,4,ST,TAN,0000001625
0080001238,000010,MZ-FG-C990,1710,171A,18,ST,TAN,0000001626
0080001239,000010,MZ-FG-M500,1710,171A,8,ST,TAN,0000001627
0080001240,000010,MZ-FG-M500,1710,171A,15,ST,TAN,0000001628
0080001241,000010,MZ-FG-M500,1710,171A,21,ST,TAN,0000001629
0080001242,000010,MZ-FG-M500,1710,171A,36,ST,TAN,0000001630
0080001243,000010,MZ-FG-M500,1710,171A,1,ST,TAN,0000001631
0080001244,000010,MZ-FG-M525,1710,171A,61,ST,TAN,0000001632
0080001245,000010,MZ-FG-M525,1710,171A,59,ST,TAN,0000001633
0080001246,000010,MZ-FG-M525,1710,171A,102,ST,TAN,0000001634
0080001247,000010,MZ-FG-M525,1710,171A,9,ST,TAN,0000001635
0080001248,000010,MZ-FG-M525,1710,171A,3,ST,TAN,0000001636
0080001249,000010,MZ-FG-M525,1710,171A,4,ST,TAN,0000001637
0080001250,000010,MZ-FG-M550,1710,171A,5,ST,TAN,0000001638
0080001251,000010,MZ-FG-M550,1710,171A,14,ST,TAN,0000001639
0080001252,000010,MZ-FG-M550,1710,171A,37,ST,TAN,0000001640
0080001253,000010,MZ-FG-M550,1710,171A,6,ST,TAN,0000001641
0080001254,000010,MZ-FG-M550,1710,171A,14,ST,TAN,0000001642
0080001255,000010,MZ-FG-R100,1710,171A,17,ST,TAN,0000001643
0080001256,000010,MZ-FG-R100,1710,171A,16,ST,TAN,0000001644
0080001257,000010,MZ-FG-R100,1710,171A,49,ST,TAN,0000001645
0080001258,000010,MZ-FG-R100,1710,171A,14,ST,TAN,0000001646
0080001259,000010,MZ-FG-R100,1710,171A,1,ST,TAN,0000001647
0080001260,000010,MZ-FG-R200,1710,171A,26,ST,TAN,0000001648
0080001261,000010,MZ-FG-R200,1710,171A,54,ST,TAN,0000001650
0080001262,000010,MZ-FG-R200,1710,171A,24,ST,TAN,0000001651
0080001263,000010,MZ-FG-R200,1710,171A,62,ST,TAN,0000001652
0080001264,000010,MZ-FG-R200,1710,171A,21,ST,TAN,0000001653
0080001265,000010,MZ-FG-R300,1710,171A,1,ST,TAN,0000001654
0080001266,000010,MZ-FG-R300,1710,171A,2,ST,TAN,0000001655
0080001267,000010,MZ-FG-R300,1710,171A,29,ST,TAN,0000001656
0080001269,000010,MZ-FG-R300,1710,171A,40,ST,TAN,0000001658
0080001268,000010,MZ-FG-R300,1710,171A,6,ST,TAN,0000001657
0080001659,000010,MZ-FG-C900,1710,171A,35,ST,TAN,0000001884
0080001421,000010,MZ-FG-C990,1710,171A,3,ST,TAN,0000001557
0080001444,000010,MZ-FG-R200,1710,171A,25,ST,TAN,0000001584
0080001447,000010,MZ-FG-R300,1710,171A,41,ST,TAN,0000001587
0080001641,000010,EWMS4-601,1710,171S,192,ST,DOGN,
0080001410,000010,MZ-FG-C900,1710,171A,30,ST,TAN,0000001544
0080001419,000010,MZ-FG-C990,1710,171A,4,ST,TAN,0000001555
0080001446,000010,MZ-FG-R300,1710,171A,8,ST,TAN,0000001586
0080001414,000010,MZ-FG-C950,1710,171A,13,ST,TAN,0000001549
0080001424,000010,MZ-FG-M500,1710,171A,18,ST,TAN,0000001560
0080001411,000010,MZ-FG-C900,1710,171A,65,ST,TAN,0000001546
0080001434,000010,MZ-FG-M550,1710,171A,14,ST,TAN,0000001572
0080001554,000010,TG11,1710,171A,10,ST,TAN,0000001755
0080001561,000010,SDBOMERLAIT01,1710,171A,3,ST,TAE,0000001773
0080001561,000020,SDBOMERLAIT02,1710,171A,5,ST,TAE,0000001773
0080000097,000010,TG11,1710,171A,2,ST,TAN,0000000126
0080000099,000010,TG11,1710,171A,3,ST,CFN,0000000127
0210000000,000010,TG11,1710,,2,ST,CIN,0200000000
0084000000,000010,TG11,1710,171R,1,ST,CPN,0060000000
0210000001,000010,TG11,1710,,1,ST,CRN,0200000001
0080000095,000010,TG11,1710,171A,1,ST,DLN,
0080000103,000010,TG11,1710,171A,1,ST,TAN,0000000041
0080000100,000010,TG11,1710,171A,4,ST,CBAO,0000000128
0080000101,000010,TG11,1710,171A,5,ST,TAN,0000000129
0080000339,000010,FG226,1710,171A,0,ST,CBTA,0000000125
0084000002,000010,TG11,1710,171R,1,ST,CBEN,0060000004
0080000339,900001,FG226,1710,171A,10,ST,CB97,0000000125
0084000003,000010,TG11,1710,171A,1,ST,RENV,0060000006
0080000341,000010,TG11,1710,171A,10,ST,TAN,0000000420
0080000340,000010,TG11,1710,171A,20,ST,TAN,0000000419
0080000333,000010,TG11,1710,171A,10,ST,TAN,0000000410
0080000093,000010,TG11,1710,171A,1,ST,DLN,
0080000121,000010,MZ-FG-C900,1710,171A,14,ST,TAN,0000000172
0080000122,000010,MZ-FG-C900,1710,171A,8,ST,TAN,0000000173
0080000020,000010,TG11,1710,171A,1,ST,TAN,0000000043
0080000117,000010,CM-FL-V00,1710,171A,1,ST,CBTC,0000000162
0080000119,000010,MZ-FG-C900,1710,171A,1,ST,TAN,0000000170
0080000120,000010,MZ-FG-C900,1710,171A,41,ST,TAN,0000000171
0080000123,000010,MZ-FG-C900,1710,171A,44,ST,TAN,0000000174
0080000124,000010,MZ-FG-C900,1710,171A,7,ST,TAN,0000000175
0080000125,000010,MZ-FG-C950,1710,171A,7,ST,TAN,0000000176
0080000126,000010,MZ-FG-C950,1710,171A,6,ST,TAN,0000000177
0080000127,000010,MZ-FG-C950,1710,171A,23,ST,TAN,0000000178
0080000128,000010,MZ-FG-C950,1710,171A,29,ST,TAN,0000000179
0080000129,000010,MZ-FG-C950,1710,171A,8,ST,TAN,0000000180
0080000131,000010,MZ-FG-C990,1710,171A,62,ST,TAN,0000000182
0080000132,000010,MZ-FG-C990,1710,171A,46,ST,TAN,0000000183
0080000135,000010,MZ-FG-C990,1710,171A,3,ST,TAN,0000000186
0080000136,000010,MZ-FG-C990,1710,171A,3,ST,TAN,0000000187
0080000137,000010,MZ-FG-M500,1710,171A,1,ST,TAN,0000000188
0080000130,000010,MZ-FG-C950,1710,171A,8,ST,TAN,0000000181
0080000133,000010,MZ-FG-C990,1710,171A,10,ST,TAN,0000000184
0080000134,000010,MZ-FG-C990,1710,171A,60,ST,TAN,0000000185
0080000138,000010,MZ-FG-M500,1710,171A,2,ST,TAN,0000000189
0080000139,000010,MZ-FG-M500,1710,171A,9,ST,TAN,0000000190
0080000140,000010,MZ-FG-M500,1710,171A,3,ST,TAN,0000000191
0080000141,000010,MZ-FG-M500,1710,171A,24,ST,TAN,0000000192
0080000142,000010,MZ-FG-M500,1710,171A,20,ST,TAN,0000000193
0080000143,000010,MZ-FG-M525,1710,171A,14,ST,TAN,0000000194
0080000144,000010,MZ-FG-M525,1710,171A,37,ST,TAN,0000000195
0080000145,000010,MZ-FG-M525,1710,171A,34,ST,TAN,0000000196
0080000146,000010,MZ-FG-M525,1710,171A,8,ST,TAN,0000000197
0080000147,000010,MZ-FG-M525,1710,171A,138,ST,TAN,0000000198
0080000148,000010,MZ-FG-M550,1710,171A,17,ST,TAN,0000000199
0080000149,000010,MZ-FG-M550,1710,171A,2,ST,TAN,0000000200
0080000150,000010,MZ-FG-M550,1710,171A,3,ST,TAN,0000000201
0080000152,000010,MZ-FG-R100,1710,171A,8,ST,TAN,0000000203
0080000153,000010,MZ-FG-R100,1710,171A,6,ST,TAN,0000000204
0080000154,000010,MZ-FG-R100,1710,171A,5,ST,TAN,0000000205
0080000156,000010,MZ-FG-R100,1710,171A,38,ST,TAN,0000000207
0080000159,000010,MZ-FG-R200,1710,171A,3,ST,TAN,0000000210
0080000161,000010,MZ-FG-R200,1710,171A,1,ST,TAN,0000000212
0080000163,000010,MZ-FG-R300,1710,171A,13,ST,TAN,0000000214
0080000151,000010,MZ-FG-R100,1710,171A,1,ST,TAN,0000000202
0080000155,000010,MZ-FG-R100,1710,171A,15,ST,TAN,0000000206
0080000157,000010,MZ-FG-R200,1710,171A,12,ST,TAN,0000000208
0080000158,000010,MZ-FG-R200,1710,171A,2,ST,TAN,0000000209
0080000160,000010,MZ-FG-R200,1710,171A,28,ST,TAN,0000000211
0080000162,000010,MZ-FG-R300,1710,171A,17,ST,TAN,0000000213
0080000164,000010,MZ-FG-R300,1710,171A,6,ST,TAN,0000000215
0080000183,000010,MZ-FG-C900,1710,171A,2,ST,TAN,0000000237
0080000182,000010,MZ-FG-C900,1710,171A,14,ST,TAN,0000000236
0080000184,000010,MZ-FG-C900,1710,171A,4,ST,TAN,0000000238
0080000185,000010,MZ-FG-C900,1710,171A,20,ST,TAN,0000000239
0080000186,000010,MZ-FG-C900,1710,171A,13,ST,TAN,0000000240
0080000187,000010,MZ-FG-C950,1710,171A,6,ST,TAN,0000000241
0080000188,000010,MZ-FG-C950,1710,171A,25,ST,TAN,0000000242
0080000189,000010,MZ-FG-C950,1710,171A,10,ST,TAN,0000000243
0080000190,000010,MZ-FG-C950,1710,171A,3,ST,TAN,0000000244
0080000191,000010,MZ-FG-C950,1710,171A,5,ST,TAN,0000000245
0080000192,000010,MZ-FG-C950,1710,171A,1,ST,TAN,0000000246
0080000193,000010,MZ-FG-C990,1710,171A,2,ST,TAN,0000000247
0080000194,000010,MZ-FG-C990,1710,171A,2,ST,TAN,0000000248
0080000195,000010,MZ-FG-C990,1710,171A,10,ST,TAN,0000000249
0080000197,000010,MZ-FG-C990,1710,171A,74,ST,TAN,0000000251
0080000198,000010,MZ-FG-C990,1710,171A,5,ST,TAN,0000000252
0080000199,000010,MZ-FG-M500,1710,171A,7,ST,TAN,0000000253
0080000200,000010,MZ-FG-M500,1710,171A,7,ST,TAN,0000000254
0080000201,000010,MZ-FG-M500,1710,171A,5,ST,TAN,0000000255
0080000196,000010,MZ-FG-C990,1710,171A,47,ST,TAN,0000000250
0080000202,000010,MZ-FG-M500,1710,171A,12,ST,TAN,0000000257
0080000203,000010,MZ-FG-M500,1710,171A,1,ST,TAN,0000000258
0080000204,000010,MZ-FG-M525,1710,171A,60,ST,TAN,0000000259
0080000205,000010,MZ-FG-M525,1710,171A,4,ST,TAN,0000000260
0080000206,000010,MZ-FG-M525,1710,171A,17,ST,TAN,0000000261
0080000207,000010,MZ-FG-M525,1710,171A,59,ST,TAN,0000000262
0080000208,000010,MZ-FG-M525,1710,171A,9,ST,TAN,0000000263
0080000209,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000264
0080000210,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000265
0080000211,000010,MZ-FG-M550,1710,171A,5,ST,TAN,0000000266
0080000212,000010,MZ-FG-M550,1710,171A,11,ST,TAN,0000000267
0080000214,000010,MZ-FG-R100,1710,171A,11,ST,TAN,0000000269
0080000216,000010,MZ-FG-R100,1710,171A,9,ST,TAN,0000000271
0080000218,000010,MZ-FG-R100,1710,171A,6,ST,TAN,0000000273
0080000219,000010,MZ-FG-R200,1710,171A,3,ST,TAN,0000000275
0080000221,000010,MZ-FG-R200,1710,171A,23,ST,TAN,0000000277
0080000217,000010,MZ-FG-R100,1710,171A,7,ST,TAN,0000000272
0080000220,000010,MZ-FG-R200,1710,171A,13,ST,TAN,0000000276
0080000222,000010,MZ-FG-R200,1710,171A,8,ST,TAN,0000000278
0080000223,000010,MZ-FG-R300,1710,171A,2,ST,TAN,0000000279
0080000224,000010,MZ-FG-R300,1710,171A,31,ST,TAN,0000000280
0080000225,000010,MZ-FG-R300,1710,171A,19,ST,TAN,0000000281
0080000244,000010,MZ-FG-C900,1710,171A,1,ST,TAN,0000000301
0080000245,000010,MZ-FG-C950,1710,171A,1,ST,TAN,0000000302
0080000246,000010,MZ-FG-M525,1710,171A,20,ST,TAN,0000000303
0080000247,000010,MZ-FG-M525,1710,171A,8,ST,TAN,0000000304
0080000248,000010,MZ-FG-M525,1710,171A,30,ST,TAN,0000000305
0080000249,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000306
0080000250,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000307
0080000251,000010,MZ-FG-R200,1710,171A,8,ST,TAN,0000000308
0080000252,000010,MZ-FG-R200,1710,171A,4,ST,TAN,0000000309
0080000253,000010,MZ-FG-C900,1710,171A,5,ST,TAN,0000000314
0080000254,000010,MZ-FG-C900,1710,171A,4,ST,TAN,0000000315
0080000255,000010,MZ-FG-C900,1710,171A,20,ST,TAN,0000000316
0080000256,000010,MZ-FG-C900,1710,171A,3,ST,TAN,0000000317
0080000257,000010,MZ-FG-C900,1710,171A,82,ST,TAN,0000000318
0080000258,000010,MZ-FG-C900,1710,171A,66,ST,TAN,0000000319
0080000259,000010,MZ-FG-C950,1710,171A,29,ST,TAN,0000000320
0080000260,000010,MZ-FG-C950,1710,171A,17,ST,TAN,0000000321
0080000261,000010,MZ-FG-C950,1710,171A,45,ST,TAN,0000000322
0080000263,000010,MZ-FG-C950,1710,171A,26,ST,TAN,0000000324
0080000265,000010,MZ-FG-C990,1710,171A,110,ST,TAN,0000000327
0080000266,000010,MZ-FG-C990,1710,171A,8,ST,TAN,0000000328
0080000270,000010,MZ-FG-M500,1710,171A,14,ST,TAN,0000000332
0080000262,000010,MZ-FG-C950,1710,171A,37,ST,TAN,0000000323
0080000264,000010,MZ-FG-C950,1710,171A,14,ST,TAN,0000000325
0080000267,000010,MZ-FG-C990,1710,171A,124,ST,TAN,0000000329
0080000268,000010,MZ-FG-C990,1710,171A,6,ST,TAN,0000000330
0080000269,000010,MZ-FG-C990,1710,171A,30,ST,TAN,0000000331
0080000271,000010,MZ-FG-M500,1710,171A,5,ST,TAN,0000000333
0080000272,000010,MZ-FG-M500,1710,171A,30,ST,TAN,0000000334
0080000273,000010,MZ-FG-M500,1710,171A,10,ST,TAN,0000000335
0080000274,000010,MZ-FG-M500,1710,171A,5,ST,TAN,0000000337
0080000275,000010,MZ-FG-M525,1710,171A,18,ST,TAN,0000000338
0080000276,000010,MZ-FG-M525,1710,171A,74,ST,TAN,0000000339
0080000277,000010,MZ-FG-M525,1710,171A,8,ST,TAN,0000000340
0080000278,000010,MZ-FG-M525,1710,171A,37,ST,TAN,0000000341
0080000279,000010,MZ-FG-M525,1710,171A,74,ST,TAN,0000000342
0080000280,000010,MZ-FG-M525,1710,171A,56,ST,TAN,0000000343
0080000281,000010,MZ-FG-M550,1710,171A,9,ST,TAN,0000000344
0080000282,000010,MZ-FG-M550,1710,171A,13,ST,TAN,0000000345
0080000285,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000349
0080000287,000010,MZ-FG-R100,1710,171A,6,ST,TAN,0000000351
0080000288,000010,MZ-FG-R100,1710,171A,77,ST,TAN,0000000352
0080000283,000010,MZ-FG-M550,1710,171A,3,ST,TAN,0000000347
0080000284,000010,MZ-FG-M550,1710,171A,1,ST,TAN,0000000348
0080000286,000010,MZ-FG-R100,1710,171A,6,ST,TAN,0000000350
0080000289,000010,MZ-FG-R100,1710,171A,23,ST,TAN,0000000353
0080000290,000010,MZ-FG-R100,1710,171A,61,ST,TAN,0000000354
0080000291,000010,MZ-FG-R100,1710,171A,2,ST,TAN,0000000355
0080000292,000010,MZ-FG-R200,1710,171A,24,ST,TAN,0000000356
0080000293,000010,MZ-FG-R200,1710,171A,20,ST,TAN,0000000357
0080000294,000010,MZ-FG-R200,1710,171A,37,ST,TAN,0000000358
0080000295,000010,MZ-FG-R200,1710,171A,8,ST,TAN,0000000359
0080000296,000010,MZ-FG-R200,1710,171A,3,ST,TAN,0000000360
0080000297,000010,MZ-FG-R300,1710,171A,14,ST,TAN,0000000361
0080000298,000010,MZ-FG-R300,1710,171A,2,ST,TAN,0000000362
0080000299,000010,MZ-FG-R300,1710,171A,13,ST,TAN,0000000363
0080000300,000010,MZ-FG-R300,1710,171A,7,ST,TAN,0000000364
0080000302,000010,MZ-FG-R300,1710,171A,3,ST,TAN,0000000366
0080000301,000010,MZ-FG-R300,1710,171A,3,ST,TAN,0000000365
0080000104,000010,TG11,1710,171A,10,ST,TAN,0000000002
0180000005,000010,EWMS4-502,1710,171S,48,ST,DIGN,
0080000320,000010,FG226,1710,171A,0,ST,CBTA,0000000313
0080000114,000010,TG11,1710,171A,10,ST,TAN,0000000044
0080000115,000010,TG11,1710,171A,10,ST,TAN,0000000045
0080001660,000010,MZ-FG-C900,1710,171A,53,ST,TAN,0000001885
0080000116,000010,TG11,1710,171A,2,ST,TAN,0000000046
0080000113,000010,TG11,1710,171A,1,ST,TAN,0000000042
0080001661,000010,MZ-FG-C950,1710,171A,49,ST,TAN,0000001886
0080001662,000010,MZ-FG-C950,1710,171A,39,ST,TAN,0000001887
0080001663,000010,MZ-FG-C950,1710,171A,13,ST,TAN,0000001888
0080000335,000005,TG11,1710,171A,1,ST,BVN,0000000416
0080001664,000010,MZ-FG-C950,1710,171A,22,ST,TAN,0000001889
0080000344,000010,MZ-FG-C900,1710,171A,39,ST,TAN,0000000421
0080000346,000010,MZ-FG-C900,1710,171A,2,ST,TAN,0000000423
0080000347,000010,MZ-FG-C900,1710,171A,10,ST,TAN,0000000424
0080000348,000010,MZ-FG-C900,1710,171A,46,ST,TAN,0000000425
0080000349,000010,MZ-FG-C900,1710,171A,61,ST,TAN,0000000426
0080000350,000010,MZ-FG-C950,1710,171A,42,ST,TAN,0000000427
0080000351,000010,MZ-FG-C950,1710,171A,3,ST,TAN,0000000428
0080000352,000010,MZ-FG-C950,1710,171A,10,ST,TAN,0000000429
0080000353,000010,MZ-FG-C950,1710,171A,2,ST,TAN,0000000430
0080000354,000010,MZ-FG-C950,1710,171A,8,ST,TAN,0000000432
0080000355,000010,MZ-FG-C990,1710,171A,127,ST,TAN,0000000433
0080000357,000010,MZ-FG-C990,1710,171A,16,ST,TAN,0000000435
0080000358,000010,MZ-FG-C990,1710,171A,9,ST,TAN,0000000436
0080000359,000010,MZ-FG-C990,1710,171A,28,ST,TAN,0000000437
0080000360,000010,MZ-FG-M500,1710,171A,9,ST,TAN,0000000438
0080000345,000010,MZ-FG-C900,1710,171A,95,ST,TAN,0000000422
0080000356,000010,MZ-FG-C990,1710,171A,49,ST,TAN,0000000434
0080000361,000010,MZ-FG-M500,1710,171A,32,ST,TAN,0000000439
0080000362,000010,MZ-FG-M500,1710,171A,48,ST,TAN,0000000440
0080000363,000010,MZ-FG-M500,1710,171A,2,ST,TAN,0000000441
0080000364,000010,MZ-FG-M500,1710,171A,5,ST,TAN,0000000442
0080000365,000010,MZ-FG-M500,1710,171A,8,ST,TAN,0000000443
0080000366,000010,MZ-FG-M525,1710,171A,29,ST,TAN,0000000444
0080000367,000010,MZ-FG-M525,1710,171A,71,ST,TAN,0000000445
0080000368,000010,MZ-FG-M525,1710,171A,43,ST,TAN,0000000446
0080000369,000010,MZ-FG-M525,1710,171A,77,ST,TAN,0000000447
0080000370,000010,MZ-FG-M525,1710,171A,12,ST,TAN,0000000448
0080000371,000010,MZ-FG-M525,1710,171A,7,ST,TAN,0000000449
0080000372,000010,MZ-FG-M550,1710,171A,2,ST,TAN,0000000450
0080000373,000010,MZ-FG-M550,1710,171A,3,ST,TAN,0000000451
0080000374,000010,MZ-FG-M550,1710,171A,9,ST,TAN,0000000452
0080000375,000010,MZ-FG-M550,1710,171A,21,ST,TAN,0000000453
0080000376,000010,MZ-FG-R100,1710,171A,2,ST,TAN,0000000454
0080000377,000010,MZ-FG-R100,1710,171A,40,ST,TAN,0000000455
0080000378,000010,MZ-FG-R100,1710,171A,26,ST,TAN,0000000456
0080000379,000010,MZ-FG-R100,1710,171A,8,ST,TAN,0000000457
0080000380,000010,MZ-FG-R100,1710,171A,22,ST,TAN,0000000458
0080000381,000010,MZ-FG-R100,1710,171A,1,ST,TAN,0000000459
0080000382,000010,MZ-FG-R200,1710,171A,2,ST,TAN,0000000460
0080000384,000010,MZ-FG-R200,1710,171A,8,ST,TAN,0000000462
0080000385,000010,MZ-FG-R200,1710,171A,6,ST,TAN,0000000463
0080000388,000010,MZ-FG-R300,1710,171A,13,ST,TAN,0000000466
0080000383,000010,MZ-FG-R200,1710,171A,24,ST,TAN,0000000461
0080000386,000010,MZ-FG-R200,1710,171A,31,ST,TAN,0000000464
0080000387,000010,MZ-FG-R300,1710,171A,7,ST,TAN,0000000465
0080000389,000010,MZ-FG-R300,1710,171A,9,ST,TAN,0000000467
0080000406,000010,MZ-FG-C900,1710,171A,13,ST,TAN,0000000488
0080000407,000010,MZ-FG-C900,1710,171A,14,ST,TAN,0000000489
0080000408,000010,MZ-FG-C900,1710,171A,5,ST,TAN,0000000490
0080000409,000010,MZ-FG-C900,1710,171A,62,ST,TAN,0000000491
0080000410,000010,MZ-FG-C900,1710,171A,7,ST,TAN,0000000492
0080000411,000010,MZ-FG-C900,1710,171A,6,ST,TAN,0000000493
0080000412,000010,MZ-FG-C950,1710,171A,43,ST,TAN,0000000494
0080000413,000010,MZ-FG-C950,1710,171A,2,ST,TAN,0000000495
0080000414,000010,MZ-FG-C950,1710,171A,8,ST,TAN,0000000496
0080000415,000010,MZ-FG-C950,1710,171A,25,ST,TAN,0000000497
0080000416,000010,MZ-FG-C950,1710,171A,4,ST,TAN,0000000498
0080000417,000010,MZ-FG-C990,1710,171A,60,ST,TAN,0000000499
0080000418,000010,MZ-FG-C990,1710,171A,8,ST,TAN,0000000500
0080000419,000010,MZ-FG-C990,1710,171A,180,ST,TAN,0000000501
0080000420,000010,MZ-FG-C990,1710,171A,16,ST,TAN,0000000502
0080000421,000010,MZ-FG-C990,1710,171A,133,ST,TAN,0000000503
0080000422,000010,MZ-FG-C990,1710,171A,6,ST,TAN,0000000504
0080000423,000010,MZ-FG-M500,1710,171A,35,ST,TAN,0000000505
