MATNR,WERKS,LGORT,LABST
R-401,6910,691C,0
S-201,6910,691B,0
S-202,6910,691B,0
S-301,6910,691B,0
S-203,6910,691B,0
F-20A,6910,691A,0
F-20A,6910,691R,0
R-311,6910,691B,0
R-311,6910,691C,0
R-410,6910,691B,0
R-410,6910,691C,0
R-411,6910,691B,0
R-411,6910,691C,0
R-412,6910,691B,0
R-412,6910,691C,0
S-208,6910,691B,0
S-210,6910,691B,0
S-310,6910,691B,0
S-315,6910,691B,0
SG26,6910,691B,0
SWN-CFG-SW-S1,6910,691B,0
FG1_CP,6910,691A,0
FG1_CP,6910,691B,0
FG1_CP,6910,691R,0
RM1_CP,6910,691B,0
RM1_CP,6910,691C,0
RM2_CP,6910,691B,0
RM2_CP,6910,691C,0
SG1_CP,6910,691B,0
RMJIT01,6910,691B,0
RMJIT01,6910,691C,0
RMJIT02,6910,691B,0
RMJIT02,6910,691C,0
SGJIT01,6910,691B,0
SGJIT02,6910,691B,0
FG111,6910,691A,0
FG111_A,6910,691A,0
FG111_B,6910,691A,0
FG111_C,6910,691A,0
RM27_1,6910,691B,0
RM27_1,6910,691C,0
AVC_RBT_BASE_FRAME,6910,691B,0
AVC_RBT_CNTRL_CAB,6910,691A,0
AVC_RBT_CNTRL_CAB,6910,691R,0
AVC_RBT_D_ARM_50,6910,691B,0
AVC_RBT_L_ARM_45,6910,691B,0
AVC_RBT_SEALING,6910,691A,0
AVC_RBT_SEALING,6910,691R,0
AVC_RBT_APPL_UNIT,6910,691A,0
AVC_RBT_BUNDLE,6910,691A,0
AVC_RBT_CNTRL_BRD,6910,691A,0
AVC_RBT_CNTRL_BRD,6910,691R,0
AVC_RBT_CNTRL_UNIT,6910,691A,0
AVC_RBT_ROBOT,6910,691A,0
TG11,4410,441A,0
TG11,4410,441R,0
FG126,4410,441A,0
FG126,4410,441B,0
FG126,4410,441R,0
RM12,4410,441B,0
RM12,4410,441C,0
RM120,4410,441B,0
RM120,4410,441C,0
RM122,4410,441B,0
RM122,4410,441C,0
RM124,4410,441B,0
RM124,4410,441C,0
RM128,4410,441B,0
RM128,4410,441C,0
RM13,4410,441B,0
RM13,4410,441C,0
RM14,4410,441B,0
RM14,4410,441C,0
RM16,4410,441B,0
RM16,4410,441C,0
RM20,4410,441B,0
RM20,4410,441C,0
RM27,4410,441B,0
RM27,4410,441C,0
SG124,4410,441B,0
SG21,4410,441B,0
SG22,4410,441B,0
SG224,4410,441B,0
SG25,4410,441B,0
SG23,4410,441B,0
RM129,4410,441B,0
RM129,4410,441C,0
FG130,4410,441A,0
FG130,4410,441B,0
SG30,4410,441B,0
FG228,4410,441A,0
FG228,4410,441B,0
FG228,4410,441R,0
SP001,4410,441B,0
SP002,4410,441B,0
SP003,4410,441B,0
SP004,4410,441B,0
SP005,4410,441B,0
SP006,4410,441B,0
RM33,4410,441B,0
RM33,4410,441C,0
RM34,4410,441B,0
RM34,4410,441C,0
SG27,4410,441B,0
RM233-1,4410,441B,0
RM233-2,4410,441E,0
RM233-4,4410,441B,0
SG233,4410,441B,0
SG234,4410,441B,0
FG129,4410,441A,0
FG129,4410,441B,0
SG29,4410,441B,0
RMPI001,4410,441C,0
RMPI002,4410,441C,0
RMPI003,4410,441C,0
RMPI004,4410,441C,0
RMPI005,4410,441C,0
SGPI001,4410,441B,0
SGPI001-V00,4410,441B,0
RMPI001,4410,441B,0
RMPI002,4410,441B,0
RMPI003,4410,441B,0
RMPI004,4410,441B,0
RMPI005,4410,441B,0
QM006,4410,441B,0
SDBOMERLAHD,4410,441A,0
SDBOMERLAHD,4410,441R,0
SDBOMERLAIT01,4410,441A,0
SDBOMERLAIT01,4410,441R,0
SDBOMERLAIT02,4410,441A,0
SDBOMERLAIT02,4410,441R,0
SDBOMLUMFHD,4410,441A,0
SDBOMLUMFHD,4410,441R,0
SDBOMLUMFIT01,4410,441A,0
SDBOMLUMFIT01,4410,441R,0
SDBOMLUMFIT02,4410,441A,0
SDBOMLUMFIT02,4410,441R,0
CM-FL-V01,4410,441A,0
SF-FL-COMB,4410,441B,0
SF-FL-CWEIGHT,4410,441B,0
SF-FL-ELECTRIC,4410,441B,0
SF-FL-TIRE-CUSH,4410,441B,0
SF-FL-TIRE-PNEU,4410,441B,0
CM-MLFL-KM-VXX,4410,441A,0
SF-FL-FORKSEAT-VXX,4410,441B,0
CM-FL-V00,4410,441A,0
CM-FL-V00,4410,441R,0
FG-FL-MV-V00,4410,441A,0
FG-FL-MV-V01,4410,441A,0
FG-FL-MV-V02,4410,441A,0
F-10A,4410,441A,0
F-10A,4410,441R,0
F-10B,4410,441A,0
F-10B,4410,441R,0
R-302,4410,441B,0
R-302,4410,441C,0
R-401,4410,441B,0
R-401,4410,441C,0
S-201,4410,441B,0
S-202,4410,441B,0
S-301,4410,441B,0
S-203,4410,441B,0
F-20A,4410,441A,0
F-20A,4410,441R,0
R-311,4410,441B,0
R-311,4410,441C,0
R-410,4410,441B,0
R-410,4410,441C,0
R-411,4410,441B,0
R-411,4410,441C,0
R-412,4410,441B,0
R-412,4410,441C,0
S-208,4410,441B,0
S-210,4410,441B,0
S-310,4410,441B,0
S-315,4410,441B,0
SG26,4410,441B,0
SWN-CFG-SW-S1,4410,441B,0
FG1_CP,4410,441A,0
FG1_CP,4410,441B,0
FG1_CP,4410,441R,0
RM1_CP,4410,441B,0
RM1_CP,4410,441C,0
RM2_CP,4410,441B,0
RM2_CP,4410,441C,0
SG1_CP,4410,441B,0
RMJIT01,4410,441B,0
RMJIT01,4410,441C,0
RMJIT02,4410,441B,0
RMJIT02,4410,441C,0
SGJIT01,4410,441B,0
SGJIT02,4410,441B,0
FG111,4410,441A,0
FG111_A,4410,441A,0
FG111_B,4410,441A,0
FG111_C,4410,441A,0
RM27_1,4410,441B,0
RM27_1,4410,441C,0
FG29-1,4410,441A,0
FG29-1,4410,441B,0
FG29-1,4410,441R,0
AVC_RBT_BASE_FRAME,4410,441B,0
AVC_RBT_CNTRL_CAB,4410,441A,0
AVC_RBT_CNTRL_CAB,4410,441R,0
AVC_RBT_D_ARM_50,4410,441B,0
AVC_RBT_L_ARM_45,4410,441B,0
AVC_RBT_SEALING,4410,441A,0
AVC_RBT_SEALING,4410,441R,0
AVC_RBT_APPL_UNIT,4410,441A,0
AVC_RBT_BUNDLE,4410,441A,0
AVC_RBT_CNTRL_BRD,4410,441A,0
AVC_RBT_CNTRL_BRD,4410,441R,0
AVC_RBT_CNTRL_UNIT,4410,441A,0
AVC_RBT_ROBOT,4410,441A,0
TG11,3710,371A,0
TG11,3710,371R,0
FG126,3710,371A,0
FG126,3710,371B,0
FG126,3710,371R,0
RM12,3710,371B,0
RM12,3710,371C,0
RM120,3710,371B,0
RM120,3710,371C,0
RM122,3710,371B,0
RM122,3710,371C,0
RM124,3710,371B,0
RM124,3710,371C,0
RM128,3710,371B,0
RM128,3710,371C,0
RM13,3710,371B,0
RM13,3710,371C,0
RM14,3710,371B,0
RM14,3710,371C,0
RM16,3710,371B,0
RM16,3710,371C,0
RM20,3710,371B,0
RM20,3710,371C,0
RM27,3710,371B,0
RM27,3710,371C,0
SG124,3710,371B,0
SG21,3710,371B,0
SG22,3710,371B,0
SG224,3710,371B,0
SG25,3710,371B,0
SG23,3710,371B,0
RM129,3710,371B,0
RM129,3710,371C,0
FG130,3710,371A,0
FG130,3710,371B,0
SG30,3710,371B,0
FG228,3710,371A,0
FG228,3710,371B,0
FG228,3710,371R,0
SP001,3710,371B,0
SP002,3710,371B,0
SP003,3710,371B,0
SP004,3710,371B,0
SP005,3710,371B,0
SP006,3710,371B,0
RM33,3710,371B,0
RM33,3710,371C,0
RM34,3710,371B,0
RM34,3710,371C,0
SG27,3710,371B,0
RM233-1,3710,371B,0
RM233-2,3710,371E,0
RM233-4,3710,371B,0
SG233,3710,371B,0
SG234,3710,371B,0
FG129,3710,371A,0
FG129,3710,371B,0
SG29,3710,371B,0
RMPI001,3710,371C,0
RMPI002,3710,371C,0
RMPI003,3710,371C,0
RMPI004,3710,371C,0
RMPI005,3710,371C,0
SGPI001,3710,371B,0
SGPI001-V00,3710,371B,0
RMPI001,3710,371B,0
RMPI002,3710,371B,0
RMPI003,3710,371B,0
RMPI004,3710,371B,0
RMPI005,3710,371B,0
QM006,3710,371B,0
SDBOMERLAHD,3710,371A,0
SDBOMERLAHD,3710,371R,0
SDBOMERLAIT01,3710,371A,0
SDBOMERLAIT01,3710,371R,0
SDBOMERLAIT02,3710,371A,0
SDBOMERLAIT02,3710,371R,0
SDBOMLUMFHD,3710,371A,0
SDBOMLUMFHD,3710,371R,0
SDBOMLUMFIT01,3710,371A,0
SDBOMLUMFIT01,3710,371R,0
SDBOMLUMFIT02,3710,371A,0
SDBOMLUMFIT02,3710,371R,0
CM-FL-V01,3710,371A,0
SF-FL-COMB,3710,371B,0
SF-FL-CWEIGHT,3710,371B,0
SF-FL-ELECTRIC,3710,371B,0
SF-FL-TIRE-CUSH,3710,371B,0
SF-FL-TIRE-PNEU,3710,371B,0
CM-MLFL-KM-VXX,3710,371A,0
SF-FL-FORKSEAT-VXX,3710,371B,0
CM-FL-V00,3710,371A,0
CM-FL-V00,3710,371R,0
FG-FL-MV-V00,3710,371A,0
FG-FL-MV-V01,3710,371A,0
FG-FL-MV-V02,3710,371A,0
EWMS4-50,3710,371D,0
EWMS4-50,3710,371S,0
EWMS4-502,3710,371D,0
EWMS4-502,3710,371S,0
EWMS4-503,3710,371D,0
EWMS4-503,3710,371S,0
EWMS4-601,3710,371D,0
EWMS4-601,3710,371S,0
F-10A,3710,371A,0
F-10A,3710,371R,0
F-10B,3710,371A,0
F-10B,3710,371R,0
R-302,3710,371B,0
R-302,3710,371C,0
R-401,3710,371B,0
R-401,3710,371C,0
S-201,3710,371B,0
S-202,3710,371B,0
S-301,3710,371B,0
S-203,3710,371B,0
F-20A,3710,371A,0
F-20A,3710,371R,0
R-311,3710,371B,0
R-311,3710,371C,0
R-410,3710,371B,0
R-410,3710,371C,0
R-411,3710,371B,0
R-411,3710,371C,0
R-412,3710,371B,0
R-412,3710,371C,0
S-208,3710,371B,0
S-210,3710,371B,0
S-310,3710,371B,0
S-315,3710,371B,0
SG26,3710,371B,0
SWN-CFG-SW-S1,3710,371B,0
FG1_CP,3710,371A,0
FG1_CP,3710,371B,0
FG1_CP,3710,371R,0
RM1_CP,3710,371B,0
RM1_CP,3710,371C,0
RM2_CP,3710,371B,0
RM2_CP,3710,371C,0
SG1_CP,3710,371B,0
RMJIT01,3710,371B,0
RMJIT01,3710,371C,0
RMJIT02,3710,371B,0
RMJIT02,3710,371C,0
SGJIT01,3710,371B,0
SGJIT02,3710,371B,0
FG111,3710,371A,0
FG111_A,3710,371A,0
FG111_B,3710,371A,0
FG111_C,3710,371A,0
RM27_1,3710,371B,0
RM27_1,3710,371C,0
AVC_RBT_BASE_FRAME,3710,371B,0
AVC_RBT_CNTRL_CAB,3710,371A,0
AVC_RBT_CNTRL_CAB,3710,371R,0
AVC_RBT_D_ARM_50,3710,371B,0
AVC_RBT_L_ARM_45,3710,371B,0
AVC_RBT_SEALING,3710,371A,0
AVC_RBT_SEALING,3710,371R,0
AVC_RBT_APPL_UNIT,3710,371A,0
AVC_RBT_BUNDLE,3710,371A,0
AVC_RBT_CNTRL_BRD,3710,371A,0
AVC_RBT_CNTRL_BRD,3710,371R,0
AVC_RBT_CNTRL_UNIT,3710,371A,0
AVC_RBT_ROBOT,3710,371A,0
TG11,5410,541A,0
TG11,5410,541R,0
FG126,5410,541A,0
FG126,5410,541B,0
FG126,5410,541R,0
RM12,5410,541B,0
RM12,5410,541C,0
RM120,5410,541B,0
RM120,5410,541C,0
RM122,5410,541B,0
RM122,5410,541C,0
RM124,5410,541B,0
RM124,5410,541C,0
RM128,5410,541B,0
RM128,5410,541C,0
RM13,5410,541B,0
RM13,5410,541C,0
RM14,5410,541B,0
RM14,5410,541C,0
RM16,5410,541B,0
RM16,5410,541C,0
RM20,5410,541B,0
RM20,5410,541C,0
RM27,5410,541B,0
RM27,5410,541C,0
SG124,5410,541B,0
SG21,5410,541B,0
SG22,5410,541B,0
SG224,5410,541B,0
SG25,5410,541B,0
SG23,5410,541B,0
RM129,5410,541B,0
RM129,5410,541C,0
FG130,5410,541A,0
FG130,5410,541B,0
SG30,5410,541B,0
FG228,5410,541A,0
FG228,5410,541B,0
FG228,5410,541R,0
SP001,5410,541B,0
SP002,5410,541B,0
SP003,5410,541B,0
SP004,5410,541B,0
SP005,5410,541B,0
SP006,5410,541B,0
RM33,5410,541B,0
RM33,5410,541C,0
RM34,5410,541B,0
RM34,5410,541C,0
SG27,5410,541B,0
RM233-1,5410,541B,0
RM233-2,5410,541E,0
RM233-4,5410,541B,0
SG233,5410,541B,0
SG234,5410,541B,0
FG129,5410,541A,0
FG129,5410,541B,0
SG29,5410,541B,0
RMPI001,5410,541C,0
RMPI002,5410,541C,0
RMPI003,5410,541C,0
RMPI004,5410,541C,0
RMPI005,5410,541C,0
SGPI001,5410,541B,0
SGPI001-V00,5410,541B,0
RMPI001,5410,541B,0
RMPI002,5410,541B,0
RMPI003,5410,541B,0
RMPI004,5410,541B,0
RMPI005,5410,541B,0
QM006,5410,541B,0
SDBOMERLAHD,5410,541A,0
SDBOMERLAHD,5410,541R,0
SDBOMERLAIT01,5410,541A,0
SDBOMERLAIT01,5410,541R,0
SDBOMERLAIT02,5410,541A,0
SDBOMERLAIT02,5410,541R,0
SDBOMLUMFHD,5410,541A,0
SDBOMLUMFHD,5410,541R,0
SDBOMLUMFIT01,5410,541A,0
SDBOMLUMFIT01,5410,541R,0
SDBOMLUMFIT02,5410,541A,0
SDBOMLUMFIT02,5410,541R,0
CM-FL-V01,5410,541A,0
SF-FL-COMB,5410,541B,0
SF-FL-CWEIGHT,5410,541B,0
SF-FL-ELECTRIC,5410,541B,0
SF-FL-TIRE-CUSH,5410,541B,0
SF-FL-TIRE-PNEU,5410,541B,0
CM-MLFL-KM-VXX,5410,541A,0
SF-FL-FORKSEAT-VXX,5410,541B,0
CM-FL-V00,5410,541A,0
CM-FL-V00,5410,541R,0
FG-FL-MV-V00,5410,541A,0
FG-FL-MV-V01,5410,541A,0
FG-FL-MV-V02,5410,541A,0
EWMS4-50,5410,541D,0
EWMS4-50,5410,541S,0
EWMS4-502,5410,541D,0
EWMS4-502,5410,541S,0
EWMS4-503,5410,541D,0
EWMS4-503,5410,541S,0
EWMS4-601,5410,541D,0
EWMS4-601,5410,541S,0
F-10A,5410,541A,0
F-10A,5410,541R,0
F-10B,5410,541A,0
F-10B,5410,541R,0
R-302,5410,541B,0
R-302,5410,541C,0
R-401,5410,541B,0
R-401,5410,541C,0
S-201,5410,541B,0
S-202,5410,541B,0
S-301,5410,541B,0
S-203,5410,541B,0
F-20A,5410,541A,0
F-20A,5410,541R,0
R-311,5410,541B,0
R-311,5410,541C,0
R-410,5410,541B,0
R-410,5410,541C,0
R-411,5410,541B,0
R-411,5410,541C,0
R-412,5410,541B,0
R-412,5410,541C,0
S-208,5410,541B,0
S-210,5410,541B,0
S-310,5410,541B,0
S-315,5410,541B,0
SG26,5410,541B,0
SWN-CFG-SW-S1,5410,541B,0
FG1_CP,5410,541A,0
FG1_CP,5410,541B,0
FG1_CP,5410,541R,0
RM1_CP,5410,541B,0
RM1_CP,5410,541C,0
RM2_CP,5410,541B,0
RM2_CP,5410,541C,0
SG1_CP,5410,541B,0
FG126,5510,551A,0
FG126,5510,551B,0
FG126,5510,551R,0
FG126,1010,101B,0
RM12,1010,101B,0
RM120,1010,101B,0
RM122,1010,101B,0
RM124,1010,101B,0
RM128,1010,101B,0
RM13,1010,101B,0
RM14,1010,101B,0
RM16,1010,101B,0
RM20,1010,101B,0
RM27,1010,101B,0
SG124,1010,101B,0
SG21,1010,101B,0
SG22,1010,101B,0
SG224,1010,101B,0
SG25,1010,101B,0
SG23,1010,101B,0
RM129,1010,101B,0
FG130,1010,101B,0
SG30,1010,101B,0
FG228,1010,101B,0
SP001,1010,101B,0
SP002,1010,101B,0
SP003,1010,101B,0
SP004,1010,101B,0
SP005,1010,101B,0
SP006,1010,101B,0
RM33,1010,101B,0
RM34,1010,101B,0
SG27,1010,101B,0
RM233-1,1010,101B,0
RM233-4,1010,101B,0
SG233,1010,101B,0
SG234,1010,101B,0
FG129,1010,101B,0
SG29,1010,101B,0
SGPI001,1010,101B,0
SGPI001-V00,1010,101B,0
RMPI001,1010,101B,0
RMPI002,1010,101B,0
RMPI003,1010,101B,0
RMPI004,1010,101B,0
RMPI005,1010,101B,0
QM006,1010,101B,0
SF-FL-COMB,1010,101B,0
SF-FL-CWEIGHT,1010,101B,0
SF-FL-ELECTRIC,1010,101B,0
SF-FL-TIRE-CUSH,1010,101B,0
SF-FL-TIRE-PNEU,1010,101B,0
SF-FL-FORKSEAT-VXX,1010,101B,0
R-302,1010,101B,0
R-401,1010,101B,0
S-201,1010,101B,0
S-202,1010,101B,0
S-301,1010,101B,0
S-203,1010,101B,0
R-311,1010,101B,0
R-410,1010,101B,0
R-411,1010,101B,0
R-412,1010,101B,0
S-208,1010,101B,0
S-210,1010,101B,0
S-310,1010,101B,0
S-315,1010,101B,0
SG26,1010,101B,0
SWN-CFG-SW-S1,1010,101B,0
FG1_CP,1010,101B,0
RM1_CP,1010,101B,0
RM2_CP,1010,101B,0
SG1_CP,1010,101B,0
RMJIT01,1010,101B,0
RMJIT02,1010,101B,0
SGJIT01,1010,101B,0
SGJIT02,1010,101B,0
SGJIT02-SERIALIZED,1010,101B,0
RM27_1,1010,101B,0
AVC_RBT_BASE_FRAME,1010,101B,0
AVC_RBT_D_ARM_50,1010,101B,0
AVC_RBT_L_ARM_45,1010,101B,0
AVC_RBT_BRD_PAINT,1010,101B,0
AVC_RBT_BRD_SEAL,1010,101B,0
AVC_RBT_D_ARM_110,1010,101B,0
RMPC07,1010,101B,0
RMPC08,1010,101B,0
SGPCSVT01,1010,101B,0
D2O_09077205423_C,1010,101B,0
D2O_0900047034,1010,101B,0
D2O_0901513373_C,1010,101B,0
D2O_0902056385,1010,101B,0
D2O_0904277018_C,1010,101B,0
D2O_0905271384,1010,101B,0
D2O_0905720429,1010,101B,0
D2O_0905720543_C,1010,101B,0
D2O_0905720544_C,1010,101B,0
D2O_0905721007,1010,101B,0
D2O_0905721008,1010,101B,0
D2O_1800481527,1010,101B,0
D2O_0424955000,1010,101B,0
D2O_0563557002,1010,101B,0
D2O_0625555452,1010,101B,0
D2O_0901513371,1010,101B,0
D2O_0903271777_C,1010,101B,0
FG1_DS,1010,101B,0
RM1_DS,1010,101B,0
RM2_DS,1010,101B,0
SG1_DS,1010,101B,0
FG2_DS,1010,101B,0
RM3_DS,1010,101B,0
RM4_DS,1010,101B,0
SG2_DS,1010,101B,0
FG126,1710,171B,0
RM12,1710,171B,0
RM120,1710,171B,0
RM122,1710,171B,0
RM124,1710,171B,0
RM128,1710,171B,0
RM13,1710,171B,0
RM14,1710,171B,0
RM16,1710,171B,0
RM20,1710,171B,0
RM27,1710,171B,0
SG124,1710,171B,0
SG21,1710,171B,0
SG22,1710,171B,0
SG224,1710,171B,0
SG25,1710,171B,0
SG23,1710,171B,0
RM129,1710,171B,0
FG130,1710,171B,0
SG30,1710,171B,0
FG228,1710,171B,0
SP001,1710,171B,0
SP002,1710,171B,0
SP003,1710,171B,0
SP004,1710,171B,0
SP005,1710,171B,0
SP006,1710,171B,0
RM33,1710,171B,0
RM34,1710,171B,0
SG27,1710,171B,0
RM233-1,1710,171B,0
RM233-4,1710,171B,0
SG233,1710,171B,0
SG234,1710,171B,0
FG129,1710,171B,0
SG29,1710,171B,0
SGPI001,1710,171B,0
SGPI001-V00,1710,171B,0
RMPI001,1710,171B,0
RMPI002,1710,171B,0
RMPI003,1710,171B,0
RMPI004,1710,171B,0
RMPI005,1710,171B,0
QM006,1710,171B,0
SF-FL-COMB,1710,171B,0
SF-FL-CWEIGHT,1710,171B,0
SF-FL-ELECTRIC,1710,171B,0
SF-FL-TIRE-CUSH,1710,171B,0
SF-FL-TIRE-PNEU,1710,171B,0
SF-FL-FORKSEAT-VXX,1710,171B,0
R-302,1710,171B,0
R-401,1710,171B,0
S-201,1710,171B,0
S-202,1710,171B,0
S-301,1710,171B,0
S-203,1710,171B,0
R-311,1710,171B,0
R-410,1710,171B,0
R-411,1710,171B,0
R-412,1710,171B,0
S-208,1710,171B,0
S-210,1710,171B,0
S-310,1710,171B,0
S-315,1710,171B,0
SG26,1710,171B,0
SWN-CFG-SW-S1,1710,171B,0
FG1_CP,1710,171B,0
RM1_CP,1710,171B,0
RM2_CP,1710,171B,0
SG1_CP,1710,171B,0
RMJIT01,1710,171B,0
RMJIT02,1710,171B,0
SGJIT01,1710,171B,0
SGJIT02,1710,171B,0
SGJIT02-SERIALIZED,1710,171B,0
RM27_1,1710,171B,0
AVC_RBT_BASE_FRAME,1710,171B,0
AVC_RBT_D_ARM_50,1710,171B,0
AVC_RBT_L_ARM_45,1710,171B,0
AVC_RBT_BRD_PAINT,1710,171B,0
AVC_RBT_BRD_SEAL,1710,171B,0
AVC_RBT_D_ARM_110,1710,171B,0
RMPC07,1710,171B,0
RMPC08,1710,171B,0
SGPCSVT01,1710,171B,0
D2O_09077205423_C,1710,171B,0
D2O_0900047034,1710,171B,0
D2O_0901513373_C,1710,171B,0
D2O_0902056385,1710,171B,0
D2O_0904277018_C,1710,171B,0
D2O_0905271384,1710,171B,0
D2O_0905720429,1710,171B,0
D2O_0905720543_C,1710,171B,0
D2O_0905720544_C,1710,171B,0
D2O_0905721007,1710,171B,0
D2O_0905721008,1710,171B,0
D2O_1800481527,1710,171B,0
D2O_0424955000,1710,171B,0
D2O_0563557002,1710,171B,0
D2O_0625555452,1710,171B,0
D2O_0901513371,1710,171B,0
D2O_0903271777_C,1710,171B,0
FG1_DS,1710,171B,0
RM1_DS,1710,171B,0
RM2_DS,1710,171B,0
SG1_DS,1710,171B,0
FG2_DS,1710,171B,0
RM3_DS,1710,171B,0
RM4_DS,1710,171B,0
SG2_DS,1710,171B,0
RMJIT01,5410,541B,0
RMJIT01,5410,541C,0
RMJIT02,5410,541B,0
RMJIT02,5410,541C,0
SGJIT01,5410,541B,0
SGJIT02,5410,541B,0
FG111,5410,541A,0
FG111_A,5410,541A,0
FG111_B,5410,541A,0
FG111_C,5410,541A,0
RM27_1,5410,541B,0
RM27_1,5410,541C,0
AVC_RBT_BASE_FRAME,5410,541B,0
AVC_RBT_CNTRL_CAB,5410,541A,0
AVC_RBT_CNTRL_CAB,5410,541R,0
AVC_RBT_D_ARM_50,5410,541B,0
AVC_RBT_L_ARM_45,5410,541B,0
AVC_RBT_SEALING,5410,541A,0
AVC_RBT_SEALING,5410,541R,0
AVC_RBT_APPL_UNIT,5410,541A,0
AVC_RBT_BUNDLE,5410,541A,0
AVC_RBT_CNTRL_BRD,5410,541A,0
AVC_RBT_CNTRL_BRD,5410,541R,0
AVC_RBT_CNTRL_UNIT,5410,541A,0
AVC_RBT_ROBOT,5410,541A,0
TG11,5510,551A,0
TG11,5510,551R,0
RM12,5510,551B,0
RM12,5510,551C,0
RM120,5510,551B,0
RM120,5510,551C,0
RM122,5510,551B,0
RM122,5510,551C,0
RM124,5510,551B,0
RM124,5510,551C,0
RM128,5510,551B,0
RM128,5510,551C,0
RM13,5510,551B,0
RM13,5510,551C,0
RM14,5510,551B,0
RM14,5510,551C,0
RM16,5510,551B,0
RM16,5510,551C,0
RM20,5510,551B,0
RM20,5510,551C,0
RM27,5510,551B,0
RM27,5510,551C,0
SG124,5510,551B,0
SG21,5510,551B,0
SG22,5510,551B,0
SG224,5510,551B,0
SG25,5510,551B,0
SG23,5510,551B,0
RM129,5510,551B,0
RM129,5510,551C,0
FG130,5510,551A,0
FG130,5510,551B,0
SG30,5510,551B,0
FG228,5510,551A,0
FG228,5510,551B,0
FG228,5510,551R,0
SP001,5510,551B,0
SP002,5510,551B,0
SP003,5510,551B,0
SP004,5510,551B,0
SP005,5510,551B,0
SP006,5510,551B,0
RM33,5510,551B,0
RM33,5510,551C,0
RM34,5510,551B,0
RM34,5510,551C,0
SG27,5510,551B,0
RM233-1,5510,551B,0
RM233-2,5510,551E,0
RM233-4,5510,551B,0
SG233,5510,551B,0
SG234,5510,551B,0
FG129,5510,551A,0
FG129,5510,551B,0
SG29,5510,551B,0
RMPI001,5510,551C,0
RMPI002,5510,551C,0
RMPI003,5510,551C,0
RMPI004,5510,551C,0
RMPI005,5510,551C,0
SGPI001,5510,551B,0
