VBELN,VSTEL,VKORG,LFART,KUNNR,WADAT_IST,LFDAT,WADAT
0080000044,1710,1710,LF,USCU_L01,20171010,20171018,20171018
0080000045,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000046,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000047,1710,1710,LF,USCU_L04,20171010,20171018,20171018
0080000048,1710,1710,LF,USCU_S01,20171010,20171018,20171018
0080000049,1710,1710,LF,USCU_L06,20171010,20171018,20171018
0080000050,1710,1710,LF,USCU_L03,20171010,20171018,20171018
0080000051,1710,1710,LF,USCU_S02,20171010,20171018,20171018
0080000052,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000053,1710,1710,LF,USCU_S12,20171010,20171018,20171018
0080000054,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000055,1710,1710,LF,USCU_S15,20171010,20171018,20171018
0080000056,1710,1710,LF,USCU_S02,20171010,20171018,20171018
0080000057,1710,1710,LF,USCU_L02,20171010,20171018,20171018
0080000058,1710,1710,LF,USCU_S08,20171010,20171018,20171018
0080000059,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000060,1710,1710,LF,USCU_S04,20171010,20171018,20171018
0080000061,1710,1710,LF,USCU_L10,20171010,20171018,20171018
0080000062,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000063,1710,1710,LF,USCU_L02,20171010,20171018,20171018
0080000064,1710,1710,LF,USCU_L08,20171010,20171018,20171018
0080000065,1710,1710,LF,USCU_S11,20171010,20171018,20171018
0080000066,1710,1710,LF,USCU_S01,20171010,20171018,20171018
0080000067,1710,1710,LF,USCU_L05,20171010,20171018,20171018
0080000068,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000069,1710,1710,LF,USCU_S14,20171010,20171018,20171018
0080000070,1710,1710,LF,USCU_L01,20171010,20171018,20171018
0080000071,1710,1710,LF,USCU_S05,20171010,20171018,20171018
0080000072,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000073,1710,1710,LF,USCU_S14,20171010,20171018,20171018
0080000074,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000075,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000076,1710,1710,LF,USCU_L02,20171010,20171018,20171018
0080000077,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000078,1710,1710,LF,USCU_L07,20171010,20171018,20171018
0080000079,1710,1710,LF,USCU_S06,20171010,20171018,20171018
0080000080,1710,1710,LF,USCU_S07,20171010,20171018,20171018
0080000081,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000082,1710,1710,LF,USCU_S07,20171010,20171018,20171018
0080000083,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000084,1710,1710,LF,USCU_L03,20171010,20171018,20171018
0080000085,1710,1710,LF,USCU_S04,20171010,20171018,20171018
0080000086,1710,1710,LF,USCU_L05,20171010,20171018,20171018
0080000087,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000088,1710,1710,LF,USCU_S06,20171010,20171018,20171018
0080000089,1710,1710,LF,USCU_L03,20171010,20171018,20171018
0080000090,1710,1710,LF,USCU_S16,20171010,20171018,20171018
0080000091,1710,1710,LF,USCU_L05,20171010,20171018,20171018
0080000092,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000845,1710,1710,LF,USCU_S15,20191021,20190220,20190220
0080000094,1710,1710,LO,0017100003,00000000,20171019,20171019
0080000019,1710,1710,LF,0017100003,20171017,20171012,20171010
0080000018,1710,1710,LF,0017100003,20171010,20171012,20171010
0080000021,1710,1710,LF,0017100002,20171017,20171018,20171017
0180000001,1710,,EL,,00000000,20171120,00000000
0180000002,1710,,EL,,00000000,20171020,00000000
0180000003,1710,,EL,,00000000,20171020,00000000
0080002155,1710,1710,LF,USCU_S17,20200203,20200207,20200207
0080000846,1710,1710,LF,USCU_L02,20191021,20190220,20190220
0080000848,1710,1710,LF,USCU_S08,20191021,20190220,20190220
0080000849,1710,1710,LF,USCU_S01,20191021,20190220,20190220
0080001220,1710,1710,LF,USCU_S13,20190928,20191004,20191004
0080001221,1710,1710,LF,USCU_S02,20190927,20191004,20191004
0080001222,1710,1710,LF,USCU_S08,20190927,20191004,20191004
0080001223,1710,1710,LF,USCU_S14,20190927,20191004,20191004
0080001224,1710,1710,LF,USCU_L04,20190927,20191004,20191004
0080001225,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001226,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001227,1710,1710,LF,USCU_S12,20190927,20191004,20191004
0080001228,1710,1710,LF,USCU_S01,20190927,20191004,20191004
0080001229,1710,1710,LF,USCU_L04,20190927,20191004,20191004
0080001230,1710,1710,LF,USCU_S16,20190927,20191004,20191004
0080001231,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001232,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001233,1710,1710,LF,USCU_S13,20190927,20191004,20191004
0080001234,1710,1710,LF,USCU_S01,20190927,20191004,20191004
0080001235,1710,1710,LF,USCU_L05,20190927,20191004,20191004
0080001236,1710,1710,LF,USCU_S14,20190927,20191004,20191004
0080001237,1710,1710,LF,USCU_L03,20190927,20191004,20191004
0080001238,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001239,1710,1710,LF,USCU_S09,20190927,20191004,20191004
0080001240,1710,1710,LF,USCU_L05,20190927,20191004,20191004
0080001241,1710,1710,LF,USCU_L02,20190927,20191004,20191004
0080001242,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001243,1710,1710,LF,USCU_S16,20190927,20191004,20191004
0080001244,1710,1710,LF,USCU_S17,20190927,20191004,20191004
0080001245,1710,1710,LF,USCU_S02,20190927,20191004,20191004
0080001246,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001247,1710,1710,LF,USCU_L10,20190927,20191004,20191004
0080001248,1710,1710,LF,USCU_L08,20190927,20191004,20191004
0080001249,1710,1710,LF,USCU_S08,20190927,20191004,20191004
0080001250,1710,1710,LF,USCU_L07,20190927,20191004,20191004
0080001251,1710,1710,LF,USCU_S12,20190927,20191004,20191004
0080001252,1710,1710,LF,USCU_S01,20190927,20191004,20191004
0080001253,1710,1710,LF,USCU_S14,20190927,20191004,20191004
0080001254,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001255,1710,1710,LF,USCU_S13,20190927,20191004,20191004
0080001256,1710,1710,LF,USCU_L04,20190927,20191004,20191004
0080001257,1710,1710,LF,USCU_L03,20190927,20191004,20191004
0080001258,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001259,1710,1710,LF,USCU_S05,20190927,20191004,20191004
0080001260,1710,1710,LF,USCU_S08,20190927,20191004,20191004
0080001261,1710,1710,LF,USCU_L06,20190927,20191004,20191004
0080001262,1710,1710,LF,USCU_S16,20190927,20191004,20191004
0080001263,1710,1710,LF,USCU_L02,20190927,20191004,20191004
0080001264,1710,1710,LF,USCU_L10,20190927,20191004,20191004
0080001265,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001266,1710,1710,LF,USCU_L08,20190927,20191004,20191004
0080001267,1710,1710,LF,USCU_S08,20190927,20191004,20191004
0080001269,1710,1710,LF,USCU_S01,20190927,20191004,20191004
0080001270,1710,1710,LF,USCU_S06,20190927,20191004,20191004
0080001268,1710,1710,LF,USCU_L03,20190927,20191004,20191004
0080001271,1710,1710,LF,USCU_S09,20190927,20191004,20191004
0080001272,1710,1710,LF,USCU_L06,20190927,20191004,20191004
0080001273,1710,1710,LF,USCU_S14,20190927,20191004,20191004
0080001274,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001275,1710,1710,LF,USCU_L10,20190927,20191004,20191004
0080001276,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001277,1710,1710,LF,USCU_L02,20190927,20191004,20191004
0080001278,1710,1710,LF,USCU_L06,20190927,20191004,20191004
0080001279,1710,1710,LF,USCU_S01,20190927,20191004,20191004
0080001280,1710,1710,LF,USCU_S12,20190927,20191004,20191004
0080001281,1710,1710,LF,USCU_L01,20190927,20191004,20191004
0080001282,1710,1710,LF,USCU_L09,20190927,20191004,20191004
0080001283,1710,1710,LF,USCU_S17,20190927,20191004,20191004
0080001284,1710,1710,LF,USCU_S11,20190927,20191004,20191004
0080001285,1710,1710,LF,USCU_L07,20190927,20191004,20191004
0080000619,1710,1710,LF,EWM17-CU01,20181030,20181105,20181105
0080000614,1710,1710,LF,EWM17-CU01,20181030,20181102,20181102
0080000615,1710,1710,LF,EWM17-CU01,20181030,20181102,20181102
0080000616,1710,1710,LF,EWM17-CU01,20181030,20181102,20181102
0080000617,1710,1710,LF,EWM17-CU01,20181030,20181105,20181105
0080000111,1710,1710,LF,EWM17-CU01,00000000,20171113,20171113
0080001287,1710,1710,LF,USCU_L02,20191021,20191004,20191004
0080001421,1710,1710,LF,USCU_L03,20191021,20191004,20191004
0080001444,1710,1710,LF,USCU_L03,20191021,20191004,20191004
0080001450,1710,1710,LF,USCU_L03,20191021,20191004,20191004
0080001455,1710,1710,LF,USCU_S11,20191021,20191004,20191004
0080001447,1710,1710,LF,USCU_S12,20191021,20191004,20191004
0084000034,171R,1710,LR2,USCU_L06,00000000,20200127,20200127
0080001641,1710,1710,DOG,BP1710,20191021,20191025,20191025
0080001410,1710,1710,LF,USCU_L04,20191021,20191004,20191004
0080001419,1710,1710,LF,USCU_L04,20191021,20191004,20191004
0080001446,1710,1710,LF,USCU_L05,20191021,20191004,20191004
0080001414,1710,1710,LF,USCU_L05,20191021,20191004,20191004
0080001424,1710,1710,LF,USCU_L06,20191021,20191004,20191004
0080001411,1710,1710,LF,USCU_L10,20191021,20191004,20191004
0080001434,1710,1710,LF,USCU_S01,20191021,20191004,20191004
0084000015,171R,1710,LR2,0017100003,20200124,20191021,20191021
0080000107,1710,1710,LF,EWM17-CU01,00000000,20171113,20171113
0080003273,1710,1710,LF,0017100004,00000000,20201105,20201105
0080000326,1710,1710,LF,0017100003,00000000,20180316,20180314
0080001438,1710,1710,LF,USCU_L08,20191021,20191004,20191004
0080001358,1710,1710,LF,USCU_L07,20191021,20191004,20191004
0080001367,1710,1710,LF,USCU_L09,20191021,20191004,20191004
0080001374,1710,1710,LF,USCU_L07,20191021,20191004,20191004
0080001378,1710,1710,LF,USCU_L09,20191021,20191004,20191004
0080001380,1710,1710,LF,USCU_L06,20191021,20191004,20191004
0080000097,1710,1710,LF,0017100001,20171023,20171025,20171023
0080000099,1710,1710,LF,0017100003,20171023,20171025,20171023
0210000000,171C,1710,CCLF,0017100003,20171023,20171023,20171023
0084000000,171R,1710,LR,0017100003,20171023,20171023,20171023
0210000001,171C,1710,CCLR,0017100003,20171023,20171023,20171023
0080000100,1710,1710,LF,0017100004,20171023,20171024,20171023
0080000101,1710,1710,LF,0017100001,20171024,20171026,20171024
0084000001,1710,1710,CBG5,0017100001,20171024,20171024,20171024
0080000095,1710,1710,LO,0017100003,20171019,20171019,20171019
0080000103,1710,1710,LF,0017100008,20171024,20171020,20171019
0084000002,171R,1710,LR,0017100003,20171024,20171024,20171024
0080000850,1710,1710,LF,USCU_L07,20191021,20190220,20190220
1000000000,1710,,EL,,20171103,20171103,00000000
1000000001,1710,,EL,,00000000,20171103,00000000
0180000004,1710,,DIG,,20171103,20171103,20171103
0080000332,1710,1710,LF,0017100001,20180315,20180319,20180315
1000000100,1710,,EL,,00000000,20171109,00000000
1000000101,1710,,EL,,20171109,20171109,00000000
0084000003,171R,1710,LR2,0017100003,20171110,20171110,20171110
0080000106,1710,1710,LF,EWM17-CU01,00000000,20171113,20171113
0080001998,1710,1710,LF,USCU_L08,20200121,20200127,20200127
0080000851,1710,1710,LF,USCU_S16,20191021,20190220,20190220
0080000117,1710,1710,LF,0017100001,20171114,20171116,20171114
0080000110,1710,1710,LF,EWM17-CU01,00000000,20171113,20171113
0080001404,1710,1710,LF,USCU_L08,20191021,20191004,20191004
0080000112,1710,1710,LF,EWM17-CU01,00000000,20171113,20171113
0080000339,1710,1710,LF,0017100001,20180321,20171120,20171115
0080000341,1710,1710,LF,0017100002,20180321,20180322,20180321
0080000340,1710,1710,LF,0017100001,20180321,20180323,20180321
0080000333,1710,1710,LF,0017100001,20180321,20180319,20180315
0080000020,1710,1710,LF,0017100003,20180321,20171012,20171010
0080000118,1710,1710,LF,0017100001,20171117,20171121,20171117
0080000119,1710,1710,LF,USCU_S02,20171120,20171120,20171120
0080000120,1710,1710,LF,USCU_L06,20171120,20171120,20171120
0080000121,1710,1710,LF,USCU_S10,20171120,20171120,20171120
0080000122,1710,1710,LF,USCU_S17,20171120,20171120,20171120
0080000123,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000124,1710,1710,LF,USCU_L01,20171120,20171120,20171120
0080000125,1710,1710,LF,USCU_L06,20171120,20171120,20171120
0080000126,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000127,1710,1710,LF,USCU_S15,20171120,20171120,20171120
0080000128,1710,1710,LF,USCU_S10,20171120,20171120,20171120
0080000129,1710,1710,LF,USCU_L02,20171120,20171120,20171120
0080000130,1710,1710,LF,USCU_S03,20171120,20171120,20171120
0080000131,1710,1710,LF,USCU_S15,20171120,20171120,20171120
0080000132,1710,1710,LF,USCU_S02,20171120,20171120,20171120
0080000133,1710,1710,LF,USCU_L02,20171120,20171120,20171120
0080000134,1710,1710,LF,USCU_S08,20171120,20171120,20171120
0080000135,1710,1710,LF,USCU_L10,20171120,20171120,20171120
0080000136,1710,1710,LF,USCU_L08,20171120,20171120,20171120
0080000137,1710,1710,LF,USCU_S16,20171120,20171120,20171120
0080000138,1710,1710,LF,USCU_S09,20171120,20171120,20171120
0080000139,1710,1710,LF,USCU_S02,20171120,20171120,20171120
0080000140,1710,1710,LF,USCU_L01,20171120,20171120,20171120
0080000141,1710,1710,LF,USCU_L10,20171120,20171120,20171120
0080000142,1710,1710,LF,USCU_L06,20171120,20171120,20171120
0080000143,1710,1710,LF,USCU_L07,20171120,20171120,20171120
0080000144,1710,1710,LF,USCU_S02,20171120,20171120,20171120
0080000145,1710,1710,LF,USCU_L03,20171120,20171120,20171120
0080000146,1710,1710,LF,USCU_S08,20171120,20171120,20171120
0080000147,1710,1710,LF,USCU_S17,20171120,20171120,20171120
0080000148,1710,1710,LF,USCU_S03,20171120,20171120,20171120
0080000149,1710,1710,LF,USCU_S07,20171120,20171120,20171120
0080000150,1710,1710,LF,USCU_S17,20171120,20171120,20171120
0080000151,1710,1710,LF,USCU_S14,20171120,20171120,20171120
0080000152,1710,1710,LF,USCU_L02,20171120,20171120,20171120
0080000153,1710,1710,LF,USCU_S11,20171120,20171120,20171120
0080000154,1710,1710,LF,USCU_S06,20171120,20171120,20171120
0080000155,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000156,1710,1710,LF,USCU_L08,20171120,20171120,20171120
0080000157,1710,1710,LF,USCU_S06,20171120,20171120,20171120
0080000158,1710,1710,LF,USCU_L03,20171120,20171120,20171120
0080000159,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000160,1710,1710,LF,USCU_S10,20171120,20171120,20171120
0080000161,1710,1710,LF,USCU_S15,20171120,20171120,20171120
0080000162,1710,1710,LF,USCU_S02,20171120,20171120,20171120
0080000163,1710,1710,LF,USCU_S07,20171120,20171120,20171120
0080000164,1710,1710,LF,USCU_S16,20171120,20171120,20171120
0080000165,1710,1710,LF,USCU_L03,20171120,20171120,20171120
0080000166,1710,1710,LF,USCU_S05,20171120,20171120,20171120
0080000167,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000168,1710,1710,LF,USCU_L07,20171120,20171120,20171120
0080000169,1710,1710,LF,USCU_S07,20171120,20171120,20171120
0080000170,1710,1710,LF,USCU_S17,20171120,20171120,20171120
0080000171,1710,1710,LF,USCU_L07,20171120,20171120,20171120
0080000172,1710,1710,LF,USCU_L01,20171120,20171120,20171120
0080000173,1710,1710,LF,USCU_S03,20171120,20171120,20171120
0080000174,1710,1710,LF,USCU_S12,20171120,20171120,20171120
0080000175,1710,1710,LF,USCU_S15,20171120,20171120,20171120
0080000176,1710,1710,LF,USCU_L09,20171120,20171120,20171120
0080000177,1710,1710,LF,USCU_L05,20171120,20171120,20171120
0080000178,1710,1710,LF,USCU_L10,20171120,20171120,20171120
0080000179,1710,1710,LF,USCU_L03,20171120,20171120,20171120
0080000180,1710,1710,LF,USCU_S05,20171120,20171120,20171120
0080000181,1710,1710,LF,USCU_S16,20171120,20171120,20171120
0080000182,1710,1710,LF,USCU_S01,20171219,20171219,20171219
0080000183,1710,1710,LF,USCU_L04,20171219,20171219,20171219
0080000184,1710,1710,LF,USCU_S16,20171219,20171219,20171219
0080000185,1710,1710,LF,USCU_L10,20171219,20171219,20171219
0080000186,1710,1710,LF,USCU_L02,20171219,20171219,20171219
0080000187,1710,1710,LF,USCU_S16,20171219,20171219,20171219
0080000188,1710,1710,LF,USCU_S02,20171219,20171219,20171219
0080000189,1710,1710,LF,USCU_L01,20171219,20171219,20171219
0080000190,1710,1710,LF,USCU_L09,20171219,20171219,20171219
0080000191,1710,1710,LF,USCU_S10,20171219,20171219,20171219
0080000192,1710,1710,LF,USCU_L07,20171219,20171219,20171219
0080000193,1710,1710,LF,USCU_S13,20171219,20171219,20171219
0080000194,1710,1710,LF,USCU_L10,20171219,20171219,20171219
0080000195,1710,1710,LF,USCU_L03,20171219,20171219,20171219
0080000196,1710,1710,LF,USCU_S14,20171219,20171219,20171219
0080000197,1710,1710,LF,USCU_S01,20171219,20171219,20171219
0080000198,1710,1710,LF,USCU_L05,20171219,20171219,20171219
0080000199,1710,1710,LF,USCU_S12,20171219,20171219,20171219
0080000200,1710,1710,LF,USCU_L10,20171219,20171219,20171219
0080000201,1710,1710,LF,USCU_L01,20171219,20171219,20171219
0080000202,1710,1710,LF,USCU_L04,20171219,20171219,20171219
0080000203,1710,1710,LF,USCU_S14,20171219,20171219,20171219
0080000204,1710,1710,LF,USCU_S01,20171219,20171219,20171219
0080000205,1710,1710,LF,USCU_L02,20171219,20171219,20171219
0080000206,1710,1710,LF,USCU_S09,20171219,20171219,20171219
0080000207,1710,1710,LF,USCU_S16,20171219,20171219,20171219
0080000208,1710,1710,LF,USCU_L08,20171219,20171219,20171219
0080000209,1710,1710,LF,USCU_L03,20171219,20171219,20171219
0080000210,1710,1710,LF,USCU_L08,20171219,20171219,20171219
0080000211,1710,1710,LF,USCU_S12,20171219,20171219,20171219
0080000212,1710,1710,LF,USCU_S17,20171219,20171219,20171219
0080002301,1710,1710,LF,0017100001,20200210,20200214,20200214
0080000214,1710,1710,LF,USCU_L05,20171219,20171219,20171219
0080002300,1710,1710,LF,0017100005,20200210,20200214,20200214
0080000216,1710,1710,LF,USCU_L09,20171219,20171219,20171219
0080000217,1710,1710,LF,USCU_S02,20171219,20171219,20171219
0080000218,1710,1710,LF,USCU_L01,20171219,20171219,20171219
0080000219,1710,1710,LF,USCU_L09,20171219,20171219,20171219
0080000220,1710,1710,LF,USCU_S07,20171219,20171219,20171219
0080000221,1710,1710,LF,USCU_S15,20171219,20171219,20171219
0080000222,1710,1710,LF,USCU_L05,20171219,20171219,20171219
0080000223,1710,1710,LF,USCU_S07,20171219,20171219,20171219
0080000224,1710,1710,LF,USCU_S02,20171219,20171219,20171219
0080000225,1710,1710,LF,USCU_S14,20171219,20171219,20171219
0080000226,1710,1710,LF,USCU_S10,20171219,20171219,20171219
0080000227,1710,1710,LF,USCU_L08,20171219,20171219,20171219
0080000228,1710,1710,LF,USCU_S14,20171219,20171219,20171219
0080000229,1710,1710,LF,USCU_L03,20171219,20171219,20171219
0080000230,1710,1710,LF,USCU_S02,20171219,20171219,20171219
0080000231,1710,1710,LF,USCU_L09,20171219,20171219,20171219
0080000232,1710,1710,LF,USCU_S03,20171219,20171219,20171219
0080000233,1710,1710,LF,USCU_L10,20171219,20171219,20171219
0080000234,1710,1710,LF,USCU_L06,20171219,20171219,20171219
0080000235,1710,1710,LF,USCU_S17,20171219,20171219,20171219
0080000236,1710,1710,LF,USCU_L03,20171219,20171219,20171219
0080000237,1710,1710,LF,USCU_S13,20171219,20171219,20171219
0080000238,1710,1710,LF,USCU_S08,20171219,20171219,20171219
0080000239,1710,1710,LF,USCU_L01,20171219,20171219,20171219
0080000240,1710,1710,LF,USCU_L09,20171219,20171219,20171219
0080000241,1710,1710,LF,USCU_S17,20171219,20171219,20171219
0080000242,1710,1710,LF,USCU_L08,20171219,20171219,20171219
0080000243,1710,1710,LF,USCU_S05,20171219,20171219,20171219
0084000004,171R,1710,LR2,USCU_S05,00000000,20171219,20171219
0080000244,1710,1710,LF,USCU_S16,20180105,20180105,20180105
0080000245,1710,1710,LF,USCU_S01,20180105,20180105,20180105
0080000246,1710,1710,LF,USCU_L02,20180105,20180105,20180105
0080000247,1710,1710,LF,USCU_L05,20180105,20180105,20180105
0080000248,1710,1710,LF,USCU_S11,20180105,20180105,20180105
0080000249,1710,1710,LF,USCU_L01,20180105,20180105,20180105
0080000250,1710,1710,LF,USCU_L05,20180105,20180105,20180105
0080000251,1710,1710,LF,USCU_S03,20180105,20180105,20180105
0080000252,1710,1710,LF,USCU_S17,20180105,20180105,20180105
0080000253,1710,1710,LF,USCU_S11,20180312,20180312,20180312
0080000254,1710,1710,LF,USCU_L06,20180312,20180312,20180312
0080000255,1710,1710,LF,USCU_S01,20180312,20180312,20180312
0080000256,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000257,1710,1710,LF,USCU_L03,20180312,20180312,20180312
0080000258,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000259,1710,1710,LF,USCU_S12,20180312,20180312,20180312
0080000260,1710,1710,LF,USCU_L04,20180312,20180312,20180312
0080000261,1710,1710,LF,USCU_S05,20180312,20180312,20180312
0080000262,1710,1710,LF,USCU_S14,20180312,20180312,20180312
0080000263,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000264,1710,1710,LF,USCU_L02,20180312,20180312,20180312
0080000265,1710,1710,LF,USCU_S07,20180312,20180312,20180312
0080000266,1710,1710,LF,USCU_L04,20180312,20180312,20180312
0080000267,1710,1710,LF,USCU_S17,20180312,20180312,20180312
0080000268,1710,1710,LF,USCU_L03,20180312,20180312,20180312
0080000269,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000270,1710,1710,LF,USCU_S12,20180312,20180312,20180312
0080000271,1710,1710,LF,USCU_S17,20180312,20180312,20180312
0080000272,1710,1710,LF,USCU_L09,20180312,20180312,20180312
0080000273,1710,1710,LF,USCU_L01,20180312,20180312,20180312
0080000274,1710,1710,LF,USCU_L05,20180312,20180312,20180312
0080000275,1710,1710,LF,USCU_S11,20180312,20180312,20180312
0080000276,1710,1710,LF,USCU_S05,20180312,20180312,20180312
0080000277,1710,1710,LF,USCU_L05,20180312,20180312,20180312
0080000278,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000279,1710,1710,LF,USCU_L01,20180312,20180312,20180312
0080000280,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000281,1710,1710,LF,USCU_L03,20180312,20180312,20180312
0080000282,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000283,1710,1710,LF,USCU_L08,20180312,20180312,20180312
0080000284,1710,1710,LF,USCU_L09,20180312,20180312,20180312
0080000285,1710,1710,LF,USCU_S09,20180312,20180312,20180312
0080000286,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000287,1710,1710,LF,USCU_S08,20180312,20180312,20180312
0080000288,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000289,1710,1710,LF,USCU_L08,20180312,20180312,20180312
0080000290,1710,1710,LF,USCU_L03,20180312,20180312,20180312
0080000291,1710,1710,LF,USCU_S01,20180312,20180312,20180312
0080000292,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000293,1710,1710,LF,USCU_S03,20180312,20180312,20180312
0080000294,1710,1710,LF,USCU_L01,20180312,20180312,20180312
0080000295,1710,1710,LF,USCU_S12,20180312,20180312,20180312
0080000296,1710,1710,LF,USCU_L07,20180312,20180312,20180312
0080000297,1710,1710,LF,USCU_S15,20180312,20180312,20180312
0080000298,1710,1710,LF,USCU_L09,20180312,20180312,20180312
0080000299,1710,1710,LF,USCU_S07,20180312,20180312,20180312
0080000300,1710,1710,LF,USCU_S02,20180312,20180312,20180312
0080000301,1710,1710,LF,USCU_L01,20180312,20180312,20180312
0080000302,1710,1710,LF,USCU_L05,20180312,20180312,20180312
0080000303,1710,1710,LF,USCU_S10,20180312,20180312,20180312
0080000304,1710,1710,LF,USCU_L02,20180312,20180312,20180312
0080000305,1710,1710,LF,USCU_L10,20180312,20180312,20180312
0080000306,1710,1710,LF,USCU_L07,20180312,20180312,20180312
0080000307,1710,1710,LF,USCU_S16,20180312,20180312,20180312
