EBELN,EBELP,MATNR,WERKS,LGORT,MENGE,MEINS,NETPR,PEINH,ELIKZ,AEDAT
4500000047,00003,MZ-RM-M500-03,1710,171A,50,ST,9.54,1,X,20171018
4500000047,00004,MZ-RM-M500-04,1710,171A,100,ST,16.69,1,X,20171018
4500000047,00005,MZ-RM-M500-05,1710,171A,50,ST,38.14,1,X,20171018
4500000047,00006,MZ-RM-M500-06,1710,171A,50,ST,33.37,1,X,20171018
4500000047,00007,MZ-RM-M500-07,1710,171A,50,ST,57.21,1,X,20171018
4500000047,00008,MZ-RM-M500-08,1710,171A,50,ST,28.61,1,X,20171018
4500000047,00009,MZ-RM-M500-09,1710,171A,50,ST,123.96,1,X,20171018
4500000047,00010,MZ-RM-M500-10,1710,171A,50,ST,28.61,1,X,20171018
4500000077,00001,MZ-RM-M550-01,1710,171A,22,ST,669.08,1,X,20171120
4500000077,00002,MZ-RM-M550-02,1710,171A,22,ST,38.23,1,X,20171120
4500000077,00003,MZ-RM-M550-03,1710,171A,22,ST,38.23,1,X,20171120
4500000077,00004,MZ-RM-M550-04,1710,171A,44,ST,47.79,1,X,20171120
4500000077,00005,MZ-RM-M550-05,1710,171A,22,ST,152.93,1,X,20171120
4500000077,00006,MZ-RM-M550-06,1710,171A,22,ST,95.58,1,X,20171120
4500000077,00007,MZ-RM-M550-07,1710,171A,22,ST,229.4,1,X,20171120
4500000077,00008,MZ-RM-M550-08,1710,171A,22,ST,114.7,1,X,20171120
4500000077,00009,MZ-RM-M550-09,1710,171A,22,ST,382.33,1,X,20171120
4500000077,00010,MZ-RM-M550-10,1710,171A,22,ST,95.58,1,X,20171120
4500000079,00001,MZ-RM-M500-01,1710,171A,59,ST,114.42,1,X,20171120
4500000079,00002,MZ-RM-M500-02,1710,171A,59,ST,9.54,1,X,20171120
4500000079,00003,MZ-RM-M500-03,1710,171A,59,ST,9.54,1,X,20171120
4500000079,00004,MZ-RM-M500-04,1710,171A,118,ST,16.69,1,X,20171120
4500000079,00005,MZ-RM-M500-05,1710,171A,59,ST,38.14,1,X,20171120
4500000079,00006,MZ-RM-M500-06,1710,171A,59,ST,33.37,1,X,20171120
4500000079,00007,MZ-RM-M500-07,1710,171A,59,ST,57.21,1,X,20171120
4500000079,00008,MZ-RM-M500-08,1710,171A,59,ST,28.61,1,X,20171120
4500000079,00009,MZ-RM-M500-09,1710,171A,59,ST,123.96,1,X,20171120
4500000079,00010,MZ-RM-M500-10,1710,171A,59,ST,28.61,1,X,20171120
4500000089,00001,MZ-RM-M550-01,1710,171A,49,ST,669.08,1,X,20171219
4500000089,00002,MZ-RM-M550-02,1710,171A,49,ST,38.23,1,X,20171219
4500000089,00003,MZ-RM-M550-03,1710,171A,49,ST,38.23,1,X,20171219
4500000089,00004,MZ-RM-M550-04,1710,171A,98,ST,47.79,1,X,20171219
4500000089,00005,MZ-RM-M550-05,1710,171A,49,ST,152.93,1,X,20171219
4500000089,00006,MZ-RM-M550-06,1710,171A,49,ST,95.58,1,X,20171219
4500000089,00007,MZ-RM-M550-07,1710,171A,49,ST,229.4,1,X,20171219
4500000089,00008,MZ-RM-M550-08,1710,171A,49,ST,114.7,1,X,20171219
4500000089,00009,MZ-RM-M550-09,1710,171A,49,ST,382.33,1,X,20171219
4500000089,00010,MZ-RM-M550-10,1710,171A,49,ST,95.58,1,X,20171219
4500000091,00001,MZ-RM-M500-01,1710,171A,48,ST,114.42,1,X,20171219
4500000091,00002,MZ-RM-M500-02,1710,171A,48,ST,9.54,1,X,20171219
4500000091,00003,MZ-RM-M500-03,1710,171A,48,ST,9.54,1,X,20171219
4500000091,00004,MZ-RM-M500-04,1710,171A,96,ST,16.69,1,X,20171219
4500000091,00005,MZ-RM-M500-05,1710,171A,48,ST,38.14,1,X,20171219
4500000091,00006,MZ-RM-M500-06,1710,171A,48,ST,33.37,1,X,20171219
4500000091,00007,MZ-RM-M500-07,1710,171A,48,ST,57.21,1,X,20171219
4500000091,00008,MZ-RM-M500-08,1710,171A,48,ST,28.61,1,X,20171219
4500000091,00009,MZ-RM-M500-09,1710,171A,48,ST,123.96,1,X,20171219
4500000091,00010,MZ-RM-M500-10,1710,171A,48,ST,28.61,1,X,20171219
4500000099,00001,MZ-RM-M550-01,1710,171A,2,ST,669.08,1,X,20180105
4500000099,00002,MZ-RM-M550-02,1710,171A,2,ST,38.23,1,X,20180105
4500000099,00003,MZ-RM-M550-03,1710,171A,2,ST,38.23,1,X,20180105
4500000099,00004,MZ-RM-M550-04,1710,171A,4,ST,47.79,1,X,20180105
4500000099,00005,MZ-RM-M550-05,1710,171A,2,ST,152.93,1,X,20180105
4500000099,00006,MZ-RM-M550-06,1710,171A,2,ST,95.58,1,X,20180105
4500000099,00007,MZ-RM-M550-07,1710,171A,2,ST,229.4,1,X,20180105
4500000099,00008,MZ-RM-M550-08,1710,171A,2,ST,114.7,1,X,20180105
4500000099,00009,MZ-RM-M550-09,1710,171A,2,ST,382.33,1,X,20180105
4500000099,00010,MZ-RM-M550-10,1710,171A,2,ST,95.58,1,X,20180105
4500000118,00001,MZ-RM-M550-01,1710,171A,34,ST,669.08,1,X,20180312
4500000118,00002,MZ-RM-M550-02,1710,171A,34,ST,38.23,1,X,20180312
4500000118,00003,MZ-RM-M550-03,1710,171A,34,ST,38.23,1,X,20180312
4500000118,00004,MZ-RM-M550-04,1710,171A,68,ST,47.79,1,X,20180312
4500000118,00005,MZ-RM-M550-05,1710,171A,34,ST,152.93,1,X,20180312
4500000118,00006,MZ-RM-M550-06,1710,171A,34,ST,95.58,1,X,20180312
4500000118,00007,MZ-RM-M550-07,1710,171A,34,ST,229.4,1,X,20180312
4500000118,00008,MZ-RM-M550-08,1710,171A,34,ST,114.7,1,X,20180312
4500000118,00009,MZ-RM-M550-09,1710,171A,34,ST,382.33,1,X,20180312
4500000118,00010,MZ-RM-M550-10,1710,171A,34,ST,95.58,1,X,20180312
4500000120,00001,MZ-RM-M500-01,1710,171A,66,ST,114.42,1,X,20180312
4500000120,00002,MZ-RM-M500-02,1710,171A,66,ST,9.54,1,X,20180312
4500000120,00003,MZ-RM-M500-03,1710,171A,66,ST,9.54,1,X,20180312
4500000120,00004,MZ-RM-M500-04,1710,171A,132,ST,16.69,1,X,20180312
4500000120,00005,MZ-RM-M500-05,1710,171A,66,ST,38.14,1,X,20180312
4500000120,00006,MZ-RM-M500-06,1710,171A,66,ST,33.37,1,X,20180312
4500000120,00007,MZ-RM-M500-07,1710,171A,66,ST,57.21,1,X,20180312
4500000120,00008,MZ-RM-M500-08,1710,171A,66,ST,28.61,1,X,20180312
4500000120,00009,MZ-RM-M500-09,1710,171A,66,ST,123.96,1,X,20180312
4500000120,00010,MZ-RM-M500-10,1710,171A,66,ST,28.61,1,X,20180312
4500000144,00001,MZ-RM-M550-01,1710,171A,35,ST,669.08,1,X,20180405
4500000144,00002,MZ-RM-M550-02,1710,171A,35,ST,38.23,1,X,20180405
4500000144,00003,MZ-RM-M550-03,1710,171A,35,ST,38.23,1,X,20180405
4500000144,00004,MZ-RM-M550-04,1710,171A,70,ST,47.79,1,X,20180405
4500000144,00005,MZ-RM-M550-05,1710,171A,35,ST,152.93,1,X,20180405
4500000144,00006,MZ-RM-M550-06,1710,171A,35,ST,95.58,1,X,20180405
4500000144,00007,MZ-RM-M550-07,1710,171A,35,ST,229.4,1,X,20180405
4500000144,00008,MZ-RM-M550-08,1710,171A,35,ST,114.7,1,X,20180405
4500000144,00009,MZ-RM-M550-09,1710,171A,35,ST,382.33,1,X,20180405
4500000144,00010,MZ-RM-M550-10,1710,171A,35,ST,95.58,1,X,20180405
4500000146,00001,MZ-RM-M500-01,1710,171A,104,ST,114.42,1,X,20180405
4500000146,00002,MZ-RM-M500-02,1710,171A,104,ST,9.54,1,X,20180405
4500000146,00003,MZ-RM-M500-03,1710,171A,104,ST,9.54,1,X,20180405
4500000146,00004,MZ-RM-M500-04,1710,171A,208,ST,16.69,1,X,20180405
4500000146,00005,MZ-RM-M500-05,1710,171A,104,ST,38.14,1,X,20180405
4500000146,00006,MZ-RM-M500-06,1710,171A,104,ST,33.37,1,X,20180405
4500000146,00007,MZ-RM-M500-07,1710,171A,104,ST,57.21,1,X,20180405
4500000146,00008,MZ-RM-M500-08,1710,171A,104,ST,28.61,1,X,20180405
4500000146,00009,MZ-RM-M500-09,1710,171A,104,ST,123.96,1,X,20180405
4500000146,00010,MZ-RM-M500-10,1710,171A,104,ST,28.61,1,X,20180405
4500000157,00001,MZ-RM-M550-01,1710,171A,59,ST,669.08,1,X,20181005
4500000157,00002,MZ-RM-M550-02,1710,171A,59,ST,38.23,1,X,20181005
4500000157,00003,MZ-RM-M550-03,1710,171A,59,ST,38.23,1,X,20181005
4500000157,00004,MZ-RM-M550-04,1710,171A,118,ST,47.79,1,X,20181005
4500000157,00005,MZ-RM-M550-05,1710,171A,59,ST,152.93,1,X,20181005
4500000157,00006,MZ-RM-M550-06,1710,171A,59,ST,95.58,1,X,20181005
4500000157,00007,MZ-RM-M550-07,1710,171A,59,ST,229.4,1,X,20181005
4500000157,00008,MZ-RM-M550-08,1710,171A,59,ST,114.7,1,X,20181005
4500000157,00009,MZ-RM-M550-09,1710,171A,59,ST,382.33,1,X,20181005
4500000157,00010,MZ-RM-M550-10,1710,171A,59,ST,95.58,1,X,20181005
4500000159,00001,MZ-RM-M500-01,1710,171A,38,ST,114.42,1,X,20181005
4500000159,00002,MZ-RM-M500-02,1710,171A,38,ST,9.54,1,X,20181005
4500000159,00003,MZ-RM-M500-03,1710,171A,38,ST,9.54,1,X,20181005
4500000159,00004,MZ-RM-M500-04,1710,171A,76,ST,16.69,1,X,20181005
4500000159,00005,MZ-RM-M500-05,1710,171A,38,ST,38.14,1,X,20181005
4500000159,00006,MZ-RM-M500-06,1710,171A,38,ST,33.37,1,X,20181005
4500000159,00007,MZ-RM-M500-07,1710,171A,38,ST,57.21,1,X,20181005
4500000159,00008,MZ-RM-M500-08,1710,171A,38,ST,28.61,1,X,20181005
4500000159,00009,MZ-RM-M500-09,1710,171A,38,ST,123.96,1,X,20181005
4500000159,00010,MZ-RM-M500-10,1710,171A,38,ST,28.61,1,X,20181005
4500000169,00001,MZ-RM-M550-01,1710,171A,35,ST,669.08,1,X,20181008
4500000169,00002,MZ-RM-M550-02,1710,171A,35,ST,38.23,1,X,20181008
4500000169,00003,MZ-RM-M550-03,1710,171A,35,ST,38.23,1,X,20181008
4500000169,00004,MZ-RM-M550-04,1710,171A,70,ST,47.79,1,X,20181008
4500000169,00005,MZ-RM-M550-05,1710,171A,35,ST,152.93,1,X,20181008
4500000169,00006,MZ-RM-M550-06,1710,171A,35,ST,95.58,1,X,20181008
4500000169,00007,MZ-RM-M550-07,1710,171A,35,ST,229.4,1,X,20181008
4500000169,00008,MZ-RM-M550-08,1710,171A,35,ST,114.7,1,X,20181008
4500000169,00009,MZ-RM-M550-09,1710,171A,35,ST,382.33,1,X,20181008
4500000169,00010,MZ-RM-M550-10,1710,171A,35,ST,95.58,1,X,20181008
4500000171,00001,MZ-RM-M500-01,1710,171A,93,ST,114.42,1,X,20181008
4500000171,00002,MZ-RM-M500-02,1710,171A,93,ST,9.54,1,X,20181008
4500000171,00003,MZ-RM-M500-03,1710,171A,93,ST,9.54,1,X,20181008
4500000171,00004,MZ-RM-M500-04,1710,171A,186,ST,16.69,1,X,20181008
4500000171,00005,MZ-RM-M500-05,1710,171A,93,ST,38.14,1,X,20181008
4500000171,00006,MZ-RM-M500-06,1710,171A,93,ST,33.37,1,X,20181008
4500000171,00007,MZ-RM-M500-07,1710,171A,93,ST,57.21,1,X,20181008
4500000171,00008,MZ-RM-M500-08,1710,171A,93,ST,28.61,1,X,20181008
4500000171,00009,MZ-RM-M500-09,1710,171A,93,ST,123.96,1,X,20181008
4500000171,00010,MZ-RM-M500-10,1710,171A,93,ST,28.61,1,X,20181008
4500000181,00001,MZ-RM-M550-01,1710,171A,59,ST,669.08,1,X,20181009
4500000181,00002,MZ-RM-M550-02,1710,171A,59,ST,38.23,1,X,20181009
4500000181,00003,MZ-RM-M550-03,1710,171A,59,ST,38.23,1,X,20181009
4500000181,00004,MZ-RM-M550-04,1710,171A,118,ST,47.79,1,X,20181009
4500000181,00005,MZ-RM-M550-05,1710,171A,59,ST,152.93,1,X,20181009
4500000181,00006,MZ-RM-M550-06,1710,171A,59,ST,95.58,1,X,20181009
4500000181,00007,MZ-RM-M550-07,1710,171A,59,ST,229.4,1,X,20181009
4500000181,00008,MZ-RM-M550-08,1710,171A,59,ST,114.7,1,X,20181009
4500000181,00009,MZ-RM-M550-09,1710,171A,59,ST,382.33,1,X,20181009
4500000181,00010,MZ-RM-M550-10,1710,171A,59,ST,95.58,1,X,20181009
4500000183,00001,MZ-RM-M500-01,1710,171A,68,ST,114.42,1,X,20181009
4500000183,00002,MZ-RM-M500-02,1710,171A,68,ST,9.54,1,X,20181009
4500000183,00003,MZ-RM-M500-03,1710,171A,68,ST,9.54,1,X,20181009
4500000183,00004,MZ-RM-M500-04,1710,171A,136,ST,16.69,1,X,20181009
4500000183,00005,MZ-RM-M500-05,1710,171A,68,ST,38.14,1,X,20181009
4500000183,00006,MZ-RM-M500-06,1710,171A,68,ST,33.37,1,X,20181009
4500000183,00007,MZ-RM-M500-07,1710,171A,68,ST,57.21,1,X,20181009
4500000183,00008,MZ-RM-M500-08,1710,171A,68,ST,28.61,1,X,20181009
4500000183,00009,MZ-RM-M500-09,1710,171A,68,ST,123.96,1,X,20181009
4500000183,00010,MZ-RM-M500-10,1710,171A,68,ST,28.61,1,X,20181009
4500000193,00001,MZ-RM-M550-01,1710,171A,59,ST,669.08,1,X,20181009
4500000193,00002,MZ-RM-M550-02,1710,171A,59,ST,38.23,1,X,20181009
4500000193,00003,MZ-RM-M550-03,1710,171A,59,ST,38.23,1,X,20181009
4500000193,00004,MZ-RM-M550-04,1710,171A,118,ST,47.79,1,X,20181009
4500000193,00005,MZ-RM-M550-05,1710,171A,59,ST,152.93,1,X,20181009
4500000193,00006,MZ-RM-M550-06,1710,171A,59,ST,95.58,1,X,20181009
4500000193,00007,MZ-RM-M550-07,1710,171A,59,ST,229.4,1,X,20181009
4500000193,00008,MZ-RM-M550-08,1710,171A,59,ST,114.7,1,X,20181009
4500000193,00009,MZ-RM-M550-09,1710,171A,59,ST,382.33,1,X,20181009
4500000193,00010,MZ-RM-M550-10,1710,171A,59,ST,95.58,1,X,20181009
4500000195,00001,MZ-RM-M500-01,1710,171A,68,ST,114.42,1,X,20181009
4500000195,00002,MZ-RM-M500-02,1710,171A,68,ST,9.54,1,X,20181009
4500000195,00003,MZ-RM-M500-03,1710,171A,68,ST,9.54,1,X,20181009
4500000195,00004,MZ-RM-M500-04,1710,171A,136,ST,16.69,1,X,20181009
4500000195,00005,MZ-RM-M500-05,1710,171A,68,ST,38.14,1,X,20181009
4500000195,00006,MZ-RM-M500-06,1710,171A,68,ST,33.37,1,X,20181009
4500000195,00007,MZ-RM-M500-07,1710,171A,68,ST,57.21,1,X,20181009
4500000195,00008,MZ-RM-M500-08,1710,171A,68,ST,28.61,1,X,20181009
4500000195,00009,MZ-RM-M500-09,1710,171A,68,ST,123.96,1,X,20181009
4500000195,00010,MZ-RM-M500-10,1710,171A,68,ST,28.61,1,X,20181009
4500000215,00001,MZ-RM-M550-01,1710,171A,21,ST,669.08,1,X,20181023
4500000215,00002,MZ-RM-M550-02,1710,171A,21,ST,38.23,1,X,20181023
4500000215,00003,MZ-RM-M550-03,1710,171A,21,ST,38.23,1,X,20181023
4500000215,00004,MZ-RM-M550-04,1710,171A,42,ST,47.79,1,X,20181023
4500000215,00005,MZ-RM-M550-05,1710,171A,21,ST,152.93,1,X,20181023
4500000215,00006,MZ-RM-M550-06,1710,171A,21,ST,95.58,1,X,20181023
4500000215,00007,MZ-RM-M550-07,1710,171A,21,ST,229.4,1,X,20181023
4500000215,00008,MZ-RM-M550-08,1710,171A,21,ST,114.7,1,X,20181023
4500000215,00009,MZ-RM-M550-09,1710,171A,21,ST,382.33,1,X,20181023
4500000215,00010,MZ-RM-M550-10,1710,171A,21,ST,95.58,1,X,20181023
4500000217,00001,MZ-RM-M500-01,1710,171A,78,ST,114.42,1,X,20181023
4500000217,00002,MZ-RM-M500-02,1710,171A,78,ST,9.54,1,X,20181023
4500000217,00003,MZ-RM-M500-03,1710,171A,78,ST,9.54,1,X,20181023
4500000217,00004,MZ-RM-M500-04,1710,171A,156,ST,16.69,1,X,20181023
4500000217,00005,MZ-RM-M500-05,1710,171A,78,ST,38.14,1,X,20181023
4500000217,00006,MZ-RM-M500-06,1710,171A,78,ST,33.37,1,X,20181023
4500000217,00007,MZ-RM-M500-07,1710,171A,78,ST,57.21,1,X,20181023
4500000217,00008,MZ-RM-M500-08,1710,171A,78,ST,28.61,1,X,20181023
4500000217,00009,MZ-RM-M500-09,1710,171A,78,ST,123.96,1,X,20181023
4500000217,00010,MZ-RM-M500-10,1710,171A,78,ST,28.61,1,X,20181023
4500000258,00001,MZ-RM-M550-01,1710,171A,11,ST,669.08,1,X,20181106
4500000258,00002,MZ-RM-M550-02,1710,171A,11,ST,38.23,1,X,20181106
4500000258,00003,MZ-RM-M550-03,1710,171A,11,ST,38.23,1,X,20181106
4500000258,00004,MZ-RM-M550-04,1710,171A,22,ST,47.79,1,X,20181106
4500000258,00005,MZ-RM-M550-05,1710,171A,11,ST,152.93,1,X,20181106
4500000258,00006,MZ-RM-M550-06,1710,171A,11,ST,95.58,1,X,20181106
4500000258,00007,MZ-RM-M550-07,1710,171A,11,ST,229.4,1,X,20181106
4500000258,00008,MZ-RM-M550-08,1710,171A,11,ST,114.7,1,X,20181106
4500000258,00009,MZ-RM-M550-09,1710,171A,11,ST,382.33,1,X,20181106
4500000258,00010,MZ-RM-M550-10,1710,171A,11,ST,95.58,1,X,20181106
4500000260,00001,MZ-RM-M500-01,1710,171A,67,ST,114.42,1,X,20181106
4500000260,00002,MZ-RM-M500-02,1710,171A,67,ST,9.54,1,X,20181106
4500000260,00003,MZ-RM-M500-03,1710,171A,67,ST,9.54,1,X,20181106
4500000260,00004,MZ-RM-M500-04,1710,171A,134,ST,16.69,1,X,20181106
4500000260,00005,MZ-RM-M500-05,1710,171A,67,ST,38.14,1,X,20181106
4500000260,00006,MZ-RM-M500-06,1710,171A,67,ST,33.37,1,X,20181106
4500000260,00007,MZ-RM-M500-07,1710,171A,67,ST,57.21,1,X,20181106
4500000260,00008,MZ-RM-M500-08,1710,171A,67,ST,28.61,1,X,20181106
4500000260,00009,MZ-RM-M500-09,1710,171A,67,ST,123.96,1,X,20181106
4500000260,00010,MZ-RM-M500-10,1710,171A,67,ST,28.61,1,X,20181106
4500000283,00001,MZ-RM-M550-01,1710,171A,50,ST,669.08,1,X,20190116
4500000283,00002,MZ-RM-M550-02,1710,171A,50,ST,38.23,1,X,20190116
4500000283,00003,MZ-RM-M550-03,1710,171A,50,ST,38.23,1,X,20190116
4500000283,00004,MZ-RM-M550-04,1710,171A,100,ST,47.79,1,X,20190116
4500000283,00005,MZ-RM-M550-05,1710,171A,50,ST,152.93,1,X,20190116
4500000283,00006,MZ-RM-M550-06,1710,171A,50,ST,95.58,1,X,20190116
4500000283,00007,MZ-RM-M550-07,1710,171A,50,ST,229.4,1,X,20190116
4500000283,00008,MZ-RM-M550-08,1710,171A,50,ST,114.7,1,X,20190116
4500000283,00009,MZ-RM-M550-09,1710,171A,50,ST,382.33,1,X,20190116
4500000283,00010,MZ-RM-M550-10,1710,171A,50,ST,95.58,1,X,20190116
4500000285,00001,MZ-RM-M500-01,1710,171A,102,ST,114.42,1,X,20190116
4500000285,00002,MZ-RM-M500-02,1710,171A,102,ST,9.54,1,X,20190116
4500000285,00003,MZ-RM-M500-03,1710,171A,102,ST,9.54,1,X,20190116
4500000285,00004,MZ-RM-M500-04,1710,171A,204,ST,16.69,1,X,20190116
4500000285,00005,MZ-RM-M500-05,1710,171A,102,ST,38.14,1,X,20190116
4500000285,00006,MZ-RM-M500-06,1710,171A,102,ST,33.37,1,X,20190116
4500000285,00007,MZ-RM-M500-07,1710,171A,102,ST,57.21,1,X,20190116
4500000285,00008,MZ-RM-M500-08,1710,171A,102,ST,28.61,1,X,20190116
4500000285,00009,MZ-RM-M500-09,1710,171A,102,ST,123.96,1,X,20190116
4500000285,00010,MZ-RM-M500-10,1710,171A,102,ST,28.61,1,X,20190116
4500000295,00001,MZ-RM-M550-01,1710,171A,77,ST,669.08,1,X,20190131
4500000295,00002,MZ-RM-M550-02,1710,171A,77,ST,38.23,1,X,20190131
4500000295,00003,MZ-RM-M550-03,1710,171A,77,ST,38.23,1,X,20190131
4500000295,00004,MZ-RM-M550-04,1710,171A,154,ST,47.79,1,X,20190131
4500000295,00005,MZ-RM-M550-05,1710,171A,77,ST,152.93,1,X,20190131
4500000295,00006,MZ-RM-M550-06,1710,171A,77,ST,95.58,1,X,20190131
4500000295,00007,MZ-RM-M550-07,1710,171A,77,ST,229.4,1,X,20190131
4500000295,00008,MZ-RM-M550-08,1710,171A,77,ST,114.7,1,X,20190131
4500000295,00009,MZ-RM-M550-09,1710,171A,77,ST,382.33,1,X,20190131
4500000295,00010,MZ-RM-M550-10,1710,171A,77,ST,95.58,1,X,20190131
4500000297,00001,MZ-RM-M500-01,1710,171A,89,ST,114.42,1,X,20190131
4500000297,00002,MZ-RM-M500-02,1710,171A,89,ST,9.54,1,X,20190131
4500000297,00003,MZ-RM-M500-03,1710,171A,89,ST,9.54,1,X,20190131
4500000297,00004,MZ-RM-M500-04,1710,171A,178,ST,16.69,1,X,20190131
4500000297,00005,MZ-RM-M500-05,1710,171A,89,ST,38.14,1,X,20190131
4500000297,00006,MZ-RM-M500-06,1710,171A,89,ST,33.37,1,X,20190131
4500000297,00007,MZ-RM-M500-07,1710,171A,89,ST,57.21,1,X,20190131
4500000297,00008,MZ-RM-M500-08,1710,171A,89,ST,28.61,1,X,20190131
4500000297,00009,MZ-RM-M500-09,1710,171A,89,ST,123.96,1,X,20190131
4500000297,00010,MZ-RM-M500-10,1710,171A,89,ST,28.61,1,X,20190131
4500000320,00001,MZ-RM-M550-01,1710,171A,97,ST,669.08,1,X,20190226
4500000320,00002,MZ-RM-M550-02,1710,171A,97,ST,38.23,1,X,20190226
4500000320,00003,MZ-RM-M550-03,1710,171A,97,ST,38.23,1,X,20190226
4500000320,00004,MZ-RM-M550-04,1710,171A,194,ST,47.79,1,X,20190226
4500000320,00005,MZ-RM-M550-05,1710,171A,97,ST,152.93,1,X,20190226
4500000320,00006,MZ-RM-M550-06,1710,171A,97,ST,95.58,1,X,20190226
4500000320,00007,MZ-RM-M550-07,1710,171A,97,ST,229.4,1,X,20190226
4500000320,00008,MZ-RM-M550-08,1710,171A,97,ST,114.7,1,X,20190226
4500000320,00009,MZ-RM-M550-09,1710,171A,97,ST,382.33,1,X,20190226
4500000320,00010,MZ-RM-M550-10,1710,171A,97,ST,95.58,1,X,20190226
4500000322,00001,MZ-RM-M500-01,1710,171A,214,ST,114.42,1,X,20190226
4500000322,00002,MZ-RM-M500-02,1710,171A,214,ST,9.54,1,X,20190226
