VBELN,POSNR,MATNR,WERKS,KWMENG,VRKME,NETPR,WAERK,PSTYV
0020000834,000010,MZ-FG-C990,1710,129,ST,1002,USD,AGN
0020000835,000010,MZ-FG-C990,1710,5,ST,1002,USD,AGN
0020000836,000010,MZ-FG-C990,1710,158,ST,1002,USD,AGN
0020000837,000010,MZ-FG-C990,1710,11,ST,1002,USD,AGN
0020000838,000010,MZ-FG-C990,1710,1,ST,1002,USD,AGN
0020000839,000010,MZ-FG-M500,1710,33,ST,889,USD,AGN
0020000840,000010,MZ-FG-M500,1710,12,ST,889,USD,AGN
0020000841,000010,MZ-FG-M500,1710,4,ST,889,USD,AGN
0020000842,000010,MZ-FG-M500,1710,18,ST,889,USD,AGN
0020000843,000010,MZ-FG-M500,1710,1,ST,889,USD,AGN
0020000844,000010,MZ-FG-M525,1710,65,ST,1587,USD,AGN
0020000845,000010,MZ-FG-M525,1710,19,ST,1587,USD,AGN
0020000846,000010,MZ-FG-M525,1710,77,ST,1587,USD,AGN
0020000847,000010,MZ-FG-M525,1710,34,ST,1587,USD,AGN
0020000848,000010,MZ-FG-M525,1710,14,ST,1587,USD,AGN
0020000849,000010,MZ-FG-M525,1710,17,ST,1587,USD,AGN
0020000850,000010,MZ-FG-M550,1710,17,ST,3892,USD,AGN
0020000851,000010,MZ-FG-M550,1710,15,ST,3892,USD,AGN
0020000852,000010,MZ-FG-M550,1710,9,ST,3892,USD,AGN
0020000853,000010,MZ-FG-R100,1710,15,ST,565,USD,AGN
0020000854,000010,MZ-FG-R100,1710,25,ST,565,USD,AGN
0020000855,000010,MZ-FG-R100,1710,12,ST,565,USD,AGN
0020000856,000010,MZ-FG-R100,1710,4,ST,565,USD,AGN
0060000000,000010,TG11,1710,2,ST,0,USD,CPN
0020000858,000010,MZ-FG-R200,1710,5,ST,3977,USD,AGN
0020000859,000010,MZ-FG-R200,1710,22,ST,3977,USD,AGN
0020000860,000010,MZ-FG-R200,1710,3,ST,3977,USD,AGN
0020000861,000010,MZ-FG-R200,1710,30,ST,3977,USD,AGN
0020000862,000010,MZ-FG-R200,1710,28,ST,3977,USD,AGN
0020000863,000010,MZ-FG-R300,1710,1,ST,7741,USD,AGN
0020000864,000010,MZ-FG-R300,1710,2,ST,7741,USD,AGN
0020000865,000010,MZ-FG-R300,1710,17,ST,7741,USD,AGN
0020000866,000010,MZ-FG-R300,1710,26,ST,7741,USD,AGN
0020000867,000010,MZ-FG-R300,1710,2,ST,7741,USD,AGN
0000000396,000010,TG11,1710,20,ST,17.55,USD,TAN
0000000408,000010,TG11,1710,10,ST,17.55,USD,TAN
0000000417,000010,TG11,1710,10,ST,17.55,USD,TAN
0000000385,000010,TG11,1710,60,ST,17.55,USD,TAN
0000000418,000010,TG11,1710,20,ST,17.55,USD,TAN
0000001406,000010,MZ-FG-C950,1710,12,ST,675,USD,TAN
0020000403,000010,MZ-FG-C950,1710,12,ST,675,USD,AGN
0000001451,000010,MZ-FG-C950,1710,12,ST,675,USD,TAN
0020000448,000010,MZ-FG-C950,1710,12,ST,675,USD,AGN
0000001496,000010,MZ-FG-C950,1710,12,ST,675,USD,TAN
0020000493,000010,MZ-FG-C950,1710,12,ST,675,USD,AGN
0000001545,000010,MZ-FG-C900,1710,15,ST,440,USD,TAN
0020000542,000010,MZ-FG-C900,1710,15,ST,440,USD,AGN
0000001966,000010,TG11,1710,10,ST,17.55,USD,TAN
0000000709,000010,TG11,1710,980,ST,17.55,USD,TAN
0000000709,000020,TG11,1710,20,ST,0,USD,TANN
0000001880,000010,MZ-FG-C900,1710,39,ST,440,USD,TAN
0000001881,000010,MZ-FG-C900,1710,31,ST,440,USD,TAN
0000001882,000010,MZ-FG-C900,1710,2,ST,440,USD,TAN
0000001883,000010,MZ-FG-C900,1710,30,ST,440,USD,TAN
0000001884,000010,MZ-FG-C900,1710,35,ST,440,USD,TAN
0000001885,000010,MZ-FG-C900,1710,53,ST,440,USD,TAN
0000001886,000010,MZ-FG-C950,1710,49,ST,675,USD,TAN
0000001887,000010,MZ-FG-C950,1710,39,ST,675,USD,TAN
0000001888,000010,MZ-FG-C950,1710,13,ST,675,USD,TAN
0000001889,000010,MZ-FG-C950,1710,22,ST,675,USD,TAN
0000001890,000010,MZ-FG-C950,1710,7,ST,675,USD,TAN
0000001891,000010,MZ-FG-C950,1710,11,ST,675,USD,TAN
0000001892,000010,MZ-FG-C990,1710,125,ST,1002,USD,TAN
0000001893,000010,MZ-FG-C990,1710,129,ST,1002,USD,TAN
0000001894,000010,MZ-FG-C990,1710,5,ST,1002,USD,TAN
0000001895,000010,MZ-FG-C990,1710,158,ST,1002,USD,TAN
0000001896,000010,MZ-FG-C990,1710,11,ST,1002,USD,TAN
0000001897,000010,MZ-FG-C990,1710,1,ST,1002,USD,TAN
0000001898,000010,MZ-FG-M500,1710,33,ST,889,USD,TAN
0000001899,000010,MZ-FG-M500,1710,12,ST,889,USD,TAN
0000001900,000010,MZ-FG-M500,1710,4,ST,889,USD,TAN
0000001901,000010,MZ-FG-M500,1710,18,ST,889,USD,TAN
0000001902,000010,MZ-FG-M500,1710,1,ST,889,USD,TAN
0000001903,000010,MZ-FG-M525,1710,65,ST,1587,USD,TAN
0000001904,000010,MZ-FG-M525,1710,19,ST,1587,USD,TAN
0000001905,000010,MZ-FG-M525,1710,77,ST,1587,USD,TAN
0000001906,000010,MZ-FG-M525,1710,34,ST,1587,USD,TAN
0000001907,000010,MZ-FG-M525,1710,14,ST,1587,USD,TAN
0000001908,000010,MZ-FG-M525,1710,17,ST,1587,USD,TAN
0000001909,000010,MZ-FG-M550,1710,17,ST,3892,USD,TAN
0000001910,000010,MZ-FG-M550,1710,15,ST,3892,USD,TAN
0000001911,000010,MZ-FG-M550,1710,9,ST,3892,USD,TAN
0000001912,000010,MZ-FG-R100,1710,15,ST,565,USD,TAN
0000001913,000010,MZ-FG-R100,1710,25,ST,565,USD,TAN
0000001914,000010,MZ-FG-R100,1710,12,ST,565,USD,TAN
0000001915,000010,MZ-FG-R100,1710,4,ST,565,USD,TAN
0000001917,000010,MZ-FG-R200,1710,5,ST,3977,USD,TAN
0000001918,000010,MZ-FG-R200,1710,22,ST,3977,USD,TAN
0000001919,000010,MZ-FG-R200,1710,3,ST,3977,USD,TAN
0000001920,000010,MZ-FG-R200,1710,30,ST,3977,USD,TAN
0000001921,000010,MZ-FG-R200,1710,28,ST,3977,USD,TAN
0000001922,000010,MZ-FG-R300,1710,1,ST,7741,USD,TAN
0000001923,000010,MZ-FG-R300,1710,2,ST,7741,USD,TAN
0000001924,000010,MZ-FG-R300,1710,17,ST,7741,USD,TAN
0000001925,000010,MZ-FG-R300,1710,26,ST,7741,USD,TAN
0000001926,000010,MZ-FG-R300,1710,2,ST,7741,USD,TAN
0000000704,000010,TG11,1710,122,ST,17.55,USD,TAN
0200000002,000010,TG11,1710,10,ST,17.55,USD,CIN
0200000003,000010,TG11,1710,10,ST,17.55,USD,CRN
0060000054,000010,TG11,1710,10,ST,0,USD,CPN
0060000055,000010,TG11,1710,10,ST,0,USD,CPN
0020000194,000010,TG11,1710,1,ST,17.55,USD,AGN
0000001948,000010,TG11,1710,10,ST,17.55,USD,TAN
0060000057,000010,TG11,1710,2,ST,17.55,USD,CBEN
0060000058,000010,TG11,1710,1,ST,17.55,USD,RENV
0000001949,000010,TG11,1710,1,ST,0,USD,CBXN
0000000728,000020,CM-FL-V00,1710,7,ST,8400,USD,CBTC
0000000728,000010,CM-FL-V01,1710,1,ST,8000,USD,CBTC
0020000009,000010,CM-FL-V01,1710,1,ST,8000,USD,CBAQ
0020000009,000020,CM-FL-V00,1710,7,ST,8400,USD,CBAQ
0000000727,000010,CM-FL-V01,1710,1,ST,8000,USD,CBTC
0000000813,000010,TG11,1710,1,ST,1,USD,TANN
0000001975,000010,TG11,1710,10,ST,17.55,USD,TAN
0000000708,000010,TG11,1710,27,ST,17.55,USD,TAN
0060000060,000010,TG11,1710,0,ST,17.55,USD,G2N
0060000061,000010,TG11,1710,0,ST,17.55,USD,G2N
0060000062,000010,TG11,1710,0,ST,17.55,USD,G2N
0000002237,000010,MZ-FG-R300,1710,23,ST,7741,USD,TAN
0020001527,000010,MZ-FG-C900,1710,21,ST,440,USD,AGN
0060000069,000010,TG11,1710,0,ST,17.55,USD,G2N
0000001971,000010,MZ-FG-C900,1710,1,ST,440,USD,TAN
0000001965,000010,TG11,1710,10,ST,17.55,USD,TAN
0020000889,000010,TG11,1710,14,ST,17.55,USD,AGN
0020001525,000010,MZ-FG-C900,1710,88,ST,440,USD,AGN
0000001962,000010,TG11,1710,10,ST,17.55,USD,TAN
0000001967,000010,TG11,1710,12,ST,17.55,USD,TAN
0000001988,000010,MZ-FG-C950,1710,7,ST,675,USD,TAN
0020000963,000010,MZ-FG-C950,1710,7,ST,675,USD,AGN
0020000890,000010,TG11,1710,10,ST,17.55,USD,AGN
0020001528,000010,MZ-FG-C900,1710,52,ST,440,USD,AGN
0000001969,000010,TG11,1710,100,ST,17.55,USD,TAN
0060000071,000020,TG11,1710,0,ST,12,USD,L2N
0060000071,000010,TG11,1710,0,ST,17.55,USD,G2N
0000002026,000010,MZ-FG-R200,1710,22,ST,3977,USD,TAN
0000001970,000010,TG11,1710,150,ST,17.55,USD,TAN
0020000891,000010,CM-FL-V00,1710,2,ST,8027.1,USD,CBAQ
0020000972,000010,MZ-FG-C990,1710,5,ST,1002,USD,AGN
0000001996,000010,MZ-FG-C990,1710,16,ST,1002,USD,TAN
0000001995,000010,MZ-FG-C990,1710,64,ST,1002,USD,TAN
0060000043,000010,TG11,1710,0,ST,1.75,USD,GAN2
0000003028,000020,ZPRINTER01,1710,1,ST,500,USD,TAN
0000001994,000010,MZ-FG-C990,1710,7,ST,1002,USD,TAN
0000001990,000010,MZ-FG-C950,1710,2,ST,675,USD,TAN
0020001869,000010,TG11,1710,1,ST,1755,USD,AGN
0000003029,000010,TG11,1710,50,ST,17.55,USD,TAN
0020001001,000010,MZ-FG-R200,1710,22,ST,3977,USD,AGN
0000002017,000010,MZ-FG-R100,1710,10,ST,565,USD,TAN
0020000992,000010,MZ-FG-R100,1710,10,ST,565,USD,AGN
0020001529,000010,MZ-FG-C900,1710,88,ST,440,USD,AGN
0000001991,000010,MZ-FG-C950,1710,12,ST,675,USD,TAN
0000001992,000010,MZ-FG-C990,1710,80,ST,1002,USD,TAN
0000001993,000010,MZ-FG-C990,1710,8,ST,1002,USD,TAN
0020000967,000010,MZ-FG-C990,1710,80,ST,1002,USD,AGN
0020000966,000010,MZ-FG-C950,1710,12,ST,675,USD,AGN
0020000965,000010,MZ-FG-C950,1710,2,ST,675,USD,AGN
0000001989,000010,MZ-FG-C950,1710,8,ST,675,USD,TAN
0020000971,000010,MZ-FG-C990,1710,16,ST,1002,USD,AGN
0020000970,000010,MZ-FG-C990,1710,64,ST,1002,USD,AGN
0020000968,000010,MZ-FG-C990,1710,8,ST,1002,USD,AGN
0020000969,000010,MZ-FG-C990,1710,7,ST,1002,USD,AGN
0000001982,000010,MZ-FG-C900,1710,48,ST,440,USD,TAN
0020000957,000010,MZ-FG-C900,1710,48,ST,440,USD,AGN
0000001983,000010,MZ-FG-C900,1710,11,ST,440,USD,TAN
0020000958,000010,MZ-FG-C900,1710,11,ST,440,USD,AGN
0000001984,000010,MZ-FG-C900,1710,28,ST,440,USD,TAN
0020000959,000010,MZ-FG-C900,1710,28,ST,440,USD,AGN
0060000068,000010,TG11,1710,0,ST,17.55,USD,G2N
0060000063,000010,TG11,1710,0,ST,17.55,USD,G2N
0020000127,000010,TG11,1710,15,ST,17.55,USD,AGN
0020000974,000010,MZ-FG-M500,1710,5,ST,889,USD,AGN
0020000975,000010,MZ-FG-M500,1710,7,ST,889,USD,AGN
0020000976,000010,MZ-FG-M500,1710,10,ST,889,USD,AGN
0020000977,000010,MZ-FG-M500,1710,21,ST,889,USD,AGN
0020000978,000010,MZ-FG-M500,1710,1,ST,889,USD,AGN
0020001208,000010,MZ-FG-R100,1710,10,ST,565,USD,AGN
0020000979,000010,MZ-FG-M525,1710,6,ST,1587,USD,AGN
0060000070,000020,TG11,1710,0,ST,10,USD,L2N
0060000070,000010,TG11,1710,0,ST,17.55,USD,G2N
0000002298,000010,MZ-FG-R100,1710,10,ST,565,USD,TAN
0020000964,000010,MZ-FG-C950,1710,8,ST,675,USD,AGN
0000001987,000010,MZ-FG-C950,1710,5,ST,675,USD,TAN
0020000962,000010,MZ-FG-C950,1710,5,ST,675,USD,AGN
0000001985,000010,MZ-FG-C900,1710,37,ST,440,USD,TAN
0020000960,000010,MZ-FG-C900,1710,37,ST,440,USD,AGN
0000001986,000010,MZ-FG-C950,1710,9,ST,675,USD,TAN
0020000961,000010,MZ-FG-C950,1710,9,ST,675,USD,AGN
0000001980,000010,MZ-FG-C900,1710,18,ST,440,USD,TAN
0020000123,000010,TG11,1710,34,ST,17.55,USD,AGN
0000001981,000010,MZ-FG-C900,1710,22,ST,440,USD,TAN
0000002043,000010,CM-FL-V01,1710,1,ST,8000,USD,CBTC
0020000980,000010,MZ-FG-M525,1710,20,ST,1587,USD,AGN
0020000981,000010,MZ-FG-M525,1710,75,ST,1587,USD,AGN
0020000982,000010,MZ-FG-M525,1710,8,ST,1587,USD,AGN
0020000983,000010,MZ-FG-M525,1710,73,ST,1587,USD,AGN
0020000984,000010,MZ-FG-M525,1710,22,ST,1587,USD,AGN
0020000985,000010,MZ-FG-M550,1710,1,ST,3892,USD,AGN
0020000994,000010,MZ-FG-R100,1710,2,ST,565,USD,AGN
0020000995,000010,MZ-FG-R100,1710,2,ST,565,USD,AGN
0020001000,000010,MZ-FG-R200,1710,2,ST,3977,USD,AGN
0020001169,000010,MZ-FG-C900,1710,48,ST,440,USD,AGN
0020001002,000010,MZ-FG-R300,1710,1,ST,7741,USD,AGN
0020001003,000010,MZ-FG-R300,1710,26,ST,7741,USD,AGN
0020001004,000010,MZ-FG-R300,1710,2,ST,7741,USD,AGN
0020001005,000010,MZ-FG-R300,1710,1,ST,7741,USD,AGN
0020001006,000010,MZ-FG-R300,1710,40,ST,7741,USD,AGN
0020001007,000010,MZ-FG-R300,1710,24,ST,7741,USD,AGN
0000001998,000010,MZ-FG-M500,1710,17,ST,889,USD,TAN
0000001999,000010,MZ-FG-M500,1710,5,ST,889,USD,TAN
0000002000,000010,MZ-FG-M500,1710,7,ST,889,USD,TAN
0000002001,000010,MZ-FG-M500,1710,10,ST,889,USD,TAN
0000002002,000010,MZ-FG-M500,1710,21,ST,889,USD,TAN
0000002003,000010,MZ-FG-M500,1710,1,ST,889,USD,TAN
0000002004,000010,MZ-FG-M525,1710,6,ST,1587,USD,TAN
0000002005,000010,MZ-FG-M525,1710,20,ST,1587,USD,TAN
0000002006,000010,MZ-FG-M525,1710,75,ST,1587,USD,TAN
0000002007,000010,MZ-FG-M525,1710,8,ST,1587,USD,TAN
0000002008,000010,MZ-FG-M525,1710,73,ST,1587,USD,TAN
0000002009,000010,MZ-FG-M525,1710,22,ST,1587,USD,TAN
0000002010,000010,MZ-FG-M550,1710,1,ST,3892,USD,TAN
0000002015,000010,MZ-FG-R100,1710,1,ST,565,USD,TAN
0000002018,000010,MZ-FG-R100,1710,29,ST,565,USD,TAN
0000002019,000010,MZ-FG-R100,1710,2,ST,565,USD,TAN
0020000956,000010,MZ-FG-C900,1710,22,ST,440,USD,AGN
0020000955,000010,MZ-FG-C900,1710,18,ST,440,USD,AGN
0000002020,000010,MZ-FG-R100,1710,2,ST,565,USD,TAN
0000002021,000010,MZ-FG-R200,1710,30,ST,3977,USD,TAN
0020000997,000010,MZ-FG-R200,1710,1,ST,3977,USD,AGN
0020000993,000010,MZ-FG-R100,1710,29,ST,565,USD,AGN
0020001170,000010,MZ-FG-C900,1710,27,ST,440,USD,AGN
0020001171,000010,MZ-FG-C900,1710,179,ST,440,USD,AGN
0000002016,000010,MZ-FG-R100,1710,7,ST,565,USD,TAN
0000002022,000010,MZ-FG-R200,1710,1,ST,3977,USD,TAN
0020000991,000010,MZ-FG-R100,1710,7,ST,565,USD,AGN
0000002014,000010,MZ-FG-M550,1710,17,ST,3892,USD,TAN
0020000989,000010,MZ-FG-M550,1710,17,ST,3892,USD,AGN
0000002013,000010,MZ-FG-M550,1710,32,ST,3892,USD,TAN
0020000988,000010,MZ-FG-M550,1710,32,ST,3892,USD,AGN
0000002011,000010,MZ-FG-M550,1710,1,ST,3892,USD,TAN
0000002023,000010,MZ-FG-R200,1710,25,ST,3977,USD,TAN
0000002012,000010,MZ-FG-M550,1710,16,ST,3892,USD,TAN
0020000987,000010,MZ-FG-M550,1710,16,ST,3892,USD,AGN
0000002285,000010,MZ-FG-M525,1710,48,ST,1587,USD,TAN
0020001195,000010,MZ-FG-M525,1710,48,ST,1587,USD,AGN
0000002202,000010,MZ-FG-C950,1710,29,ST,675,USD,TAN
0000001972,000020,S-201,1710,3200,ST,0.65,USD,TAN
0000001972,000010,F-10A,1710,3600,ST,18.65,USD,TAN
0000001964,000010,TG11,1710,3,ST,17.55,USD,TAN
0020001114,000010,MZ-FG-C950,1710,29,ST,675,USD,AGN
0020001530,000010,MZ-FG-C950,1710,21,ST,675,USD,AGN
0000001976,000010,TG11,1710,40,ST,17.55,USD,TAN
0020000193,000010,TG11,1710,50,ST,17.55,USD,AGN
0020001531,000010,MZ-FG-C950,1710,60,ST,675,USD,AGN
0020000999,000010,MZ-FG-R200,1710,3,ST,3977,USD,AGN
0020000998,000010,MZ-FG-R200,1710,25,ST,3977,USD,AGN
0000001963,000010,TG11,1710,3,ST,17.55,USD,TAN
0020001532,000010,MZ-FG-C950,1710,11,ST,675,USD,AGN
0060000072,000010,TG11,1710,0,ST,17.55,USD,G2N
0020001533,000010,MZ-FG-C950,1710,26,ST,675,USD,AGN
0000002024,000010,MZ-FG-R200,1710,3,ST,3977,USD,TAN
0000002025,000010,MZ-FG-R200,1710,2,ST,3977,USD,TAN
0020001534,000010,MZ-FG-C950,1710,11,ST,675,USD,AGN
0020001023,000010,MZ-FG-C900,1710,35,ST,440,USD,AGN
0020001024,000010,MZ-FG-C900,1710,39,ST,440,USD,AGN
0020001025,000010,MZ-FG-C900,1710,35,ST,440,USD,AGN
0020001026,000010,MZ-FG-C900,1710,18,ST,440,USD,AGN
0020001027,000010,MZ-FG-C900,1710,20,ST,440,USD,AGN
0020001028,000010,MZ-FG-C900,1710,1,ST,440,USD,AGN
0020001029,000010,MZ-FG-C950,1710,40,ST,675,USD,AGN
0020001030,000010,MZ-FG-C950,1710,9,ST,675,USD,AGN
0020001031,000010,MZ-FG-C950,1710,72,ST,675,USD,AGN
0020001032,000010,MZ-FG-C950,1710,23,ST,675,USD,AGN
0020001033,000010,MZ-FG-C950,1710,4,ST,675,USD,AGN
0020001034,000010,MZ-FG-C950,1710,1,ST,675,USD,AGN
0020001035,000010,MZ-FG-C990,1710,90,ST,1002,USD,AGN
0020001036,000010,MZ-FG-C990,1710,12,ST,1002,USD,AGN
0020001037,000010,MZ-FG-C990,1710,13,ST,1002,USD,AGN
0020001038,000010,MZ-FG-C990,1710,14,ST,1002,USD,AGN
0020001039,000010,MZ-FG-C990,1710,15,ST,1002,USD,AGN
0020001040,000010,MZ-FG-C990,1710,10,ST,1002,USD,AGN
0020001041,000010,MZ-FG-M500,1710,3,ST,889,USD,AGN
0020001042,000010,MZ-FG-M500,1710,14,ST,889,USD,AGN
0020001043,000010,MZ-FG-M500,1710,16,ST,889,USD,AGN
0020001044,000010,MZ-FG-M500,1710,1,ST,889,USD,AGN
0020001045,000010,MZ-FG-M500,1710,14,ST,889,USD,AGN
0020001046,000010,MZ-FG-M500,1710,8,ST,889,USD,AGN
0020001047,000010,MZ-FG-M525,1710,5,ST,1587,USD,AGN
0020001048,000010,MZ-FG-M525,1710,16,ST,1587,USD,AGN
0020001049,000010,MZ-FG-M525,1710,155,ST,1587,USD,AGN
0020001050,000010,MZ-FG-M525,1710,99,ST,1587,USD,AGN
0020001051,000010,MZ-FG-M525,1710,2,ST,1587,USD,AGN
0020001052,000010,MZ-FG-M525,1710,47,ST,1587,USD,AGN
0020001053,000010,MZ-FG-M550,1710,11,ST,3892,USD,AGN
0020001054,000010,MZ-FG-M550,1710,50,ST,3892,USD,AGN
0020001055,000010,MZ-FG-M550,1710,17,ST,3892,USD,AGN
0020001056,000010,MZ-FG-M550,1710,5,ST,3892,USD,AGN
0020001057,000010,MZ-FG-M550,1710,1,ST,3892,USD,AGN
0020001058,000010,MZ-FG-R100,1710,5,ST,565,USD,AGN
0020001059,000010,MZ-FG-R100,1710,8,ST,565,USD,AGN
0020001060,000010,MZ-FG-R100,1710,19,ST,565,USD,AGN
0020001062,000010,MZ-FG-R100,1710,5,ST,565,USD,AGN
0020001063,000010,MZ-FG-R100,1710,1,ST,565,USD,AGN
0020001064,000010,MZ-FG-R200,1710,27,ST,3977,USD,AGN
0020001065,000010,MZ-FG-R200,1710,23,ST,3977,USD,AGN
0020001066,000010,MZ-FG-R200,1710,17,ST,3977,USD,AGN
0020001067,000010,MZ-FG-R200,1710,3,ST,3977,USD,AGN
0020001068,000010,MZ-FG-R200,1710,1,ST,3977,USD,AGN
0020001069,000010,MZ-FG-R200,1710,11,ST,3977,USD,AGN
0020001070,000010,MZ-FG-R300,1710,17,ST,7741,USD,AGN
0020001071,000010,MZ-FG-R300,1710,36,ST,7741,USD,AGN
0020001072,000010,MZ-FG-R300,1710,11,ST,7741,USD,AGN
0020001073,000010,MZ-FG-R300,1710,2,ST,7741,USD,AGN
0020001535,000010,MZ-FG-C950,1710,8,ST,675,USD,AGN
0000002062,000010,MZ-FG-C900,1710,39,ST,440,USD,TAN
0000002063,000010,MZ-FG-C900,1710,35,ST,440,USD,TAN
0000002064,000010,MZ-FG-C900,1710,18,ST,440,USD,TAN
0000002065,000010,MZ-FG-C900,1710,20,ST,440,USD,TAN
0000002066,000010,MZ-FG-C900,1710,1,ST,440,USD,TAN
0000002067,000010,MZ-FG-C950,1710,40,ST,675,USD,TAN
0000002068,000010,MZ-FG-C950,1710,9,ST,675,USD,TAN
0000002069,000010,MZ-FG-C950,1710,72,ST,675,USD,TAN
0000002070,000010,MZ-FG-C950,1710,23,ST,675,USD,TAN
0000002071,000010,MZ-FG-C950,1710,4,ST,675,USD,TAN
0000002072,000010,MZ-FG-C950,1710,1,ST,675,USD,TAN
0000002073,000010,MZ-FG-C990,1710,90,ST,1002,USD,TAN
0000002074,000010,MZ-FG-C990,1710,12,ST,1002,USD,TAN
0000002075,000010,MZ-FG-C990,1710,13,ST,1002,USD,TAN
0000002076,000010,MZ-FG-C990,1710,14,ST,1002,USD,TAN
0000002077,000010,MZ-FG-C990,1710,15,ST,1002,USD,TAN
0000002078,000010,MZ-FG-C990,1710,10,ST,1002,USD,TAN
0000002079,000010,MZ-FG-M500,1710,3,ST,889,USD,TAN
0000002080,000010,MZ-FG-M500,1710,14,ST,889,USD,TAN
0000002081,000010,MZ-FG-M500,1710,16,ST,889,USD,TAN
0000002082,000010,MZ-FG-M500,1710,1,ST,889,USD,TAN
0000002083,000010,MZ-FG-M500,1710,14,ST,889,USD,TAN
0000002084,000010,MZ-FG-M500,1710,8,ST,889,USD,TAN
0000002085,000010,MZ-FG-M525,1710,5,ST,1587,USD,TAN
0000002086,000010,MZ-FG-M525,1710,16,ST,1587,USD,TAN
0000002087,000010,MZ-FG-M525,1710,155,ST,1587,USD,TAN
0000002088,000010,MZ-FG-M525,1710,99,ST,1587,USD,TAN
0000002089,000010,MZ-FG-M525,1710,2,ST,1587,USD,TAN
0000002090,000010,MZ-FG-M525,1710,47,ST,1587,USD,TAN
0000002091,000010,MZ-FG-M550,1710,11,ST,3892,USD,TAN
0000002092,000010,MZ-FG-M550,1710,50,ST,3892,USD,TAN
0000002093,000010,MZ-FG-M550,1710,17,ST,3892,USD,TAN
0000002094,000010,MZ-FG-M550,1710,5,ST,3892,USD,TAN
0000002095,000010,MZ-FG-M550,1710,1,ST,3892,USD,TAN
0000002096,000010,MZ-FG-R100,1710,5,ST,565,USD,TAN
0000002097,000010,MZ-FG-R100,1710,8,ST,565,USD,TAN
0000002098,000010,MZ-FG-R100,1710,19,ST,565,USD,TAN
