MATNR,SPRAS,MAKTX
SG-CFP-B-BRNG,E,Ball Bearing
SG-CFP-BRNG-BRKT,E,Bearing Bracket
SG-CFP-CON,E,Connector
SG-CFP-CON_BX_CVR,E,Connector Box Cover
SG-CFP-HARNESS,E,Harness
SG-CFP-IMPELLER,E,Impeller
SWN-CFG-SW-S1,E,Software S1
SG-CFP-CON_BK,E,Connector Back
SG-CFP-COUPLER,E,Coupler
SG-CFP-F-SENSOR,E,Flow Sensor
SG-CFP-HOUSING,E,Pump housing
SG-CFP-INBRD_CVR,E,Inboard Cover
SG-CFP-SEAL,E,Seal
SG-CFP-SHAFT,E,Shaft
SG-CFP-V-SENSOR,E,Vibration Sensor
RM5_CP,E,"CP-RM5, Varnish"
RM6_CP,E,"CP-RM6, Pigment"
RM7_CP,E,"CP-RM7, Label"
RM8_CP,E,"CP-RM8, Bottle"
SG-WPM-ELEC-PLUG,E,Electrical Plug
SG-WPM-GEAR-HSNG,E,Gear Housing
SG-WPM-MOTOR-HSG,E,Motor Housing
SG-WPM-RING-GEAR,E,Ring Gear
SG-WPR-MOTOR,E,Wiper Motor
RM27_1,E,"RAW27_1, PD, Packaging"
RM1420,E,"RM1420, PD, Solvent"
RM1430,E,"RM1430, PD, Catalyst"
SG7100,E,"SEMI7100, PD, By-Product"
SG9100,E,"SEMI9100, PD, Co-Product"
SG1010,E,"SEMI1010, PD, Silo material with batch"
SG6100,E,"SEMI6100, PI, PD, Batch"
RM1_CP,E,"CP-RM1, Steel"
RM3_CP,E,"CP-RM3, Retaining Ring"
SG1_CP,E,"CP-SG1, Shaft"
RM2_CP,E,"CP-RM2, Rolling Bearing"
RM4_CP,E,"CP-RM4, Packaging Material"
ZCART01,E,Printer Cartridge AB01
ZTRAY01,E,Paper Tray for Printer Professional
ZPRINTER01,E,Printer Professional ABC
RMJIT01,E,"RAW01,JIT,RepetitiveManuf."
RMJIT02,E,"RAW02,JIT,RepetitiveManuf."
SGJIT01,E,"SEMI01,JIT,RepetitiveManuf."
SGJIT02,E,"SEMI02,JIT,RepetitiveManuf."
SG8100,E,"SEMI8100, PD, Co-Product, FIX Price"
PIP01,E,Pipeline Material 01
SG3_CP,E,"CP-SG1, Shaft"
RMPC07,E,Raw PMA 07
RMPC08,E,Raw PMA 08
SGPCSVT01,E,Semi SVT 01
SGJIT02-SERIALIZED,E,"SERIALIZED MATERIAL, JIT"
RM203,E,Raw Material RM203
RM204,E,Raw Material RM204
ZPRINTER_BOM01,E,BOM for printers 01
SOM_MSU_CLD_INFRA,E,Multi Level Cloud Infrastructure
SOM_MSU_WL_VM,E,Workload - Virtual Machine
SOM_SCR_CLD_STR,E,Cloud Subscription Storage
SOM_SCR_VM_INST_GP,E,VM Instance - General Purpose
SOM_SCR_VM_INST_SO,E,VM Instance - Storage Optimized
SOM_SCR_WL_BR_MTL,E,Workload - Bare Metal
RM1_DS,E,"RM1-DS, Steel"
RM2_DS,E,"RM1-DS, Steel"
SG1_DS,E,"SG1-DS, Shaft"
RM3_DS,E,RAW RM3_DS
RM4_DS,E,RAW RM4_DS
SG233,E,"SEMI233,PD,KANBAN, REM"
SG29,E,"SEM29,PD,QM"
SG23,E,"SEMI23,PD,Subcontracting"
MZ-RM-C900-07,E,Drive Train-900
MZ-RM-C900-04,E,Wheels-900
MZ-RM-C900-06,E,Brakes-900
MZ-RM-C900-05,E,Forks-900
MZ-RM-C950-01,E,Frame-950
MZ-RM-C950-05,E,Forks-950
MZ-RM-C990-02,E,BKC-990 Handle Bars
MZ-RM-C990-05,E,BKC-990 Forks
MZ-RM-C950-04,E,BKC-950 Wheels
MZ-RM-C990-04,E,BKC-990 Wheels
MZ-RM-C950-02,E,Handle Bars-950
MZ-RM-C950-06,E,Brakes-950
MZ-RM-C990-06,E,BKC-990 Brakes
MZ-RM-C950-03,E,Seat - 950
MZ-RM-C950-07,E,Drive Train-950
MZ-RM-C990-01,E,BKC-990 Frame
MZ-RM-C990-03,E,BKC-990 Seat
MZ-RM-C990-09,E,BKC-990 Drive Train
MZ-RM-M500-01,E,Frame-500
MZ-RM-M500-02,E,Handle Bars-500
MZ-RM-M500-03,E,Seat - 500
MZ-RM-M500-04,E,Wheels-500
MZ-RM-M500-05,E,Forks-500
MZ-RM-M500-06,E,Brakes-500
MZ-RM-M500-09,E,Drive Train-500
MZ-RM-M500-10,E,Shock Kit-500
MZ-RM-M500-07,E,Derailleur Gears-500
MZ-RM-M500-08,E,Pedal Kit-500
MZ-RM-M525-01,E,BKR-525 Frame
MZ-RM-M525-02,E,BKM-525 Handle Bars
SG27,E,"SEMI27,PD,Subcontracting"
SG26,E,"SEMI26,PD,Subcontracting"
SG224,E,"SEMI224,MTO,PD,Subassembly"
SG25,E,"SEMI25,PD,ExternalProcurement"
SG24,E,Dummy Text
SG2_CP,E,"CP-SG2, Ink Bottled"
SG2200,E,"SEMI2200,MTS-PI,PD,with Co- & By-Product"
SG234,E,"SEMI234,PD,KANBAN, MTS"
SG30,E,"SEM30,PD,PP"
FG233,E,"FERT 233, PD, Repetitive Manuf."
FG129,E,"FIN129,MTS-DI,PD,QM"
CM-FL-V01,E,Forklift
CM-FL-V00,E,Forklift
FG-FL-MV-V00,E,Forklift - Material variant
MZ-RM-C900-01,E,Frame 900
MZ-RM-C900-02,E,Handle Bars-900
MZ-RM-C900-03,E,Seat - 900
MZ-FG-C900,E,C900 BIKE
MZ-FG-C950,E,C950 BIKE
MZ-FG-M550,E,M550 BIKE
MZ-FG-C990,E,C990 Bike
MZ-FG-M500,E,M500 BIKE
MZ-FG-M525,E,M525 BIKE
MZ-FG-R200,E,R200 Bike
MZ-FG-R100,E,R100 BIKE
MZ-FG-R300,E,R300 Bike
EWMS4-50,E,"FIN50,Fast Moving"
EWMS4-502,E,"RAW502,Fast Moving"
EWMS4-503,E,"RAW503,Fast Moving"
EWMS4-601,E,"RAW601,Fast Moving"
F-10A,E,"FIN10A,MTS-DDMRP,PD"
F-10B,E,"FIN10B,MTS-DDMRP,PD"
CSSRV_02,E,Repair
FG326,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
CM-MLFL-KM-VXX,E,Multi-Level Forklifter
FG-FL-MV-V01,E,Forklift - Material variant 1
FG-FL-MV-V02,E,Forklift - Material variant 2
F-20A,E,"FIN20A,MTS-DDMRP,PD"
FGIPD001,E,Seat
FGME01,E,"FIN01, MTS, ME Integration, A"
FGME02,E,"FIN02, MTS, ME Integration, A"
FGME03,E,"FIN03, MTS, ME Integration, B"
FGME04,E,"FIN04, MTS, ME Integration, B"
FG326_V1,E,"FIN326-V1,PLM,MTS-DI,PD,Batch-Fifo"
FG126,E,"FIN126,MTS-DI,PD,SerialNo"
FG226,E,"FIN226,MTO,PD,Batch-Fifo"
FG126_V1,E,"FIN126,MTS-DI,PD,SerialNo"
FG29,E,Dummy Text
FG2_CP,E,"CP-FG2, Ink Bottled,15 ml"
FG111,E,"FIN111, MTS-DI, PD"
FG111_A,E,"FIN111_A,MTS-DI,PD"
FG111_B,E,"FIN111_B, MTS-DI, PD"
FG111_C,E,"FIN111_C, MTS-DI, PD"
FG29-1,E,"FIN29-1,MTS-PI, with Silo Material"
FG6200,E,"FIN6200, MTO-PI, PD, Batch"
FG6500,E,"FIN6500, PI, PD, Tank Trailer Material"
FG1_CP,E,"CP-FG1, Shaft with Rolling Bearings"
FG326_V2,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
AVC_RBT_APPL_UNIT,E,Application Unit
AVC_RBT_BASE_FRAME,E,Base Frame
AVC_RBT_BUNDLE,E,Robot Bundle
AVC_RBT_CNTRL_BRD,E,Control Board (programmable)
AVC_RBT_CNTRL_CAB,E,Control Canbinet
AVC_RBT_CNTRL_UNIT,E,Control Unit
AVC_RBT_ROBOT,E,Robot Base Unit
AVC_RBT_SEALING,E,Sealing Unit
FG227,E,"FIN227,MTO,PD,SerialNo"
FG3_CP,E,"CP-FG1, Shaft with Rolling Bearings"
CM-FL-V00-3P,E,Forklift for 3rd Party
AVC_RBT_D_ARM_110,E,Dummy Text
AVC_RBT_BRD_PAINT,E,Control Board (Painting)
AVC_RBT_BRD_SEAL,E,Control Board (Sealing)
AVC_RBT_CONTROL,E,Control Unit (Configurable)
AVC_RBT_LINK_ARM,E,Link Arm (Configurable)
AVC_RBT_ROBOT2,E,Robot Multi-Level
FG126_B,E,"FIN126,MTS-DI,PD,SerialNo"
FG126_V9,E,"FIN126,MTS-DI,PD,SerialNo"
FG326_A,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
CM-FL-V02,E,Forklift
AVC_RBT_L_ARM_45,E,Drive Arm Length 45
AVC_RBT_D_ARM_50,E,Drive Arm Length 50
FG130,E,"FIN130,MTS-DI,PD,PP"
FG202,E,Finished Goods FG202
CSSRV_01,E,Maintenance
FG329,E,"FIN329,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,E,"FIN329,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,E,"FIN329,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B1,E,"FIN329,PLM,MTS-DI,PD,Batch-Fifo"
FG228,E,"FIN228,MTO,PD,Fifo"
FG326-V3,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V4,E,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
AVC_RBT_ROBOTS,E,Robot Base Unit
AVC_RBT_ROBO,E,Robot Base Unit
AVC_RB_ROBOTS,E,Robots Base Unit
AVC_RB_ROBOTICS,E,Robots Base Unit
D2O_09077205423_C,E,Support Stand with Sensors and Filter
D2O_0900047034,E,O Ring
D2O_0901513373_C,E,Sensor Washer
D2O_0902056385,E,Pressure Sensor
D2O_0904277018_C,E,Water Storage Unit
D2O_0905271384,E,Fixing Ring
D2O_0905720429,E,Control Valve Module
D2O_0905720543_C,E,Long Pipe Section
D2O_0905720544_C,E,Metal Frame
D2O_0905721007,E,Side Plate - Short
D2O_0905721008,E,Side Plate - Long
D2O_1800481527,E,Connecting Pipe
D2O_0424955000,E,Hexagonal Nut
D2O_0563557002,E,Washer
D2O_0625555452,E,Hexagonal Bolt
D2O_0901513371,E,Stopper
D2O_0903271777_C,E,Stopper_C
FG1_DS,E,"FG1-DS, Shaft with Rolling Bearings"
FG2_DS,E,"FIN FG2 _DS , MTO"
SG2_DS,E,SEMI SG2_DS
FG326,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
SG24,Q,"SEMI24,PD,FIFO šarže"
SG24,C,"SEMI24,PD,FIFO šarže"
SG24,d,"SEMI24,PD,FIFO šarže"
FG326_V2,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V1,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V2,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_A,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG326_V9,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_V1,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,4,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,O,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,T,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,d,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,뱋,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,쁩,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,8,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,B,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,D,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,G,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,K,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B1,1,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B1,2,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
FG329_B1,c,"FIN326,PLM,MTS-DI,PD,Batch-Fifo"
TG11,D,"Handelsware 11, PD, normaler Handel"
R-302,D,"RAW302, PD"
R-401,D,"RAW401, D1"
RM14,D,"RAW14, PD, Lohnbearbeitung"
RM09,D,"RAW09, PD, FIFO Charge"
RM12,D,"RAW12, PD, Serienfertigung"
RM13,D,"RAW13, PD, Lohnbearbeitung"
RM15,D,"RAW15, PD"
RM16,D,"RAW16, PD"
RM17,D,"RAW17, PD"
RM18,D,"RAW18, PD"
RM19,D,"RAW19, PD, FIFO Charge, Lean QM"
RM120,D,"RAW120, PD, qualitätsgeprüft"
RM122,D,"RAW122, PD, FIFO Charge, Import"
RM124,D,"RAW124, VB, Verbrauch, Fixlagerplatz"
RM128,D,"RAW128, PD, Konsignation"
RM20,D,"RAW20, PD"
RM30,D,"RAW30, VB, FIFO Charge"
SG124,D,"SEMI124, PD, Zwischenbaugruppe"
SG21,D,"SEMI21, PD, Serienfertigung"
SG224,D,"SEMI224, MTO, PD, Zwischenbaugruppe"
SG22,D,"SEMI22, PD, Dummy-Baugruppe"
SG23,D,"SEMI23, PD, Lohnbearbeitung"
SG25,D,"SEMI25, PD, Fremdbeschaffung"
FG126,D,"FIN126, MTS-DI, PD, Serialnummer"
FG226,D,"FIN226, MTO, PD, FIFO Charge"
FG29,D,"FIN29, MTS-PI, PD, Charge-Verfalldatum"
RM129,D,"RAW129, PD"
SGPI001,D,AUSBEUTE 1
CM-FL-V01,D,Gabelstapler
CM-FL-V00,D,Gabelstapler
FG-FL-MV-V00,D,Gabelstapler - Materialvariante
RM233-1,D,"RAW233-1, PD, KANBAN, Umlagerung"
RM233-2,D,"RAW233-2, ND, KANBAN, Lieferpläne"
RM233-4,D,"RAW233-4, ND, KANBAN, Lieferpläne"
RM234,D,"RAW234, VB, Serienfertigung"
SG233,D,"SEMI233, PD, KANBAN, Serienfertigung"
FG233,D,"FERT 233, PD, Serienfertigung"
SG29,D,"SEM29,PD,QM"
FG129,D,"FIN129,MTS-DI,PD,QM"
EWMS4-50,D,"FIN50, Schnelldreher"
