RSNUM,RSPOS,MATNR,WERKS,AUFNR,BDMNG,MEINS
0000000028,0009,MZ-RM-R100-10,1710,000001000023,39,ST
0000000029,0001,MZ-RM-M550-01,1710,000001000024,31,ST
0000000029,0002,MZ-RM-M550-02,1710,000001000024,31,ST
0000000029,0003,MZ-RM-M550-03,1710,000001000024,31,ST
0000000029,0004,MZ-RM-M550-04,1710,000001000024,62,ST
0000000029,0005,MZ-RM-M550-05,1710,000001000024,31,ST
0000000029,0006,MZ-RM-M550-06,1710,000001000024,31,ST
0000000029,0007,MZ-RM-M550-07,1710,000001000024,31,ST
0000000029,0008,MZ-RM-M550-08,1710,000001000024,31,ST
0000000029,0009,MZ-RM-M550-09,1710,000001000024,31,ST
0000000029,0010,MZ-RM-M550-10,1710,000001000024,31,ST
0000000030,0001,MZ-RM-M525-01,1710,000001000025,341,ST
0000000030,0002,MZ-RM-M525-02,1710,000001000025,341,ST
0000000030,0003,MZ-RM-M525-03,1710,000001000025,341,ST
0000000030,0004,MZ-RM-M525-04,1710,000001000025,682,ST
0000000030,0005,MZ-RM-M525-05,1710,000001000025,341,ST
0000000030,0006,MZ-RM-M525-06,1710,000001000025,341,ST
0000000030,0007,MZ-RM-M525-07,1710,000001000025,341,ST
0000000030,0008,MZ-RM-M525-08,1710,000001000025,341,ST
0000000030,0009,MZ-RM-M525-09,1710,000001000025,341,ST
0000000030,0010,MZ-RM-M525-10,1710,000001000025,341,ST
0000000031,0001,MZ-RM-M500-01,1710,000001000026,50,ST
0000000031,0002,MZ-RM-M500-02,1710,000001000026,50,ST
0000000031,0003,MZ-RM-M500-03,1710,000001000026,50,ST
0000000031,0004,MZ-RM-M500-04,1710,000001000026,100,ST
0000000031,0005,MZ-RM-M500-05,1710,000001000026,50,ST
0000000031,0006,MZ-RM-M500-06,1710,000001000026,50,ST
0000000031,0007,MZ-RM-M500-07,1710,000001000026,50,ST
0000000031,0008,MZ-RM-M500-08,1710,000001000026,50,ST
0000000031,0009,MZ-RM-M500-09,1710,000001000026,50,ST
0000000031,0010,MZ-RM-M500-10,1710,000001000026,50,ST
0000000032,0001,MZ-RM-C990-01,1710,000001000027,289,ST
0000000032,0002,MZ-RM-C990-02,1710,000001000027,289,ST
0000000032,0003,MZ-RM-C990-03,1710,000001000027,289,ST
0000000032,0004,MZ-RM-C990-04,1710,000001000027,578,ST
0000000032,0005,MZ-RM-C990-05,1710,000001000027,289,ST
0000000032,0006,MZ-RM-C990-06,1710,000001000027,289,ST
0000000032,0007,MZ-RM-C990-09,1710,000001000027,289,ST
0000000033,0001,MZ-RM-C950-01,1710,000001000028,102,ST
0000000033,0002,MZ-RM-C950-02,1710,000001000028,102,ST
0000000033,0003,MZ-RM-C950-03,1710,000001000028,102,ST
0000000033,0004,MZ-RM-C950-04,1710,000001000028,204,ST
0000000033,0005,MZ-RM-C950-05,1710,000001000028,102,ST
0000000033,0006,MZ-RM-C950-06,1710,000001000028,102,ST
0000000033,0007,MZ-RM-C950-07,1710,000001000028,102,ST
0000000034,0001,MZ-RM-C900-01,1710,000001000029,124,ST
0000000034,0002,MZ-RM-C900-02,1710,000001000029,124,ST
0000000034,0003,MZ-RM-C900-03,1710,000001000029,124,ST
0000000034,0004,MZ-RM-C900-04,1710,000001000029,248,ST
0000000034,0005,MZ-RM-C900-05,1710,000001000029,124,ST
0000000034,0006,MZ-RM-C900-06,1710,000001000029,124,ST
0000000034,0007,MZ-RM-C900-07,1710,000001000029,124,ST
0000000790,0001,SP001,1710,000004000101,1,ST
0000000269,0009,SG22,1710,000002000040,5,ST
0000000269,0001,SG21,1710,000002000040,5,ST
0000000269,0002,RM122,1710,000002000040,5,ST
0000000664,0001,RM124,1710,000001000240,2900,ST
0000000668,0001,SG29,1710,000001000242,1000,ST
0000000668,0002,RM20,1710,000001000242,1000,ST
0000000673,0001,MZ-RM-R300-01,1710,000001000243,29,ST
0000000673,0002,MZ-RM-R300-02,1710,000001000243,29,ST
0000000673,0003,MZ-RM-R300-03,1710,000001000243,29,ST
0000000673,0004,MZ-RM-R300-04,1710,000001000243,58,ST
0000000041,0001,RM124,1710,000001000030,100,ST
0000000269,0003,RM128,1710,000002000040,5,ST
0000000269,0004,RM120,1710,000002000040,5,ST
0000000269,0005,SG23,1710,000002000040,5,ST
0000000794,0002,EWMS4-503,1710,000001000325,48,ST
0000000269,0006,SG25,1710,000002000040,5,ST
0000000269,0007,SG224,1710,000002000040,5,ST
0000000269,0008,RM27,1710,000002000040,5,ST
0000000269,0010,RM16,1710,000002000040,5,ST
0000000269,0011,RM17,1710,000002000040,5,ST
0000000269,0012,RM18,1710,000002000040,5,ST
0000000673,0005,MZ-RM-R300-05,1710,000001000243,29,ST
0000000673,0006,MZ-RM-R300-06,1710,000001000243,29,ST
0000000673,0007,MZ-RM-R300-07,1710,000001000243,29,ST
0000000069,0009,SG22,1710,000002000000,10,ST
0000000069,0001,SG21,1710,000002000000,10,ST
0000001235,0001,MZ-RM-R300-01,1710,000001000620,103,ST
0000001235,0002,MZ-RM-R300-02,1710,000001000620,103,ST
0000001235,0003,MZ-RM-R300-03,1710,000001000620,103,ST
0000001235,0004,MZ-RM-R300-04,1710,000001000620,206,ST
0000001235,0005,MZ-RM-R300-05,1710,000001000620,103,ST
0000001235,0006,MZ-RM-R300-06,1710,000001000620,103,ST
0000001235,0007,MZ-RM-R300-07,1710,000001000620,103,ST
0000001235,0008,MZ-RM-R300-08,1710,000001000620,103,ST
0000001235,0009,MZ-RM-R300-09,1710,000001000620,103,ST
0000001246,0001,MZ-RM-R100-01,1710,000001000631,121,ST
0000001246,0002,MZ-RM-R100-02,1710,000001000631,121,ST
0000001246,0003,MZ-RM-R100-04,1710,000001000631,121,ST
0000001246,0004,MZ-RM-R100-05,1710,000001000631,242,ST
0000001246,0005,MZ-RM-R100-06,1710,000001000631,121,ST
0000001246,0006,MZ-RM-R100-07,1710,000001000631,121,ST
0000001246,0007,MZ-RM-R100-08,1710,000001000631,121,ST
0000001246,0008,MZ-RM-R100-09,1710,000001000631,121,ST
0000001246,0009,MZ-RM-R100-10,1710,000001000631,121,ST
0000001248,0001,MZ-RM-M525-01,1710,000001000633,158,ST
0000001248,0002,MZ-RM-M525-02,1710,000001000633,158,ST
0000001248,0003,MZ-RM-M525-03,1710,000001000633,158,ST
0000001248,0004,MZ-RM-M525-04,1710,000001000633,316,ST
0000001248,0005,MZ-RM-M525-05,1710,000001000633,158,ST
0000001248,0006,MZ-RM-M525-06,1710,000001000633,158,ST
0000001248,0007,MZ-RM-M525-07,1710,000001000633,158,ST
0000001248,0008,MZ-RM-M525-08,1710,000001000633,158,ST
0000001248,0009,MZ-RM-M525-09,1710,000001000633,158,ST
0000001248,0010,MZ-RM-M525-10,1710,000001000633,158,ST
0000001249,0001,MZ-RM-M500-01,1710,000001000634,118,ST
0000001249,0002,MZ-RM-M500-02,1710,000001000634,118,ST
0000001249,0003,MZ-RM-M500-03,1710,000001000634,118,ST
0000001249,0004,MZ-RM-M500-04,1710,000001000634,236,ST
0000001249,0005,MZ-RM-M500-05,1710,000001000634,118,ST
0000001249,0006,MZ-RM-M500-06,1710,000001000634,118,ST
0000001249,0007,MZ-RM-M500-07,1710,000001000634,118,ST
0000001249,0008,MZ-RM-M500-08,1710,000001000634,118,ST
0000001249,0009,MZ-RM-M500-09,1710,000001000634,118,ST
0000001249,0010,MZ-RM-M500-10,1710,000001000634,118,ST
0000001257,0001,MZ-RM-R100-01,1710,000001000642,121,ST
0000001257,0002,MZ-RM-R100-02,1710,000001000642,121,ST
0000001257,0003,MZ-RM-R100-04,1710,000001000642,121,ST
0000001257,0004,MZ-RM-R100-05,1710,000001000642,242,ST
0000001257,0005,MZ-RM-R100-06,1710,000001000642,121,ST
0000001257,0006,MZ-RM-R100-07,1710,000001000642,121,ST
0000001257,0007,MZ-RM-R100-08,1710,000001000642,121,ST
0000001257,0008,MZ-RM-R100-09,1710,000001000642,121,ST
0000001257,0009,MZ-RM-R100-10,1710,000001000642,121,ST
0000001263,0001,MZ-RM-C900-01,1710,000001000648,268,ST
0000001261,0001,MZ-RM-C990-01,1710,000001000646,132,ST
0000001261,0002,MZ-RM-C990-02,1710,000001000646,132,ST
0000001263,0002,MZ-RM-C900-02,1710,000001000648,268,ST
0000001263,0003,MZ-RM-C900-03,1710,000001000648,268,ST
0000001261,0003,MZ-RM-C990-03,1710,000001000646,132,ST
0000001261,0004,MZ-RM-C990-04,1710,000001000646,264,ST
0000001263,0004,MZ-RM-C900-04,1710,000001000648,536,ST
0000001263,0005,MZ-RM-C900-05,1710,000001000648,268,ST
0000001261,0005,MZ-RM-C990-05,1710,000001000646,132,ST
0000001263,0006,MZ-RM-C900-06,1710,000001000648,268,ST
0000001261,0006,MZ-RM-C990-06,1710,000001000646,132,ST
0000001263,0007,MZ-RM-C900-07,1710,000001000648,268,ST
0000001261,0007,MZ-RM-C990-09,1710,000001000646,132,ST
0000001262,0001,MZ-RM-C950-01,1710,000001000647,220,ST
0000001262,0002,MZ-RM-C950-02,1710,000001000647,220,ST
0000001262,0003,MZ-RM-C950-03,1710,000001000647,220,ST
0000001262,0004,MZ-RM-C950-04,1710,000001000647,440,ST
0000001262,0005,MZ-RM-C950-05,1710,000001000647,220,ST
0000001262,0006,MZ-RM-C950-06,1710,000001000647,220,ST
0000001262,0007,MZ-RM-C950-07,1710,000001000647,220,ST
0000001258,0001,MZ-RM-M550-01,1710,000001000643,43,ST
0000001258,0002,MZ-RM-M550-02,1710,000001000643,43,ST
0000001258,0003,MZ-RM-M550-03,1710,000001000643,43,ST
0000001258,0004,MZ-RM-M550-04,1710,000001000643,86,ST
0000001258,0005,MZ-RM-M550-05,1710,000001000643,43,ST
0000001258,0006,MZ-RM-M550-06,1710,000001000643,43,ST
0000001258,0007,MZ-RM-M550-07,1710,000001000643,43,ST
0000001258,0008,MZ-RM-M550-08,1710,000001000643,43,ST
0000001258,0009,MZ-RM-M550-09,1710,000001000643,43,ST
0000001258,0010,MZ-RM-M550-10,1710,000001000643,43,ST
0000001260,0001,MZ-RM-M500-01,1710,000001000645,118,ST
0000001260,0002,MZ-RM-M500-02,1710,000001000645,118,ST
0000001260,0003,MZ-RM-M500-03,1710,000001000645,118,ST
0000001260,0004,MZ-RM-M500-04,1710,000001000645,236,ST
0000001260,0005,MZ-RM-M500-05,1710,000001000645,118,ST
0000001260,0006,MZ-RM-M500-06,1710,000001000645,118,ST
0000001260,0007,MZ-RM-M500-07,1710,000001000645,118,ST
0000001260,0008,MZ-RM-M500-08,1710,000001000645,118,ST
0000001260,0009,MZ-RM-M500-09,1710,000001000645,118,ST
0000001260,0010,MZ-RM-M500-10,1710,000001000645,118,ST
0000001259,0001,MZ-RM-M525-01,1710,000001000644,158,ST
0000001259,0002,MZ-RM-M525-02,1710,000001000644,158,ST
0000001259,0003,MZ-RM-M525-03,1710,000001000644,158,ST
0000001259,0004,MZ-RM-M525-04,1710,000001000644,316,ST
0000001259,0005,MZ-RM-M525-05,1710,000001000644,158,ST
0000001259,0006,MZ-RM-M525-06,1710,000001000644,158,ST
0000001259,0007,MZ-RM-M525-07,1710,000001000644,158,ST
0000001259,0008,MZ-RM-M525-08,1710,000001000644,158,ST
0000001259,0009,MZ-RM-M525-09,1710,000001000644,158,ST
0000001259,0010,MZ-RM-M525-10,1710,000001000644,158,ST
0000001236,0001,MZ-RM-R200-01,1710,000001000621,160,ST
0000001236,0002,MZ-RM-R200-02,1710,000001000621,160,ST
0000001236,0003,MZ-RM-R200-03,1710,000001000621,160,ST
0000001236,0004,MZ-RM-R200-04,1710,000001000621,320,ST
0000001236,0005,MZ-RM-R200-05,1710,000001000621,160,ST
0000001236,0006,MZ-RM-R200-06,1710,000001000621,160,ST
0000001236,0007,MZ-RM-R200-07,1710,000001000621,160,ST
0000001236,0008,MZ-RM-R200-08,1710,000001000621,160,ST
0000001236,0009,MZ-RM-R200-09,1710,000001000621,160,ST
0000001238,0001,MZ-RM-M550-01,1710,000001000623,43,ST
0000001238,0002,MZ-RM-M550-02,1710,000001000623,43,ST
0000001238,0003,MZ-RM-M550-03,1710,000001000623,43,ST
0000001238,0004,MZ-RM-M550-04,1710,000001000623,86,ST
0000001238,0005,MZ-RM-M550-05,1710,000001000623,43,ST
0000001238,0006,MZ-RM-M550-06,1710,000001000623,43,ST
0000001238,0007,MZ-RM-M550-07,1710,000001000623,43,ST
0000001238,0008,MZ-RM-M550-08,1710,000001000623,43,ST
0000001238,0009,MZ-RM-M550-09,1710,000001000623,43,ST
0000001238,0010,MZ-RM-M550-10,1710,000001000623,43,ST
0000001244,0001,MZ-RM-R300-01,1710,000001000629,103,ST
0000001244,0002,MZ-RM-R300-02,1710,000001000629,103,ST
0000001244,0003,MZ-RM-R300-03,1710,000001000629,103,ST
0000001244,0004,MZ-RM-R300-04,1710,000001000629,206,ST
0000001244,0005,MZ-RM-R300-05,1710,000001000629,103,ST
0000001244,0006,MZ-RM-R300-06,1710,000001000629,103,ST
0000001244,0007,MZ-RM-R300-07,1710,000001000629,103,ST
0000001244,0008,MZ-RM-R300-08,1710,000001000629,103,ST
0000001244,0009,MZ-RM-R300-09,1710,000001000629,103,ST
0000001242,0001,MZ-RM-C950-01,1710,000001000627,220,ST
0000001242,0002,MZ-RM-C950-02,1710,000001000627,220,ST
0000001242,0003,MZ-RM-C950-03,1710,000001000627,220,ST
0000001242,0004,MZ-RM-C950-04,1710,000001000627,440,ST
0000001242,0005,MZ-RM-C950-05,1710,000001000627,220,ST
0000001242,0006,MZ-RM-C950-06,1710,000001000627,220,ST
0000001242,0007,MZ-RM-C950-07,1710,000001000627,220,ST
0000001243,0001,MZ-RM-C900-01,1710,000001000628,268,ST
0000001243,0002,MZ-RM-C900-02,1710,000001000628,268,ST
0000001243,0003,MZ-RM-C900-03,1710,000001000628,268,ST
0000001243,0004,MZ-RM-C900-04,1710,000001000628,536,ST
0000001243,0005,MZ-RM-C900-05,1710,000001000628,268,ST
0000001243,0006,MZ-RM-C900-06,1710,000001000628,268,ST
0000001243,0007,MZ-RM-C900-07,1710,000001000628,268,ST
0000001237,0001,MZ-RM-R100-01,1710,000001000622,121,ST
0000001237,0002,MZ-RM-R100-02,1710,000001000622,121,ST
0000001237,0003,MZ-RM-R100-04,1710,000001000622,121,ST
0000001237,0004,MZ-RM-R100-05,1710,000001000622,242,ST
0000001237,0005,MZ-RM-R100-06,1710,000001000622,121,ST
0000001237,0006,MZ-RM-R100-07,1710,000001000622,121,ST
0000001237,0007,MZ-RM-R100-08,1710,000001000622,121,ST
0000001237,0008,MZ-RM-R100-09,1710,000001000622,121,ST
0000001237,0009,MZ-RM-R100-10,1710,000001000622,121,ST
0000001239,0001,MZ-RM-M525-01,1710,000001000624,158,ST
0000001239,0002,MZ-RM-M525-02,1710,000001000624,158,ST
0000001239,0003,MZ-RM-M525-03,1710,000001000624,158,ST
0000001239,0004,MZ-RM-M525-04,1710,000001000624,316,ST
0000001239,0005,MZ-RM-M525-05,1710,000001000624,158,ST
0000001239,0006,MZ-RM-M525-06,1710,000001000624,158,ST
