MATNR,WERKS,DISPO,DISGR,DISMM,DISLS,BSTMI,BSTMA,BSTFE,BSTRF,BESKZ,SOBSL,LGPRO,EISBE,PLIFZ,WEBAZ,AUSSS,DZEIT,MINBE
TG11,1010,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1010,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CONTROL,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_LINK_ARM,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_ROBOT2,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
TG11,1710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CONTROL,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_LINK_ARM,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_ROBOT2,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
TG11,6410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,6410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,6410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,6410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,6410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,6410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,6410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,6410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,6410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,6410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,6410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,6310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,6310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,6310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,6310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,6310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,6310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,6310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,6310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,6310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,6310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,6310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,3610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,3610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,3610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,3610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,3610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,3610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,3610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,3610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,3610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,3610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,3610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,6810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,6810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,6810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,6810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,6810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,6810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,6810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,6810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,6810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,6810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,6810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,2710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,2710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,2710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,2710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,2710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,2710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,2710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,2710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,2710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,2710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,2710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,6110,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,6110,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,6110,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,6110,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,6110,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,6110,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,6110,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,6110,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,6110,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,6110,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,6110,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,1910,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,1910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1910,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,1910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,1910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,1910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,1910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,5910,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,5910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,5910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,5910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,5910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,5910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
TG11,1610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,1610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,1610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,1610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,1610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,1610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,2810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,2810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,2810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,2810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,2810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,2810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,2810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,2810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,2810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,2810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,2810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,3510,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
TG11,2610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,2610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,2610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,2610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,2610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,2610,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,2610,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,2610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,2610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,2610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,2610,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,5810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,5810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,5810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,5810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,5810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,5810,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,5810,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,5810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,5810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,5810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,5810,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,6910,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,6910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,6910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,6910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,6910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,6910,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,6910,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,6910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,6910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,6910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,6910,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,4410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,4410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,4410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,4410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,4410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,4410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,4410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,4410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,4410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,4410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,4410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,3710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,3710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,3710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,3710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,3710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,3710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,3710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,3710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,3710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,3710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,3710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,5410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,5410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,5410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,5410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,5410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,5410,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,5410,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,5410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,5410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,5410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,5410,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,5510,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,5510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,5510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,5510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,5510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,5510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,5510,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,5510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,5510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,5510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,5510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,7K10,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,7K10,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,7K10,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,7K10,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,7K10,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,7K10,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,7K10,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,7K10,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,7K10,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,7K10,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,7K10,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,4310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,4310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,4310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,4310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,4310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,4310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,4310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,4310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,4310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,4310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,4310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,1510,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,1510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1510,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1510,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,1510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,1510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,1510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,1510,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
TG11,2310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
SDBOMERLAHD,2310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,2310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,2310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,2310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,2310,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,2310,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_APPL_UNIT,2310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_BUNDLE,2310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_CNTRL_UNIT,2310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
AVC_RBT_ROBOT,2310,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,0,0
