MATNR,VKORG,VTWEG,DWERK,KONDM,MVGR1
FG226,1710,10,1710,,
FG29,1710,10,1710,,
RM09,1710,10,1710,,
RM120,1710,10,1710,,
RM122,1710,10,1710,,
RM124,1710,10,1710,,
RM128,1710,10,1710,,
RM12,1710,10,1710,,
RM13,1710,10,1710,,
RM14,1710,10,1710,,
RM15,1710,10,1710,,
RM16,1710,10,1710,,
RM17,1710,10,1710,,
RM18,1710,10,1710,,
RM19,1710,10,1710,,
RM20,1710,10,1710,,
RM27,1710,10,1710,,
RM30,1710,10,1710,,
SG124,1710,10,1710,,
SG21,1710,10,1710,,
SG224,1710,10,1710,,
SG22,1710,10,1710,,
SG24,1710,10,1710,,
SG25,1710,10,1710,,
SG23,1710,10,1710,,
RM129,1710,10,1710,,
FG233,1710,10,1710,,
RM233-1,1710,10,1710,,
RM233-2,1710,10,1710,,
RM233-4,1710,10,1710,,
RM234,1710,10,1710,,
SG233,1710,10,1710,,
SF-FL-COMB,1710,10,1710,,
SF-FL-CWEIGHT,1710,10,1710,,
SF-FL-ELECTRIC,1710,10,1710,,
SF-FL-TIRE-CUSH,1710,10,1710,,
SF-FL-TIRE-PNEU,1710,10,1710,,
FG-FL-MV-V00,1710,10,1710,,
EWMS4-50,1710,10,1710,,
EWMS4-502,1710,10,1710,,
EWMS4-503,1710,10,1710,,
EWMS4-601,1710,10,1710,,
F-10A,1710,10,1710,,
F-10B,1710,10,1710,,
R-302,1710,10,1710,,
R-401,1710,10,1710,,
S-201,1710,10,1710,,
S-202,1710,10,1710,,
S-301,1710,10,1710,,
MZ-FG-C900,1710,10,1710,,
MZ-FG-C950,1710,10,1710,,
MZ-FG-C990,1710,10,1710,,
MZ-FG-M500,1710,10,1710,,
MZ-FG-M525,1710,10,1710,,
MZ-FG-M550,1710,10,1710,,
MZ-FG-R100,1710,10,1710,,
MZ-FG-R200,1710,10,1710,,
MZ-FG-R300,1710,10,1710,,
FG126,1010,10,1010,,
FG226,1010,10,1010,,
FG29,1010,10,1010,,
RM09,1010,10,1010,,
RM120,1010,10,1010,,
RM122,1010,10,1010,,
RM124,1010,10,1010,,
RM128,1010,10,1010,,
RM12,1010,10,1010,,
RM13,1010,10,1010,,
RM14,1010,10,1010,,
RM15,1010,10,1010,,
RM16,1010,10,1010,,
RM17,1010,10,1010,,
RM18,1010,10,1010,,
RM19,1010,10,1010,,
RM20,1010,10,1010,,
RM27,1010,10,1010,,
RM30,1010,10,1010,,
SG124,1010,10,1010,,
SG21,1010,10,1010,,
SG224,1010,10,1010,,
SG22,1010,10,1010,,
SG24,1010,10,1010,,
SG25,1010,10,1010,,
SG23,1010,10,1010,,
RM129,1010,10,1010,,
FG233,1010,10,1010,,
RM233-1,1010,10,1010,,
RM233-2,1010,10,1010,,
RM233-4,1010,10,1010,,
RM234,1010,10,1010,,
SG233,1010,10,1010,,
SF-FL-COMB,1010,10,1010,,
SF-FL-CWEIGHT,1010,10,1010,,
SF-FL-ELECTRIC,1010,10,1010,,
SF-FL-TIRE-CUSH,1010,10,1010,,
SF-FL-TIRE-PNEU,1010,10,1010,,
FG-FL-MV-V00,1010,10,1010,,
EWMS4-50,1010,10,1010,,
EWMS4-502,1010,10,1010,,
EWMS4-503,1010,10,1010,,
EWMS4-601,1010,10,1010,,
F-10A,1010,10,1010,,
F-10B,1010,10,1010,,
R-302,1010,10,1010,,
R-401,1010,10,1010,,
S-201,1010,10,1010,,
S-202,1010,10,1010,,
S-301,1010,10,1010,,
RM33,1710,10,1710,,
RM34,1710,10,1710,,
SG27,1710,10,1710,,
FG-FL-MV-V01,1710,10,1710,,
FG-FL-MV-V02,1710,10,1710,,
S-203,1710,10,1710,,
F-20A,1710,10,1710,,
R-311,1710,10,1710,,
R-410,1710,10,1710,,
R-411,1710,10,1710,,
R-412,1710,10,1710,,
S-208,1710,10,1710,,
S-210,1710,10,1710,,
S-310,1710,10,1710,,
S-315,1710,10,1710,,
SG26,1710,10,1710,,
RMPI001,1710,10,1710,,
RMPI002,1710,10,1710,,
RMPI003,1710,10,1710,,
RMPI004,1710,10,1710,,
RMPI005,1710,10,1710,,
SGPI001-V00,1710,10,1710,,
FG1_CP,1710,10,1710,,
RM1_CP,1710,10,1710,,
RM2_CP,1710,10,1710,,
RM3_CP,1710,10,1710,,
RM4_CP,1710,10,1710,,
SG1_CP,1710,10,1710,,
SDBOMERLAIT01,1710,10,1710,,
SDBOMLUMFIT01,1710,10,1710,,
SDBOMERLAIT02,1710,10,1710,,
SDBOMLUMFIT02,1710,10,1710,,
FGME01,1710,10,1710,,
FGME02,1710,10,1710,,
RMME01,1710,10,1710,,
RMME02,1710,10,1710,,
RMME03,1710,10,1710,,
RMME04,1710,10,1710,,
RMME05,1710,10,1710,,
RMME06,1710,10,1710,,
RMME07,1710,10,1710,,
RMME08,1710,10,1710,,
SGME01,1710,10,1710,,
SGME02,1710,10,1710,,
FGME03,1710,10,1710,,
FGME04,1710,10,1710,,
RMME10,1710,10,1710,,
RMME11,1710,10,1710,,
RMME12,1710,10,1710,,
RMME13,1710,10,1710,,
RMME14,1710,10,1710,,
RMME15,1710,10,1710,,
RMME16,1710,10,1710,,
SGME03,1710,10,1710,,
SGME04,1710,10,1710,,
RM33,1010,10,1010,,
RM34,1010,10,1010,,
SG27,1010,10,1010,,
FG-FL-MV-V01,1010,10,1010,,
FG-FL-MV-V02,1010,10,1010,,
S-203,1010,10,1010,,
SG26,1010,10,1010,,
RMPI001,1010,10,1010,,
RMPI002,1010,10,1010,,
RMPI003,1010,10,1010,,
RMPI004,1010,10,1010,,
RMPI005,1010,10,1010,,
SGPI001-V00,1010,10,1010,,
FG1_CP,1010,10,1010,,
RM1_CP,1010,10,1010,,
RM2_CP,1010,10,1010,,
RM3_CP,1010,10,1010,,
RM4_CP,1010,10,1010,,
SG1_CP,1010,10,1010,,
SDBOMERLAIT01,1010,10,1010,,
SDBOMLUMFIT01,1010,10,1010,,
SDBOMERLAIT02,1010,10,1010,,
SDBOMLUMFIT02,1010,10,1010,,
FGME01,1010,10,1010,,
FGME02,1010,10,1010,,
RMME01,1010,10,1010,,
RMME02,1010,10,1010,,
RMME03,1010,10,1010,,
RMME04,1010,10,1010,,
RMME05,1010,10,1010,,
RMME06,1010,10,1010,,
RMME07,1010,10,1010,,
RMME08,1010,10,1010,,
SGME01,1010,10,1010,,
SGME02,1010,10,1010,,
FGME03,1010,10,1010,,
FGME04,1010,10,1010,,
RMME10,1010,10,1010,,
RMME11,1010,10,1010,,
RMME12,1010,10,1010,,
RMME13,1010,10,1010,,
RMME14,1010,10,1010,,
RMME15,1010,10,1010,,
RMME16,1010,10,1010,,
SGME03,1010,10,1010,,
SGME04,1010,10,1010,,
RM235,1010,10,1010,,
SG234,1010,10,1010,,
QM006,1010,10,1010,,
F-20A,1010,10,1010,,
R-311,1010,10,1010,,
R-410,1010,10,1010,,
R-411,1010,10,1010,,
R-412,1010,10,1010,,
S-208,1010,10,1010,,
S-210,1010,10,1010,,
S-310,1010,10,1010,,
S-315,1010,10,1010,,
FG2_CP,1010,10,1010,,
RM5_CP,1010,10,1010,,
RM6_CP,1010,10,1010,,
RM7_CP,1010,10,1010,,
RM8_CP,1010,10,1010,,
SG2_CP,1010,10,1010,,
FG111,1010,10,1010,,
FG111_A,1010,10,1010,,
FG111_B,1010,10,1010,,
FG111_C,1010,10,1010,,
RM27_1,1010,10,1010,,
RM1420,1010,10,1010,,
RM1430,1010,10,1010,,
SG2200,1010,10,1010,,
SG7100,1010,10,1010,,
SG9100,1010,10,1010,,
FG29-1,1010,10,1010,,
FG6200,1010,10,1010,,
SG6100,1010,10,1010,,
FG6500,1010,10,1010,,
RM235,1710,10,1710,,
SG234,1710,10,1710,,
QM006,1710,10,1710,,
FG2_CP,1710,10,1710,,
RM5_CP,1710,10,1710,,
RM6_CP,1710,10,1710,,
RM7_CP,1710,10,1710,,
RM8_CP,1710,10,1710,,
SG2_CP,1710,10,1710,,
FG111,1710,10,1710,,
FG111_A,1710,10,1710,,
FG111_B,1710,10,1710,,
FG111_C,1710,10,1710,,
RM27_1,1710,10,1710,,
RM1420,1710,10,1710,,
RM1430,1710,10,1710,,
SG2200,1710,10,1710,,
SG7100,1710,10,1710,,
SG9100,1710,10,1710,,
FG29-1,1710,10,1710,,
FG6200,1710,10,1710,,
SG6100,1710,10,1710,,
FG6500,1710,10,1710,,
TG11,1710,10,1710,,
FG227,1710,10,,,
CSSRV_01,1710,10,,,
CM-FL-V01,1710,10,1710,,
CM-FL-V00,1710,10,1710,,
CM-FL-V01,1010,10,1010,,
CM-FL-V00,1010,10,1010,,
FG228,1710,10,1710,,
CM-MLFL-KM-VXX,1710,10,1710,,
SDBOMERLAHD,1710,10,1710,,
SDBOMLUMFHD,1710,10,1710,,
CM-MLFL-KM-VXX,1010,10,1010,,
SDBOMERLAHD,1010,10,1010,,
SDBOMLUMFHD,1010,10,1010,,
FG228,1010,10,1010,,
CSSRV_01,1010,10,,,
ZTRAY01,1710,10,,,
ZCART01,1710,10,1710,,
ZTRAY01,1010,10,,,
ZCART01,1010,10,,,
CSSRV_02,1010,10,,,
ZPRINTER01,1010,10,1010,,
ZPRINTER01,1710,10,1710,,
RMJIT01,1010,10,1010,,
RMJIT02,1010,10,1010,,
SGJIT01,1010,10,1010,,
SGJIT02,1010,10,1010,,
CM-FL-V00-3P,1710,10,,,
CM-FL-V00-3P,1010,10,1010,,
AVC_RBT_BRD_PAINT,1010,10,1010,,
AVC_RBT_BRD_SEAL,1010,10,1010,,
AVC_RBT_CONTROL,1010,10,1010,,
AVC_RBT_LINK_ARM,1010,10,1010,,
AVC_RBT_ROBOT2,1010,10,1010,,
AVC_RBT_D_ARM_110,1010,10,1010,,
SG21,0001,01,,,
SG21,0003,01,,,
CSSRV_02,1710,10,1710,,
AVC_RBT_ROBOTS,1710,10,1710,,
AVC_RBT_ROBOTS,1010,10,1010,,
AVC_RBT_ROBO,1710,10,1710,,
AVC_RBT_ROBO,1010,10,1010,,
D2O_09077205423_C,1010,10,1010,,
D2O_0900047034,1010,10,1010,,
D2O_0901513373_C,1010,10,1010,,
D2O_0902056385,1010,10,1010,,
D2O_0904277018_C,1010,10,1010,,
D2O_0905271384,1010,10,1010,,
D2O_0905720429,1010,10,1010,,
D2O_0905720543_C,1010,10,1010,,
D2O_0905720544_C,1010,10,1010,,
D2O_0905721007,1010,10,1010,,
D2O_0905721008,1010,10,1010,,
D2O_1800481527,1010,10,1010,,
D2O_0424955000,1010,10,1010,,
D2O_0563557002,1010,10,1010,,
D2O_0625555452,1010,10,1010,,
D2O_0901513371,1010,10,1010,,
D2O_0903271777_C,1010,10,1010,,
SOM_MSU_CLD_INFRA,1010,10,,,
SOM_MSU_WL_VM,1010,10,,,
SOM_SCR_CLD_STR,1010,10,,,
SOM_SCR_VM_INST_GP,1010,10,,,
SOM_SCR_VM_INST_SO,1010,10,,,
SOM_SCR_WL_BR_MTL,1010,10,,,
FG1_DS,1010,10,1010,,
RM1_DS,1010,10,1010,,
RM2_DS,1010,10,1010,,
SG1_DS,1010,10,1010,,
FG2_DS,1010,10,1010,,
RM3_DS,1010,10,1010,,
RM4_DS,1010,10,1010,,
SG2_DS,1010,10,1010,,
D2O_09077205423_C,1710,10,1710,,
D2O_0900047034,1710,10,1710,,
D2O_0901513373_C,1710,10,1710,,
D2O_0902056385,1710,10,1710,,
D2O_0904277018_C,1710,10,1710,,
D2O_0905271384,1710,10,1710,,
D2O_0905720429,1710,10,1710,,
D2O_0905720543_C,1710,10,1710,,
D2O_0905720544_C,1710,10,1710,,
D2O_0905721007,1710,10,1710,,
D2O_0905721008,1710,10,1710,,
D2O_1800481527,1710,10,1710,,
D2O_0424955000,1710,10,1710,,
D2O_0563557002,1710,10,1710,,
D2O_0625555452,1710,10,1710,,
D2O_0901513371,1710,10,1710,,
D2O_0903271777_C,1710,10,1710,,
FG1_DS,1710,10,1710,,
RM1_DS,1710,10,1710,,
RM2_DS,1710,10,1710,,
SG1_DS,1710,10,1710,,
FG2_DS,1710,10,1710,,
RM3_DS,1710,10,1710,,
RM4_DS,1710,10,1710,,
SG2_DS,1710,10,1710,,
TG11,1010,10,1010,,
FG126,1010,10,1010,,
RM12,1010,10,1010,,
RM120,1010,10,1010,,
RM122,1010,10,1010,,
RM124,1010,10,1010,,
RM128,1010,10,1010,,
RM13,1010,10,1010,,
RM14,1010,10,1010,,
RM16,1010,10,1010,,
RM20,1010,10,1010,,
RM27,1010,10,1010,,
SG124,1010,10,1010,,
SG21,1010,10,1010,,
SG22,1010,10,1010,,
SG224,1010,10,1010,,
SG25,1010,10,1010,,
FG29,1010,10,1010,,
SG24,1010,10,1010,,
SG23,1010,10,1010,,
RM129,1010,10,1010,,
FG228,1010,10,1010,,
RM33,1010,10,1010,,
RM34,1010,10,1010,,
SG27,1010,10,1010,,
FG233,1010,10,1010,,
SGPI001-V00,1010,10,1010,,
RMPI001,1010,10,1010,,
RMPI002,1010,10,1010,,
RMPI003,1010,10,1010,,
RMPI004,1010,10,1010,,
RMPI005,1010,10,1010,,
QM006,1010,10,1010,,
SDBOMERLAHD,1010,10,1010,,
SDBOMERLAIT01,1010,10,1010,,
SDBOMERLAIT02,1010,10,1010,,
SDBOMLUMFHD,1010,10,1010,,
SDBOMLUMFIT01,1010,10,1010,,
SDBOMLUMFIT02,1010,10,1010,,
CM-FL-V01,1010,10,1010,,
SF-FL-COMB,1010,10,1010,,
SF-FL-CWEIGHT,1010,10,1010,,
SF-FL-ELECTRIC,1010,10,1010,,
SF-FL-TIRE-CUSH,1010,10,1010,,
SF-FL-TIRE-PNEU,1010,10,1010,,
CM-MLFL-KM-VXX,1010,10,1010,,
SF-FL-FORKSEAT-VXX,1010,10,1010,,
CM-FL-V00,1010,10,1010,,
FG-FL-MV-V00,1010,10,1010,,
FG-FL-MV-V01,1010,10,1010,,
FG-FL-MV-V02,1010,10,1010,,
EWMS4-50,1010,10,1010,,
EWMS4-502,1010,10,1010,,
EWMS4-503,1010,10,1010,,
EWMS4-601,1010,10,1010,,
F-10A,1010,10,1010,,
F-10B,1010,10,1010,,
R-302,1010,10,1010,,
R-401,1010,10,1010,,
S-201,1010,10,1010,,
S-202,1010,10,1010,,
S-301,1010,10,1010,,
S-203,1010,10,1010,,
F-20A,1010,10,1010,,
R-311,1010,10,1010,,
R-410,1010,10,1010,,
R-411,1010,10,1010,,
R-412,1010,10,1010,,
S-208,1010,10,1010,,
S-210,1010,10,1010,,
S-310,1010,10,1010,,
S-315,1010,10,1010,,
SG26,1010,10,1010,,
FG1_CP,1010,10,1010,,
RM1_CP,1010,10,1010,,
RM2_CP,1010,10,1010,,
SG1_CP,1010,10,1010,,
FG2_CP,1010,10,1010,,
RMJIT01,1010,10,1010,,
RMJIT02,1010,10,1010,,
SGJIT01,1010,10,1010,,
SGJIT02,1010,10,1010,,
SGJIT02-SERIALIZED,1010,10,1010,,
FG111,1010,10,1010,,
FG111_A,1010,10,1010,,
FG111_B,1010,10,1010,,
FG111_C,1010,10,1010,,
RM27_1,1010,10,1010,,
FG29-1,1010,10,1010,,
FG6200,1010,10,1010,,
SG6100,1010,10,1010,,
FG6500,1010,10,1010,,
CSSRV_01,1010,10,1010,,
AVC_RBT_BASE_FRAME,1010,10,1010,,
AVC_RBT_CNTRL_CAB,1010,10,1010,,
AVC_RBT_D_ARM_50,1010,10,1010,,
AVC_RBT_L_ARM_45,1010,10,1010,,
AVC_RBT_SEALING,1010,10,1010,,
AVC_RBT_APPL_UNIT,1010,10,1010,,
AVC_RBT_BUNDLE,1010,10,1010,,
AVC_RBT_CNTRL_BRD,1010,10,1010,,
AVC_RBT_CNTRL_UNIT,1010,10,1010,,
AVC_RBT_ROBOT,1010,10,1010,,
CM-FL-V00-3P,1010,10,1010,,
AVC_RBT_BRD_PAINT,1010,10,1010,,
AVC_RBT_BRD_SEAL,1010,10,1010,,
AVC_RBT_CONTROL,1010,10,1010,,
AVC_RBT_D_ARM_110,1010,10,1010,,
AVC_RBT_LINK_ARM,1010,10,1010,,
AVC_RBT_ROBOT2,1010,10,1010,,
RMPC07,1010,10,1010,,
RMPC08,1010,10,1010,,
D2O_09077205423_C,1010,10,1010,,
D2O_0900047034,1010,10,1010,,
D2O_0901513373_C,1010,10,1010,,
D2O_0902056385,1010,10,1010,,
D2O_0904277018_C,1010,10,1010,,
D2O_0905271384,1010,10,1010,,
D2O_0905720429,1010,10,1010,,
D2O_0905720543_C,1010,10,1010,,
D2O_0905720544_C,1010,10,1010,,
D2O_0905721007,1010,10,1010,,
D2O_0905721008,1010,10,1010,,
D2O_1800481527,1010,10,1010,,
D2O_0424955000,1010,10,1010,,
D2O_0563557002,1010,10,1010,,
D2O_0625555452,1010,10,1010,,
D2O_0901513371,1010,10,1010,,
D2O_0903271777_C,1010,10,1010,,
SOM_MSU_CLD_INFRA,1010,10,,,
SOM_MSU_WL_VM,1010,10,,,
SOM_SCR_CLD_STR,1010,10,,,
SOM_SCR_VM_INST_GP,1010,10,,,
SOM_SCR_VM_INST_SO,1010,10,,,
SOM_SCR_WL_BR_MTL,1010,10,,,
FG1_DS,1010,10,1010,,
RM1_DS,1010,10,1010,,
RM2_DS,1010,10,1010,,
SG1_DS,1010,10,1010,,
FG2_DS,1010,10,1010,,
RM3_DS,1010,10,1010,,
RM4_DS,1010,10,1010,,
SG2_DS,1010,10,1010,,
TG11,1710,10,1710,,
FG126,1710,10,1710,,
RM12,1710,10,1710,,
RM120,1710,10,1710,,
RM122,1710,10,1710,,
RM124,1710,10,1710,,
RM128,1710,10,1710,,
RM13,1710,10,1710,,
RM14,1710,10,1710,,
RM16,1710,10,1710,,
RM20,1710,10,1710,,
RM27,1710,10,1710,,
SG124,1710,10,1710,,
SG21,1710,10,1710,,
SG22,1710,10,1710,,
SG224,1710,10,1710,,
SG25,1710,10,1710,,
FG29,1710,10,1710,,
SG24,1710,10,1710,,
SG23,1710,10,1710,,
RM129,1710,10,1710,,
FG228,1710,10,1710,,
RM33,1710,10,1710,,
RM34,1710,10,1710,,
SG27,1710,10,1710,,
FG233,1710,10,1710,,
SGPI001-V00,1710,10,1710,,
RMPI001,1710,10,1710,,
RMPI002,1710,10,1710,,
RMPI003,1710,10,1710,,
RMPI004,1710,10,1710,,
RMPI005,1710,10,1710,,
QM006,1710,10,1710,,
SDBOMERLAHD,1710,10,1710,,
SDBOMERLAIT01,1710,10,1710,,
SDBOMERLAIT02,1710,10,1710,,
SDBOMLUMFHD,1710,10,1710,,
SDBOMLUMFIT01,1710,10,1710,,
SDBOMLUMFIT02,1710,10,1710,,
CM-FL-V01,1710,10,1710,,
SF-FL-COMB,1710,10,1710,,
SF-FL-CWEIGHT,1710,10,1710,,
SF-FL-ELECTRIC,1710,10,1710,,
SF-FL-TIRE-CUSH,1710,10,1710,,
SF-FL-TIRE-PNEU,1710,10,1710,,
CM-MLFL-KM-VXX,1710,10,1710,,
SF-FL-FORKSEAT-VXX,1710,10,1710,,
CM-FL-V00,1710,10,1710,,
FG-FL-MV-V00,1710,10,1710,,
FG-FL-MV-V01,1710,10,1710,,
FG-FL-MV-V02,1710,10,1710,,
EWMS4-50,1710,10,1710,,
EWMS4-502,1710,10,1710,,
EWMS4-503,1710,10,1710,,
EWMS4-601,1710,10,1710,,
F-10A,1710,10,1710,,
F-10B,1710,10,1710,,
R-302,1710,10,1710,,
R-401,1710,10,1710,,
S-201,1710,10,1710,,
S-202,1710,10,1710,,
S-301,1710,10,1710,,
S-203,1710,10,1710,,
F-20A,1710,10,1710,,
R-311,1710,10,1710,,
R-410,1710,10,1710,,
R-411,1710,10,1710,,
R-412,1710,10,1710,,
S-208,1710,10,1710,,
S-210,1710,10,1710,,
S-310,1710,10,1710,,
S-315,1710,10,1710,,
SG26,1710,10,1710,,
FG1_CP,1710,10,1710,,
RM1_CP,1710,10,1710,,
RM2_CP,1710,10,1710,,
SG1_CP,1710,10,1710,,
FG2_CP,1710,10,1710,,
RMJIT01,1710,10,1710,,
RMJIT02,1710,10,1710,,
SGJIT01,1710,10,1710,,
SGJIT02,1710,10,1710,,
SGJIT02-SERIALIZED,1710,10,1710,,
FG111,1710,10,1710,,
FG111_A,1710,10,1710,,
FG111_B,1710,10,1710,,
FG111_C,1710,10,1710,,
RM27_1,1710,10,1710,,
FG29-1,1710,10,1710,,
FG6200,1710,10,1710,,
SG6100,1710,10,1710,,
FG6500,1710,10,1710,,
CSSRV_01,1710,10,1710,,
AVC_RBT_BASE_FRAME,1710,10,1710,,
AVC_RBT_CNTRL_CAB,1710,10,1710,,
AVC_RBT_D_ARM_50,1710,10,1710,,
AVC_RBT_L_ARM_45,1710,10,1710,,
AVC_RBT_SEALING,1710,10,1710,,
AVC_RBT_APPL_UNIT,1710,10,1710,,
AVC_RBT_BUNDLE,1710,10,1710,,
AVC_RBT_CNTRL_BRD,1710,10,1710,,
AVC_RBT_CNTRL_UNIT,1710,10,1710,,
AVC_RBT_ROBOT,1710,10,1710,,
CM-FL-V00-3P,1710,10,1710,,
AVC_RBT_BRD_PAINT,1710,10,1710,,
AVC_RBT_BRD_SEAL,1710,10,1710,,
AVC_RBT_CONTROL,1710,10,1710,,
AVC_RBT_D_ARM_110,1710,10,1710,,
AVC_RBT_LINK_ARM,1710,10,1710,,
AVC_RBT_ROBOT2,1710,10,1710,,
RMPC07,1710,10,1710,,
RMPC08,1710,10,1710,,
D2O_09077205423_C,1710,10,1710,,
D2O_0900047034,1710,10,1710,,
D2O_0901513373_C,1710,10,1710,,
D2O_0902056385,1710,10,1710,,
D2O_0904277018_C,1710,10,1710,,
D2O_0905271384,1710,10,1710,,
D2O_0905720429,1710,10,1710,,
D2O_0905720543_C,1710,10,1710,,
D2O_0905720544_C,1710,10,1710,,
D2O_0905721007,1710,10,1710,,
D2O_0905721008,1710,10,1710,,
D2O_1800481527,1710,10,1710,,
D2O_0424955000,1710,10,1710,,
D2O_0563557002,1710,10,1710,,
D2O_0625555452,1710,10,1710,,
D2O_0901513371,1710,10,1710,,
D2O_0903271777_C,1710,10,1710,,
SOM_MSU_CLD_INFRA,1710,10,,,
SOM_MSU_WL_VM,1710,10,,,
SOM_SCR_CLD_STR,1710,10,,,
SOM_SCR_VM_INST_GP,1710,10,,,
SOM_SCR_VM_INST_SO,1710,10,,,
SOM_SCR_WL_BR_MTL,1710,10,,,
FG1_DS,1710,10,1710,,
RM1_DS,1710,10,1710,,
RM2_DS,1710,10,1710,,
SG1_DS,1710,10,1710,,
FG2_DS,1710,10,1710,,
RM3_DS,1710,10,1710,,
RM4_DS,1710,10,1710,,
SG2_DS,1710,10,1710,,
TG11,6410,10,6410,,
FG126,6410,10,6410,,
RM12,6410,10,6410,,
RM120,6410,10,6410,,
RM122,6410,10,6410,,
RM124,6410,10,6410,,
RM128,6410,10,6410,,
RM13,6410,10,6410,,
RM14,6410,10,6410,,
RM16,6410,10,6410,,
RM20,6410,10,6410,,
RM27,6410,10,6410,,
SG124,6410,10,6410,,
SG21,6410,10,6410,,
SG22,6410,10,6410,,
SG224,6410,10,6410,,
SG25,6410,10,6410,,
FG29,6410,10,6410,,
SG24,6410,10,6410,,
SG23,6410,10,6410,,
RM129,6410,10,6410,,
FG228,6410,10,6410,,
RM33,6410,10,6410,,
RM34,6410,10,6410,,
SG27,6410,10,6410,,
FG233,6410,10,6410,,
SGPI001-V00,6410,10,6410,,
RMPI001,6410,10,6410,,
RMPI002,6410,10,6410,,
RMPI003,6410,10,6410,,
RMPI004,6410,10,6410,,
RMPI005,6410,10,6410,,
QM006,6410,10,6410,,
SDBOMERLAHD,6410,10,6410,,
SDBOMERLAIT01,6410,10,6410,,
SDBOMERLAIT02,6410,10,6410,,
SDBOMLUMFHD,6410,10,6410,,
SDBOMLUMFIT01,6410,10,6410,,
SDBOMLUMFIT02,6410,10,6410,,
CM-FL-V01,6410,10,6410,,
SF-FL-COMB,6410,10,6410,,
SF-FL-CWEIGHT,6410,10,6410,,
SF-FL-ELECTRIC,6410,10,6410,,
SF-FL-TIRE-CUSH,6410,10,6410,,
SF-FL-TIRE-PNEU,6410,10,6410,,
CM-MLFL-KM-VXX,6410,10,6410,,
SF-FL-FORKSEAT-VXX,6410,10,6410,,
CM-FL-V00,6410,10,6410,,
FG-FL-MV-V00,6410,10,6410,,
FG-FL-MV-V01,6410,10,6410,,
FG-FL-MV-V02,6410,10,6410,,
EWMS4-50,6410,10,6410,,
EWMS4-502,6410,10,6410,,
EWMS4-503,6410,10,6410,,
EWMS4-601,6410,10,6410,,
F-10A,6410,10,6410,,
F-10B,6410,10,6410,,
R-302,6410,10,6410,,
R-401,6410,10,6410,,
S-201,6410,10,6410,,
S-202,6410,10,6410,,
S-301,6410,10,6410,,
S-203,6410,10,6410,,
F-20A,6410,10,6410,,
R-311,6410,10,6410,,
R-410,6410,10,6410,,
R-411,6410,10,6410,,
R-412,6410,10,6410,,
S-208,6410,10,6410,,
S-210,6410,10,6410,,
S-310,6410,10,6410,,
S-315,6410,10,6410,,
SG26,6410,10,6410,,
FG1_CP,6410,10,6410,,
RM1_CP,6410,10,6410,,
RM2_CP,6410,10,6410,,
SG1_CP,6410,10,6410,,
FG2_CP,6410,10,6410,,
RMJIT01,6410,10,6410,,
RMJIT02,6410,10,6410,,
SGJIT01,6410,10,6410,,
SGJIT02,6410,10,6410,,
FG111,6410,10,6410,,
FG111_A,6410,10,6410,,
FG111_B,6410,10,6410,,
FG111_C,6410,10,6410,,
RM27_1,6410,10,6410,,
FG29-1,6410,10,6410,,
FG6200,6410,10,6410,,
SG6100,6410,10,6410,,
FG6500,6410,10,6410,,
AVC_RBT_BASE_FRAME,6410,10,6410,,
AVC_RBT_CNTRL_CAB,6410,10,6410,,
AVC_RBT_D_ARM_50,6410,10,6410,,
