ISTAT,SPRAS,TXT04,TXT30
I1908,D,SDVN,Version geprüft - nicht ok
I2101,D,PLAN,Geplant
I2102,D,APPL,Beantragt
I2103,D,RELE,Freigabe durch Materialverantw
I2104,D,APPR,Genehmigt
I2105,D,LOCK,Gesperrt
I2107,D,DELA,Löschung beantragt
I2108,D,OBSO,Obsolet
I2109,D,REJE,Abgelehnt
I2111,D,APLA,Geplant
I2112,D,AAPP,Beantragt
I2113,D,AAPR,Genehmigt
I2114,D,ALOC,Gesperrt
I2115,D,AOBS,Obsolet
I2116,D,AREJ,Abgelehnt
I2122,D,DAPP,Beantragt
I2124,D,DAPR,Genehmigt
I2125,D,DLOC,Gesperrt
I2131,D,EPLA,Geplant
I2132,D,EAPP,Beantragt
I2133,D,EREL,Freigabe durch Materialverantw
I2134,D,EAPR,Genehmigt
I2135,D,ELOC,Gesperrt
I2136,D,EDLP,Löschung vorgesehen
I2137,D,EDLA,Löschung beantragt
I2138,D,EOBS,Obsolet
I2139,D,EREJ,Abgelehnt
I2141,D,FPLA,Geplant
I2142,D,FAPP,Beantragt
I2143,D,FREL,Freigabe durch Materialverantw
I2144,D,FAPR,Genehmigt
I2145,D,FLOC,Gesperrt
I2146,D,FDLP,Löschung vorgesehen
I2147,D,FDLA,Löschung beantragt
I2148,D,FOBS,Obsolet
I2149,D,FREJ,Abgelehnt
I2151,D,GPLA,Geplant
I2152,D,GAPP,Beantragt
I2153,D,GAPR,Genehmigt
I2154,D,GREJ,Abgelehnt
I2155,D,GOBS,Obsolet
I2156,D,GLOC,Gesperrt
I2161,D,HPLA,Geplant
I2162,D,HAPP,Beantragt
I2163,D,HAPR,Genehmigt
I2164,D,HREJ,Abgelehnt
I2165,D,HACT,Aktiv
I2166,D,HOBS,Obsolet
I2201,D,CREL,freigegeben
I2202,D,CLOC,gesperrt
I2204,D,CDIS,verteilbar
I2205,D,ARCV,zu archivieren
I2501,D,NEU,Versuch ist angelegt
I2503,D,EXPO,Versuchsdaten exportiert
I2507,D,ERGB,Ergebnisse erfasst/importiert
I2508,D,ERBE,Ergebnisse bestätigt
I2510,D,GESC,Versuch abgeschlossen
I2512,D,UMGE,Versuch umgesetzt
I2516,D,ÄNBE,Änderungsbelegschreibung aktiv
I2551,D,PEZG,Zugeordnet
I2552,D,PEPL,Fertiggestellt nach Plan
I2553,D,PEFV,Fertiggestellt m. Abweichungen
I2555,D,PEVR,Vorlage
I2557,D,PEAN,Angelegt
I2558,D,PEFR,Freigegeben
I2560,D,PEGS,Gesperrt
I2561,D,PEAB,Abgeschlossen
I3904,D,STOD,Storniert Disponent
I3906,D,STAN,Storniert Anforderer
I3908,D,ABGH,Fahrzeug ausgegeben
I3909,D,RGBE,Fahrzeug zurückgegeben
I5500,D,CLCR,Fall angelegt
I5501,D,ACCR,Vertragssperre angefordert
I5502,D,ACCC,Vertragssperre gesetzt
I5504,D,UCCC,Vertragssperre aufgehoben
I5509,D,BECP,Vertragsumgestaltung geplant
I5510,D,BCRE,Vertragsumgestaltung angef.
I5511,D,BCCO,Vertragsumgestaltung bestätigt
I5516,D,CLLR,Vertrag nicht autom. sperren
I5517,D,CTRR,Vert.reaktivierung angefordert
I5518,D,CTRC,Vert.reaktivierung bestätigt
I5519,D,CLRV,Fall storniert
I6000,D,Rcp0,In Bearbeitung
I6001,D,Rcp1,Bearbeitung abgeschlossen
I6002,D,Rcp2,Zurückgewiesen
I6003,D,Rcp3,Freigegeben
I6004,D,Rcp4,freigegeben für Geltungsber.
I6005,D,Rcp5,Inaktiv
I6006,D,Rcp6,Obsolet
I7101,D,RELO,Freigegeben
I7102,D,CLOS,Abgeschlossen
I7201,D,NEW,Neu
I7202,D,ACT,Aktiv
I7203,D,Rel,Freigegeben
I7204,D,CHK,Zur Kontrolle
I7205,D,END,Abgeschlossen
I7300,D,NEWR,Änderungsantrag bearbeitbar
I7301,D,ACCE,Änderungsantrag genehmigt
I7302,D,REVI,Änderungsantrag abgelehnt
I7303,D,CLOR,Änderungsantrag abgeschlo
I8003,D,CGMN,Systemstatus : Manuell ändern
I8004,D,INPR,Systemstatus : In Arbeit
I8005,D,CMTD,Systemstatus : Vollständig
I8007,D,HOLD,Systemstatus : Gestoppt
I8009,D,CMOB,CM: Baseline obsolet
I8014,D,TBUS,Zur Verwendung
I8019,D,BLFA,Set Archive Indicator
I8023,D,ZURÜ,Zurückgestellt
I8029,D,STOR,Storniert
I8030,D,INBE,In Bearbeitung
I8501,D,XR01,In Bearbeitung
I8502,D,XR02,Abgelehnt
I8503,D,XR03,Für Test freigegeben
I8504,D,XR04,Freigegeben
I8505,D,XR05,Obsolet
I8506,D,XR06,Zur Archivierung vorgemerkt
I8507,D,XR07,Archiviert
I8520,D,XR20,Genehmigt
I8521,D,XR21,Verworfen
I0002,E,REL,Released
I0004,E,MSPT,Material Shortage
I0009,D,RÜCK,Rückgemeldet
I0005,D,VERF,Verfügbarkeitskontrolle aktiv
I0005,E,AVAC,Availability Control Active
I8807,D,UPRJ,Abgelehnt
I0006,D,KGES,Geschätzte Kosten
I0006,E,ESTC,Estimated Costs
I0009,E,CNF,Confirmed
I8826,D,UTWG,Unterwegs
I8831,D,ELBG,Entladung begonnen
I8832,D,ELTB,Entladung teilweise beendet
I8833,D,ELAB,Entladung abgeschlossen
I8835,D,WIPR,Wiegeprozess
I8836,D,WIBE,Wiegebereit
I8838,D,ELBE,Entladebereit
I8915,D,OFRJ,Abgelehnt
I8918,D,NFRE,Freigabe verboten
IBOS2,D,LFRG,Erfassungsblatt freigegeben
IBOS3,D,STOR,Erfassungsblatt storniert
I0010,D,TRÜC,Teilrückgemeldet
I0010,E,PCNF,Partially Confirmed
I0013,D,LÖKZ,Löschkennzeichen
I0013,E,DLT,Deletion Indicator
ICO02,D,Gen.,In Genehmigung
ICO03,D,rück,Zurückgegeben
ICO04,D,Abgl,Abgelehnt
ICO05,D,frei,Freigegeben
ICO07,D,strn,Storniert
ICO09,D,fert,Fertig gestellt
ICO10,D,empf,Empfangen
I0001,F,CRÉÉ,Créé
I0039,D,JITA,Im JIT-Abruf zugeordnet
I0011,E,CPCK,Capacity Checked
I0011,D,KAPG,Kapazität geprüft
I8804,B,UPSD,נשלחה
I8809,B,UPPO,נרשם
I0014,E,PCST,Product Costed
I0014,D,NAKL,Nachkalkuliert
I0015,D,NDGF,Nicht durchgeführt
I0015,E,NCMP,Not Completed
I0017,D,AUSG,Ausgegebene Waren
I0017,E,ISSD,Goods Issued
I8870,B,UPS0,שליחה בתהליך
I8871,B,UPP0,רישום בתהליך
I0013,2,DLT,ตัวบ่งชี้การลบ
I0013,3,DLT,삭제 지시자
I0013,4,ŞTG,Indicator de ştergere
I0013,5,OBMA,Oznaka brisanja
I0013,6,IZBR,Pokazatelj brisanja
I0013,7,PMDM,Penunjuk Pemadaman
I0013,8,ІНВИ,Індикатор видалення
I0013,9,DLT,Kustutustunnus
I0013,A,م.ح.,مؤشر الحذف
I0013,B,DLT,סמן מחיקה
I0013,C,ZVÝM,Znak odstranění
I0039,E,JITC,Assigned in JIT call
I0007,D,DRUC,Gedruckt
I0045,D,TABG,Technisch abgeschlossen
I0013,F,CSUP,Code de suppression
I0013,G,DLT,Δείκτης Διαγραφής
I0018,D,NKGL,Netzplankopf endgeliefert
I0027,D,ABRE,Abrechnungsfelder gepflegt
I0030,D,MTOP,Mehrstufig: führende Stufe
I0031,D,MLOW,Mehrstufig: untere Stufe
I0032,D,MDUM,Mehrstufig: Dummyinfosatz
I0033,D,NKAL,Kosten nicht aktuell
I0038,D,KONU,Konfiguration unvollständig
I0049,D,AUGB,Off. Reservierungen ausgebucht
I0050,D,RSTD,Rückmeldung nach Standard
I0051,D,RMST,Meilensteinrückmeldung
I0052,D,RMAN,Manuell rückgemeldet
I0056,D,ABWE,Abweichungen ermittelt
I0057,D,INTR,Neuterm.(IST) erforderlich
I0058,D,KSTV,Kosten gebucht
I0059,D,SKKP,kopierte Schätzkosten
I0060,D,KOPL,Kosten geplant
I0063,D,BVSP,Budgetverwaltung gesperrt
I0065,D,SDSP,Stammdaten gesperrt
I0067,D,BUDG,Budgetiert
I0045,E,TECO,Technically completed
I0069,D,MRST,Meldung zurückgestellt
I0070,D,MIAR,Meldung in Arbeit
I0071,D,MAUF,Auftrag zugeordnet
I0046,D,ABGS,Abgeschlossen
I0073,D,MMDR,Meldung gedruckt
I0078,D,KOL1,Komponentenliste 1 gedruckt
I0079,D,KOL2,Komponentenliste 2 gedruckt
I0080,D,KOL3,Komponentenliste 3 gedruckt
I0081,D,KOL4,Komponentenliste 4 gedruckt
I0082,D,ABGR,Abgrenzung erfolgt
I0083,D,FHL1,FHM-Liste 1 gedruckt
I0084,D,FHL2,FHM-Liste 2 gedruckt
I0085,D,FHL3,FHM-Liste 3 gedruckt
I0086,D,FHL4,FHM-Liste 4 gedruckt
I0087,D,ENTR,Neuterm.(Eck) erforderlich
I0088,D,PNTR,Neuterm.(Prognose)erforderlich
I0046,E,CLSD,Closed
I0093,D,BUDÜ,Budgettoleranzen überschritten
I0095,D,FFHM,Fehlende FHM-Verfügbarkeit
I0097,D,ENFA,Endfakturiert
I0013,H,TÖRL,Törléskód
I0101,D,EHIA,Historisch erfaßt
I0102,D,ARMP,Aufteilungsregel manuell
I0104,D,SRUE,Start Rüsten
I0106,D,ERUE,Ende Rüsten
I0107,D,SBEA,Start Bearbeiten
I0109,D,EBEA,Ende Bearbeiten
I0110,D,SARU,Start Abrüsten
I0112,D,EARU,Ende Abrüsten
I0113,D,COMO,Komponenten zum Objekt
I0114,D,PRTO,FHM zum Objekt
I0115,D,PLKF,Fehler bei Kostenermittlung
I0120,D,MVNA,Angelegte Mietverträge
I0121,D,MVAC,Aktive Mietverträge
I0122,D,NOMV,Keine Mietverträge
I0124,D,GEWB,Gewerbevertrag
I0125,D,GABG,Gewerbevorvertrag
I0127,D,VANP,Mietanpassungen geplant
I0129,D,KOMV,Konzerngenutzt mit MV
I0130,D,EIGE,Eigengenutzt
I0131,D,LEER,Leerstehend
I0135,D,SABG,Abgeschlossen (Standard-PSP)
I0665,D,MPE,Fertigungsauftrag
I1704,D,ZARC,Zu Archivieren
I1706,D,ZABN,Zur Abnahme
I1709,D,NVWB,Veraltet
I1710,D,BEAR,In Bearbeitung
I1712,D,ERLD,Erledigt
I1720,D,VTLV,Zur Übertragung vorgemerkt
I1721,D,ZVTL,Zu übertragen
I1722,D,VTLT,Übertragen
I1727,D,ARCV,Archiviert
I1733,D,ZUKT,Zu kontieren
I1735,D,TKTR,Teilweise kontiert
I1771,D,1771,Vorgeschlagen
I1772,D,1772,Aktiv
I1775,D,1775,Verzögert
I1776,D,1776,Abgelehnt
I1777,D,VzAb,Vorzeitig abgebrochen
I7A01,D,A701,Entwurf
I7A08,V,ACCL,Sammanställd
I7A06,D,A706,Storniert
I7A13,D,A708,Warte auf Spot/Akkumulation
I7C04,D,A714,Storniert
I7D01,D,SINI,Initial
I7D02,D,SSUC,Erfolg
I7P03,D,SCRL,Freigegeben
I7R02,D,R702,Verkn. mit Forward-AnwendBeleg
I7R04,D,R704,Warte auf endgült. Abrechnung
I7S05,D,S705,Abrechnung storniert
I7S06,D,S706,Vorläufige Abrechn. storniert
I7S57,D,SREV,Abrechnung storniert
I7S58,D,SCNC,Abrechnung storniert
I7TO1,D,T701,Entwurf Terminplan
I7TO3,D,T703,Zeitplan widerrufen
I7U03,D,U703,Teilweise freigegeben
I7W01,D,AWDR,Entwurf
I7W02,D,AWRE,Freigegeben
I7W03,D,AWCN,Storniert
I7W04,D,AWVD,Ungültig
I0013,I,CDCN,Indicatore di eliminazione
I0013,J,DLT,削除区分
I0013,K,SLIN,Sletteindikator
I0672,D,LBF,Lauf. Kostenberech. fehlerhaft
I0672,E,OCE,Ongoing Cost Calculation Error
I0673,D,LBE,Lauf. Kostenberechn. erfolgr.
I0673,E,OCS,Ongoing Cost Calc Successful
I1002,1,OPEN,未处理
I1002,2,เปิด,เปิดอยู่
I1002,3,미결,미결
I1002,4,DSCH,Deschis
I1002,5,ODPR,Odprto
I1002,6,OTV.,Otvoreno
I1002,8,OPEN,Відкрито
I2309,V,IT09,Workflow startat
I0016,2,PRC,คิดต้นทุนเบื้องต้นแล้ว
I1137,D,GLFT,Vollbeliefert
I1137,E,DLV,Completely Delivered
I1158,D,QAPP,Angebotsgenehmigung angenommen
I1158,E,QAPP,Quotation Approval Accepted
I1159,D,QARJ,Angebotsgenehmigung abgelehnt
I1159,E,QARJ,Quotation Approval Rejected
I1421,D,CDLV,Teilbeliefert
I1421,E,CDLV,Partially Delivered
I1607,D,BKÜS,Ist buchungskreisüb. ServAuft.
I1607,E,ICOS,Is Intercompany Service Order
IFO00,D,INIT,Neu
IFO02,D,REVW,Überprüfung
IFO03,D,REWK,Überarbeitung
IFO04,D,IP,In Bearbeitung
IFO05,D,OPEN,Offen
IFO07,D,CLSD,Abgeschlossen
IFO08,D,REAS,Erneute Beurteilung
IFO09,D,VLDT,Validiert
IFO11,D,TEST,In Bearbeitung
IHU03,D,WA,Warenausgang gebucht
IHU04,D,ENTL,Entladen
IHU06,D,TE,Transporteinheit zugeordnet
IHU07,D,EPCH,EPC für HU vorhanden
IHUCL,D,CLAR,Zu klären
IHUCO,D,COMP,Abgeschlossen
IHUII,D,INV,inventarisiert
IHUIV,D,INIV,in Inventur
IHUS4,D,SPUB,Umbuchungen gesperrt
IHUS5,D,SPCB,Zollsperre
I0068,D,MOFN,Meldung offen
IHUUP,D,UNPA,Vollständig ausgepackt
IJ3G1,D,VERS,Versand erfolgt
IJ3G2,D,TVER,Versand teilweise erfolgt
ILB00,D,INBR,In Bearbeitung
ILB10,D,AGEL,Bearbeitung abgeschlossen
ILB20,D,FRGE,Freigegeben
ILB30,D,OBSL,Obsolet
IP011,D,TRC,Angelegt
IP015,D,INP,In Bearbeitung
IP016,D,AUD,In Prüfung
IP018,D,APP,Genehmigt
IP019,D,REJ,Abgelehnt
IP020,D,OBS,Obsolet
IP021,D,TAPP,Zu genehmigen
IP025,D,BLOC,Geblockt
ISR01,D,EX,Existent
ISR04,D,BU,Entladen gestartet
ISR06,D,VE,Entladen beendet
ISR11,D,BGR,Wareneingang begonnen
ISR12,D,BGI,Warenausgang begonnen
ISR17,D,PGR,Wareneingang gebucht
ISR18,D,PGI,Warenausgang gebucht
ISR32,D,AARC,Archiviert
ISR41,D,ULUC,Entladen / Abgekuppelt
I1608,D,BÜVF,Buchungskreisüb. Verarb. Fehl.
I1608,E,IPRE,Intercompany Processing Error
I1851,D,QI02,Freigegeben
I1609,D,BÜVE,Buchungskreisü. Verarb. Erfolg
I1609,E,IPRS,Intercompany Proc. Success
I1851,E,QI02,Released
I1002,A,OPEN,مفتوح
I1002,B,פתוח,פתוח
I5000,D,ZRGT,Zurückgetreten
I5000,E,WDRL,Withdrawn
I0068,E,OSNO,Outstanding notification
I0072,D,MMAB,Meldung abgeschlossen
I7S03,D,S703,Vorläufig abgerechnet
I7S03,E,S703,Provisionally Settled
I7U04,D,U704,Freigegeben
I7U04,E,U704,Released
I8802,D,UPSV,Gesichert
I8802,E,UPSV,Saved
I8803,D,UPRL,Freigegeben
ITM03,D,TBEG,Transport gestartet
ITM04,D,TEND,Transport abgeschlossen
ITM08,D,TDIS,Transportdisposition  Ende
ITM09,D,TCPL,Transport abgefertigt
ITM11,D,BOL,Frachtbrief
ITM21,D,WGTD,Fracht gewogen
ITM22,D,FCC,Frachtkosten berechnet
ITM33,D,FRD,Frachtbeleg
IU003,D,OLVM,Löschvormerkung gesetzt
IU004,D,OZGD,Zugeordnet
IU010,D,WNVO,Wert ist nicht vorhanden
IU011,D,WFEL,Wert fehlt
IU012,D,WGÜL,Wert ist gültig
IU013,D,WSCH,Wert wurde geschätzt
IU014,D,WFRA,Wert fraglich/nicht belastbar
IU015,D,WGEÄ,Wert manuell geändert/erfasst
IU016,D,WFRE,Wert ist freigegeben
IU017,D,WGSP,Wert ist gesperrt
IU018,D,WGSC,Wert ist geschützt
IU019,D,WARC,Wert wurde archiviert
IU020,D,WEPL,Wert wurde extrapoliert
IU021,D,WIPL,Wert wurde interpoliert
IU022,D,WEGÄ,Wert extern manuell geändert
IU023,D,WVNG,Version außerh. der Gültigkeit
IU041,D,GSPT,Gesperrt
IU042,D,ESVG,Entsperrung vorgemerkt
IU102,D,VAAF,Versenden Abl.anf. fehlerhaft
IU105,D,VAAB,Versenden Abl.anf.  bestätigt
IU110,D,VAEF,Versenden Ablerg. fehlerhaft
IU111,D,VAEB,Versenden Ablerg. bestätigt
IU112,D,VAFB,Vers. Ablerg. m. Fehlern best.
IU113,D,VAAE,Vers. Abl.anf. m. Fehl. best.
IU150,D,SAAV,Storno Abl.anf. versendet
IU151,D,SAAF,Versenden Storno AA fehlerhaft
IU152,D,SAEV,Storno Ablerg. versendet
I0013,L,WSKU,Wskaźnik usuwania
I0013,M,DLT,刪除指示碼
I0013,N,VWIJ,Verwijderteken
I0013,O,SLIN,Sletteindikator
I0013,P,ELIM,Código de eliminação
IWA03,D,RLÖV,Löschvormerkung gesetzt
IWA34,D,WVAR,zur Archivierung vorgemerkt
IWA35,D,WVAN,Angelegt
IWA37,D,WVAB,abgeschlossen
I0667,D,ÄNEI,Änderungen eingeschränkt
I0668,D,VOÜB,Vorgang übersprungen
IBOS1,D,ANG,Erfassungsblatt angelegt
I0390,D,CPRE,Chargenprotokoll erforderlich
I0392,D,CEFF,Gültigkeitspar. übernommen
I0393,D,MABG,Manueller Abgleich erforderl.
I0072,E,NOCO,Notification completed
I0396,D,ANAK,Angebot angenommen
I0399,D,RWVB,Rückmldg./Warenbeweg. verboten
I0400,D,RA,Reparaturabwicklung
I0407,D,SNM,Normalisieren
I0408,D,INM,Normalisiert
I0412,D,RLVL,Rücklieferung veranlaßt
I0413,D,KNOK,Kreditlimitprüf. nicht o.k.
I0414,D,KPOK,Kreditlimitprüfung erfolgreich
I0415,D,PAGE,Paging erfolgt
I0420,D,NMVP,Mat.verfügbark. nicht geprüft
I0421,D,NKVP,Kap.verfügbark. nicht geprüft
I0422,D,NFVP,FHM-Verfügbark. nicht geprüft
I0424,D,NMB,Normalisierbar
I0426,D,AABG,Arbeit abgeschlossen
I0427,D,INAB,In Arbeit
I0432,D,VBAN,Chargenprotokoll angelegt
I0433,D,VBGE,Chargenprotokoll genehmigt
I0434,D,VBTG,Chargenprotokoll teilgenehmigt
I0436,D,VBTA,ChargProt teilarchiviert
I0437,D,VBAB,ChargProt enthält Abweichungen
I0438,D,VBGZ,ChargProt: neue Version vorh.
I0440,D,CO,Konferenz
I0443,D,HUM,Handling Units zugeordnet
I0444,D,KONX,Konfiguration fixiert
I0446,D,NTRG,Nachtrag
I0447,D,HI,historisch
I0448,D,AC,aktiv
I0451,D,AW,in Arbeit
I0453,D,DC,Daten erfasst
I0460,D,AKZP,Auftrag angenommen
I0472,D,MAEN,Meldungsart geändert
I0484,D,EXTS,Durch externes System geändert
I0486,D,SPLT,Gesplittet
I0490,D,ALAB,Automat. Löschen abgelehnt
I0511,D,PYEX,physisch existent
