MANDT,SPRAS,MSEHI,MSEH3,MSEH6,MSEHT,MSEHL
400,E,2M,CMS,cm/s,cm/s,Centimeter/second
400,J,2X,MMI,m/min,m/min,メートル毎分
400,E,2X,MMI,m/min,m/min,Meter/Minute
400,K,4G,µL,µl,µl,Mikroliter
400,J,4G,μL,μl,μl,マイクロリットル
400,E,4G,µL,µl,µl,Microliter
400,K,B78,TRV,MF,MF,Megavolt
400,J,B78,MHV,MV,MV,メガボルト
400,E,B78,MHV,MV,MV,Megavolt
400,K,B84,µA,µA,µA,Mikroampere
400,J,B84,μA,µa,μA,マイクロアンペア
400,E,B84,µA,µA,µA,Microampere
400,J,BAG,BAG,袋,袋,袋
400,E,BAG,BAG,Bag,Bag,Bag
400,K,BAR,BAR,bar,bar,bar
400,J,BAR,BAR,bar,bar,バール
400,E,BAR,BAR,bar,bar,bar
400,K,BB6,BB6,BB6,Barrel 60F,Barrel 60 °F
400,J,BB6,BB6,BB6,バレル 60F,バレル 60°F
400,E,BB6,BB6,BB6,Barrel 60F,Barrel 60°F
400,K,BBL,BBL,BBL,Barrel,Barrel
400,J,BBL,BBL,BBL,バレル,バレル
400,E,BBL,BBL,BBL,Barrels,Barrels
400,J,BC1,BC1,BC1,BTUCF1502D,BTU/立方フィート(15.025/60/SD)
400,E,BC1,BC1,BC1,BTUCF1502D,BTU/Cubic Foot at 15.025/60/SD
400,J,BC2,BC2,BC2,BTUCF1473D,BTU/立方フィート (14.73/66/SD)
400,E,BC2,BC2,BC2,BTUCF1473D,BTU/Cubic Foot at 14.73/60/SD
400,J,BC3,BC3,BC3,BTUCF1465D,BTU/立方フィート (14.65/60/SD)
400,E,BC3,BC3,BC3,BTUCF1465D,BTU/Cubic Foot at 14.65/60/SD
400,K,BM2,BM2,Bq/m2,Bq/m2,Becquerel/kvadratmeter
400,J,BM2,BM2,Bq/m2,Bq/m2,ベクレル毎平方メートル
400,E,BM2,BM2,Bq/m2,Bq/m2,Becquerels per Square Meter
400,J,BOE,BOE,boe,BOE,石油換算バレル相当数量
400,E,BOE,BOE,BOE,BOE,Barrels of Oil Equivalent
400,J,BOT,BT,Bt.,ボトル,ボトル
400,E,BOT,BT,Bt.,Bottle,Bottle
400,K,BQ,BQ,Bq,Bq,Becquerel (1/sekund)
400,J,BQ,BQ,Bq,Bq,ベクレル (毎秒)
400,E,BQ,BQ,Bq,Bq,Becquerel (1/Second)
400,K,BQ2,BQ2,Bq/cm2,Bq/cm2,Becquerel/kvadratcentimeter
400,J,BQ2,BQ2,Bq/cm2,Bq/cm2,ベクレル毎平方センチメートル
400,E,BQ2,BQ2,Bq/cm2,Bq/cm2,Becquerels per square cm
400,K,BQG,BQG,Bq/g,Bq/g,Becquerel/gram
400,J,BQG,BQG,Bq/g,Bq/g,ベクレル毎グラム
400,E,BQG,BQG,Bq/g,Bq/g,Becquerels per gram
400,K,BQK,BQK,Bq/kg,Bq/kg,Becquerel/kilogram
400,J,BQK,BQK,Bq/kg,Bq/kg,ベクレル毎キログラム
400,E,BQK,BQK,Bq/kg,Bq/kg,Becquerel/kilogram
400,K,BTU,BTU,Btu,BTU,British Thermal Unit
400,J,BTU,BTU,Btu,BTU,英国熱量単位
400,E,BTU,BTU,Btu,BTU,British Thermal Unit
400,J,Bqm,Bqm,Bq/m3,Bq/m3,ベクレル毎立法メートル
400,E,Bqm,Bqm,Bq/m3,Bq/m3,Becquerel/Cubic Meter
400,K,C10,MFK,mF,mF,Millifarad
400,J,C10,RF,mF,mF,ミリファラド
400,E,C10,RF,mF,mF,Millifarad
400,J,C36,M/M,mol/m3,Mo/m3,モル毎立方メートル
400,E,C36,M/M,mol/m3,Mo/m3,Mole per Cubic Meter
400,J,C38,M/L,Mol/l,Mol/Liter,モル毎リットル
400,E,C38,M/L,Mol/l,Mol/Liter,Mole per Liter
400,K,C39,IM,nA,nA,Nanoampere
400,J,C39,NA,nA,nA,ナノアンペア
400,E,C39,NA,nA,nA,Nanoampere
400,J,C3S,C3S,cm3/s,cm3/s,立方センチメートル毎秒
400,E,C3S,C3S,cm3/s,cm3/s,Cubic centimeter/second
400,K,CD,CD,cd,cd,Candela
400,J,CD,CD,cd,cd,カンデラ
400,E,CD,CD,cd,cd,Candela
400,J,CDM,CD3,dm3,dm3,立方デシメートル
400,E,CDM,CD3,dm3,Cubic dec.,Cubic decimeter
400,K,CM,CM,cm,cm,Centimeter
400,J,CM,CM,cm,cm,センチメートル
400,E,CM,CM,cm,cm,Centimeter
400,K,CM2,CM2,cm2,cm2,Kvadratcentimeter
400,J,CM2,CM2,cm2,cm2,平方センチメートル
400,E,CM2,CM2,cm2,cm2,Square centimeter
400,K,C41,IF,nF,nF,Nanofarad
400,J,C41,R-U,nF,nF,ナノファラド
400,E,C41,R-U,nF,nF,Nanofarad
400,K,C56,NMM,N/mm2,N/mm2,Newton/kvadratmillimeter
400,J,C56,NMM,N/mm2,N/mm2,ニュートン毎平方ミリメートル
400,E,C56,NMM,N/mm2,N/mm2,Newton/Square Millimeter
400,J,CCK,CCK,cck,CCM/KG,立方センチメートル毎キログラム
400,E,CCK,CCK,CCK,CCM/KG,Cubic Centimeters per Kilogram
400,J,CCM,CCM,cm3,cm3,立方センチメートル
400,E,CCM,CCM,cm3,cm3,Cubic centimeter
400,J,CMH,CMH,cm/h,cm/h,センチメートル毎時
400,E,CMH,CMH,cm/h,cm/h,Centimeter/hour
400,J,COP,COP,cop,印刷,印刷
400,E,COP,COP,COP,Copies,Copies
400,J,CS,CV,Case,Case,ケース
400,E,CS,CV,Case,Case,Case
400,K,CTL,CL,cl,Centiliter,Centiliter
400,J,CTL,CL,Cl,Centiliter,センチリットル
400,E,CTL,CL,Cl,Centiliter,Centiliter
400,J,D10,S/M,S/m,Siemens/m,ジーメンス毎メートル
400,E,D10,S/M,S/m,Siemens/m,Siemens per meter
400,J,D41,TOM,t/m3,t/m3,トン毎立方メートル
400,E,D41,TOM,t/m3,t/m3,Ton/Cubic Meter
400,K,D46,TA,TA,Mo,Voltampere
400,J,D46,VAM,vam,mgw,ボルトアンペア
400,E,D46,VAM,VAM,VA,Voltampere
400,K,D95,JG,J/g,J/g,Joule/gram
400,J,D95,JG,J/G,J/G,ジュール/グラム
400,E,D95,JG,J/G,J/G,Joules/Gram
400,J,DBA,dBA,dB(A),db(A),デシベル (A 加重)
400,E,DBA,dBA,dB(A),db(A),Decibels (A Weighting)
400,J,DBC,dBC,dB(C),dB(C),デシベル (C 加重)
400,E,DBC,dBC,dB(C),dB(C),Decibels (C Weighting)
400,K,DEG,DEG,gr.,Grad,Grad
400,J,DEG,DEG,度,度,度
400,E,DEG,DEG,deg,Degree,Degree
400,J,DGP,DGP,dgp,ADR Point,ADR DG 除外ポイント
400,E,DGP,DGP,DGP,ADR Points,ADR DG Exemption Points
400,K,DM,DM,dm,dm,Decimeter
400,J,DM,DM,dm,dm,デシメートル
400,E,DM,DM,dm,dm,Decimeter
400,J,DR,DR,Dr,ドラム,ドラム
400,E,DR,DR,Dr,Drum,Drum
400,J,DZ,DZ,dz,dz,ダース
400,E,DZ,DZ,dz,Dozen,Dozen
400,J,EA,EA,ea,各,各
400,E,EA,EA,EA,Each,Each
400,J,EE,EU,eu,ユニット,ユニット
400,E,EE,EU,EU,Enzy.Units,Enzyme Units
400,J,EML,EML,EU/ml,酵素/ml,酵素単位/ミリリットル
400,E,EML,EML,EU/ml,Enzyme/ml,Enzyme Units/Milliliter
400,J,EXR,EXR,EXR,換算レート,換算レート値
400,E,EXR,EXR,EXR,Ex.Rate,Exchange rate value
400,K,F,F,F,F,Farad
400,J,F,F,f,F,ファラド
400,E,F,F,F,F,Farad
400,K,FA,°F,°F,°F,Fahrenheit
400,J,FA,°F,°f,°F,華氏
400,E,FA,°F,°F,°F,Fahrenheit
400,K,FAH,FAH,FAH,Fahrenheit,Fahrenheit
400,J,FAH,FAH,FAH,華氏,華氏
400,E,FAH,FAH,FAH,Fahrenheit,Fahrenheit
400,J,FT,FT,Feet,フィート,フィート
400,E,FT,FT,Foot,Foot,Foot
400,J,GAU,GAU,gau,グラム金,グラム金
400,E,GAU,GAU,GAU,Gram Gold,Gram Gold
400,K,GBQ,GBQ,GBq,GBq,Gigabecquerel
400,J,GBQ,GBQ,GBq,GBq,ギガベクレル
400,E,GBQ,GBQ,GBq,GBq,Gigabecquerel
400,K,GC,°C,°C,°C,Grad Celsius
400,J,GC,°C,°c,ｰC,摂氏
400,E,GC,°C,°C,°C,Degrees Celsius
400,K,GHG,GHG,g/hg,g/hg,Gram/hektogram
400,J,GHG,GHG,g/hg,g/hg,グラム毎ヘクトグラム
400,E,GHG,GHG,g/hg,g/hg,Gram/hectogram
400,J,FT2,FT2,ft2,平方 Foot,平方フィート
400,E,FT2,FT2,ft2,Square ft,Square foot
400,J,FT3,FT3,ft3,ft3,立方フィート
400,E,FT3,FT3,ft3,Cubic ft,Cubic foot
400,K,G,G,g,g,Gram
400,J,G,G,g,g,グラム
400,E,G,G,g,g,Gram
400,J,G/L,GIL,gai/l,gai/liter,グラム有効成分/リットル
400,E,G/L,G/L,gai/l,gai/liter,Gram Active Ingredient/Liter
400,K,GJ,RÅ,RgÅr,RgÅr,Gigajoule
400,J,GJ,GJ,gj,Gigajoule,ギガジュール
400,E,GJ,GJ,GJ,Gigajoule,Gigajoule
400,K,GJK,GJC,GJ/kl,GJ/kl,Gigajoule/kiloliter
400,J,GJK,GJC,GJ/kl,GJ/kl,ギガジュール/キロリットル
400,E,GJK,GJC,GJ/kl,GJ/kl,Gigajoule/Kiloliter
400,K,GJT,GJT,GJ/t,GJ/t,Gigajoule/ton
400,J,GJT,GJT,GJ/t,GJ/t,ギガジュール/トン
400,E,GJT,GJT,GJ/t,GJ/t,Gigajoules/Ton
400,K,GKG,GKG,g/kg,g/kg,Gram/kilogram
400,J,GKG,GKG,g/kg,g/kg,グラム毎キログラム
400,E,GKG,GKG,g/kg,g/kg,Gram/kilogram
400,K,GLI,GLI,g/l,g/l,Gram/liter
400,J,GLI,GLI,grm/l,grm/l,グラム毎リットル
400,E,GLI,GLI,g/l,g/l,Gram/liter
400,J,GLL,USG,gal US,US ガロン,US ガロン
400,E,GLL,GAL,gal US,US Gallon,US Gallon
400,J,GLM,GPM,GPM US,Gal/Mi(US),ガロン毎マイル (US)
400,E,GLM,GPM,GPM US,Gal/Mi(US),Gallons per mile (US)
400,K,GM,RM,g/mol,g/mol,Gram/mol
400,J,GM,GM,g/mol,g/mol,グラム/モル
400,E,GM,GM,g/mol,g/mol,Gram/Mole
400,K,GM2,GM2,g/m2,g/m2,Gram/kvadratmeter
400,J,GM2,GM2,g/m2,g/m2,グラム毎平方メートル
400,E,GM2,GM2,g/m2,g/m2,Gram/square meter
400,J,GPH,GPH,GPH US,Gal/hr US,ガロン毎時 (US)
400,E,GPH,GPH,GPH US,Gal/hr US,Gallons per hour (US)
400,J,GQ,ｵGQ,μg/m3,μg/m3,マイクログラム毎立方メートル
400,E,GQ,µGQ,µg/m3,µg/m3,Microgram/cubic meter
400,J,GRO,GRO,gro,グロス,グロス
400,E,GRO,GRO,gro,Gross,Gross
400,K,GT,GT,g/t,g/t,Gram/ton
400,J,GT,GT,g/t,g/t,グラム/トン
400,E,GT,GT,g/t,g/t,Gram/Ton
400,J,GW,GAI,gai,g 有効成分,グラム有効成分
400,E,GW,GAI,gai,g act.ing.,Gram Active Ingredient
400,K,H,H,h,Timer,Timer
400,J,H,H,h,時間,時間
400,E,H,H,h,Hours,Hours
400,K,HAR,HA,Hektar,Hektar,Hektar
400,J,HAR,HA,Ha,ヘクタール,ヘクタール
400,E,HAR,HA,Hectar,Hectare,Hectare
400,K,HL,HL,hl,hl,Hektoliter
400,J,HL,HL,hl,hl,ヘクトリットル
400,E,HL,HL,hl,hl,Hectoliter
400,K,HPA,HPA,HPa,HPa,Hektopascal
400,J,HPA,HPA,hPa,hPa,ヘクトパスカル
400,E,HPA,HPA,hPa,hPa,Hectopascal
400,K,HZ,HZ,Hz,Hz,Hertz (1/sekund)
400,J,HZ,HZ,Hz,Hz,ヘルツ（毎秒）
400,E,HZ,HZ,Hz,Hz,Hertz (1/second)
400,J,IN,INC,Inch,インチ,インチ
400,E,IN,"""","""",Inches,Inch
400,J,IN2,"""2",Inch2,Inch2,平方インチ
400,E,IN2,"""2",Inch2,Inch2,Square inch
400,J,IN3,"""3",Inch3,立方インチ,立方インチ
400,E,IN3,"""3",Inch3,Cubic inch,Cubic inch
400,K,J,J,J,J,Joule
400,J,J,J,j,J,ジュール
400,E,J,J,J,J,Joule
400,J,JHR,年,yr,年,年
400,E,JHR,YR,yr,Year,Years
400,K,JKG,JKG,J/kg,J/kg,Joule/kilogram
400,J,JKG,JKG,J/kg,J/kg,ジュール毎キログラム
400,E,JKG,JKG,J/kg,J/kg,Joule/Kilogram
400,J,JKK,JKK,J/kgK,J/(kg*K),比熱容量
400,E,JKK,JKK,J/kgK,J/(kg*K),Spec. Heat Capacity
400,J,JM3,JM3,J/M3,Joule/m3,ジュール/立方メートル
400,E,JM3,JM3,J/M3,Joule/m3,Joule per Cubic Meter
400,K,JMO,JMO,J/mol,J/mol,Joule/mol
400,J,JMO,JMO,J/mol,J/mol,ジュール毎モル
400,E,JMO,JMO,J/mol,J/mol,Joule/Mole
400,K,K,K,k,K,Kelvin
400,J,K,K,k,K,ケルビン
400,E,K,K,K,K,Kelvin
400,K,KA,KA,kA,kA,Kiloampere
400,J,KA,KA,kA,kA,キロアンペア
400,E,KA,KA,kA,kA,Kiloampere
400,J,KAN,CAN,Can,缶,缶
400,E,KAN,CAN,Can,Canister,Canister
400,K,KAR,KAR,Kar,Karton,Karton
400,J,KAR,CT,Carton,Carton,カートン
400,E,KAR,CAR,Car,Carton,Carton
400,K,KB2,KB2,kBq/c2,kBq/c2,Kilobecquerel/kvadratcentimet.
400,J,KB2,KB2,kBq/c2,kBq/c2,キロベクレル毎平方 cm
400,E,KB2,KB2,kBq/c2,kBq/c2,Kilobecquerels per square cm
400,K,KBG,KBG,kBq/g,kBq/g,Kilobecquerel/gram
400,J,KBG,KBG,kBq/g,kBq/g,キロベクレル毎グラム
400,E,KBG,KBG,kBq/g,kBq/g,Kilobecquerels per gram
400,K,KBK,KBK,kBq/kg,kBq/kg,Kilobecquerel/kilogram
400,J,KBK,KBK,kBq/kg,kBq/kg,キロベクレル毎キログラム
400,E,KBK,KBK,kBq/kg,kBq/kg,Kilobecquerel/Kilogram
400,K,KBQ,KBQ,kBq,kBq,Kilobecquerel
400,J,KBQ,KBQ,kBq,kBq,キロベクレル
400,E,KBQ,KBQ,kBq,kBq,Kilobecquerel
400,J,KEL,KEL,kg/KWh,kg/KWh,キログラム/キロワット時
400,E,KEL,KEL,kg/KWh,kg/KWh,Kilogram/Kilowatt-Hour
400,K,KG,KG,kg,kg,Kilogram
400,J,KG,KG,kg,kg,キログラム
400,E,KG,KG,kg,kg,Kilogram
400,K,KGF,KGF,kg/m2,kg/m2,Kilogram/kvadratmeter
400,J,KGF,KGF,kg/m2,kg/m2,キログラム毎平方メートル
400,E,KGF,KGF,kg/m2,kg/m2,Kilogram/Square meter
400,J,KGH,KGH,kg/h,kg/h,キログラム毎時
400,E,KGH,KGH,kg/h,kg/h,Kilogram/Hour
400,K,KGJ,KGJ,kg/GJ,kg/GJ,Kilogram/gigajoule
400,J,KGJ,KGJ,kg/GJ,kg/GJ,キログラム/ギガジュール
400,E,KGJ,KGJ,kg/GJ,kg/GJ,Kilogram/Gigajoule
400,K,KGK,KGK,kg/kg,kg/kg,Kilogram/kilogram
400,J,KGK,KGK,kg/kg,kg/kg,キログラム毎キログラム
400,E,KGK,KGK,kg/kg,kg/kg,Kilogram/Kilogram
400,K,KGM,KGM,kg/mol,kg/mol,Kilogram/Mol
400,J,KGM,KGM,kg/mol,kg/mol,キログラム/モル
400,E,KGM,KGM,kg/mol,kg/mol,Kilogram/Mole
400,K,KGS,KGS,kg/s,kg/s,Kilogram/sekund
400,J,KGS,KGS,kg/s,kg/s,キログラム毎秒
400,E,KGS,KGS,kg/s,kg/s,Kilogram/second
400,K,KGT,KGT,kg/t,kg/t,Kilogram/ton
400,J,KGT,KGT,kg/t,kg/t,キログラム毎トン
400,E,KGT,KGT,kg/t,kg/t,Kilogram/Ton
400,J,KGV,KGV,kg/m3,kg/m3,キログラム毎立方メートル
400,E,KGV,KGV,kg/m3,kg/m3,Kilogram/cubic meter
400,J,KGW,KAI,kgai,Kg有効成分,キログラム有効成分
400,E,KGW,KAI,kgai,kg ac.ing.,Kilogram Active Ingredient
400,K,KHZ,KHZ,kHz,kHz,Kilohertz
400,J,KHZ,KHZ,kHz,kHz,キロヘルツ
400,E,KHZ,KHZ,kHz,kHz,Kilohertz
400,K,KI,KS,Kasse,Kasse,Kasse
400,J,KI,箱,Crate,箱,箱
400,E,KI,CRT,Crate,Crate,Crate
400,K,KJ,KJ,KJ,KJ,Kilojoule
400,J,KJ,KJ,kJ,kJ,キロジュール
400,E,KJ,KJ,kJ,kJ,Kilojoule
400,K,KJG,KJG,kJ/g,kJ/g,Kilojoule/gram
400,J,KJG,KJG,kJ/g,kJ/g,キロジュール/グラム
400,E,KJG,KJG,kJ/g,kJ/g,Kilojoule/gram
400,K,KJK,KJK,kJ/kg,kJ/kg,Kilojoule/kilogram
400,J,KJK,KJK,KJ/kg,KJ/kg,キロジュール毎キログラム
400,E,KJK,KJK,KJ/kg,KJ/kg,Kilojoule/kilogram
400,K,KJM,KJM,kJ/mol,kJ/mol,Kilojoule/mol
400,J,KJM,KJM,KJ/mol,KJ/mol,キロジュール毎モル
400,E,KJM,KJM,KJ/mol,KJ/mol,Kilojoule/Mole
400,J,KKW,KKW,kg/MWh,kg/MWh,キログラム/メガワット時
400,E,KKW,KKW,kg/MWh,kg/MWh,Kilogram/Megawatt-Hour
400,K,KM,KM,Km,Km,Kilometer
400,J,KM,KM,km,km,キロメートル
400,E,KM,KM,km,km,Kilometer
400,K,KM2,KM2,km2,km2,Kvadratkilometer
400,J,KM2,KM2,km2,km2,平方キロメートル
400,E,KM2,KM2,km2,km2,Square kilometer
400,K,KMH,KMH,km/h,km/h,Kilometer/time
400,J,KMH,KMH,km/h,km/h,キロメートル毎時
400,E,KMH,KMH,km/h,km/h,Kilometer/hour
400,K,KMI,KMI,kg/min,kg/min,Kilogram/minut
400,J,KMI,KMI,kg/分,kg/分,キログラム/分
400,E,KMI,KMI,kg/min,kg/min,Kilograms/Minute
400,J,KMK,KMK,m3/m3,m3/m3,立方メートル毎立方メートル
400,E,KMK,KMK,m3/m3,m3/m3,Cubic meter/Cubic meter
400,K,KMN,KMN,K/min,K/min,Kelvin/minut
400,J,KMN,KMN,K/min,K/min,ケルビン毎分
400,E,KMN,KMN,K/min,K/min,Kelvin/Minute
400,K,KMS,KMS,K/s,K/s,Kelvin/sekund
400,J,KMS,KMS,K/s,K/s,ケルビン毎秒
400,E,KMS,KMS,K/s,K/s,Kelvin/Second
400,K,KOH,KOH,kOhm,kOhm,Kiloohm
400,J,KOH,KOH,kOhm,キロオーム,キロオーム
400,E,KOH,KOH,kOhm,kOhm,Kiloohm
400,K,KPA,KPA,kPa,kPa,Kilopascal
400,J,KPA,KPA,kPa,kPa,キロパスカル
400,E,KPA,KPA,kPa,kPa,Kilopascal
400,K,KT,KT,kt,kt,Kiloton
400,J,KT,KT,kt,kt,キロトン
400,E,KT,KT,kt,kt,Kiloton
400,K,KV,SF,kV,kV,Kilovolt
400,J,KV,KV,kV,kV,キロボルト
400,E,KV,KV,kV,kV,Kilovolt
400,K,KVA,KVA,kVA,kVA,Kilovoltampere
400,J,KVA,KVA,kVA,kVA,キロボルトアンペア
400,E,KVA,KVA,kVA,kVA,Kilovoltampere
400,K,KW,KW,kW,kW,Kilowatt
400,J,KW,KW,kw,KW,キロワット
400,E,KW,KW,KW,KW,Kilowatt
400,J,KWH,KWH,kWh,kWh,キロワット時
400,E,KWH,KWH,kWh,kWh,Kilowatt hour
400,J,KWK,KIK,kai/kg,kai/kg,キログラム有効成分/キログラム
400,E,KWK,KIK,kai/kg,kai/kg,kg Active Ingredient/kg
400,J,KWM,KWM,kWh/m3,kWh/m3,キロワット時/立方メートル
400,E,KWM,KWM,kWh/m3,kWh/m3,Kilowatt Hours/Cubic Meter
400,K,Kcl,Kcl,Kcal,kcal,Kilokalorie
400,J,Kcl,Kcl,Kcal,kcal,キロカロリー
400,E,Kcl,Kcl,Kcal,kcal,kilocalorie
400,K,L,L,l,l,Liter
400,J,L,L,l,l,リットル
400,E,L,L,l,l,Liter
400,J,L2,LMI,l/min,l/min,リットル毎分
400,E,L2,LMI,l/min,l/min,Liter/Minute
400,J,LE,AU,au,AU,活動単位
400,E,LE,AU,AU,AU,Activity unit
400,J,LHK,LHK,l/hkm,l/100 km,リットル毎 100 キロメートル
400,E,LHK,LHK,l/hkm,l/100 km,Liter per 100 km
400,J,LM,LM,lm,m/個,単位ごとの長さ (メートル)
400,E,LM,LM,LM,m/Piece,Length in Meters per Unit
400,J,LMH,LMH,lb/MWh,lb/MWh,ポンド/メガワット時
400,K,LA,LA,lA,LA,Liter alkohol
400,J,LA,LA,lA,LA,アルコール (リットル)
400,E,LA,LA,lA,LA,Liters of Alcohol
400,J,LB,LB,lb,ポンド,US ポンド
400,E,LB,LB,lb,Pound,US pound
400,J,LBJ,DYr,lb/yr,ポンド/年,ポンド/年
400,E,LBJ,DYr,lb/yr,Pound/Year,Pound/Year
400,J,LBm,lbM,lb/mth,ポンド/月,ポンド/月
400,E,LBm,lbM,lb/mth,Pound/Mon,Pound/Month
400,E,LMH,LMH,lb/MWh,lb/MWh,Pound/Megawatt-Hour
400,K,LMS,LMS,l/m_.s,l/mol.s,Liter/molsekund
400,J,LMS,LMS,l/m_.s,l/mol.s,リットル毎モル秒
400,E,LMS,LMS,l/m_.s,l/mol.s,Liter/Mole Second
400,J,LPH,LPH,L/h,L/h,リットル毎時
400,E,LPH,LPH,L/hr,Liter/hr,Liter per hour
400,K,M,M,m,m,Meter
400,J,M,M,m,m,メートル
400,E,M,M,m,m,Meter
400,J,M%,M%,%(m),%(m),質量百分率
400,E,M%,M%,%(m),%(m),Percent mass
400,J,M%O,M%O,%O(m),%0 (質量),質量千分率
400,E,M%O,M%O,%O(m),%0(mass),Permille mass
400,K,M/S,M/S,m/s,m/s,Meter/sekund
400,J,M/S,M/S,m/s,m/s,メートル毎秒
400,E,M/S,M/S,m/s,m/s,Meter/second
400,K,M2,M2,m2,m2,Kvadratmeter
400,J,M2,M2,m2,m2,平方メートル
400,E,M2,M2,m2,m2,Square meter
400,J,M2C,M2C,m2/cm3,m2/cm3,平方メートル/立方センチ Meter
400,E,M2C,M2C,m2/cm3,m2/cm3,Square meter/cubic centimeter
400,K,M2G,M2G,m2/g,m2/g,Kvadratmeter/gram
400,J,M2G,M2G,m2/g,m2/g,平方メートル/グラム
400,E,M2G,M2G,m2/g,m2/g,Square meter/gram
400,J,M2I,M-2,1/M2,1/M2,1/平方メートル
400,E,M2I,M-2,1/M2,1/M2,1/Square Meter
400,K,M2K,M2K,m2/kg,m2/kg,Kvadratmeter/kilogram
400,J,M2K,M2K,m2/kg,m2/kg,平方メートル/キログラム
400,E,M2K,M2K,m2/kg,m2/kg,Square meter/kilogram
400,J,M3S,M3S,m3/s,m3/s,立方メートル毎秒
400,E,M3S,M3S,m3/s,m3/s,Cubic meter/second
400,K,MA,MA,mA,mA,Milliampere
400,J,MA,MA,mA,mA,ミリアンペア
400,E,MA,MA,mA,mA,Milliampere
400,J,MB2,MB2,MBq/c2,MBq/c2,メガベクレル/平方センチ Meter
400,E,MB2,MB2,MBq/c2,MBq/c2,Megabecquerel/sq. centimeter
400,K,MBA,MBA,mbar,mbar,Millibar
400,J,MBA,MBA,mbar,ミリバール,ミリバール
400,E,MBA,MBA,mbar,mbar,Millibar
400,J,M2M,M2M,m2/m3,m2/m3,平方メートル/立方メートル
400,E,M2M,M2M,m2/m3,m2/m3,Square meter/cubic meter
400,K,M2S,M2S,m2/s,m2/s,Kvadratmeter/sekund
400,J,M2S,M2S,m2/s,m2/s,平方メートル毎秒
400,E,M2S,M2S,m2/s,m2/s,Square meter/second
400,K,M3,M3,m3,m3,Kubikmeter
400,J,M3,M3,m3,m3,立方メートル
400,E,M3,M3,m3,m3,Cubic meter
400,J,M3D,M3D,m3/d,m3/日,立方メートル/日
400,E,M3D,M3D,m3/d,m3/day,Cubic meter/day
400,J,MBD,MBD,MMBTUD,MMBTU (SD),百万 BTU (60 FAH、SD)
400,E,MBD,MBD,MMBTUD,MMBTU (SD),"One Million BTU (60 FAH, SD)"
400,K,MBG,MBG,MBq/g,MBq/g,Megabecquerel/gram
400,J,MBG,MBG,MBq/g,MBq/g,メガベクレル毎グラム
400,E,MBG,MBG,MBq/g,MBq/g,Megabecquerels per gram
400,K,MBQ,MBQ,MBq,MBq,Megabecquerel
400,J,MBQ,MBQ,MBq,MBq,メガベクレル
400,E,MBQ,MBQ,MBq,MBq,Megabecquerel
400,K,MBZ,MBZ,m.b_/s,m.bar/s,Meterbar/sekund
400,J,MBZ,MBZ,m.b_/s,m.bar/s,メートルバール毎秒
400,E,MBZ,MBZ,m.b_/s,m.bar/s,Meterbar/second
400,J,MC1,MC1,MC1,MC1 15.025,千立方フィート 15.025 PSI
400,E,MC1,MC1,MC1,"MC1 15,025","One Thousand Cu. Ft 15,025 PSI"
