EBELN,BUKRS,BSTYP,BSART,LIFNR,EKORG,EKGRP,BEDAT,AEDAT,WAERS
4500000460,1710,F,NB,USSU-VSF06,1710,002,20191002,20191002,USD
8000000005,1710,O,RQ,0017300002,1710,001,00000000,20191008,USD
8000000004,1710,O,RQ,0017300001,1710,001,00000000,20191008,USD
4600000008,1710,K,MK,0017300001,1710,001,20191008,20191008,USD
4500000461,1710,F,NB,0017300001,1710,003,20191009,20191009,USD
4500000462,1710,F,NB,0017300006,1710,001,20191009,20191009,USD
4500000463,1710,F,NB,0017300006,1710,001,20191009,20191009,USD
4500000464,1710,F,NB,0017300006,1710,001,20191009,20191009,USD
4500000465,1710,F,NB,0017300001,1710,001,20191010,20191010,USD
4500000466,1710,F,NB,0017300001,1710,002,20191011,20191011,USD
4500000467,1710,F,NB,0017300001,1710,002,20191011,20191011,USD
4500000468,1710,F,NB,0017300003,1710,002,20191011,20191011,USD
4500000469,1710,F,NB,0017300003,1710,002,20191011,20191011,USD
4500000061,1710,F,NB,0017300001,1710,001,20171025,20171025,USD
4500000470,1710,F,NB,0017300006,1710,001,20191011,20191011,USD
4500000472,1710,F,NB,0017300001,1710,002,20191011,20191011,USD
4600000009,1710,K,CMK,0017300001,1710,001,20191014,20191014,USD
4500000062,1710,F,NB,0017300002,1710,001,20171026,20171026,USD
4500000063,1710,F,NB,0017300002,1710,001,20171026,20171026,USD
4500000064,1710,F,NB,0017300002,1710,001,20171026,20171026,USD
4500000473,1710,F,NB,0017300001,1710,001,20191014,20191014,USD
4500000474,1710,F,NB,0017300001,1710,001,20191014,20191014,USD
4500000475,1710,F,NB,0017300001,1710,001,20191014,20191014,USD
4500000476,1710,F,NB,0017300007,1710,001,20191014,20191014,USD
4500000477,1710,F,NB,0017300007,1710,001,20191014,20191014,USD
4500000478,1710,F,NB,0017300007,1710,001,20191014,20191014,USD
4500000479,1710,F,NB,0017300001,1710,001,20191014,20191014,USD
4600000011,1710,K,MK,0017300001,1710,001,20191014,20191014,USD
4500000480,1710,F,NB,0017300001,1710,001,20191014,20191014,USD
4600000012,1710,K,MK,0017300001,1710,001,20191014,20191014,USD
4500000488,1710,F,NB,EWM17-SU01,1710,002,20191015,20191015,USD
4500000481,1710,F,NB,EWM17-SU01,1710,002,20191014,20191014,USD
4500000065,1710,F,NB,0017300001,1710,001,20171030,20171030,USD
4500000066,1710,F,NB,0017300001,1710,001,20171030,20171030,USD
4500000482,1710,F,NB,EWM17-SU01,1710,002,20191014,20191014,USD
4500000483,1710,F,NB,EWM17-SU01,1710,002,20191014,20191014,USD
4500000484,1710,F,NB,EWM17-SU01,1710,002,20191014,20191014,USD
4500000485,1710,F,NB,EWM17-SU01,1710,002,20191015,20191014,USD
4500000486,1710,F,NB,EWM17-SU01,1710,002,20191015,20191014,USD
4500000487,1710,F,NB,EWM17-SU01,1710,002,20191014,20191014,USD
4600000010,1710,K,MK,0017300001,1710,001,20191014,20191014,USD
4500000492,1710,F,NB,0017300001,1710,001,20191015,20191015,USD
4500000471,1710,F,NB,0017300001,1710,003,20191011,20191011,USD
4500000067,1710,F,NB,0017300001,1710,001,20171102,20171102,USD
4500000497,1710,F,NB,0017300002,1710,003,20191016,20191016,USD
4500000499,1710,F,NB,0017300001,1710,001,20191016,20191016,USD
4500000500,1710,F,NB,0017300001,1710,001,20191017,20191017,USD
5500000001,1710,L,LPA,0017300001,1710,001,20191016,20191016,USD
4500000068,1710,F,NB,EWM17-SU01,1710,002,20171103,20171103,USD
4500000069,1710,F,NB,EWM17-SU01,1710,002,20171103,20171103,USD
5500000002,1710,L,LPA,0017300002,1710,001,20191016,20191016,USD
4500000501,1710,F,NB,0017300001,1710,001,20191017,20191017,USD
4500000502,1710,F,NB,0017300001,1710,001,20191018,20191018,USD
4500000503,1710,F,NB,0017300001,1710,001,20191018,20191018,USD
4500000504,1710,F,NB,0017300001,1710,001,20191018,20191018,USD
4500000505,1710,F,NB,0017300001,1710,003,20191018,20191018,USD
4500000506,1710,F,NB,0017300001,1710,001,20191018,20191018,USD
5500000003,1710,L,LP,0017300001,1710,001,20191021,20191021,USD
4500000510,1710,F,NB,0017300001,1710,001,20191021,20191021,USD
4500000519,1710,F,NB,USSU-VSF07,1710,002,20191021,20191021,USD
4500000511,1710,F,NB,USSU-VSF04,1710,002,20191021,20191021,USD
4500000517,1710,F,NB,USSU-VSF05,1710,002,20191021,20191021,USD
4500000518,1710,F,NB,USSU-VSF06,1710,002,20191021,20191021,USD
4500000447,1710,F,NB,USSU-VSF02,1710,002,20191002,20191002,USD
4500000446,1710,F,NB,USSU-VSF04,1710,002,20191002,20191002,USD
4500000507,1710,F,NB,0017300001,1710,001,20191021,20191021,USD
4500000512,1710,F,NB,USSU-VSF02,1710,002,20191021,20191021,USD
4500000508,1710,F,NB,0017300001,1710,001,20191021,20191021,USD
4500000521,1710,F,NB,USSU-VSF08,1710,002,20191021,20191021,USD
4500000509,1710,F,NB,0017300001,1710,001,20191021,20191021,USD
4500000527,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000536,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000531,1710,F,NB,USSU-VSF08,1710,002,20191021,20191021,USD
4500000520,1710,F,NB,USSU-VSF08,1710,002,20191021,20191021,USD
4500000522,1710,F,NB,USSU-VSF06,1710,002,20191021,20191021,USD
4500000070,1710,F,NB,EWM17-SU01,1710,002,20171109,20171109,USD
4500000071,1710,F,NB,EWM17-SU01,1710,002,20171109,20171109,USD
4500000694,1710,F,NB,USSU-VSF02,1710,002,20200421,20200421,USD
4500000513,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000523,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000529,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000534,1710,F,NB,USSU-VSF08,1710,002,20191021,20191021,USD
4500000524,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000729,1710,F,NB,USSU-VSF04,1710,002,20200504,20200504,USD
4500000530,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000584,1710,F,NB,USSU-VSF04,1710,002,20200116,20200116,USD
4500000585,1710,F,NB,USSU-VSF02,1710,002,20200116,20200116,USD
4500000586,1710,F,NB,USSU-VSF01,1710,002,20200116,20200116,USD
4500000587,1710,F,NB,USSU-VSF05,1710,002,20200116,20200116,USD
4500000588,1710,F,NB,USSU-VSF06,1710,002,20200116,20200116,USD
4500000589,1710,F,NB,USSU-VSF07,1710,002,20200116,20200116,USD
4500000590,1710,F,NB,USSU-VSF08,1710,002,20200116,20200116,USD
4500000591,1710,F,NB,USSU-VSF08,1710,002,20200116,20200116,USD
4500000072,1710,F,NB,0017300001,1710,001,20171113,20171113,USD
4500000073,1710,F,NB,0017300007,1710,001,20171117,20171117,USD
4500000074,1710,F,NB,USSU-VSF04,1710,002,20171120,20171120,USD
4500000075,1710,F,NB,USSU-VSF02,1710,002,20171120,20171120,USD
4500000076,1710,F,NB,USSU-VSF01,1710,002,20171120,20171120,USD
4500000077,1710,F,NB,USSU-VSF05,1710,002,20171120,20171120,USD
4500000078,1710,F,NB,USSU-VSF06,1710,002,20171120,20171120,USD
4500000079,1710,F,NB,USSU-VSF07,1710,002,20171120,20171120,USD
4500000080,1710,F,NB,USSU-VSF08,1710,002,20171120,20171120,USD
4500000081,1710,F,NB,USSU-VSF08,1710,002,20171120,20171120,USD
4500000082,1710,F,NB,USSU-VSF06,1710,002,20171120,20171120,USD
4500000083,1710,F,NB,USSU-VSF01,1710,002,20171120,20171120,USD
4500000084,1710,F,NB,USSU-VSF01,1710,002,20171120,20171120,USD
4500000085,1710,F,NB,USSU-VSF01,1710,002,20171120,20171120,USD
4500000086,1710,F,NB,USSU-VSF04,1710,002,20171219,20171219,USD
4500000087,1710,F,NB,USSU-VSF02,1710,002,20171219,20171219,USD
4500000088,1710,F,NB,USSU-VSF01,1710,002,20171219,20171219,USD
4500000089,1710,F,NB,USSU-VSF05,1710,002,20171219,20171219,USD
4500000090,1710,F,NB,USSU-VSF06,1710,002,20171219,20171219,USD
4500000091,1710,F,NB,USSU-VSF07,1710,002,20171219,20171219,USD
4500000092,1710,F,NB,USSU-VSF08,1710,002,20171219,20171219,USD
4500000093,1710,F,NB,USSU-VSF08,1710,002,20171219,20171219,USD
4500000094,1710,F,NB,USSU-VSF06,1710,002,20171219,20171219,USD
4500000095,1710,F,NB,USSU-VSF01,1710,002,20171219,20171219,USD
4500000096,1710,F,NB,USSU-VSF01,1710,002,20171219,20171219,USD
4500000097,1710,F,NB,USSU-VSF01,1710,002,20171219,20171219,USD
4500000592,1710,F,NB,USSU-VSF06,1710,002,20200116,20200116,USD
4500000593,1710,F,NB,USSU-VSF01,1710,002,20200116,20200116,USD
4500000594,1710,F,NB,USSU-VSF01,1710,002,20200116,20200116,USD
4500000595,1710,F,NB,USSU-VSF01,1710,002,20200116,20200116,USD
4500000596,1710,F,NB,USSU-VSF04,1710,002,20200121,20200121,USD
4500000597,1710,F,NB,USSU-VSF02,1710,002,20200121,20200121,USD
4500000598,1710,F,NB,USSU-VSF01,1710,002,20200121,20200121,USD
4500000599,1710,F,NB,USSU-VSF05,1710,002,20200121,20200121,USD
4500000600,1710,F,NB,USSU-VSF06,1710,002,20200121,20200121,USD
4500000601,1710,F,NB,USSU-VSF07,1710,002,20200121,20200121,USD
4500000602,1710,F,NB,USSU-VSF08,1710,002,20200121,20200121,USD
4500000603,1710,F,NB,USSU-VSF08,1710,002,20200121,20200121,USD
4500000604,1710,F,NB,USSU-VSF06,1710,002,20200121,20200121,USD
4500000605,1710,F,NB,USSU-VSF01,1710,002,20200121,20200121,USD
4500000606,1710,F,NB,USSU-VSF01,1710,002,20200121,20200121,USD
4500000607,1710,F,NB,USSU-VSF01,1710,002,20200121,20200121,USD
4500000608,1710,F,NB,0017300001,1710,002,20200128,20200128,USD
4500000609,1710,F,NB,0017300001,1710,001,20200128,20200128,USD
4500000610,1710,F,NB,0017300001,1710,001,20200128,20200128,USD
4500000611,1710,F,NB,0017300001,1710,001,20200128,20200128,USD
4500000612,1710,F,NB,0017300001,1710,001,20200128,20200128,USD
4500000613,1710,F,NB,0017300002,1710,001,20200128,20200128,USD
4500000614,1710,F,NB,0017300002,1710,001,20200128,20200128,USD
4500000615,1710,F,NB,USSU-VSF04,1710,002,20200131,20200131,USD
4500000616,1710,F,NB,USSU-VSF02,1710,002,20200131,20200131,USD
4500000617,1710,F,NB,USSU-VSF01,1710,002,20200131,20200131,USD
4500000618,1710,F,NB,USSU-VSF05,1710,002,20200131,20200131,USD
4500000619,1710,F,NB,USSU-VSF06,1710,002,20200131,20200131,USD
4500000620,1710,F,NB,USSU-VSF07,1710,002,20200131,20200131,USD
4500000621,1710,F,NB,USSU-VSF08,1710,002,20200131,20200131,USD
4500000622,1710,F,NB,USSU-VSF08,1710,002,20200131,20200131,USD
4500000623,1710,F,NB,USSU-VSF06,1710,002,20200131,20200131,USD
4500000624,1710,F,NB,USSU-VSF01,1710,002,20200131,20200131,USD
4500000625,1710,F,NB,USSU-VSF01,1710,002,20200131,20200131,USD
4500000626,1710,F,NB,USSU-VSF01,1710,002,20200131,20200131,USD
4500000627,1710,F,NB,USSU-VSF04,1710,002,20200203,20200203,USD
4500000628,1710,F,NB,USSU-VSF02,1710,002,20200203,20200203,USD
4500000629,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000630,1710,F,NB,USSU-VSF05,1710,002,20200203,20200203,USD
4500000631,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000632,1710,F,NB,USSU-VSF07,1710,002,20200203,20200203,USD
4500000633,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000634,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000635,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000636,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000637,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000638,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000639,1710,F,NB,USSU-VSF04,1710,002,20200203,20200203,USD
4500000640,1710,F,NB,USSU-VSF02,1710,002,20200203,20200203,USD
4500000641,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000642,1710,F,NB,USSU-VSF05,1710,002,20200203,20200203,USD
4500000643,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000644,1710,F,NB,USSU-VSF07,1710,002,20200203,20200203,USD
4500000645,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000646,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000647,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000648,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000649,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000650,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000651,1710,F,NB,USSU-VSF04,1710,002,20200203,20200203,USD
4500000652,1710,F,NB,USSU-VSF02,1710,002,20200203,20200203,USD
4500000653,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000654,1710,F,NB,USSU-VSF05,1710,002,20200203,20200203,USD
4500000655,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000656,1710,F,NB,USSU-VSF07,1710,002,20200203,20200203,USD
4500000098,1710,F,NB,USSU-VSF02,1710,002,20180105,20180105,USD
4500000099,1710,F,NB,USSU-VSF05,1710,002,20180105,20180105,USD
4500000100,1710,F,NB,USSU-VSF06,1710,002,20180105,20180105,USD
4500000101,1710,F,NB,USSU-VSF08,1710,002,20180105,20180105,USD
4500000102,1710,F,NB,USSU-VSF06,1710,002,20180105,20180105,USD
4500000657,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000658,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000659,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000660,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000661,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000662,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000663,1710,F,NB,USSU-VSF04,1710,002,20200203,20200203,USD
4500000664,1710,F,NB,USSU-VSF02,1710,002,20200203,20200203,USD
4500000665,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000666,1710,F,NB,USSU-VSF05,1710,002,20200203,20200203,USD
4500000667,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000668,1710,F,NB,USSU-VSF07,1710,002,20200203,20200203,USD
4500000669,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000670,1710,F,NB,USSU-VSF08,1710,002,20200203,20200203,USD
4500000671,1710,F,NB,USSU-VSF06,1710,002,20200203,20200203,USD
4500000672,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000673,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000674,1710,F,NB,USSU-VSF01,1710,002,20200203,20200203,USD
4500000039,1710,F,NB,0017300001,1710,001,20171017,20171017,USD
4500000545,1710,F,NB,0017300001,1710,001,20191022,20191022,USD
4500000675,1710,F,NB,USSU-VSF05,1710,Z90,20200217,20200217,USD
4500000677,1710,F,NB,EWM17-SU01,1710,001,20200302,20200302,USD
4500000678,1710,F,NB,USSU-VSF04,1710,002,20200302,20200302,USD
4500000103,1710,F,NB,USSU-VSF04,1710,002,20180118,20180118,USD
4500000104,1710,F,NB,USSU-VSF02,1710,002,20180118,20180118,USD
4500000105,1710,F,NB,USSU-VSF01,1710,002,20180118,20180118,USD
4500000106,1710,F,NB,USSU-VSF05,1710,002,20180118,20180118,USD
4500000107,1710,F,NB,USSU-VSF06,1710,002,20180118,20180118,USD
4500000108,1710,F,NB,USSU-VSF07,1710,002,20180118,20180118,USD
4500000109,1710,F,NB,USSU-VSF08,1710,002,20180118,20180118,USD
4500000110,1710,F,NB,USSU-VSF08,1710,002,20180118,20180118,USD
4500000111,1710,F,NB,USSU-VSF06,1710,002,20180118,20180118,USD
4500000112,1710,F,NB,USSU-VSF01,1710,002,20180118,20180118,USD
4500000113,1710,F,NB,USSU-VSF01,1710,002,20180118,20180118,USD
