PLNTY,PLNNR,PLNKN,VORNR,ARBID,WERKS,STEUS,BMSCH,VGW01,VGW02,VGW03
N,41010051,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010052,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010053,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010054,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010055,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41710063,00000001,0010,10000056,1710,YBP1,1,30,25,25
Q,00000002,00000001,0010,00000000,1010,QM01,1,0,0,0
N,41010200,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010023,00000001,0010,10000044,1010,YBP1,100,30,10,10
N,41010024,00000001,0010,10000045,1010,YBP1,100,30,10,10
N,41010025,00000001,0010,10000046,1010,YBP1,100,30,10,10
N,41010026,00000001,0010,10000047,1010,YBP1,100,30,10,10
N,41010047,00000001,0010,10000037,1010,YBP1,100,10,10,30
N,41010047,00000002,0020,10000028,1010,YBP3,100,10,10,30
N,41010016,00000001,0010,10000059,1010,YBP1,10,1,2,0
N,41010016,00000002,0020,10000058,1010,YBP1,10,0.5,1,0
N,41010016,00000004,0040,10000060,1010,YBP5,10,2,2,0
N,41010016,00000003,0030,10000043,1010,QM01,10,0,0,0
Q,50101089,00000001,0010,10000043,1010,QM01,1,0,0,0
N,41010063,00000006,0010,10000061,1010,YBP1,1,30,25,25
N,41010063,00000007,0020,10000069,1010,YBP1,1,30,10,25
N,41010063,00000008,0030,10000063,1010,YBP1,1,30,5,5
N,41010063,00000009,0040,10000064,1010,YBP1,1,15,8,8
N,41010063,00000010,0050,10000064,1010,YBP1,1,15,2,2
N,41010064,00000003,0010,10000070,1010,YBP1,1,15,1,3
N,41010064,00000004,0020,10000064,1010,YBP1,1,15,2,2
2,41010065,00000001,0010,10000073,1010,YPI1,1500,0,0,0
2,41010065,00000003,0030,10000071,1010,YBP4,1500,0,0,0
2,41010065,00000002,0020,00000000,1010,YPI1,1500,1,1,0
2,41010065,00000004,0040,00000000,1010,YPI1,1500,2,2,0
2,41010065,00000005,0050,00000000,1010,YBP4,1500,1,1,0
2,41010065,00000006,0010,10000073,1010,YPI1,1500,0,0,0
2,41010065,00000008,0030,10000072,1010,YBP4,1500,0,0,0
2,41010065,00000007,0020,00000000,1010,YPI1,1500,1,1,0
2,41010065,00000009,0040,00000000,1010,YPI1,1500,1.5,1.5,0
2,41010065,00000010,0050,00000000,1010,YBP4,1500,1,1,0
2,41010066,00000001,0010,10000074,1010,YBP4,100,0,0,0
2,41010066,00000002,0020,00000000,1010,YBP4,100,2,2,0
2,41010066,00000003,0010,10000075,1010,YBP4,100,0,0,0
2,41010066,00000004,0020,00000000,1010,YBP4,100,1,1,0
N,41010035,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010036,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010037,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010038,00000001,0010,10000027,1010,YBP1,100,30,10,10
2,41010068,00000001,0010,10000076,1010,YPI1,1000,0,0,0
2,41010068,00000003,0030,10000077,1010,YPI1,1000,0,0,0
2,41010068,00000002,0020,00000000,1010,YPI1,1000,1,1,0
2,41010068,00000004,0040,00000000,1010,YPI1,1000,2,2,0
2,41010068,00000005,0050,10000078,1010,YBP4,1000,0,0,0
2,41010068,00000006,0060,00000000,1010,YBP4,1000,1,1,0
2,41010069,00000001,0010,10000079,1010,YPI1,1000,0,0,0
2,41010069,00000002,0020,00000000,1010,YPI1,1000,0,0,0
Q,51010063,00000001,0010,10000043,1010,QM01,1,0,0,0
2,41010072,00000001,0010,10000033,1010,YPI1,1000,0,0,0
2,41010072,00000002,0020,00000000,1010,YPI1,1000,2,2,0
2,41010072,00000003,0030,10000039,1010,YBP4,1000,0,0,0
2,41010072,00000004,0040,00000000,1010,YBP4,1000,1,1,0
2,41010041,00000001,0010,10000033,1010,YPI1,100,0,0,0
2,41010041,00000003,0030,10000039,1010,YBP4,100,0,0,0
2,41010041,00000002,0020,00000000,1010,YPI1,100,1,1,0
2,41010041,00000004,0040,00000000,1010,YBP4,100,2,2,0
2,41010042,00000001,0010,10000033,1010,YPI1,100,0,0,0
2,41010042,00000002,0020,00000000,1010,YPI1,100,2,2,0
2,41010042,00000003,0030,10000039,1010,YBP4,100,0,0,0
2,41010042,00000004,0040,00000000,1010,YBP4,100,2,2,0
2,41010043,00000001,0010,10000080,1010,YBP4,1000,0,0,0
2,41010043,00000002,0020,00000000,1010,YBP4,1000,0,0,0
N,41710047,00000001,0010,10000010,1710,YBP1,100,10,10,30
N,41710047,00000002,0020,10000001,1710,YBP3,100,10,10,30
N,41710016,00000001,0010,10000050,1710,YBP1,10,1,2,0
N,41710016,00000002,0020,10000049,1710,YBP1,10,0.5,1,0
N,41710016,00000004,0040,10000051,1710,YBP5,10,2,2,0
N,41710016,00000003,0030,10000016,1710,QM01,10,0,0,0
Q,50171089,00000001,0010,10000016,1710,QM01,1,0,0,0
N,41710064,00000002,0020,10000055,1710,YBP1,1,15,2,2
N,41710063,00000002,0020,10000055,1710,YBP1,1,30,25,25
N,41710063,00000008,0030,10000054,1710,YBP1,1,30,5,5
N,41710063,00000005,0040,10000055,1710,YBP1,1,15,2,2
N,41710063,00000010,0050,10000055,1710,YBP1,1,15,2,2
N,41710064,00000003,0010,10000082,1710,YBP1,1,15,1,3
N,41710064,00000004,0020,10000055,1710,YBP1,1,15,2,2
2,41710065,00000001,0010,10000085,1710,YPI1,1500,0,0,0
2,41710065,00000003,0030,10000083,1710,YBP4,1500,0,0,0
2,41710065,00000002,0020,00000000,1710,YPI1,1500,1,1,0
2,41710065,00000004,0040,00000000,1710,YPI1,1500,2,2,0
2,41710065,00000005,0050,00000000,1710,YBP4,1500,1,1,0
2,41710065,00000006,0010,10000085,1710,YPI1,1500,0,0,0
2,41710065,00000008,0030,10000084,1710,YBP4,1500,0,0,0
2,41710065,00000007,0020,00000000,1710,YPI1,1500,1,1,0
2,41710065,00000009,0040,00000000,1710,YPI1,1500,1.5,1.5,0
2,41710065,00000010,0050,00000000,1710,YBP4,1500,1,1,0
2,41710066,00000001,0010,10000086,1710,YBP4,100,0,0,0
2,41710066,00000002,0020,00000000,1710,YBP4,100,2,2,0
2,41710066,00000003,0010,10000087,1710,YBP4,100,0,0,0
2,41710066,00000004,0020,00000000,1710,YBP4,100,1,1,0
N,41710035,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710036,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710037,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710038,00000001,0010,10000000,1710,YBP1,100,30,10,10
2,41710068,00000001,0010,10000088,1710,YPI1,1000,0,0,0
2,41710068,00000003,0030,10000089,1710,YPI1,1000,0,0,0
2,41710068,00000002,0020,00000000,1710,YPI1,1000,1,1,0
2,41710068,00000004,0040,00000000,1710,YPI1,1000,2,2,0
2,41710068,00000005,0050,10000090,1710,YBP4,1000,0,0,0
2,41710068,00000006,0060,00000000,1710,YBP4,1000,1,1,0
2,41710069,00000001,0010,10000091,1710,YPI1,1000,0,0,0
2,41710069,00000002,0020,00000000,1710,YPI1,1000,0,0,0
Q,51710063,00000001,0010,10000016,1710,QM01,1,0,0,0
2,41710072,00000001,0010,10000006,1710,YPI1,1000,0,0,0
2,41710072,00000002,0020,00000000,1710,YPI1,1000,2,2,0
2,41710072,00000003,0030,10000012,1710,YBP4,1000,0,0,0
2,41710072,00000004,0040,00000000,1710,YBP4,1000,1,1,0
2,41710041,00000001,0010,10000006,1710,YPI1,100,0,0,0
2,41710041,00000003,0030,10000012,1710,YBP4,100,0,0,0
2,41710041,00000002,0020,00000000,1710,YPI1,100,1,1,0
2,41710041,00000004,0040,00000000,1710,YBP4,100,2,2,0
2,41710042,00000001,0010,10000006,1710,YPI1,100,0,0,0
2,41710042,00000002,0020,00000000,1710,YPI1,100,2,2,0
2,41710042,00000003,0030,10000012,1710,YBP4,100,0,0,0
2,41710042,00000004,0040,00000000,1710,YBP4,100,2,2,0
2,41710043,00000001,0010,10000092,1710,YBP4,1000,0,0,0
2,41710043,00000002,0020,00000000,1710,YBP4,1000,0,0,0
N,41010039,00000001,0010,10000068,1010,YBP1,1,30,200,200
N,41010039,00000002,0031,10000068,1010,YBP1,1,30,200,200
N,41010039,00000003,0032,10000068,1010,YBP1,1,30,200,200
N,41010041,00000001,0010,10000044,1010,YBP1,100,30,10,10
N,41010042,00000001,0010,10000046,1010,YBP1,100,30,10,10
N,41010043,00000001,0010,10000046,1010,YBP1,100,30,10,10
N,41010044,00000001,0010,10000047,1010,YBP1,100,30,10,10
N,41010045,00000001,0010,10000047,1010,YBP1,100,30,10,10
N,41010088,00000001,0010,10000068,1010,YBP1,1,30,200,200
2,51010002,00000001,0010,10000033,1010,YPI1,1,0,0,0
2,51010002,00000002,0020,00000000,1010,YPI1,1,0,0,0
N,41710004,00000002,0010,10000094,1710,YBP3,100,10,10,30
N,41710070,00000001,0010,10000048,1710,YBP1,1,60,120,180
N,41710088,00000001,0010,10000048,1710,YBP1,1,30,200,200
2,51710002,00000001,0010,10000006,1710,YPI1,1,0,0,0
2,51710002,00000002,0020,00000000,1710,YPI1,1,0,0,0
N,41010010,00000004,0010,10000027,1010,YBP1,100,50,150,150
N,41010010,00000005,0020,10000038,1010,YBP1,100,50,150,150
N,41010010,00000006,0030,10000029,1010,YBP1,100,50,150,150
N,41010011,00000002,0010,10000027,1010,YBP1,100,50,150,150
2,41010007,00000005,0010,10000033,1010,YPI1,10000,0,0,0
2,41010007,00000006,0030,10000032,1010,YBP4,10000,0,0,0
2,41010007,00000007,0020,00000000,1010,YPI1,10000,1,2,0
2,41010007,00000008,0040,00000000,1010,YBP4,10000,0.5,1,0
N,41010004,00000003,0010,10000093,1010,YBP3,100,10,10,30
2,41010077,00000001,0010,10000097,1010,YPI1,100,0,0,0
2,41010077,00000002,0020,10000098,1010,YPI1,100,0,0,0
N,41710010,00000004,0010,10000000,1710,YBP1,100,50,150,150
N,41710010,00000005,0020,10000011,1710,YBP1,100,50,150,150
N,41710010,00000006,0030,10000002,1710,YBP1,100,50,150,150
N,41710011,00000002,0010,10000000,1710,YBP1,100,50,150,150
2,41710007,00000005,0010,10000006,1710,YPI1,10000,0,0,0
2,41710007,00000006,0030,10000005,1710,YBP4,10000,0,0,0
2,41710007,00000007,0020,00000000,1710,YPI1,10000,1,2,0
2,41710007,00000008,0040,00000000,1710,YBP4,10000,0.5,1,0
N,41710004,00000003,0010,10000094,1710,YBP3,100,10,10,30
2,41710077,00000001,0010,10000099,1710,YPI1,100,0,0,0
2,41710077,00000002,0020,10000100,1710,YPI1,100,0,0,0
A,00000001,00000001,0010,10000013,1710,YBM1,1,0,0,0
A,00000001,00000002,0020,10000013,1710,YBM1,1,0,0,0
A,00000001,00000003,0030,10000013,1710,YBM1,1,0,0,0
A,00000001,00000004,0040,10000013,1710,YBM1,1,0,0,0
N,41710063,00000009,0040,10000055,1710,YBP1,1,15,2,2
N,41010046,00000001,0010,10000027,1010,YBP1,100,30,200,200
N,41010046,00000002,0020,10000028,1010,YBP1,100,30,200,200
N,41010046,00000003,0030,10000029,1010,YBP1,100,30,200,200
N,41010046,00000004,0040,10000028,1010,YBP1,100,30,200,200
N,41710039,00000006,0010,10000048,1710,YBP1,1,0,0,10
N,41710061,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710061,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710061,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710061,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710046,00000001,0010,10000000,1710,YBP1,100,30,200,200
N,41710046,00000002,0020,10000001,1710,YBP1,100,30,200,200
N,41710046,00000003,0030,10000002,1710,YBP1,100,30,200,200
N,41710046,00000004,0040,10000001,1710,YBP1,100,30,200,200
N,41710012,00000001,0010,10000004,1710,YBP3,100,10,10,30
N,41710009,00000001,0010,10000004,1710,YBP3,100,10,10,30
Q,50171007,00000001,0010,10000016,1710,QM01,1,0,0,0
A,00000002,00000001,0010,10000013,1710,YBM1,1,0,0,0
A,00000002,00000002,0020,10000013,1710,YBM1,1,0,0,0
A,00000002,00000003,0030,10000013,1710,YBM1,1,0,0,0
N,41710041,00000001,0010,10000017,1710,YBP1,100,30,10,10
N,41710042,00000001,0010,10000019,1710,YBP1,100,30,10,10
N,41710043,00000001,0010,10000019,1710,YBP1,100,30,10,10
N,41710044,00000001,0010,10000020,1710,YBP1,100,30,10,10
N,41710045,00000001,0010,10000020,1710,YBP1,100,30,10,10
N,41710014,00000001,0010,10000050,1710,YBP1,10,1,2,0
N,41710014,00000002,0020,10000049,1710,YBP1,10,0.5,1,0
N,41710014,00000003,0030,10000051,1710,YBP5,10,2,2,0
N,41710062,00000001,0010,10000050,1710,YBP1,10,1,2,0
N,41710062,00000002,0020,10000049,1710,YBP1,10,0.5,1,0
N,41710062,00000003,0030,10000051,1710,YBP5,10,2,2,0
N,41710063,00000006,0010,10000082,1710,YBP1,1,30,25,25
N,41710063,00000003,0030,10000054,1710,YBP1,1,30,5,5
N,41710063,00000004,0040,10000055,1710,YBP1,1,15,8,8
N,41710064,00000001,0010,10000056,1710,YBP1,1,15,3,3
N,41710063,00000007,0020,10000055,1710,YBP1,1,30,10,25
N,417CM001,00000001,0010,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000002,0020,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000003,0030,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000004,0040,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000005,0050,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000006,0060,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000007,0070,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000008,0075,10000057,1710,YBP1,100,0,0,0
N,417CM001,00000009,0080,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000001,0010,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000002,0020,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000003,0030,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000004,0040,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000005,0050,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000006,0060,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000007,0070,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000008,0075,10000057,1710,YBP1,100,0,0,0
N,417CM002,00000009,0080,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000001,0020,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000002,0030,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000003,0040,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000004,0050,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000005,0055,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000006,0060,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000007,0065,10000057,1710,YBP1,100,0,0,0
N,417CM003,00000008,0070,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000001,0020,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000002,0030,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000003,0040,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000004,0050,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000005,0055,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000006,0060,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000007,0065,10000057,1710,YBP1,100,0,0,0
N,417CM004,00000008,0070,10000057,1710,YBP1,100,0,0,0
A,00000002,00000004,0040,10000013,1710,YBM1,1,0,0,0
N,41710039,00000004,0011,10000048,1710,YBP1,1,0,0,0
N,41710039,00000001,0010,10000048,1710,YBP1,1,30,200,200
N,41710039,00000002,0031,10000048,1710,YBP1,1,30,200,200
N,41710039,00000003,0032,10000048,1710,YBP1,1,30,200,200
N,41010061,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010061,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010061,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010061,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010012,00000001,0010,10000031,1010,YBP3,100,10,10,30
N,41010009,00000001,0010,10000031,1010,YBP3,100,10,10,30
Q,50101007,00000001,0010,10000043,1010,QM01,1,0,0,0
N,41010031,00000001,0010,10000027,1010,YBP1,1,60,120,180
N,41010014,00000001,0010,10000059,1010,YBP1,10,1,2,0
N,41010014,00000002,0020,10000058,1010,YBP1,10,0.5,1,0
N,41010014,00000003,0030,10000060,1010,YBP5,10,2,2,0
N,41010062,00000001,0010,10000059,1010,YBP1,10,1,2,0
N,41010062,00000002,0020,10000058,1010,YBP1,10,0.5,1,0
N,41010062,00000003,0030,10000060,1010,YBP5,10,2,2,0
N,41010063,00000001,0010,10000061,1010,YBP1,1,30,25,25
N,41010063,00000002,0020,10000062,1010,YBP1,1,30,25,25
N,41010063,00000003,0030,10000063,1010,YBP1,1,30,5,5
N,41010063,00000004,0040,10000064,1010,YBP1,1,15,8,8
N,41010063,00000005,0050,10000064,1010,YBP1,1,15,2,2
N,41010064,00000001,0010,10000065,1010,YBP1,1,15,3,3
N,41010064,00000002,0020,10000065,1010,YBP1,1,15,2,2
N,410CM001,00000001,0010,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000002,0020,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000003,0030,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000004,0040,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000005,0050,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000006,0060,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000007,0070,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000008,0075,10000066,1010,YBP1,100,0,0,0
N,410CM001,00000009,0080,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000001,0010,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000002,0020,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000003,0030,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000004,0040,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000005,0050,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000006,0060,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000007,0070,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000008,0075,10000066,1010,YBP1,100,0,0,0
N,410CM002,00000009,0080,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000001,0020,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000002,0030,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000003,0040,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000004,0050,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000005,0055,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000006,0060,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000007,0065,10000066,1010,YBP1,100,0,0,0
N,410CM003,00000008,0070,10000066,1010,YBP1,100,0,0,0
N,410CM004,00000001,0020,10000066,1010,YBP1,100,0,0,0
N,410CM004,00000002,0030,10000066,1010,YBP1,100,0,0,0
