STLNR,STLKN,IDNRK,MENGE,MEINS,POSTP,AUSCH,POSNR,EWAHR
00000006,00000002,SG24,15000,CCM,L,0,0020,0
00000007,00000001,RM09,1,KG,L,0,0010,0
00000007,00000002,RM19,1.2,L,L,0,0020,0
00000007,00000003,RM30,8.5,L,L,0,0030,0
00000008,00000001,SG22,100,ST,L,0,0020,0
00000008,00000002,RM122,100,ST,L,0,0030,0
00000008,00000003,RM128,100,ST,L,0,0040,0
00000008,00000004,SG25,100,ST,L,0,0070,0
00000008,00000005,SG224,100,ST,L,0,0080,0
00000008,00000006,RM27,100,ST,L,0,0090,0
00000009,00000001,RM124,100,ST,L,0,0010,0
00000010,00000001,RM12,1000,ST,L,0,0010,0
00000002,00000010,FG126,1,ST,L,0,0010,0
00000001,00000001,SP001,1,ST,L,0,0010,0
00000001,00000002,SP002,1,ST,L,0,0020,0
00000001,00000003,SP003,1,ST,L,0,0030,0
00000001,00000004,SP004,1,ST,L,0,0040,0
00000001,00000005,SP005,1,ST,L,0,0050,0
00000001,00000006,SP006,1,ST,L,0,0060,0
00000002,00000001,SP001,1,ST,L,0,0010,0
00000002,00000002,SP002,1,ST,L,0,0020,0
00000002,00000003,SP003,1,ST,L,0,0030,0
00000002,00000004,SP004,1,ST,L,0,0040,0
00000002,00000005,SP005,1,ST,L,0,0050,0
00000002,00000006,SP006,1,ST,L,0,0060,0
00000011,00000001,RM13,100,ST,L,0,0010,0
00000011,00000002,RM14,100,ST,L,0,0020,0
00000012,00000001,RM33,100,ST,L,0,0010,0
00000012,00000002,RM34,100,ST,L,0,0020,0
00000013,00000001,SG233,100,ST,L,0,0010,0
00000013,00000002,RM233-1,100,ST,L,0,0020,0
00000013,00000003,RM233-2,100,ST,L,0,0030,0
00000013,00000004,RM233-4,100,ST,L,0,0040,0
00000014,00000001,RM234,100,ST,L,0,0010,0
00000013,00000005,SG234,100,ST,L,0,0010,0
00000015,00000001,RM235,100,ST,L,0,0010,0
00000016,00000001,RM124,100,ST,L,0,0010,0
00000017,00000001,SG29,100,ST,L,0,0010,0
00000017,00000002,RM20,100,ST,L,0,0020,0
00000018,00000001,RMPI001,86,KG,L,0,0010,0
00000018,00000002,RMPI002,2,KG,L,0,0020,0
00000018,00000003,RMPI003,3,KG,L,0,0030,0
00000018,00000004,RMPI004,4,KG,L,0,0040,0
00000018,00000005,RMPI005,5000,G,L,0,0050,0
00000019,00000001,RMPI001,86,KG,L,0,0010,0
00000019,00000002,RMPI002,2,KG,L,0,0020,0
00000019,00000003,RMPI003,3,KG,L,0,0030,0
00000019,00000004,RMPI004,4,KG,L,0,0040,0
00000019,00000005,RMPI005,5000,G,L,0,0050,0
00000020,00000001,SDBOMERLAIT01,3,ST,L,0,0010,0
00000020,00000002,SDBOMERLAIT02,5,ST,L,0,0020,0
00000021,00000001,SDBOMLUMFIT01,3,ST,L,0,0010,0
00000021,00000002,SDBOMLUMFIT02,5,ST,L,0,0020,0
00000022,00000007,,1,ST,K,0,0040,0
00000022,00000001,SF-FL-COMB,1,ST,L,0,0010,0
00000022,00000002,SF-FL-ELECTRIC,1,ST,L,0,0010,0
00000022,00000003,SF-FL-TIRE-CUSH,4,ST,L,0,0020,0
00000022,00000004,SF-FL-TIRE-PNEU,4,ST,L,0,0020,0
00000022,00000005,SF-FL-CWEIGHT,1,ST,L,0,0030,0
00000022,00000006,SF-FL-FORKSEAT-VXX,1,ST,L,0,0050,0
00000023,00000006,,1,ST,K,0,0040,0
00000023,00000001,SF-FL-COMB,1,ST,L,0,0010,0
00000023,00000002,SF-FL-ELECTRIC,1,ST,L,0,0010,0
00000023,00000003,SF-FL-TIRE-CUSH,4,ST,L,0,0020,0
00000023,00000004,SF-FL-TIRE-PNEU,4,ST,L,0,0020,0
00000023,00000005,SF-FL-CWEIGHT,1,ST,L,0,0030,0
00000024,00000001,EWMS4-502,4,ST,L,0,0010,0
00000024,00000002,EWMS4-503,8,ST,L,0,0020,0
00000024,00000003,EWMS4-601,32,ST,L,0,0030,0
00000025,00000001,S-201,100,ST,L,0,0010,0
00000026,00000001,S-201,100,ST,L,0,0010,0
00000026,00000002,S-202,100,ST,L,0,0020,0
00000027,00000001,S-301,100,ST,L,0,0010,0
00000027,00000002,R-302,100,ST,L,0,0020,0
00000028,00000001,R-401,100,ST,L,0,0010,0
00000025,00000002,S-203,100,ST,L,0,0020,0
00000029,00000001,S-208,100,ST,L,0,0010,0
00000029,00000002,S-210,100,ST,L,0,0020,0
00000030,00000001,S-315,100,ST,L,0,0010,0
00000030,00000002,R-311,100,ST,L,0,0020,0
00000031,00000001,R-411,100,ST,L,0,0010,0
00000032,00000001,S-310,100,ST,L,0,0010,0
00000033,00000001,R-410,100,ST,L,0,0010,0
00000033,00000002,R-412,100,ST,L,0,0020,0
00000034,00000001,RMIPD001,1,ST,L,0,0010,0
00000034,00000002,RMIPD002,1,ST,L,0,0020,0
00000034,00000003,SWNIPD001,1,ST,L,0,0030,0
00000035,00000001,RM13,100,ST,L,0,0010,0
00000035,00000002,RM14,100,ST,L,0,0020,0
00000036,00000001,SG-CFP-COUPLER,1,EA,L,0,0010,0
00000036,00000002,SG-CFP-HOUSING,1,EA,L,0,0020,0
00000036,00000003,SG-CFP-SEAL,1,EA,L,0,0030,0
00000036,00000004,SG-CFP-IMPELLER,1,EA,L,0,0040,0
00000036,00000005,SG-CFP-ADAPTER,1,EA,L,0,0050,0
00000036,00000006,SG-CFP-B-BRNG,1,EA,L,0,0060,0
00000036,00000007,SG-CFP-INBRD_CVR,1,EA,L,0,0070,0
00000036,00000008,SG-CFP-SHAFT,1,EA,L,0,0080,0
00000036,00000009,SG-CFP-BRNG-BRKT,1,EA,L,0,0090,0
00000036,00000010,SG-CFP-CON_BK,1,EA,L,0,0100,0
00000036,00000011,SG-CFP-CON_BX_CVR,1,EA,L,0,0110,0
00000036,00000012,SG-CFP-CON,10,EA,L,0,0120,0
00000036,00000013,SG-CFP-HARNESS,3,EA,L,0,0130,0
00000036,00000014,SG-CFP-V-SENSOR,1,EA,L,0,0140,0
00000036,00000015,SG-CFP-F-SENSOR,2,EA,L,0,0150,0
00000036,00000016,SWN-CFG-SW-S1,1,EA,N,0,0160,0
00000037,00000001,SG1_CP,1,ST,L,0,0010,0
00000037,00000002,RM2_CP,2,ST,L,0,0020,0
00000038,00000001,RM1_CP,1,ST,L,0,0010,0
00000039,00000001,RM7_CP,100,ST,L,0,0010,0
00000039,00000002,SG2_CP,1500,CCM,L,0,0020,0
00000040,00000001,RM5_CP,1,KG,L,0,0010,0
00000041,00000001,SG-WPM-MOTOR-HSG,1,EA,L,0,0010,0
00000041,00000002,SG-WPM-GEAR-HSNG,1,EA,L,0,0020,0
00000041,00000003,SG-WPM-RING-GEAR,1,EA,L,0,0030,0
00000041,00000004,SG-WPM-ELEC-PLUG,1,EA,L,0,0040,0
00000042,00000001,RMJIT01,1000,ST,L,0,0010,0
00000043,00000001,RMJIT01,1000,ST,L,0,0010,0
00000043,00000002,RMJIT02,1000,ST,L,0,0010,0
00000044,00000001,RMJIT01,1000,ST,L,0,0010,0
00000044,00000002,RMJIT02,1000,ST,L,0,0010,0
00000045,00000001,SG21,100,ST,L,0,0010,0
00000045,00000002,SG22,100,ST,L,0,0020,0
00000045,00000003,RM122,100,ST,L,0,0030,0
00000045,00000004,RM128,100,ST,L,0,0040,0
00000045,00000005,SG25,100,ST,L,0,0070,0
00000045,00000006,SG124,100,ST,L,0,0080,0
00000045,00000007,RM20,100,ST,L,0,0090,0
00000045,00000008,RM27,100,ST,L,0,0100,0
00000046,00000001,RM27,100,ST,L,0,0010,0
00000047,00000001,SG21,100,ST,L,0,0010,0
00000047,00000002,SG22,100,ST,L,0,0020,0
00000047,00000003,RM122,100,ST,L,0,0030,0
00000047,00000004,RM128,100,ST,L,0,0040,0
00000047,00000005,SG25,100,ST,L,0,0070,0
00000047,00000006,SG124,100,ST,L,0,0080,0
00000047,00000007,RM20,100,ST,L,0,0090,0
00000047,00000008,RM27,100,ST,L,0,0100,0
00000048,00000001,SG21,100,ST,L,0,0010,0
00000048,00000002,SG22,100,ST,L,0,0020,0
00000048,00000003,RM122,100,ST,L,0,0030,0
00000048,00000004,RM128,100,ST,L,0,0040,0
00000048,00000005,SG25,100,ST,L,0,0070,0
00000048,00000006,SG124,100,ST,L,0,0080,0
00000048,00000007,RM20,100,ST,L,0,0090,0
00000048,00000008,RM27,100,ST,L,0,0100,0
00000049,00000001,RM1420,500,L,L,0,0010,0
00000049,00000002,RM1430,120,KG,L,0,0020,0
00000049,00000003,SG7100,-10,KG,L,0,0030,0
00000049,00000004,SG9100,-400,L,L,0,0040,0
00000049,00000005,SG8100,-50,L,L,0,0050,0
00000050,00000001,SG1010,1000,L,L,0,0010,0
00000051,00000001,SG1010,100,L,L,0,0010,0
00000051,00000002,SG22,10,ST,L,0,0020,0
00000051,00000003,RM1420,100,L,L,0,0030,0
00000051,00000004,RM15,10,ST,L,0,0040,0
00000051,00000005,SG2200,100,KG,L,0,0050,0
00000051,00000006,PIP01,100,L,N,0,0060,0
00000052,00000001,SG6100,100,KG,L,0,0010,0
00000052,00000002,RM15,10,ST,L,0,0020,0
00000052,00000003,SG23,10,ST,L,0,0030,0
00000052,00000004,RM128,10,ST,L,0,0040,0
00000053,00000001,RM09,100,KG,L,0,0010,0
00000053,00000002,RM1420,500,L,L,0,0020,0
00000053,00000003,RM1430,100,KG,L,0,0030,0
00000054,00000001,FG6500,100,KG,L,0,0010,0
00000054,00000002,SG2200,900,KG,L,0,0020,0
00000055,00000001,AVC_RBT_CNTRL_CAB,1,ST,L,0,0010,0
00000055,00000002,AVC_RBT_CNTRL_BRD,1,ST,L,0,0020,0
00000058,00000002,AVC_RBT_APPL_UNIT,1,ST,N,0,0100,0
00000058,00000001,AVC_RBT_ROBOT,1,ST,N,0,0010,0
00000057,00000002,,1,ST,K,0,0020,0
00000057,00000001,,1,ST,K,0,0010,0
00000057,00000003,AVC_RBT_BASE_FRAME,1,ST,L,0,0030,0
00000056,00000001,,1,ST,K,0,0010,0
00000056,00000002,AVC_RBT_CNTRL_UNIT,1,ST,N,0,0020,0
00000059,00000006,,1,ST,K,0,0040,0
00000059,00000001,SF-FL-COMB,1,ST,L,0,0010,0
00000059,00000002,SF-FL-ELECTRIC,1,ST,L,0,0010,0
00000059,00000003,SF-FL-TIRE-CUSH,4,ST,L,0,0020,0
00000059,00000004,SF-FL-TIRE-PNEU,4,ST,L,0,0020,0
00000059,00000005,SF-FL-CWEIGHT,1,ST,L,0,0030,0
00000062,00000003,,1,ST,K,0,002D,0
00000062,00000001,,1,ST,K,0,0005,0
00000062,00000002,AVC_RBT_BASE_FRAME,1,ST,L,0,0010,0
00000062,00000004,AVC_RBT_LINK_ARM,1,ST,N,0,002L,0
00000062,00000005,AVC_RBT_CONTROL,1,ST,N,0,0040,0
00000061,00000007,,1,ST,K,0,00M6,0
00000061,00000001,,1,ST,K,0,0010,0
00000061,00000002,,1,ST,K,0,00M1,0
00000061,00000003,,1,ST,K,0,00M2,0
00000061,00000004,,1,ST,K,0,00M3,0
00000061,00000005,,1,ST,K,0,00M4,0
00000061,00000006,,1,ST,K,0,00M5,0
00000060,00000003,AVC_RBT_BRD_SEAL,1,ST,L,0,0030,0
00000060,00000001,AVC_RBT_CNTRL_CAB,1,ST,L,0,0010,0
00000060,00000002,AVC_RBT_BRD_PAINT,1,ST,L,0,0020,0
00000063,00000001,RMPC07,0.6,KG,L,0,0010,0
00000063,00000002,RMPC08,0.4,KG,L,0,0020,0
00000064,00000001,RM203,100,EA,L,0,0010,0
00000064,00000002,RM204,100,EA,L,0,0020,0
00000065,00000001,RM15,1000,ST,L,0,0010,0
00000065,00000002,SG24,15000,CCM,L,0,0020,0
00000065,00000003,RM27,100,ST,L,0,0030,0
00000066,00000001,RM124,100,ST,L,0,0010,0
00000066,00000002,RM27,100,ST,L,0,0020,0
00000067,00000001,RM09,1,KG,L,0,0010,0
00000067,00000002,RM19,1.2,L,L,0,0020,0
00000067,00000003,RM30,8.5,L,L,0,0030,0
00000068,00000001,RM16,100,ST,L,0,0010,0
00000069,00000001,RM12,1000,ST,L,0,0010,0
00000070,00000001,RM13,100,ST,L,0,0010,0
00000070,00000002,RM14,100,ST,L,0,0020,0
00000071,00000001,D2O_0905720543_C,1,ST,L,0,0010,0
00000071,00000002,D2O_0905720544_C,1,ST,L,0,0020,0
00000071,00000003,D2O_0903271777_C,4,ST,L,0,0030,0
00000071,00000004,D2O_0905721008,2,ST,L,0,0040,0
00000071,00000005,D2O_1800481527,1,ST,L,0,0050,0
00000071,00000006,D2O_0563557002,2,ST,L,0,0060,0
00000071,00000007,D2O_0905721007,2,ST,L,0,0070,0
00000071,00000008,D2O_0424955000,3,ST,L,0,0080,0
00000071,00000009,D2O_0905720429,1,ST,L,0,0090,0
00000071,00000010,D2O_0902056385,1,ST,L,0,0100,0
00000071,00000011,D2O_0625555452,1,ST,L,0,0110,0
00000071,00000012,D2O_0901513373_C,1,ST,L,0,0120,0
00000071,00000013,D2O_0905271384,2,ST,L,0,0130,0
00000071,00000014,D2O_0901513371,1,ST,L,0,0140,0
00000071,00000015,D2O_0900047034,2,ST,L,0,0150,0
00000071,00000016,D2O_0904277018_C,1,ST,L,0,0160,0
00000072,00000002,SOM_MSU_WL_VM,1,EA,N,0,0020,0
00000072,00000001,SOM_SCR_WL_BR_MTL,1,EA,N,0,0010,0
00000095,00000001,RMPI001,86,KG,L,0,0010,0
00000073,00000002,SOM_SCR_VM_INST_SO,1,EA,N,0,0020,0
00000073,00000001,SOM_SCR_VM_INST_GP,1,EA,N,0,0010,0
00000074,00000001,SG1_DS,1,ST,L,0,0010,0
00000074,00000002,RM1_DS,1,ST,L,0,0020,0
00000075,00000001,RM2_DS,1,ST,L,0,0010,0
00000076,00000001,SG2_DS,1,ST,L,0,0010,0
00000076,00000002,RM3_DS,1,ST,L,0,0020,0
00000077,00000001,RM4_DS,1,ST,L,0,0010,0
00000078,00000001,RM16,100,ST,L,0,0010,0
00000079,00000001,SG21,100,ST,L,0,0010,0
00000079,00000002,SG22,100,ST,L,0,0020,0
00000079,00000003,RM122,100,ST,L,0,0030,0
00000079,00000004,RM128,100,ST,L,0,0040,0
00000079,00000005,SG23,100,ST,L,0,0060,0
00000079,00000006,SG25,100,ST,L,0,0070,0
00000079,00000007,SG124,100,ST,L,0,0080,0
00000079,00000008,RM20,100,ST,L,0,0090,0
00000079,00000009,RM27,100,ST,L,0,0100,0
00000080,00000001,RM124,100,ST,L,0,0010,0
00000081,00000001,RM124,100,ST,L,0,0010,0
00000082,00000001,SG30,100,ST,L,0,0010,0
00000082,00000002,RM20,100,ST,L,0,0020,0
00000083,00000001,RM15,1000,ST,L,0,0010,0
00000083,00000002,SG24,15000,CCM,L,0,0020,0
00000084,00000001,RM09,1,KG,L,0,0010,0
00000084,00000002,RM19,1.2,L,L,0,0020,0
00000084,00000003,RM30,8.5,L,L,0,0030,0
00000085,00000001,SG22,100,ST,L,0,0020,0
00000085,00000002,RM122,100,ST,L,0,0030,0
00000085,00000003,RM128,100,ST,L,0,0040,0
00000085,00000004,SG25,100,ST,L,0,0070,0
00000085,00000005,SG224,100,ST,L,0,0080,0
00000085,00000006,RM27,100,ST,L,0,0090,0
00000086,00000001,RM124,100,ST,L,0,0010,0
00000087,00000001,RM12,1000,ST,L,0,0010,0
00000079,00000010,FG126,1,ST,L,0,0010,0
00000003,00000001,SP001,1,ST,L,0,0010,0
00000003,00000002,SP002,1,ST,L,0,0020,0
00000003,00000003,SP003,1,ST,L,0,0030,0
00000003,00000004,SP004,1,ST,L,0,0040,0
00000003,00000005,SP005,1,ST,L,0,0050,0
00000003,00000006,SP006,1,ST,L,0,0060,0
00000004,00000001,SP001,1,ST,L,0,0010,0
00000004,00000002,SP002,1,ST,L,0,0020,0
00000004,00000003,SP003,1,ST,L,0,0030,0
00000004,00000004,SP004,1,ST,L,0,0040,0
00000004,00000005,SP005,1,ST,L,0,0050,0
00000004,00000006,SP006,1,ST,L,0,0060,0
00000088,00000001,RM13,100,ST,L,0,0010,0
00000088,00000002,RM14,100,ST,L,0,0020,0
00000089,00000001,RM33,100,ST,L,0,0010,0
00000089,00000002,RM34,100,ST,L,0,0020,0
00000090,00000001,SG233,100,ST,L,0,0010,0
00000090,00000002,RM233-1,100,ST,L,0,0020,0
00000090,00000003,RM233-2,100,ST,L,0,0030,0
00000090,00000004,RM233-4,100,ST,L,0,0040,0
00000091,00000001,RM234,100,ST,L,0,0010,0
00000090,00000005,SG234,100,ST,L,0,0010,0
00000092,00000001,RM235,100,ST,L,0,0010,0
00000093,00000001,RM124,100,ST,L,0,0010,0
00000094,00000001,SG29,100,ST,L,0,0010,0
00000094,00000002,RM20,100,ST,L,0,0020,0
00000095,00000002,RMPI002,2,KG,L,0,0020,0
00000095,00000003,RMPI003,3,KG,L,0,0030,0
00000095,00000004,RMPI004,4,KG,L,0,0040,0
00000095,00000005,RMPI005,5000,G,L,0,0050,0
00000096,00000001,RMPI001,86,KG,L,0,0010,0
00000096,00000002,RMPI002,2,KG,L,0,0020,0
00000096,00000003,RMPI003,3,KG,L,0,0030,0
00000096,00000004,RMPI004,4,KG,L,0,0040,0
00000096,00000005,RMPI005,5000,G,L,0,0050,0
00000097,00000001,SDBOMERLAIT01,3,ST,L,0,0010,0
00000097,00000002,SDBOMERLAIT02,5,ST,L,0,0020,0
00000098,00000001,SDBOMLUMFIT01,3,ST,L,0,0010,0
00000098,00000002,SDBOMLUMFIT02,5,ST,L,0,0020,0
00000099,00000007,,1,ST,K,0,0040,0
00000099,00000001,SF-FL-COMB,1,ST,L,0,0010,0
00000099,00000002,SF-FL-ELECTRIC,1,ST,L,0,0010,0
00000099,00000003,SF-FL-TIRE-CUSH,4,ST,L,0,0020,0
00000099,00000004,SF-FL-TIRE-PNEU,4,ST,L,0,0020,0
00000099,00000005,SF-FL-CWEIGHT,1,ST,L,0,0030,0
00000099,00000006,SF-FL-FORKSEAT-VXX,1,ST,L,0,0050,0
00000100,00000006,,1,ST,K,0,0040,0
00000100,00000001,SF-FL-COMB,1,ST,L,0,0010,0
00000100,00000002,SF-FL-ELECTRIC,1,ST,L,0,0010,0
00000100,00000003,SF-FL-TIRE-CUSH,4,ST,L,0,0020,0
00000100,00000004,SF-FL-TIRE-PNEU,4,ST,L,0,0020,0
00000100,00000005,SF-FL-CWEIGHT,1,ST,L,0,0030,0
00000101,00000001,EWMS4-502,4,ST,L,0,0010,0
00000101,00000002,EWMS4-503,8,ST,L,0,0020,0
00000101,00000003,EWMS4-601,32,ST,L,0,0030,0
00000102,00000001,S-201,100,ST,L,0,0010,0
00000103,00000001,S-201,100,ST,L,0,0010,0
00000103,00000002,S-202,100,ST,L,0,0020,0
00000104,00000001,S-301,100,ST,L,0,0010,0
00000104,00000002,R-302,100,ST,L,0,0020,0
00000105,00000001,R-401,100,ST,L,0,0010,0
00000102,00000002,S-203,100,ST,L,0,0020,0
00000106,00000001,S-208,100,ST,L,0,0010,0
00000106,00000002,S-210,100,ST,L,0,0020,0
00000107,00000001,S-315,100,ST,L,0,0010,0
00000107,00000002,R-311,100,ST,L,0,0020,0
00000108,00000001,R-411,100,ST,L,0,0010,0
00000109,00000001,S-310,100,ST,L,0,0010,0
00000110,00000001,R-410,100,ST,L,0,0010,0
00000110,00000002,R-412,100,ST,L,0,0020,0
00000111,00000001,RM13,100,ST,L,0,0010,0
00000111,00000002,RM14,100,ST,L,0,0020,0
00000112,00000001,SG-CFP-COUPLER,1,EA,L,0,0010,0
00000112,00000002,SG-CFP-HOUSING,1,EA,L,0,0020,0
00000112,00000003,SG-CFP-SEAL,1,EA,L,0,0030,0
00000112,00000004,SG-CFP-IMPELLER,1,EA,L,0,0040,0
00000112,00000005,SG-CFP-ADAPTER,1,EA,L,0,0050,0
00000112,00000006,SG-CFP-B-BRNG,1,EA,L,0,0060,0
00000112,00000007,SG-CFP-INBRD_CVR,1,EA,L,0,0070,0
00000112,00000008,SG-CFP-SHAFT,1,EA,L,0,0080,0
00000112,00000009,SG-CFP-BRNG-BRKT,1,EA,L,0,0090,0
00000112,00000010,SG-CFP-CON_BK,1,EA,L,0,0100,0
00000112,00000011,SG-CFP-CON_BX_CVR,1,EA,L,0,0110,0
00000112,00000012,SG-CFP-CON,10,EA,L,0,0120,0
00000112,00000013,SG-CFP-HARNESS,3,EA,L,0,0130,0
00000112,00000014,SG-CFP-V-SENSOR,1,EA,L,0,0140,0
00000112,00000015,SG-CFP-F-SENSOR,2,EA,L,0,0150,0
00000112,00000016,SWN-CFG-SW-S1,1,EA,N,0,0160,0
00000113,00000001,SG1_CP,1,ST,L,0,0010,0
00000113,00000002,RM2_CP,2,ST,L,0,0020,0
00000114,00000001,RM1_CP,1,ST,L,0,0010,0
00000115,00000001,RM7_CP,100,ST,L,0,0010,0
00000115,00000002,SG2_CP,1500,CCM,L,0,0020,0
00000116,00000001,RM5_CP,1,KG,L,0,0010,0
00000117,00000001,RMJIT01,1000,ST,L,0,0010,0
00000118,00000001,RMJIT01,1000,ST,L,0,0010,0
00000118,00000002,RMJIT02,1000,ST,L,0,0010,0
00000119,00000001,RMJIT01,1000,ST,L,0,0010,0
00000119,00000002,RMJIT02,1000,ST,L,0,0010,0
00000120,00000001,SG21,100,ST,L,0,0010,0
00000120,00000002,SG22,100,ST,L,0,0020,0
00000120,00000003,RM122,100,ST,L,0,0030,0
