MATNR,BWKEY,BKLAS,STPRS,VERPR,VPRSV
FGME02,1010,7920,18.65,0,S
FGME03,1010,7920,18.65,0,S
FGME04,1010,7920,18.65,0,S
R-401,1010,3000,1,0,S
R-410,1010,3000,1,0,S
R-412,1010,3000,2,0,S
RM09,1010,3000,0.08,0,S
RM1420,1010,3000,0.08,0,S
RM19,1010,3000,0.12,0,S
RM1_CP,1010,3000,0.08,0,S
RM235,1010,3000,3.5,0,S
RM27_1,1010,3000,0.75,0,S
RM30,1010,3000,0.01,0,S
RM3_CP,1010,3000,0.5,0,S
RM4_CP,1010,3000,0.75,0,S
RMME01,1010,3000,1,0,S
RMME02,1010,3000,1,0,S
RMME03,1010,3000,1,0,S
RMME04,1010,3000,1,0,S
RMME05,1010,3000,1,0,S
RMME06,1010,3000,1,0,S
RMME07,1010,3000,1,0,S
RMME08,1010,3000,1,0,S
RMME10,1010,3000,1,0,S
RMME11,1010,3000,1,0,S
RMME12,1010,3000,1,0,S
RMME13,1010,3000,1,0,S
RMME14,1010,3000,1,0,S
RMME15,1010,3000,1,0,S
RMPI001,1010,3000,0.08,0,S
RMPI002,1010,3000,1,0,S
RMPI003,1010,3000,1.25,0,S
S-203,1010,7900,12.5,0,S
SF-FL-COMB,1010,7900,3100,0,S
SF-FL-CWEIGHT,1010,7900,110,0,S
SF-FL-ELECTRIC,1010,7900,2900,0,S
SF-FL-TIRE-CUSH,1010,7900,90,0,S
SF-FL-TIRE-PNEU,1010,7900,100,0,S
SG234,1010,7900,4.2,0,S
SG24,1010,7900,0.17,0,S
SG26,1010,7900,1.88,0,S
SG3_CP,1010,7900,0,0,S
SG6100,1010,7900,2.37,0,S
SGME02,1010,7900,1,0,S
SGME03,1010,7900,1,0,S
SGME04,1010,7900,1,0,S
SGPI001,1010,7900,0.52,0,S
SGPI001-V00,1010,7900,0.52,0,S
EWMS4-50,1010,7920,200,0,S
EWMS4-502,1010,3000,20,0,S
EWMS4-503,1010,3000,5,0,S
EWMS4-601,1010,3000,1,0,S
F-10A,1010,7920,42,0,S
F-10B,1010,7920,50,0,S
FG111,1010,7920,18.65,0,S
FG111_A,1010,7920,18.65,0,S
FG111_B,1010,7920,18.65,0,S
FG111_C,1010,7920,18.65,0,S
FG126,1010,7920,18.65,0,S
FG129,1010,7920,32,0,S
FG226,1010,7920,27.19,0,S
FG228,1010,7920,27.19,0,S
FG233,1010,7920,21,0,S
FG29-1,1010,7920,3.4,0,S
FG3_CP,1010,7920,0,0,S
QM006,1010,7900,0.88,0,S
R-302,1010,3000,0.08,0,S
R-311,1010,3000,5,0,S
RM12,1010,3000,1,0,S
RM120,1010,3000,1.25,0,S
RM122,1010,3000,0.75,0,S
RM124,1010,3000,0.35,0,S
RM128,1010,3000,1.65,0,S
RM129,1010,3000,1.65,0,S
RM13,1010,3000,0.5,0,S
RM14,1010,3000,0.75,0,S
RM1430,1010,3000,1,0,S
RM15,1010,3000,0.2,0,S
RM16,1010,3000,0.25,0,S
RM17,1010,3000,0.88,0,S
RM18,1010,3000,0.67,0,S
RM20,1010,3000,1.3,0,S
RM233-1,1010,3000,3,0,S
RM233-2,1010,3000,3,0,S
RM233-4,1010,3000,3,0,S
RM234,1010,3000,3.5,0,S
RM27,1010,3000,0.75,0,S
RM33,1010,3000,0.5,0,S
RM34,1010,3000,0.75,0,S
RM5_CP,1010,3000,0.08,0,S
RM6_CP,1010,3000,0.12,0,S
RMJIT01,1010,3000,1,0,S
RMJIT02,1010,3000,1,0,S
RMME16,1010,3000,1,0,S
RMPI004,1010,3000,0.75,0,S
RMPI005,1010,3000,0.35,0,S
S-201,1010,7900,25,0,S
S-202,1010,7900,1.5,0,S
S-301,1010,7900,0.52,0,S
SF-FL-FORKSEAT-VXX,1010,7900,3100,0,S
SG1010,1010,7900,1.5,0,S
SG124,1010,7900,0.52,0,S
SG1_CP,1010,7900,0.52,0,S
SG21,1010,7900,1.5,0,S
SG22,1010,7900,2.7,0,S
SG2200,1010,7900,18.65,0,S
SG224,1010,7900,0.52,0,S
SG23,1010,7900,1.88,0,S
SG233,1010,7900,4.2,0,S
SG25,1010,7900,5.75,0,S
SG27,1010,7900,1.88,0,S
SG29,1010,7900,15,0,S
SG2_CP,1010,7900,0.17,0,S
SG7100,1010,7900,0.02,0,S
SG8100,1010,7900,1.5,0,S
SG9100,1010,7900,1.5,0,S
SGJIT01,1010,7900,1.5,0,S
SGJIT02,1010,7900,1.5,0,S
SGME01,1010,7900,1,0,S
F-20A,1010,7920,100,0,S
FG1_CP,1010,7920,18.65,0,S
FG2_CP,1010,7920,0.88,0,S
R-411,1010,3000,3,0,S
RM2_CP,1010,3000,1,0,S
RM7_CP,1010,3000,0.2,0,S
RM8_CP,1010,3000,0.01,0,S
S-208,1010,7900,30,0,S
S-210,1010,7900,20,0,S
S-310,1010,7900,10,0,S
S-315,1010,7900,5,0,S
SF-FL-FORKSEAT-VXX,1710,7900,3100,0,S
SG-CFP,1710,7900,0,0,S
SG-CFP-ADAPTER,1710,7900,0,0,S
SG-CFP-B-BRNG,1710,7900,0,0,S
SG-CFP-BRNG-BRKT,1710,7900,0,0,S
SG-CFP-CON,1710,7900,0,0,S
SG-CFP-CON_BK,1710,7900,0,0,S
SG-CFP-CON_BX_CVR,1710,7900,0,0,S
SG-CFP-COUPLER,1710,7900,0,0,S
SG-CFP-F-SENSOR,1710,7900,0,0,S
SG-CFP-HARNESS,1710,7900,0,0,S
SG-CFP-HOUSING,1710,7900,0,0,S
SG-CFP-IMPELLER,1710,7900,0,0,S
SG-CFP-INBRD_CVR,1710,7900,0,0,S
SG-CFP-SEAL,1710,7900,0,0,S
SG-CFP-SHAFT,1710,7900,0,0,S
SG-CFP-V-SENSOR,1710,7900,0,0,S
FG130,1010,7920,32,0,S
SG30,1010,7900,15,0,S
SGJIT02-SERIALIZED,1010,7900,1.5,0,S
RM203,1710,0710,9,0,S
RM204,1710,0710,15,0,S
FG202,1710,7920,80,0,S
SP006,1710,3040,130.5,0,S
SDBOMLUMFIT01,1010,3100,13.5,13.5,V
SDBOMERLAIT02,1010,3100,13.5,13.5,V
SDBOMLUMFIT02,1010,3100,13.5,13.5,V
ZPRINTER01,1010,3100,170,170,V
PIP01,1010,3000,0,12,V
PIP01,1710,3000,0,12,V
CM-FL-V00,1710,7900,4000,0,S
AVC_RBT_CNTRL_BRD,1010,3100,13,0,S
AVC_RBT_CNTRL_CAB,1010,3100,13.5,0,S
AVC_RBT_SEALING,1010,3100,13.5,0,S
AVC_RBT_CNTRL_BRD,1710,3100,13,0,S
AVC_RBT_CNTRL_CAB,1710,3100,13.5,0,S
SDBOMERLAIT02,1710,3100,13.5,13.5,V
SDBOMLUMFHD,1710,3100,50,50,V
SDBOMLUMFIT02,1710,3100,13.5,13.5,V
ZCART01,1710,3100,16,16,V
ZTRAY01,1710,3100,32,32,V
SDBOMERLAIT01,1710,3100,13.5,13.5,V
SDBOMLUMFIT01,1710,3100,13.5,13.5,V
ZCART01,1010,3100,18.5,0,S
ZTRAY01,1010,3100,29,0,S
SP004,1710,3040,130,130,S
SDBOMERLAHD,1010,3100,50,50,V
SDBOMLUMFHD,1010,3100,50,50,V
SDBOMERLAIT01,1010,3100,13.5,13.5,V
FG-FL-MV-V01,1710,7920,4000,0,S
FG-FL-MV-V02,1710,7920,4000,0,S
SG1_CP,1710,7900,0.52,0,S
AVC_RBT_BASE_FRAME,1710,7900,100,0,S
AVC_RBT_D_ARM_50,1710,7900,3100,0,S
AVC_RBT_L_ARM_45,1710,7900,60,0,S
F-20A,1710,7920,100,0,S
FG111,1710,7920,18.65,0,S
FG111_A,1710,7920,18.65,0,S
FG111_B,1710,7920,18.65,0,S
FG111_C,1710,7920,18.65,0,S
FG126_B,1710,7920,18.89,0,S
FG227,1710,7920,27.19,0,S
FG2_CP,1710,7920,0.88,0,S
FG3_CP,1710,7920,0,0,S
FG6200,1710,7920,6.28,0,S
FGME01,1710,7920,18.65,0,S
FGME02,1710,7920,18.65,0,S
FGME03,1710,7920,18.65,0,S
FGME04,1710,7920,18.65,0,S
R-311,1710,3000,5,0,S
R-410,1710,3000,1,0,S
R-411,1710,3000,3,0,S
R-412,1710,3000,2,0,S
RMJIT01,1710,3000,1,0,S
RMJIT02,1710,3000,1,0,S
RMME01,1710,3000,1,0,S
RMME02,1710,3000,1,0,S
RMME03,1710,3000,1,0,S
RMME04,1710,3000,1,0,S
RMME05,1710,3000,1,0,S
RMME06,1710,3000,1,0,S
RMME07,1710,3000,1,0,S
RMME08,1710,3000,1,0,S
RMME10,1710,3000,1,0,S
RMME11,1710,3000,1,0,S
RMME12,1710,3000,1,0,S
RMME13,1710,3000,1,0,S
RMME14,1710,3000,1,0,S
RMME15,1710,3000,1,0,S
RMME16,1710,3000,1,0,S
S-203,1710,7900,12.5,0,S
S-208,1710,7900,30,0,S
S-210,1710,7900,20,0,S
S-310,1710,7900,10,0,S
S-315,1710,7900,5,0,S
SG2_CP,1710,7900,0.17,0,S
SG8100,1710,7900,1.5,0,S
SGJIT01,1710,7900,1.5,0,S
SGJIT02,1710,7900,1.5,0,S
SGME01,1710,7900,1,0,S
SGME02,1710,7900,1,0,S
SGME03,1710,7900,1,0,S
SGME04,1710,7900,1,0,S
FG130,1710,7920,32,0,S
AVC_RBT_BRD_PAINT,1710,7900,3100,0,S
AVC_RBT_BRD_SEAL,1710,7900,3100,0,S
AVC_RBT_D_ARM_110,1710,7900,3100,0,S
SG30,1710,7900,15,0,S
SG3_CP,1710,7900,0,0,S
SGJIT02-SERIALIZED,1710,7900,1.5,0,S
RMPC07,1710,3000,1,0,S
RMPC08,1710,3000,1,0,S
F-10A,1710,7920,42,0,S
FG226,1710,7920,26.58,0,S
SGPI001,1710,7900,0.52,0,S
SDBOMERLAHD,1710,3100,50,50,V
TG11,1720,3100,13.5,13.78,V
SP003,1710,3040,130.5,0,S
SP001,1710,3040,130,0,S
SP005,1710,3040,130.5,0,S
SP002,1710,3040,130.5,0,S
AVC_RBT_SEALING,1710,3100,13.5,13.5,S
EWMS4-50,1710,7920,176.24,248.76,S
EWMS4-502,1710,3000,20,20,S
EWMS4-503,1710,3000,5,5,S
EWMS4-601,1710,3000,1,1,S
F-10B,1710,7920,50,3.49,S
FG-FL-MV-V00,1710,7920,181.83,2264.07,S
FG126,1710,7920,18.89,18.38,S
FG228,1710,7920,27.19,27.19,S
FG233,1710,7920,13.73,13.73,S
FG29,1710,7920,0.47,0.49,S
FG29-1,1710,7920,3.4,3.28,S
FG6500,1710,7920,3.21,15.85,S
MZ-FG-M525,1710,7920,1119.01,718.42,S
MZ-FG-M550,1710,7920,2842.02,1911.64,S
MZ-FG-R100,1710,7920,457.63,248.15,S
MZ-FG-R200,1710,7920,3100.22,1149.59,S
MZ-FG-R300,1710,7920,5873.88,2051.05,S
QM006,1710,7900,0.88,0.63,S
R-302,1710,3000,0.08,0.08,S
RM09,1710,3000,0.08,0.08,S
RM12,1710,3000,1,1,S
RM120,1710,3000,1.25,1.25,S
RM122,1710,3000,0.75,0.75,S
RM128,1710,3000,1.65,10.06,S
RM129,1710,3000,1.8,10,S
RM13,1710,3000,0.5,0.5,S
RM14,1710,3000,0.75,0.75,S
RM1420,1710,3000,0.08,0.08,S
RM1430,1710,3000,1,1,S
RM15,1710,3000,0.2,0.2,S
RM16,1710,3000,0.25,0.25,S
RM17,1710,3000,0.88,0.88,S
RM18,1710,3000,0.67,0.67,S
RM19,1710,3000,0.12,0.12,S
RM1_CP,1710,3000,0.08,0.08,S
RM233-1,1710,3000,3,3,S
RM233-2,1710,3000,3,3,S
RM233-4,1710,3000,3,3,S
RM234,1710,3000,3.5,3.5,S
RM235,1710,3000,3.5,3.5,S
RM27,1710,3000,0.75,0.75,S
RM27_1,1710,3000,0.75,0.75,S
RM2_CP,1710,3000,1,1,S
RM30,1710,3000,0.01,0.01,S
RM33,1710,3000,0.5,0.5,S
RM34,1710,3000,0.75,0.75,S
RM3_CP,1710,3000,0.5,0.5,S
RM4_CP,1710,3000,0.75,0.75,S
RM5_CP,1710,3000,0.08,0.08,S
RM6_CP,1710,3000,0.12,0.12,S
RM7_CP,1710,3000,0.2,0.2,S
RM8_CP,1710,3000,0.01,0.01,S
RMPI001,1710,3000,0.08,0.08,S
RMPI002,1710,3000,1,0.84,S
RMPI003,1710,3000,1.25,1.02,S
RMPI004,1710,3000,0.75,0.6,S
RMPI005,1710,3000,0.35,0.31,S
S-201,1710,7900,25,0.66,S
S-301,1710,7900,1.33,1,S
SF-FL-COMB,1710,7900,3100,3100,S
SF-FL-CWEIGHT,1710,7900,110,110,S
SF-FL-ELECTRIC,1710,7900,2900,2900,S
SF-FL-TIRE-CUSH,1710,7900,90,90,S
SF-FL-TIRE-PNEU,1710,7900,100,100,S
SG1010,1710,7900,1.5,0.99,S
SG124,1710,7900,0.94,0.92,S
SG21,1710,7900,1.35,1.35,S
SG22,1710,7900,1.89,1.89,S
SG2200,1710,7900,18.65,18.66,S
SG224,1710,7900,0.94,1.11,S
SG23,1710,7900,1.84,1.84,S
SG233,1710,7900,3.98,3.98,S
SG234,1710,7900,4.2,4.2,S
SG24,1710,7900,0.02,0.02,S
SG25,1710,7900,5.75,5.75,S
SG26,1710,7900,1.88,1.86,S
SG27,1710,7900,1.88,1.88,S
SG6100,1710,7900,2.37,2.37,S
SG7100,1710,7900,0.02,0.02,S
SG9100,1710,7900,1.5,1.5,S
SGPCSVT01,1710,7900,15,0.9,S
SGPI001-V00,1710,7900,0.52,0.09,S
RM124,1710,3000,0.35,0.35,S
RM20,1710,3000,1.3,1.3,S
SG29,1710,7900,2.43,1.86,S
FG129,1710,7920,9.98,3.05,S
S-202,1710,7900,1.5,1.5,S
R-401,1710,3000,1,1,S
FG1_CP,1710,7920,18.65,0,S
MZ-FG-C950,1710,7920,513.02,328.68,S
D2O_09077205423_C,1010,7920,500,0,S
D2O_0900047034,1010,7900,8,0,S
D2O_0901513373_C,1010,7900,8,0,S
D2O_0902056385,1010,7900,28,0,S
D2O_0904277018_C,1010,7900,23,0,S
D2O_0905271384,1010,7900,16,0,S
D2O_0905720429,1010,7900,45,0,S
D2O_0905720543_C,1010,7900,30,0,S
D2O_0905720544_C,1010,7900,70,0,S
D2O_0905721007,1010,7900,40,0,S
D2O_0905721008,1010,7900,40,0,S
D2O_1800481527,1010,7900,50,0,S
D2O_0424955000,1010,3000,0.25,0,S
D2O_0563557002,1010,3000,0.5,0,S
D2O_0625555452,1010,3000,10,0,S
D2O_0901513371,1010,3000,30,0,S
D2O_0903271777_C,1010,3000,3,0,S
FG1_DS,1010,7920,18.65,0,S
RM1_DS,1010,3000,2.25,0,S
RM2_DS,1010,3000,2.25,0,S
SG1_DS,1010,7900,5.75,0,S
FG2_DS,1010,7920,27.19,0,S
RM3_DS,1010,3000,0.5,0,S
RM4_DS,1010,3000,0.75,0,S
SG2_DS,1010,7900,1.5,0,S
D2O_09077205423_C,1710,7920,618.97,0,S
D2O_0900047034,1710,7900,10,0,S
D2O_0901513373_C,1710,7900,10,0,S
D2O_0902056385,1710,7900,32.9,0,S
D2O_0904277018_C,1710,7900,29.25,0,S
D2O_0905271384,1710,7900,20,0,S
D2O_0905720429,1710,7900,53.19,0,S
D2O_0905720543_C,1710,7900,35,0,S
D2O_0905720544_C,1710,7900,80.52,0,S
D2O_0905721007,1710,7900,47.75,0,S
D2O_0905721008,1710,7900,47.95,0,S
D2O_1800481527,1710,7900,62,0,S
D2O_0424955000,1710,3000,0.55,0,S
D2O_0563557002,1710,3000,0.73,0,S
D2O_0625555452,1710,3000,12.67,0,S
D2O_0901513371,1710,3000,45,0,S
D2O_0903271777_C,1710,3000,5.25,0,S
FG1_DS,1710,7920,23.7,0,S
RM1_DS,1710,3000,5,0,S
RM2_DS,1710,3000,5.25,0,S
SG1_DS,1710,7900,8.75,0,S
FG2_DS,1710,7920,27.19,0,S
SG2_DS,1710,7900,1.5,0,S
TG11,1010,3100,13.5,13.5,V
FG126,1010,7920,18.65,0,S
RM12,1010,3000,1,0,S
RM120,1010,3000,1.25,0,S
RM122,1010,3000,0.75,0,S
RM124,1010,3000,0.35,0,S
RM128,1010,3000,1.65,0,S
RM13,1010,3000,0.5,0,S
RM14,1010,3000,0.75,0,S
RM16,1010,3000,0.25,0,S
RM20,1010,3000,1.3,0,S
RM27,1010,3000,0.75,0,S
SG124,1010,7900,0.52,0,S
SG21,1010,7900,1.5,0,S
SG22,1010,7900,2.7,0,S
SG224,1010,7900,0.52,0,S
SG25,1010,7900,5.75,0,S
FG29,1010,7920,0.88,0,S
RM09,1010,3000,0.08,0,S
RM15,1010,3000,0.2,0,S
RM19,1010,3000,0.12,0,S
RM30,1010,3000,0.01,0,S
SG24,1010,7900,0.17,0,S
SG23,1010,7900,1.88,0,S
RM129,1010,3000,1.65,0,S
FG130,1010,7920,32,0,S
SG30,1010,7900,15,0,S
FG228,1010,7920,27.19,0,S
SP001,1010,3040,130,0,S
SP002,1010,3040,130,0,S
SP003,1010,3040,130,0,S
SP004,1010,3040,130,0,S
SP005,1010,3040,130,0,S
SP006,1010,3040,130,0,S
RM33,1010,3000,0.5,0,S
RM34,1010,3000,0.75,0,S
SG27,1010,7900,1.88,0,S
FG233,1010,7920,21,0,S
RM233-1,1010,3000,3,0,S
RM233-2,1010,3000,3,0,S
RM233-4,1010,3000,3,0,S
RM234,1010,3000,3.5,0,S
SG233,1010,7900,4.2,0,S
RM235,1010,3000,3.5,0,S
SG234,1010,7900,4.2,0,S
FG129,1010,7920,32,0,S
SG29,1010,7900,15,0,S
RMPI001,1010,3000,0.08,0,S
RMPI002,1010,3000,1,0,S
RMPI003,1010,3000,1.25,0,S
RMPI004,1010,3000,0.75,0,S
RMPI005,1010,3000,0.35,0,S
SGPI001,1010,7900,0.52,0,S
SGPI001-V00,1010,7900,0.52,0,S
QM006,1010,7900,0.88,0,S
SDBOMERLAHD,1010,3100,50,50,V
SDBOMERLAIT01,1010,3100,13.5,13.5,V
SDBOMERLAIT02,1010,3100,13.5,13.5,V
SDBOMLUMFHD,1010,3100,50,50,V
SDBOMLUMFIT01,1010,3100,13.5,13.5,V
SDBOMLUMFIT02,1010,3100,13.5,13.5,V
CM-FL-V01,1010,7920,4000,0,S
SF-FL-COMB,1010,7900,3100,0,S
SF-FL-CWEIGHT,1010,7900,110,0,S
SF-FL-ELECTRIC,1010,7900,2900,0,S
SF-FL-TIRE-CUSH,1010,7900,90,0,S
SF-FL-TIRE-PNEU,1010,7900,100,0,S
CM-MLFL-KM-VXX,1010,7920,4000,0,S
SF-FL-FORKSEAT-VXX,1010,7900,3100,0,S
CM-FL-V00,1010,7920,4000,0,S
FG-FL-MV-V00,1010,7920,4000,0,S
FG-FL-MV-V01,1010,7920,4000,0,S
FG-FL-MV-V02,1010,7920,4000,0,S
EWMS4-50,1010,7920,200,0,S
EWMS4-502,1010,3000,20,0,S
EWMS4-503,1010,3000,5,0,S
EWMS4-601,1010,3000,1,0,S
F-10A,1010,7920,42,0,S
F-10B,1010,7920,50,0,S
R-302,1010,3000,1.5,0,S
R-401,1010,3000,1,0,S
S-201,1010,7900,25,0,S
S-202,1010,7900,15,0,S
S-301,1010,7900,5,0,S
S-203,1010,7900,12.5,0,S
F-20A,1010,7920,100,0,S
R-311,1010,3000,5,0,S
R-410,1010,3000,1,0,S
R-411,1010,3000,3,0,S
R-412,1010,3000,2,0,S
S-208,1010,7900,30,0,S
S-210,1010,7900,20,0,S
S-310,1010,7900,10,0,S
S-315,1010,7900,5,0,S
SG26,1010,7900,1.88,0,S
FG1_CP,1010,7920,18.65,0,S
RM1_CP,1010,3000,0.08,0,S
RM2_CP,1010,3000,1,0,S
SG1_CP,1010,7900,0.52,0,S
FG2_CP,1010,7920,0.88,0,S
RM5_CP,1010,3000,0.08,0,S
RM7_CP,1010,3000,0.2,0,S
SG2_CP,1010,7900,0.17,0,S
RMJIT01,1010,3000,1,0,S
RMJIT02,1010,3000,1,0,S
SGJIT01,1010,7900,1.5,0,S
SGJIT02,1010,7900,1.5,0,S
SGJIT02-SERIALIZED,1010,7900,1.5,0,S
FG111,1010,7920,18.65,0,S
FG111_A,1010,7920,18.65,0,S
FG111_B,1010,7920,18.65,0,S
FG111_C,1010,7920,18.65,0,S
RM27_1,1010,3000,0.75,0,S
RM1420,1010,3000,0.08,0,S
RM1430,1010,3000,1,0,S
SG2200,1010,7900,18.65,0,S
SG7100,1010,7900,0.02,0,S
SG8100,1010,7900,1.5,0,S
SG9100,1010,7900,1.5,0,S
SG1010,1010,7900,1.5,0,S
PIP01,1010,3000,0,0.12,V
FG29-1,1010,7920,3.4,0,S
FG6200,1010,7920,6.28,0,S
SG6100,1010,7900,2.37,0,S
FG6500,1010,7920,3.21,0,S
AVC_RBT_BASE_FRAME,1010,7900,100,0,S
AVC_RBT_CNTRL_CAB,1010,3100,13.5,13.5,V
AVC_RBT_D_ARM_50,1010,7900,3100,0,S
AVC_RBT_L_ARM_45,1010,7900,60,0,S
AVC_RBT_SEALING,1010,3100,13.5,13.5,V
AVC_RBT_APPL_UNIT,1010,7920,4000,0,S
AVC_RBT_BUNDLE,1010,7920,4000,0,S
AVC_RBT_CNTRL_BRD,1010,3100,13,13,V
AVC_RBT_CNTRL_UNIT,1010,7920,4000,0,S
AVC_RBT_ROBOT,1010,7920,4000,0,S
CM-FL-V00-3P,1010,7920,4000,0,S
AVC_RBT_BRD_PAINT,1010,7900,3100,0,S
AVC_RBT_BRD_SEAL,1010,7900,3100,0,S
AVC_RBT_CONTROL,1010,7920,4000,0,S
AVC_RBT_D_ARM_110,1010,7900,3100,0,S
AVC_RBT_LINK_ARM,1010,7920,4000,0,S
AVC_RBT_ROBOT2,1010,7920,4000,0,S
RMPC07,1010,3000,1,0,S
RMPC08,1010,3000,1,0,S
SGPCSVT01,1010,7900,15,0,S
D2O_09077205423_C,1010,7920,500,0,S
D2O_0900047034,1010,7900,8,0,S
D2O_0901513373_C,1010,7900,8,0,S
D2O_0902056385,1010,7900,28,0,S
D2O_0904277018_C,1010,7900,23,0,S
D2O_0905271384,1010,7900,16,0,S
D2O_0905720429,1010,7900,45,0,S
D2O_0905720543_C,1010,7900,30,0,S
D2O_0905720544_C,1010,7900,70,0,S
D2O_0905721007,1010,7900,40,0,S
D2O_0905721008,1010,7900,40,0,S
D2O_1800481527,1010,7900,50,0,S
D2O_0424955000,1010,3000,0.25,0,S
D2O_0563557002,1010,3000,0.5,0,S
D2O_0625555452,1010,3000,10,0,S
D2O_0901513371,1010,3000,30,0,S
D2O_0903271777_C,1010,3000,3,0,S
FG1_DS,1010,7920,18.65,0,S
RM1_DS,1010,3000,2.25,0,S
RM2_DS,1010,3000,2.25,0,S
SG1_DS,1010,7900,5.75,0,S
FG2_DS,1010,7920,27.19,0,S
RM3_DS,1010,3000,0.5,0,S
RM4_DS,1010,3000,0.75,0,S
SG2_DS,1010,7900,1.5,0,S
TG11,1710,3100,13.5,13.5,V
FG126,1710,7920,18.65,0,S
RM12,1710,3000,1,0,S
RM120,1710,3000,1.25,0,S
RM122,1710,3000,0.75,0,S
RM124,1710,3000,0.35,0,S
RM128,1710,3000,1.65,0,S
RM13,1710,3000,0.5,0,S
RM14,1710,3000,0.75,0,S
RM16,1710,3000,0.25,0,S
RM20,1710,3000,1.3,0,S
RM27,1710,3000,0.75,0,S
SG124,1710,7900,0.52,0,S
SG21,1710,7900,1.5,0,S
SG22,1710,7900,2.7,0,S
SG224,1710,7900,0.52,0,S
SG25,1710,7900,5.75,0,S
FG29,1710,7920,0.88,0,S
RM09,1710,3000,0.08,0,S
RM15,1710,3000,0.2,0,S
RM19,1710,3000,0.12,0,S
RM30,1710,3000,0.01,0,S
SG24,1710,7900,0.17,0,S
SG23,1710,7900,1.88,0,S
RM129,1710,3000,1.8,0,S
FG130,1710,7920,32,0,S
SG30,1710,7900,15,0,S
FG228,1710,7920,27.19,0,S
SP001,1710,3040,130,0,S
SP002,1710,3040,130,0,S
SP003,1710,3040,130,0,S
SP004,1710,3040,130,0,S
SP005,1710,3040,130,0,S
SP006,1710,3040,130,0,S
RM33,1710,3000,0.5,0,S
RM34,1710,3000,0.75,0,S
SG27,1710,7900,1.88,0,S
FG233,1710,7920,21,0,S
RM233-1,1710,3000,3,0,S
RM233-2,1710,3000,3,0,S
RM233-4,1710,3000,3,0,S
RM234,1710,3000,3.5,0,S
SG233,1710,7900,4.2,0,S
RM235,1710,3000,3.5,0,S
SG234,1710,7900,4.2,0,S
FG129,1710,7920,32,0,S
SG29,1710,7900,15,0,S
RMPI001,1710,3000,0.08,0,S
RMPI002,1710,3000,1,0,S
RMPI003,1710,3000,1.25,0,S
RMPI004,1710,3000,0.75,0,S
RMPI005,1710,3000,0.35,0,S
SGPI001,1710,7900,0.52,0,S
SGPI001-V00,1710,7900,0.52,0,S
QM006,1710,7900,0.88,0,S
SDBOMERLAHD,1710,3100,50,50,V
SDBOMERLAIT01,1710,3100,13.5,13.5,V
SDBOMERLAIT02,1710,3100,13.5,13.5,V
SDBOMLUMFHD,1710,3100,50,50,V
SDBOMLUMFIT01,1710,3100,13.5,13.5,V
SDBOMLUMFIT02,1710,3100,13.5,13.5,V
CM-FL-V01,1710,7920,4000,0,S
SF-FL-COMB,1710,7900,3100,0,S
SF-FL-CWEIGHT,1710,7900,110,0,S
SF-FL-ELECTRIC,1710,7900,2900,0,S
SF-FL-TIRE-CUSH,1710,7900,90,0,S
SF-FL-TIRE-PNEU,1710,7900,100,0,S
CM-MLFL-KM-VXX,1710,7920,4000,0,S
